DateTime,AddedIPs,RemovedIPs
1508818024,17,2
1508821654,2,3
1508825237,2,7
1508828838,18,0
1508832422,8,4
1508836048,1,0
1508843249,1,9
1508846855,2,32
1508850433,20,6
1508854049,7,8
1508857637,1,1
1508861240,7,3
1508864852,1,7
1508868432,4,3
1508872042,2,3
1508875624,6,17
1508879226,3,9
1508882833,4,17
1508886424,25,2
1508890077,3,9
1508893651,8,2
1508897244,2,2
1508900865,4,7
1508904444,16,2
1508908041,5,4
1508911646,4,2
1508915244,2,4
1508918862,2,27
1508922453,8,2
1508926055,6,7
1508929659,4,7
1508933241,2,1
1508936841,12,4
1508940439,12,7
1508944045,8,2
1508947636,4,1
1508951241,4,5
1508954852,0,7
1508958455,4,6
1508962053,5,4
1508965634,33,0
1508969251,1,0
1508972831,4,2
1508976476,1,1
1508980047,1,35
1508983632,26,5
1508987247,1,2
1508990842,2,2
1508994452,1,2
1508998056,4,22
1509001649,9,5
1509005231,32,2
1509008835,0,2
1509012452,0,1
1509016039,0,2
1509019651,1,34
1509023235,5,8
1509026840,2,5
1509030439,6,1
1509034040,4,8
1509037640,7,12
1509041234,45,0
1509044832,5,0
1509048458,1,2
1509052041,0,6
1509055641,3,38
1509059257,3,9
1509062874,12,3
1509066439,1,5
1509070049,15,3
1509073651,3,4
1509077251,7,14
1509080843,6,1
1509084440,3,11
1509088021,33,6
1509091649,2,10
1509095233,1,1
1509098831,1,0
1509102444,2,20
1509106052,11,1
1509109640,5,2
1509113248,5,9
1509116829,30,3
1509120455,1,3
1509124036,0,3
1509127669,3,0
1509131247,0,41
1509134841,10,1
1509138463,6,3
1509142063,2,9
1509145651,7,6
1509149268,0,6
1509152850,4,5
1509156437,2,4
1509160042,3,8
1509163658,0,5
1509167228,58,0
1509174439,1,0
1509178031,2,1
1509181636,1,43
1509185258,19,4
1509188858,3,3
1509192433,20,2
1509199624,0,2
1509203212,12,0
1509206826,3,2
1509210446,2,8
1509214057,1,0
1509217651,0,25
1509221252,4,11
1509224848,3,19
1509228453,5,1
1509232045,5,8
1509235675,3,7
1509239263,8,1
1509242873,1,5
1509246460,3,3
1509250052,4,4
1509253646,27,4
1509257264,4,1
1509260864,3,1
1509264455,15,0
