DateTime,AddedIPs,RemovedIPs
1508368091,0,3
1508378893,0,1
1508386101,1,0
1508389686,2,0
1508396888,1,0
1508400506,0,1
1508404105,0,2
1508414891,0,1
1508418512,4,0
1508422109,1,0
1508425707,1,0
1508429307,0,1
1508432892,0,4
1508436501,2,0
1508440107,1,0
1508443714,1,0
1508447317,1,2
1508450906,2,1
1508454500,2,1
1508458144,2,0
1508461693,0,1
1508468895,0,4
1508472505,1,2
1508479686,2,0
1508486897,1,1
1508494093,2,2
1508501283,0,2
1508508524,0,1
1508515673,0,1
1508519308,5,0
1508526509,1,0
1508533675,0,3
1508537303,1,0
1508540895,0,1
1508544560,1,1
1508548115,3,0
1508551727,0,1
1508555308,1,0
1508558913,1,1
1508562501,5,2
1508573318,0,2
1508576910,1,2
1508580527,1,0
1508584129,1,0
1508587703,2,2
1508591309,3,0
1508594919,1,1
1508602106,0,2
1508605708,1,3
1508616518,1,0
1508620071,1,0
1508623708,0,1
1508627307,2,0
1508630949,2,2
1508634482,0,1
1508638098,1,1
1508641693,1,4
1508645281,1,2
1508652517,0,1
1508656081,0,1
1508659688,0,1
1508670489,0,1
1508674093,1,0
1508677679,1,0
1508684900,1,0
1508692110,0,2
1508699298,2,1
1508702881,3,0
1508713704,1,1
1508717322,2,3
1508728078,1,1
1508731675,2,2
1508735263,2,0
1508742458,2,0
1508746074,0,2
1508749676,0,4
1508756871,1,2
1508760473,2,0
1508764068,1,0
1508767667,1,0
1508771267,0,1
1508774844,2,2
1508778482,0,1
1508785652,0,1
1508789278,1,2
1508796475,3,1
1508800067,2,0
1508810877,0,4
1508814478,1,1
1508818064,2,0
1508821689,1,0
1508828873,0,1
1508832462,0,1
1508836086,0,1
1508839678,1,0
1508854086,5,1
1508864886,1,0
1508868467,0,4
1508872075,0,1
1508875658,1,0
1508879259,0,1
1508890121,3,2
1508897295,2,0
1508900915,1,0
1508904498,0,4
1508911692,1,1
1508915289,0,1
1508918909,1,0
1508922494,6,0
1508926101,0,1
1508929703,1,0
1508936882,0,4
1508940487,2,1
1508944093,0,2
1508947681,3,0
1508951287,3,0
1508958501,1,0
1508962102,0,2
1508965678,2,3
1508969300,2,0
1508972877,0,2
1508976510,2,0
1508980083,0,1
1508983669,0,4
1508987281,2,4
1508990880,1,1
1508994488,1,0
1508998091,0,1
1509001685,1,2
1509005264,0,1
1509008869,1,0
1509026879,1,0
1509041273,0,1
1509048494,0,1
1509052077,1,0
1509055677,3,0
1509059295,1,1
1509062906,1,0
1509066475,1,0
1509070084,0,3
1509073687,1,1
1509077288,1,0
1509080877,0,1
1509088058,0,1
1509091684,0,3
1509095273,1,0
1509098868,1,0
1509106087,0,2
1509109676,3,0
1509113282,1,1
1509116864,4,0
1509120488,1,0
1509127702,0,1
1509131285,0,5
1509134875,1,2
1509138497,4,0
1509142098,1,0
1509145687,0,1
1509149301,0,1
1509152888,0,4
1509156472,0,1
1509160077,1,0
1509163693,2,0
1509167268,4,0
1509174476,2,1
1509178069,1,1
1509181675,0,4
1509188892,1,1
1509192471,3,1
1509203246,1,0
1509206861,2,1
1509210480,1,2
1509217683,0,1
1509221288,0,3
1509224882,2,1
1509232082,1,0
1509239298,1,3
1509242918,1,0
1509246503,0,3
1509253693,1,1
1509257309,1,1
1509260909,1,0
1509264502,1,0
1509268101,1,0
1509271706,1,0
1509275306,1,0
1509278922,0,1
