DateTime,AddedIPs,RemovedIPs
1503752984,2,0
1503767373,0,1
1503774586,0,1
1503781773,1,0
1503788973,1,0
1503803393,0,2
1503814171,0,1
1503821378,1,0
1503850186,0,1
1503857378,1,0
1503871755,0,1
1503882578,1,1
1503886177,1,1
1503889765,1,0
1503900561,0,1
1503907787,1,0
1503936577,0,2
1503943756,0,1
1503947390,1,1
1503950980,1,0
1503965416,1,0
1503972591,0,1
1503976194,0,1
1503987009,1,0
1503997790,0,1
1504004973,0,1
1504008595,1,0
1504012170,1,0
1504026604,0,1
1504030190,1,0
1504058981,0,1
1504066204,1,0
1504069792,0,1
1504076980,1,0
1504120182,0,1
1504134588,1,0
1504192193,0,1
1504202982,1,0
1504228182,1,0
1504231802,1,0
1504242580,0,1
1504246191,1,0
1504289397,0,1
1504393775,0,1
1504397411,1,0
1504404563,0,1
1504408182,1,0
1504426156,0,1
1504429764,1,0
1504433364,0,1
1504458550,0,1
1504462174,1,0
1504476567,0,1
1504483797,1,0
1504490962,1,1
1504498183,0,1
1504512560,1,0
1504519767,1,0
1504555768,0,1
1504559388,1,1
1504577381,0,1
1504580979,1,0
1504584592,1,0
1504613385,0,1
1504620578,1,0
1504660181,1,0
1504667388,0,1
1504688958,0,1
1504692552,1,0
1504696189,0,1
1504703387,1,0
1504717778,0,1
1504721378,0,1
1504724970,0,1
1504728579,1,0
1504732196,2,0
1504757355,0,1
1504760966,1,0
1504764570,0,1
1504775372,1,0
1504804178,0,1
1504814993,1,0
1504829406,0,1
1504832999,1,0
1504869001,0,1
1504876180,1,0
1504890604,0,1
1504897791,1,0
1504919388,1,0
1504926595,0,1
1504930207,0,1
1504933812,2,0
1504940998,0,1
1504944605,1,0
1504980589,0,1
1504984192,1,1
1504987796,1,0
1505009379,0,1
1505020169,1,1
1505030971,0,1
1505034600,1,0
1505038175,1,0
1505056179,0,1
1505063380,0,1
1505066961,1,0
1505074190,1,0
1505081348,0,2
1505084968,2,0
1505092202,0,1
1505117395,0,1
1505124585,0,1
1505128199,1,0
1505131784,1,0
1505153369,0,1
1505157009,1,0
1505160587,0,1
1505167787,1,0
1505211006,0,1
1505214587,0,1
1505218175,0,1
1505221780,3,0
1505239786,0,1
1505246984,1,0
1505261424,0,1
1505265006,2,0
1505293772,0,2
1505297376,1,0
1505300960,0,1
1505304601,2,1
1505322573,1,1
1505326168,0,1
1505329790,1,0
1505333393,1,0
1505358575,0,1
1505365772,1,0
1505369383,0,1
1505372971,1,0
1505390964,0,1
1505398185,1,0
1505412559,0,1
1505416155,1,0
1505426974,0,0
1505430582,0,0
1505444978,0,1
1505452166,1,0
1505502563,0,1
1505506182,1,0
1505520607,1,0
1505524166,0,1
1505534954,1,0
1505570963,0,3
1505574545,1,0
1505578176,1,0
1505581771,1,0
1505596154,0,1
1505607015,1,0
1505614164,1,0
1505657350,0,1
1505668195,1,0
1505700589,1,1
1505704190,1,1
1505747372,0,1
1505750971,1,1
1505754592,1,0
1505776177,0,2
1505779830,1,0
1505787007,1,0
1505790588,0,1
1505848155,0,7
1505945386,2,0
1505948938,4,0
1505959765,1,2
1505963382,0,1
1505966942,2,0
1505981379,0,1
1505999391,1,0
1506010189,0,1
1506013782,0,1
1506017366,1,0
1506020970,1,0
1506046170,0,1
1506049786,0,2
1506053347,1,0
1506060588,0,1
1506067742,2,0
1506103775,0,1
1506110954,1,0
1506132542,0,1
1506139755,0,1
1506150563,0,1
1506154191,2,0
1506211779,2,0
1506298211,1,0
1506301793,0,1
1506308995,1,0
1506319793,0,1
1506323357,1,1
1506330587,1,2
1506334194,2,0
1506348584,0,1
1506352172,1,0
1506402583,0,2
1506406178,2,0
1506420574,1,0
1506474576,2,0
1506481780,0,1
1506521385,0,1
1506524981,0,1
1506528555,1,0
1506532182,1,1
1506542978,0,2
1506546591,1,0
1506550165,1,0
1506553776,0,1
1506557420,1,0
1506561022,1,0
1506564611,1,1
1506568199,1,0
1506571812,1,0
1506575387,0,1
1506578995,0,1
1506582588,1,1
1506586206,1,1
1506589812,2,0
1506607791,0,2
1506614986,1,0
1506622196,1,0
1506654613,0,2
1506683417,0,1
1506687030,1,0
1506690589,0,1
1506697802,1,0
1506733795,0,1
1506737393,1,0
1506740980,0,1
1506751789,0,1
1506758990,1,2
1506762590,1,0
1506766176,0,1
1506773397,2,0
1506805789,0,1
1506812980,1,0
1506848976,0,1
1506863403,1,1
1506874196,1,0
1506892195,0,2
1506899385,1,0
1506903042,2,0
1506906613,0,1
1506910192,2,0
1506913806,0,2
1506949794,0,1
1506953390,1,0
1506967823,0,1
1506971401,0,1
1506975000,2,0
1506982208,0,1
1506985793,1,0
1506992958,0,1
1507000181,0,2
1507007385,1,0
1507061379,0,1
1507064977,1,0
1507086568,1,0
1507115380,0,1
1507122594,1,0
1507151363,0,2
1507154982,1,0
1507162243,1,0
1507205391,1,0
1507212562,0,2
1507216180,0,1
1507219780,1,0
1507223370,0,1
1507227002,2,0
1507234166,0,1
1507237796,1,0
1507248616,1,0
1507259354,0,1
1507273771,1,0
1507284543,0,1
1507291787,1,1
1507298982,1,0
1507338578,0,1
1507345774,0,1
1507370969,0,1
1507374587,1,1
1507378168,1,0
1507392590,0,1
1507399769,1,0
1507468212,0,1
1507471789,1,0
1507511398,0,1
1507515010,0,1
1507518601,1,1
1507522216,1,0
1507590602,0,1
1507594226,0,1
1507597819,1,0
1507604987,1,1
1507612193,1,0
1507626590,0,2
1507630180,1,0
1507633787,1,1
1507637385,1,0
1507655376,0,1
1507658970,1,0
1507691394,0,1
1507720199,0,1
1507723789,1,0
1507738194,0,1
1507745409,1,0
1507752595,0,1
1507756211,1,0
1507770585,0,1
1507774191,1,0
1507849796,0,1
1507853445,1,0
1507928994,0,1
1507932591,1,0
1507964998,0,1
1507968587,1,0
1507997372,0,1
1508000985,1,0
1508026218,1,0
1508044175,0,1
1508047769,1,0
1508083763,0,1
1508087383,1,0
1508137774,0,1
1508144990,1,0
1508159357,0,1
1508162967,1,0
1508184591,0,1
1508188162,1,0
1508199011,0,1
1508202603,1,0
1508209795,1,0
1508252962,0,1
1508263758,1,1
1508267385,1,0
1508317812,0,2
1508321404,1,0
1508324964,1,0
1508335805,0,1
1508339400,1,0
1508343007,1,0
1508353780,0,2
1508357398,2,0
1508386197,0,1
1508393384,0,1
1508396983,1,0
1508418606,0,1
1508425803,1,0
1508451001,0,1
1508454594,1,0
1508468991,0,1
1508533772,0,1
1508537398,1,0
1508540990,0,1
1508544654,0,1
1508548212,2,0
1508562601,0,1
1508573413,1,0
1508634577,1,0
1508641787,0,1
1508681390,0,1
1508684996,1,0
1508702976,0,1
1508710192,1,0
1508720955,1,1
1508728172,1,1
1508735357,1,0
1508836181,0,2
1508839773,1,0
1508843382,1,0
1508872171,0,1
1508882961,1,1
1508890218,1,0
1508911789,0,1
1508915383,1,0
1508980177,1,0
1508987377,0,1
1508990978,1,0
1509001779,0,1
1509005360,1,0
1509012582,0,1
1509016167,1,0
1509041368,0,1
1509048589,1,0
1509063001,1,0
