DateTime,AddedIPs,RemovedIPs
1506175826,0,3
1506179423,0,2
1506183030,0,1
1506186616,4,0
1506190253,1,1
1506193847,4,0
1506197418,1,3
1506201024,1,1
1506204619,1,2
1506208241,2,1
1506211867,11,1
1506215440,2,3
1506219032,3,1
1506222635,1,15
1506226244,1,2
1506229834,1,1
1506233417,2,0
1506237003,2,0
1506240629,1,2
1506244227,1,2
1506251439,1,2
1506258620,1,2
1506262210,2,1
1506265826,1,3
1506273019,2,1
1506276652,0,2
1506280222,4,0
1506283811,0,1
1506287438,2,2
1506291034,2,0
1506294625,2,1
1506298270,20,1
1506301858,1,2
1506305470,0,1
1506309073,0,18
1506312652,1,1
1506316255,1,1
1506319868,1,1
1506323438,1,2
1506327055,1,1
1506330654,1,0
1506334265,0,2
1506337856,1,1
1506341452,2,0
1506345056,2,2
1506348659,2,0
1506352254,1,2
1506359444,1,2
1506363052,0,2
1506366618,1,1
1506370278,2,0
1506373829,1,1
1506377447,1,0
1506381033,1,2
1506384666,17,3
1506388257,1,1
1506391856,1,1
1506395447,0,10
1506399018,1,1
1506402659,0,2
1506406245,0,1
1506409836,0,1
1506413445,1,0
1506417028,1,0
1506420637,1,0
1506424215,1,1
1506427832,1,1
1506431462,0,1
1506435044,0,1
1506438660,1,1
1506442244,1,0
1506445842,1,0
1506449452,0,1
1506453017,1,1
1506460239,1,0
1506463838,0,1
1506467434,1,1
1506471075,7,1
1506478252,0,1
1506481857,0,11
1506557489,17,0
1506568272,0,17
1506643922,12,0
1506647451,1,0
1506651068,1,0
1506654678,1,17
1506658287,0,1
1506661847,1,2
1506665468,1,0
1506669068,0,1
1506679865,1,0
1506683487,1,1
1506687105,1,1
1506690668,1,0
1506694262,1,1
1506697890,1,1
1506701481,0,1
1506712264,1,1
1506715872,1,0
1506719455,1,1
1506723067,0,1
1506726664,1,1
1506730324,17,1
1506733868,2,0
1506737463,0,1
1506741055,1,7
1506744670,1,1
1506748285,1,1
1506751864,1,1
1506755462,1,1
1506759069,1,1
1506762682,1,1
1506766246,1,1
1506769870,1,1
1506773479,0,1
1506777063,1,1
1506780672,1,0
1506784275,1,1
1506787842,1,1
1506791472,1,1
1506795070,1,1
1506798656,0,1
1506802274,1,1
1506805873,1,0
1506809455,1,1
1506813069,0,1
1506816710,37,0
1506823893,1,2
1506827464,0,15
1506831065,0,1
1506834665,1,0
1506838302,1,1
1506841863,1,0
1506845478,1,1
1506849055,1,1
1506852679,0,1
1506856289,1,0
1506859866,0,1
1506863491,1,0
1506867057,0,1
1506870683,1,0
1506874282,0,1
1506877887,1,2
1506881465,2,0
1506885096,1,1
1506888645,1,1
1506892283,0,1
1506895893,1,1
1506899453,1,1
1506903106,17,1
1506910276,0,1
1506913881,0,11
1506975078,0,1
1506982297,1,0
1506989479,11,0
1507000250,0,15
1507036260,0,1
1507043442,1,0
1507054258,0,1
1507057870,1,0
1507075876,22,0
1507083060,0,1
1507086657,0,35
1507090257,0,1
1507158657,0,1
1507162325,12,0
1507165871,1,0
1507173081,0,17
1507248677,15,0
1507252238,2,0
1507255842,1,0
1507259436,1,15
1507263014,1,1
1507266651,1,1
1507270243,0,1
1507273848,1,1
1507277440,1,0
1507281052,1,1
1507284604,0,1
1507288236,1,1
1507295451,0,1
1507299047,1,0
1507309868,0,1
1507317044,1,0
1507324255,0,1
1507327832,1,0
1507335055,22,1
1507338645,2,1
1507342263,1,2
1507345850,0,22
1507349472,1,1
1507360254,1,1
1507363858,0,1
1507367454,1,0
1507374659,1,0
1507378224,0,1
1507389062,0,1
1507396228,1,0
1507399827,1,0
1507403453,1,2
1507407065,1,1
1507410640,1,1
1507414238,1,1
1507421477,16,1
1507425074,2,1
1507428654,2,0
1507432271,1,12
1507435875,1,1
1507439493,2,1
1507443050,2,1
1507446642,0,2
1507450243,0,1
1507453861,2,2
1507457443,1,1
1507461047,1,0
1507464642,1,1
1507471862,1,1
1507475474,2,1
1507479070,2,2
1507482637,0,2
1507486258,1,1
1507489862,2,1
1507493460,2,0
1507497089,0,2
1507500670,1,0
1507504245,2,1
1507507889,6,0
