DateTime,AddedIPs,RemovedIPs
1509635592,4,4
1509637477,3,5
1509639434,6,2
1509641325,0,2
1509643240,1,0
1509645166,1,1
1509647057,2,1
1509648982,2,3
1509650918,2,2
1509653793,2,1
1509655706,0,1
1509657640,0,3
1509659554,0,28
1509661451,0,46
1509663377,1,3
1509665301,1,12
1509669615,2,63
1509671538,2,3
1509673370,4,2
1509675378,1,4
1509677290,3,2
1509679211,1,0
1509681141,2,4
1509683055,3,1
1509684978,0,1
1509686887,0,2
1509688838,2,1
1509690755,1,2
1509692665,3,4
1509694581,3,4
1509696498,4,2
1509698408,2,1
1509700328,0,2
1509702332,3,4
1509704169,1,2
1509706102,3,2
1509708020,6,3
1509709925,2,0
1509711874,2,1
1509713766,2,4
1509717614,3,1
1509719532,0,2
1509721773,2,5
1509723632,2,1
1509725741,2,11
1509727703,2,0
1509729623,1,1
1509731543,5,0
1509733486,3,1
1509735391,0,2
1509737301,0,1
1509740172,2,4
1509742107,1,2
1509744009,1,0
1509745944,2,2
1509747862,2,0
1509751061,2,3
1509752926,1,1
1509754843,0,5
1509756749,0,2
1509758660,1,0
1509760579,3,3
1509762516,1,0
1509764456,0,1
1509766366,0,1
1509768268,1,1
1509770180,2,3
1509772114,1,1
1509774029,2,1
1509775980,1,4
1509777880,1,3
1509779788,2,3
1509781704,3,2
1509783630,3,3
1509785549,2,2
1509787475,3,0
1509789378,1,2
1509791303,1,4
1509793285,24,3
1509795159,17,6
1509797093,2,1
1509798985,2,1
1509800893,1,2
1509802825,1,3
1509804756,2,2
1509808833,2,3
1509810997,2,4
1509812889,0,3
1509815785,471,4
1509817709,1,3
1509819623,3,5
1509821525,2,2
1509823447,1,0
1509825390,3,2
1509827301,2,1
1509829241,1,0
1509831134,3,0
1509833053,0,1
1509834980,4,2
1509836898,3,2
1509838716,1,1
1509840964,0,1
1509842908,5,1
1509844821,1,1
1509846739,2,2
1509848648,1,1
1509850580,0,1
1509852501,1,0
1509854456,2,1
1509856348,0,4
1509858254,0,1
1509860199,0,2
1509862100,1,1
1509864023,2,1
1509865962,0,3
1509867850,0,1
1509869778,2,4
1509871709,2,2
1509873608,0,2
1509875552,0,1
1509877543,21,3
1509880361,38,21
1509882288,27,5
1509884202,44,0
1509886107,50,3
1509888021,24,0
1509889929,19,1
1509891793,36,1
1509893793,19,1
1509896013,22,1
1509897852,34,1
1509899845,8,342
1509901698,14,134
1509903660,25,2
1509905538,17,0
1509907483,32,0
1509909398,49,2
1509911383,57,2
1509913242,41,4
1509915204,31,0
1509917075,35,2
1509919016,57,1
1509920913,30,2
1509922956,36,1
1509925008,51,1
1509926890,47,6
1509928841,54,5
1509930792,14,2
1509932685,4,1
1509934657,3,0
1509936506,4,2
1509938514,2,2
1509940371,2,1
1509942318,3,1
1509944189,1,0
1509946186,3,3
1509948994,4,0
1509950932,1,1
1509952835,15,0
1509954735,1,2
1509956671,2,3
1509958584,1,2
1509960518,0,1
1509962508,3,0
1509964367,2,34
1509966282,3,21
1509968207,0,30
1509970126,3,30
1509972039,7,56
1509973896,0,27
1509975862,0,23
1509978050,1,38
1509979950,1,22
1509981853,0,7
1509983802,3,45
1509985720,1,7
1509987644,20,8
1509991176,1,37
1509993168,43,26
1509995081,37,46
1509997006,0,52
1509998907,1,47
1510000841,0,35
1510002754,2,36
1510004952,10,48
1510006851,3,43
1510008774,2,31
1510010671,1,44
1510012612,0,46
1510014520,2,55
1510016535,4,29
1510018342,2,0
1510020306,1,3
1510022179,1,1
1510024150,2,7
1510028005,1,4
1510029884,4,1
1510031829,1,2
1510033726,1,2
1510035692,2,1
1510037547,1,1
1510039460,0,10
1510041395,0,3
1510043324,1,0
1510045280,8,0
1510047180,7,2
1510049088,1,1
1510051012,1,3
1510052903,1,4
1510054874,0,1
1510056782,2,3
1510058700,5,5
1510060596,1,2
1510062550,0,1
1510064357,1,3
1510066391,396,2
1510068269,602,1
1510070230,70,4
1510072100,3,1
1510074138,3,7
1510075944,1,0
1510077859,2,1
1510079770,2,42
1510081779,2,8
1510083620,2,0
1510086770,2,2
1510088674,2,1
1510090663,2,11
1510092516,56,6
1510094680,8,2
1510096588,3,1
1510098542,1,1
1510100450,1,2
1510102438,14,1
1510104269,4,2
1510106220,1,0
1510108109,1,1
1510110116,1,4
1510111969,4,0
1510115802,3,3
1510117754,2,1
1510119625,0,1
1510123455,0,3
1510125466,16,2
1510127547,33,0
1510129651,9,1
1510131622,1,5
1510133801,0,6
1510135705,1,1
1510137668,2,3
1510139591,1,1
1510141468,1,1
1510143407,2,2
1510147236,2,0
1510149163,1,0
1510151079,1,50
1510152994,3,401
1510154921,0,635
1510156864,3,2
1510158771,3,1
1510160676,1,2
1510162596,1,1
1510164519,505,3
1510166584,597,0
1510168576,7,1
1510170488,6,3
1510172423,0,2
1510174336,1,1
1510176250,0,1
1510178180,0,18
1510180089,3,32
1510182028,0,4
1510183970,2,0
1510186348,1,2
1510188285,2,14
1510190194,1,4
1510192115,1,6
1510194060,1,0
1510195954,2,3
1510197884,6,2
1510199943,3,1
1510202308,1,3
1510204480,3,2
1510206385,2,0
1510208325,1,0
1510210466,2,1
1510221149,3,12
1510223059,2,3
1510225014,3,2
1510226920,3,2
1510228859,5,3
1510230754,0,4
1510232686,2,2
1510234595,2,2
1510236502,0,2
1510238429,1,2
1510240361,0,2
1510242264,0,20
1510244204,2,19
1510246103,1,13
1510248037,2,8
1510249939,2,260
1510251850,1,807
1510253724,3,55
1510256157,0,27
1510258354,3,7
1510260304,3,1
1510262182,3,0
1510266018,1,4
1510268197,7,4
1510270097,1,1
1510272129,7,2
1510273942,7,3
1510275933,9,0
1510277774,6,2
1510279762,3,1
1510281639,5,2
1510283598,0,4
1510285479,4,2
1510287425,3,4
1510289316,3,2
1510291351,1,3
1510293381,1,2
1510295311,0,2
1510297230,2,3
1510303248,1,0
1510305170,2,0
1510307077,3,2
1510309011,1,4
1510310918,5,1
1510312822,2,4
1510314760,0,6
1510316676,2,0
1510318595,3,1
1510320526,3,3
1510323700,3,2
1510325541,5,0
1510327449,3,0
1510329389,4,1
1510331298,0,3
1510333268,1,1
1510335131,1,2
1510337094,1,1
1510338968,2,3
1510340898,1,2
1510342975,0,2
1510345044,4,2
1510346922,0,4
1510348865,2,1
1510350754,4,0
1510352721,1,3
1510355130,1,5
1510357008,1,1
1510359366,4,4
1510361300,3,3
1510363209,2,3
1510365145,3,0
1510367063,4,3
1510368993,0,3
1510370908,1,0
1510373804,4,6
1510375759,2,2
1510377626,1,2
1510379597,3,6
1510381458,2,2
1510383438,1,0
1510387431,3,0
1510389373,1,3
1510391298,3,2
1510393219,0,1
1510395150,0,1
1510397048,1,4
1510398995,20,1
1510400903,6,0
1510402819,0,4
1510404734,2,2
1510406662,1,1
1510408571,1,3
1510410501,7,1
1510412670,29,3
1510414595,13,2
1510416838,32,4
1510418678,6,1
1510420582,1,2
1510423975,1,1
1510425919,1,3
1510428041,3,0
1510430021,1,1
1510431853,2,3
1510433821,0,2
1510435714,1,1
1510438594,0,4
1510440505,0,1
1510442440,0,2
1510444351,1,1
1510446272,0,3
1510448197,2,0
1510450104,0,1
1510452062,2,3
1510455877,0,1
1510457783,0,1
1510459719,0,1
1510461624,1,0
1510465460,2,2
1510467407,1,4
1510469313,2,0
1510471221,1,2
1510473143,1,1
1510475060,1,1
1510478920,2,2
1510480851,1,2
1510482763,35,2
1510484673,52,15
1510486591,51,8
1510488534,44,2
1510490422,27,1
1510492366,20,0
1510494844,43,2
1510496703,18,4
1510498852,21,28
1510500763,33,11
1510502659,4,32
1510504582,16,11
1510506514,20,2
1510508439,24,1
1510510351,32,1
1510512266,50,1
1510514171,54,1
1510516353,49,2
1510518284,30,4
1510520198,41,0
1510522113,55,1
1510524067,26,1
1510525965,32,7
1510527872,55,1
1510529826,52,4
1510531939,53,1
1510533856,1,1
1510535825,3,1
1510537706,2,2
1510539650,2,1
1510541554,1,0
1510543484,2,1
1510545376,2,0
1510547319,1,0
1510549263,2,1
1510553076,1,1
1510555012,2,0
1510556908,4,0
1510558831,3,1
1510560756,1,1
1510562774,13,3
1510564590,1,1
1510566515,1,1
1510568418,8,15
1510570369,8,47
1510572273,789,55
1510574183,1287,55
1510576118,452,36
1510578113,0,15
1510581021,12,50
1510582824,41,19
1510584823,1,16
1510586660,7,35
1510588691,2,9
1510590499,22,5
1510592638,66,27
1510594591,1,25
1510596778,1,39
1510598660,1,47
1510600620,2,54
1510602516,1,46
1510604455,2,27
1510606357,1,40
1510608520,2,62
1510610485,0,25
1510612378,0,31
1510614274,0,54
1510616420,0,57
1510618568,1,42
1510620501,1,2
1510622432,2,4
1510624365,0,1
1510626288,2,1
1510628190,1,0
1510630101,2,0
1510632060,0,1
1510633967,1,1
1510635868,1,2
1510637781,2,1
1510639703,1,1
1510641630,0,2
1510643555,2,1
1510645454,5,1
1510647397,0,4
1510649298,0,3
1510651468,4,0
1510653389,0,1
1510655297,2,10
1510657254,0,2
