DateTime,AddedIPs,RemovedIPs
1510268493,16,14
1510269134,3,0
1510269853,1,7
1510270568,3,3
1510271292,8,6
1510272032,3,4
1510272929,1,9
1510273692,12,3
1510274423,8,9
1510275137,4,4
1510275882,1,9
1510276833,3,8
1510277543,5,14
1510278265,1,16
1510278968,4,7
1510279713,4,5
1510280666,9,0
1510281627,15,2
1510282340,10,6
1510283063,7,4
1510283776,2,5
1510284512,6,9
1510285468,8,2
1510286432,3,5
1510287142,3,9
1510287875,6,10
1510288582,5,0
1510289305,4,5
1510290272,4,4
1510290987,11,0
1510291712,7,6
1510292411,5,3
1510293133,5,2
1510293856,5,6
1510294589,5,3
1510295299,9,4
1510296033,5,6
1510296730,8,0
1510297465,8,4
1510298185,8,6
1510298907,4,3
1510299861,8,4
1510300837,12,2
1510302037,10,9
1510302743,6,0
1510303702,12,7
1510304430,8,3
1510305152,2,3
1510305852,8,3
1510306573,3,3
1510307547,6,1
1510308263,4,1
1510308994,5,4
1510309708,6,5
1510310413,1,3
1510311582,11,7
1510312340,2,0
1510313052,6,5
1510313782,1,8
1510314505,4,4
1510315238,4,7
1510315938,6,3
1510316658,7,2
1510317374,11,7
1510318096,5,1
1510319069,3,2
1510319780,1,3
1510320508,11,4
1510321210,7,9
1510321942,6,0
1510322908,7,12
1510323680,7,0
1510324345,3,2
1510325065,5,1
1510325767,6,4
1510326488,5,2
1510327229,6,7
1510327949,7,5
1510328654,6,12
1510329378,5,0
1510330132,1,9
1510330808,7,0
1510331535,8,3
1510332512,9,5
1510333232,8,4
1510333957,6,4
1510334906,21,9
1510335872,6,2
1510336839,6,7
1510337811,11,4
1510338753,8,12
1510339450,3,0
1510340175,5,4
1510340888,2,5
1510341643,9,12
1510342333,6,5
1510343056,7,1
1510343778,2,5
1510344503,5,10
1510345477,14,5
1510346187,7,12
1510346903,2,1
1510347609,9,4
1510348347,4,5
1510349317,1,5
1510350008,1,4
1510350737,5,6
1510351456,5,7
1510352203,9,3
1510353166,11,12
1510355570,10,20
1510356251,8,10
1510356997,3,8
1510357947,10,10
1510358661,2,0
1510359337,2,8
1510360096,4,5
1510360833,8,3
