DateTime,AddedIPs,RemovedIPs
1510067105,0,1165
1510068040,1150,0
1510068859,2,28
1510069355,1,2
1510070795,0,1123
1510071635,1119,0
1510072839,7,23
1510074093,2,22
1510076555,4,17
1510078470,4,19
1510080020,0,1055
1510080929,1038,0
1510081837,3,12
1510082913,0,4
1510083933,0,31
1510084863,3,12
1510086634,2,22
1510087532,4,5
1510088456,2,6
1510089333,4,0
1510090236,1,14
1510090952,4,4
1510092303,5,2
1510093228,4,0
1510093708,11,1
1510094735,14,7
1510096180,23,8
1510098331,24,10
1510098989,1,3
1510100132,1,6
1510101032,2,7
1510101781,2,5
1510103433,2,7
1510105529,4,6
1510107033,2,11
1510109140,3,22
1510110204,3,2
1510111236,0,1
1510111708,2,0
1510112546,2,14
1510114241,6,12
1510115124,2,0
1510116153,2,27
1510116995,2,1
1510118066,1,6
1510119056,1,9
1510119749,0,5
1510121437,1,13
1510123532,6,22
1510125034,0,15
1510126105,0,1
1510127131,2,16
1510128242,2,4
1510129167,2,0
1510129715,1,0
1510130547,1,9
1510132236,2,8
1510133315,3,1
1510134141,0,829
1510134996,819,0
1510136079,1,7
1510137123,3,14
1510137755,4,3
1510138584,1,0
1510139433,3,7
1510140506,2,3
1510141406,1,11
1510143265,5,9
1510144229,3,15
1510144948,8,0
1510145995,5,14
1510146930,2,1
1510147837,3,9
1510148734,2,9
1510150234,60,11
1510151306,4,0
1510152334,3,10
1510153776,3,17
1510154937,1,0
1510155812,2,8
1510156867,1,1
1510158631,3,5
1510159528,2,0
1510160406,2,2
1510161330,2,0
1510162238,2,3
1510162951,1,3
1510163806,2,0
1510164633,2,7
1510166686,3,19
1510168235,3,19
1510170334,7,17
1510171698,5,5
1510173022,4,2
1510173856,2,0
1510175443,4,8
1510177535,4,10
1510178704,5,2
1510179634,4,0
1510180687,1,7
1510182638,5,5
1510183704,1,1
1510184730,2,8
1510185669,1,4
1510186470,4,0
1510187305,1,0
1510188344,0,2
1510190074,4,7
1510190905,3,0
1510191754,3,4
1510192636,3,0
1510193440,1,6
1510195529,3,11
1510196391,1,5
1510197332,2,1
1510198535,0,5
1510200634,3,11
1510202731,3,13
1510204235,2,7
1510205304,1,0
1510206149,4,5
1510207573,4,4
1510208434,3,0
1510209564,6,3
1510209750,2,0
1510210985,4,5
1510212037,0,1
1510212936,0,2
1510214094,0,692
1510215041,689,0
1510216230,2,3
1510219707,7,5
1510220559,2,3
1510221378,3,0
1510222231,2,3
1510223135,2,0
1510224155,3,10
1510224990,1,0
1510225836,0,3
1510227009,0,684
1510227935,686,0
1510229371,1,6
1510230305,3,0
1510231181,2,9
1510232121,4,1
1510232956,0,4
1510235133,4,5
1510236849,0,675
1510237709,680,0
1510238549,3,7
1510239385,2,0
1510241313,2,1
1510242150,0,10
1510242999,0,669
1510243838,675,0
1510245634,3,6
1510247310,4,4
1510247669,1,1
1510248644,2,4
1510249352,3,3
1510250383,2,4
1510251265,5,0
1510253273,1,3
1510254673,4,2
1510255834,3,4
1510256530,0,672
1510257390,673,0
1510258239,6,3
1510259983,5,9
1510260931,2,0
1510261837,2,3
1510262909,1,0
1510263910,0,674
1510265441,631,0
1510266328,0,1
1510268131,1,39
1510269039,1,3
1510270766,2,4
1510271785,5,0
