DateTime,Entries,UniqueIPs
1509880789,154,154
1509882158,153,153
1509885749,149,149
1509886592,151,151
1509887670,152,152
1509888636,152,152
1509889544,153,153
1509891269,152,152
1509892109,153,153
1509893144,154,154
1509893788,155,155
1509895838,154,154
1509896553,154,154
1509897685,154,154
1509898539,160,160
1509899308,162,162
1509900338,164,164
1509901383,163,163
1509902440,164,164
1509903755,163,163
1509905441,163,163
1509907536,166,166
1509911322,165,165
1509914128,164,164
1509916242,162,162
1509918155,161,161
1509919174,162,162
1509921047,164,164
1509921864,163,163
1509922738,163,163
1509923671,164,164
1509926519,159,159
1509927273,160,160
1509928232,162,162
1509928953,161,161
1509930881,157,157
1509931842,157,157
1509932553,159,159
1509933389,160,160
1509934244,162,162
1509935323,164,164
1509936345,167,167
1509937293,169,169
1509938137,170,170
1509939470,169,169
1509940534,170,170
1509941438,172,172
1509941675,173,173
1509942633,174,174
1509943354,174,174
1509945277,175,175
1509946111,178,178
1509946963,180,180
1509948648,183,183
1509949844,182,182
1509950563,183,183
1509952470,182,182
1509954337,182,182
1509955840,181,181
1509957957,179,179
1509960637,179,179
1509961367,180,180
1509963276,183,183
1509964257,186,186
1509965142,187,187
1509966349,189,189
1509967718,192,192
1509968557,190,190
1509970238,192,192
1509971308,192,192
1509972339,188,188
1509973839,184,184
1509975643,182,182
1509976465,184,184
1509977317,184,184
1509979243,177,177
1509980134,178,178
1509981034,177,177
1509982964,178,178
1509985243,176,176
1509985707,177,177
1509986551,178,178
1509987663,176,176
1509988547,177,177
1509989440,174,174
1509990993,175,175
1509992068,177,177
1509993035,175,175
1509995316,174,174
1509996636,174,174
1509997544,178,178
1509999045,177,177
1510000075,179,179
1510001139,178,178
1510002646,179,179
1510005387,180,180
1510006227,178,178
1510006476,179,179
1510007431,181,181
1510009273,180,180
1510010138,181,181
1510012021,179,179
1510013439,181,181
1510014334,182,182
1510015353,179,179
1510017037,177,177
1510020680,177,177
1510023446,177,177
1510024539,177,177
1510025433,177,177
1510027656,181,181
1510029762,182,182
1510031669,183,183
1510033168,184,184
1510034701,183,183
1510036840,184,184
1510037729,185,185
1510039711,187,187
1510040743,187,187
1510042244,191,191
1510044156,191,191
1510045509,192,192
1510046444,195,195
1510047429,194,194
1510049440,203,203
1510050266,206,206
1510051356,207,207
1510054113,208,208
1510054972,208,208
1510057530,207,207
1510058442,203,203
1510060256,204,204
1510061195,203,203
1510062043,202,202
1510063844,202,202
1510065038,205,205
1510066082,207,207
1510067110,205,205
1510068045,207,207
1510068864,207,207
1510070803,208,208
1510071639,211,211
1510072843,211,211
1510074104,212,212
1510076559,212,212
1510078474,212,212
1510080933,213,213
1510081841,214,214
1510083938,213,213
1510084878,215,215
1510086639,214,214
1510087537,215,215
1510088460,214,214
1510090241,215,215
1510090956,215,215
1510092310,217,217
1510093232,216,216
1510094739,215,215
1510098336,216,216
1510098994,219,219
1510100136,221,221
1510101037,192,192
1510103438,189,189
1510105534,185,185
1510107038,181,181
1510109145,180,180
1510110223,180,180
1510112550,176,176
1510114246,175,175
1510115129,176,176
1510116159,174,174
1510116999,175,175
1510119065,174,174
1510119755,172,172
1510121442,174,174
1510123537,173,173
1510124188,174,174
1510125040,174,174
1510126110,175,175
1510127136,177,177
1510128270,177,177
1510130553,173,173
1510132241,172,172
1510133334,173,173
1510134149,170,170
1510135002,171,171
1510136086,169,169
1510137144,166,166
1510137760,167,167
1510139438,165,165
1510140510,167,167
1510141410,167,167
1510143269,168,168
1510144233,165,165
1510144952,167,167
1510146055,167,167
1510146942,169,169
1510147842,170,170
1510148739,170,170
1510150239,171,171
1510152339,171,171
1510153781,169,169
1510155816,165,165
1510156880,164,164
1510158636,166,166
1510159534,167,167
1510160450,162,162
1510162243,161,161
1510162955,163,163
1510163821,165,165
1510164638,164,164
1510166690,165,165
1510168239,161,161
1510170339,158,158
1510171709,156,156
1510173863,158,158
1510175448,158,158
1510177540,158,158
1510178708,159,159
1510179639,161,161
1510180703,160,160
1510182643,162,162
1510184734,158,158
1510186475,161,161
1510187310,160,160
1510190079,161,161
1510195534,161,161
1510196395,159,159
1510198539,158,158
1510200638,157,157
1510202736,155,155
1510206154,153,153
1510207598,154,154
1510209579,151,151
1510211006,149,149
1510212042,152,152
1510212940,148,148
1510214108,150,150
1510215046,150,150
1510216235,147,147
1510219711,142,142
1510220565,136,136
1510221382,137,137
1510222235,136,136
1510223139,137,137
1510224159,135,135
1510224994,136,136
1510225840,135,135
1510227939,135,135
1510229376,136,136
1510230310,137,137
1510231185,138,138
1510232136,140,140
1510232969,140,140
1510235138,144,144
1510236861,141,141
1510237713,140,140
1510238554,139,139
1510240241,138,138
1510241318,142,142
1510242155,138,138
1510243004,140,140
1510243843,140,140
1510247314,139,139
1510247674,140,140
1510248649,141,141
1510249356,143,143
1510250388,141,141
1510251269,143,143
1510252189,142,142
1510255839,141,141
1510258244,143,143
1510261841,144,144
1510263929,145,145
1510265445,146,146
1510268136,147,147
1510269044,144,144
1510270785,147,147
1510274757,150,150
1510275832,151,151
1510276831,152,152
1510278932,155,155
1510280084,155,155
1510284509,155,155
1510287048,154,154
1510288241,155,155
1510292408,154,154
1510293684,153,153
1510296340,153,153
1510297842,147,147
1510302519,149,149
1510304194,150,150
1510305048,129,129
1510307148,126,126
1510307802,125,125
1510308598,124,124
1510309534,126,126
1510310395,123,123
1510311413,122,122
1510312246,124,124
1510313449,123,123
1510314164,122,122
1510315205,119,119
1510317036,116,116
1510317751,117,117
1510319439,115,115
1510319674,116,116
1510323040,115,115
1510326868,116,116
1510328066,113,113
1510330242,113,113
1510332341,113,113
1510334082,111,111
1510335639,110,110
1510336536,111,111
1510337441,110,110
1510338644,112,112
1510343145,113,113
1510344638,112,112
1510345716,113,113
1510346744,110,110
1510347827,109,109
1510348706,110,110
1510350825,110,110
1510351854,107,107
1510355434,110,110
1510356346,111,111
1510357252,108,108
1510359045,108,108
1510360959,110,110
1510362640,111,111
1510364553,111,111
1510365672,113,113
1510369842,113,113
1510371755,112,112
1510373737,113,113
1510375555,117,117
1510377277,119,119
1510378240,117,117
1510379793,116,116
1510380640,115,115
1510382018,114,114
1510383042,115,115
1510384146,114,114
1510386170,113,113
1510389643,115,115
1510391449,116,116
1510393541,116,116
1510394460,115,115
1510396538,114,114
1510397522,113,113
1510398648,113,113
1510399538,115,115
1510401351,116,116
1510402242,112,112
1510404142,108,108
1510405270,108,108
1510406150,109,109
1510407637,109,109
1510408589,110,110
1510409454,113,113
1510411238,113,113
1510413038,114,114
1510414241,116,116
1510415137,117,117
1510416072,118,118
1510417862,116,116
1510419170,118,118
1510420237,117,117
1510422342,117,117
1510423828,118,118
1510427439,118,118
1510428287,120,120
1510430445,118,118
1510431324,119,119
1510434642,118,118
1510436641,117,117
1510437654,116,116
1510440065,115,115
1510443337,113,113
1510443753,112,112
1510445683,116,116
1510446634,116,116
1510447362,114,114
1510449272,114,114
1510451139,113,113
1510455596,115,115
