DateTime,AddedIPs,RemovedIPs
1510101750,101,57
1510103407,321,122
1510104609,247,141
1510105507,187,34
1510107007,329,114
1510108194,246,156
1510109107,205,57
1510110181,249,106
1510111206,189,0
1510111687,108,0
1510112527,233,206
1510114207,398,108
1510115106,256,0
1510116127,254,193
1510116967,228,0
1510118047,219,82
1510119019,313,120
1510119726,211,47
1510121407,470,100
1510122607,322,163
1510123507,166,47
1510124167,138,0
1510125007,175,120
1510126087,238,2
1510127107,222,232
1510128221,235,110
1510129142,210,0
1510130527,307,218
1510132207,398,129
1510133286,259,2
1510134127,211,182
1510134967,185,0
1510136047,251,132
1510137085,270,163
1510137727,138,52
1510138567,214,2
1510139406,161,123
1510140487,243,3
1510141389,229,180
1510143247,517,150
1510144207,264,199
1510144926,156,2
1510145935,218,211
1510146899,234,14
1510147809,203,173
1510148707,211,62
1510150207,352,110
1510151287,238,1
1510152307,241,151
1510153759,352,183
1510154920,229,1
1510155787,113,210
1510156847,105,174
1510157707,80,2
1510158608,100,199
1510159507,113,0
1510160388,122,184
1510161307,147,0
1510162208,178,158
1510162927,168,51
1510163777,160,1
1510164607,181,115
1510166668,393,171
1510168206,349,191
1510169412,184,173
1510170307,185,58
1510171680,280,118
1510172992,286,143
1510173794,171,0
1510175407,305,167
1510176608,221,148
1510177507,148,50
1510178686,217,101
1510179607,137,0
1510180670,169,149
1510182846,354,190
1510183686,119,0
1510184707,167,228
1510185648,132,125
1510186452,114,0
1510187287,104,1
1510188313,182,179
1510190052,264,211
1510190887,172,0
1510191726,169,305
1510192612,167,1
1510193407,194,117
1510194607,217,188
1510195507,193,62
1510196373,165,124
1510197307,205,16
1510198506,222,184
1510200607,429,220
1510201807,264,191
1510202707,169,59
1510203367,143,0
1510204447,201,144
1510205287,145,0
1510206126,219,225
1510207553,252,127
1510208407,137,1
1510209727,284,212
1510210953,269,112
1510212007,246,1
1510212917,225,165
1510214085,304,63
1510215247,289,220
1510216207,243,345
1510220528,1079,1096
1510221352,236,0
1510222206,203,329
1510223106,222,1
1510224127,253,540
1510224966,200,0
1510225806,169,302
1510227008,255,418
1510227907,220,0
1510229345,306,392
1510230287,217,0
1510231164,201,534
1510232098,244,0
1510232931,193,256
1510234207,244,345
1510235107,217,0
1510236847,356,333
1510237686,179,0
1510238527,175,475
1510239367,180,1
1510240447,221,233
1510241287,185,0
1510242127,151,494
1510242989,190,1
1510243807,169,270
1510244706,176,0
1510245607,180,522
1510247647,449,246
1510248607,181,378
1510249328,153,113
1510250379,0,40355
1510251247,40345,0
1510252119,141,1
1510253255,174,468
1510254607,206,210
1510255812,188,297
1510256527,113,100
1510257366,128,1
1510258208,140,216
1510259966,321,378
1510260908,227,1
1510262047,265,189
1510262887,163,1
1510263907,162,381
1510265407,256,188
1510266307,142,0
1510268106,280,353
1510269012,197,189
1510270738,269,310
1510271767,259,0
1510272607,175,238
1510273808,290,325
1510274708,269,125
1510275786,418,258
1510276790,317,0
1510277707,273,354
1510279807,556,382
1510280887,218,0
1510283160,572,769
1510284487,262,0
1510287007,533,877
1510288215,257,415
1510289524,280,169
1510290607,209,310
1510291508,141,0
1510292348,188,510
1510293202,149,0
1510293652,75,240
1510294508,159,1
1510295288,107,1
1510296307,156,486
1510297806,303,281
1510298888,235,2
1510299728,191,494
1510300567,195,0
1510301407,192,293
1510302487,256,1
1510303327,190,544
1510304167,172,2
1510305007,231,307
1510306087,255,4
1510307108,207,528
1510307767,153,0
1510308570,176,288
1510309508,213,0
1510310374,184,522
1510311391,221,3
1510312447,164,346
1510313415,176,461
1510314134,154,123
1510315076,181,1
1510316106,164,271
1510317007,173,370
1510317727,137,1
1510318537,149,0
1510319647,218,401
1510320715,186,422
1510321327,111,0
1510322166,146,0
1510323011,164,433
1510324086,215,2
1510326847,655,552
1510328022,215,171
1510330207,399,241
1510331407,215,303
1510332307,142,130
1510334055,288,250
1510335607,257,324
1510336507,165,0
1510337406,142,378
1510338607,225,317
1510339327,110,119
1510341009,318,258
1510342207,196,348
1510343108,171,0
1510344606,292,331
1510345689,190,1
1510346707,208,386
1510347763,146,228
1510348659,130,0
1510350794,373,277
1510351809,157,299
1510352685,141,0
1510353609,133,242
1510355406,245,277
1510356320,156,1
1510357207,96,330
1510359007,228,181
1510360927,278,314
1510362609,232,358
1510363808,173,323
1510364527,91,121
1510365648,159,247
1510366507,140,1
1510367289,119,0
1510368307,145,336
1510369806,263,391
1510370707,132,0
1510371727,171,493
1510372849,182,261
1510373707,156,1
1510374607,178,353
1510375508,156,0
1510377253,252,332
1510378208,106,321
1510379107,248,124
1510379766,133,1
1510380606,176,273
1510381993,325,415
1510383013,223,1
1510384098,231,474
1510386135,296,641
1510386967,71,0
1510387794,78,336
1510389609,170,419
1510390566,96,0
1510391409,83,471
1510392490,85,0
1510393508,84,562
1510394337,69,268
1510395309,72,36
1510396507,100,368
1510397500,82,175
1510398607,90,273
1510399507,81,1
1510400416,86,381
1510401309,72,0
1510402206,71,441
1510404134,0,36941
1510405190,36406,0
1510406109,67,2
1510407606,115,409
1510408567,72,0
1510409409,67,390
