DateTime,AddedIPs,RemovedIPs
1510068861,13,53
1510069357,11,14
1510071637,48,24
1510072841,22,27
1510074098,24,20
1510074944,22,8
1510076557,32,45
1510078472,37,21
1510080025,43,71
1510080931,15,0
1510081840,11,20
1510082915,20,5
1510083935,18,44
1510084871,17,21
1510086637,29,32
1510087535,8,14
1510088458,13,34
1510089336,13,4
1510090238,15,42
1510090954,10,11
1510092307,17,28
1510093230,12,4
1510093710,5,6
1510094737,28,43
1510096182,32,23
1510098334,36,49
1510098992,17,0
1510100134,21,35
1510101035,12,26
1510101784,17,18
1510103436,23,35
1510105532,30,42
1510107036,23,23
1510109142,35,53
1510110212,29,24
1510111238,10,9
1510111711,8,3
1510112548,28,49
1510114244,28,26
1510115127,21,6
1510116157,14,24
1510116997,15,5
1510118069,21,21
1510119063,25,23
1510119753,13,10
1510121440,19,16
1510123534,17,47
1510124187,10,4
1510125037,7,32
1510126108,17,6
1510127134,10,52
1510128246,11,27
1510129171,8,3
1510129718,9,4
1510130550,10,36
1510132239,20,29
1510133326,12,4
1510134999,21,33
1510136084,22,36
1510137126,31,25
1510137758,12,14
1510138586,8,8
1510139436,13,19
1510140508,16,3
1510141408,16,29
1510143267,28,30
1510144231,14,37
1510144950,9,6
1510146004,24,54
1510146938,13,4
1510147840,14,26
1510148737,16,14
1510150237,32,17
1510151308,21,8
1510152337,18,28
1510153779,43,44
1510154940,40,5
1510155814,23,47
1510156873,19,24
1510157739,18,6
1510158633,16,29
1510159532,16,10
1510160448,11,35
1510161333,22,10
1510162241,31,34
1510162953,25,12
1510163811,23,4
1510164636,15,24
1510166688,44,37
1510168237,38,55
1510170337,41,45
1510171706,35,24
1510173036,29,32
1510173861,15,6
1510175446,35,25
1510177538,43,47
1510178706,32,21
1510179637,14,8
1510180693,24,28
1510182641,35,38
1510183706,26,3
1510184733,24,47
1510185676,28,24
1510186473,9,3
1510187308,15,7
1510188346,27,42
1510190077,25,40
1510190908,21,5
1510191756,16,43
1510192643,25,4
1510193443,13,19
1510195532,30,49
1510196393,18,23
1510197334,12,10
1510198537,21,27
1510200636,30,26
1510202734,35,34
1510203393,13,1
1510204237,6,24
1510205307,18,6
1510206152,12,25
1510207585,19,23
1510208436,9,3
1510209573,6,35
1510209753,2,4
1510210989,15,17
1510212040,23,4
1510212938,21,18
1510215267,59,30
1510216233,14,23
1510219709,53,37
1510220562,8,29
1510221380,22,2
1510222233,16,23
1510223137,15,4
1510224157,29,32
1510224992,15,0
