DateTime,Entries,UniqueIPs
1510068861,2983,2983
1510069357,2980,2980
1510071637,3004,3004
1510072841,2999,2999
1510074098,3003,3003
1510074944,3017,3017
1510076557,3004,3004
1510078472,3020,3020
1510080025,2992,2992
1510080931,3007,3007
1510081840,2998,2998
1510082915,3013,3013
1510083935,2987,2987
1510084871,2983,2983
1510086637,2980,2980
1510087535,2974,2974
1510088458,2953,2953
1510089336,2962,2962
1510090238,2935,2935
1510090954,2934,2934
1510092307,2923,2923
1510093230,2931,2931
1510093710,2930,2930
1510094737,2915,2915
1510096182,2924,2924
1510098334,2911,2911
1510098992,2928,2928
1510100134,2914,2914
1510101035,2900,2900
1510101784,2899,2899
1510103436,2887,2887
1510105532,2875,2875
1510107036,2875,2875
1510109142,2857,2857
1510110212,2862,2862
1510111238,2863,2863
1510111711,2868,2868
1510112548,2847,2847
1510114244,2849,2849
1510115127,2864,2864
1510116157,2854,2854
1510116997,2864,2864
1510118069,2864,2864
1510119063,2866,2866
1510119753,2869,2869
1510121440,2872,2872
1510123534,2842,2842
1510124187,2848,2848
1510125037,2823,2823
1510126108,2834,2834
1510127134,2792,2792
1510128246,2776,2776
1510129171,2781,2781
1510129718,2786,2786
1510130550,2760,2760
1510132239,2751,2751
1510133326,2759,2759
1510134999,2747,2747
1510136084,2733,2733
1510137126,2739,2739
1510137758,2737,2737
1510138586,2737,2737
1510139436,2731,2731
1510140508,2744,2744
1510141408,2731,2731
1510143267,2729,2729
1510144231,2706,2706
1510144950,2709,2709
1510146004,2679,2679
1510146938,2688,2688
1510147840,2676,2676
1510148737,2678,2678
1510150237,2693,2693
1510151308,2706,2706
1510152337,2696,2696
1510153779,2695,2695
1510154940,2730,2730
1510155814,2706,2706
1510156873,2701,2701
1510157739,2713,2713
1510158633,2700,2700
1510159532,2706,2706
1510160448,2682,2682
1510161333,2694,2694
1510162241,2691,2691
1510162953,2704,2704
1510163811,2723,2723
1510164636,2714,2714
1510166688,2721,2721
1510168237,2704,2704
1510170337,2700,2700
1510171706,2711,2711
1510173036,2708,2708
1510173861,2717,2717
1510175446,2727,2727
1510177538,2723,2723
1510178706,2734,2734
1510179637,2740,2740
1510180693,2736,2736
1510182641,2733,2733
1510183706,2756,2756
1510184733,2733,2733
1510185676,2737,2737
1510186473,2743,2743
1510187308,2751,2751
1510188346,2736,2736
1510190077,2721,2721
1510190908,2737,2737
1510191756,2710,2710
1510192643,2731,2731
1510193443,2725,2725
1510195532,2706,2706
1510196393,2701,2701
1510197334,2703,2703
1510198537,2697,2697
1510200636,2701,2701
1510202734,2702,2702
1510203393,2714,2714
1510204237,2696,2696
1510205307,2708,2708
1510206152,2695,2695
1510207585,2691,2691
1510208436,2697,2697
1510209573,2668,2668
1510209753,2666,2666
1510210989,2664,2664
1510212040,2683,2683
1510212938,2686,2686
1510215267,2715,2715
1510216233,2706,2706
1510219709,2722,2722
1510220562,2701,2701
1510221380,2721,2721
1510222233,2714,2714
1510223137,2725,2725
1510224157,2722,2722
1510224992,2737,2737
1510225838,2725,2725
1510227012,2715,2715
1510227937,2725,2725
1510229374,2709,2709
1510230307,2725,2725
1510231183,2701,2701
1510232126,2715,2715
1510232965,2708,2708
1510235136,2741,2741
1510237712,2750,2750
1510238552,2730,2730
1510239387,2735,2735
1510240239,2727,2727
1510241316,2740,2740
1510242153,2725,2725
1510243841,2735,2735
1510244727,2758,2758
1510245637,2739,2739
1510247312,2753,2753
1510247672,2754,2754
1510248647,2738,2738
1510249354,2741,2741
1510250386,2740,2740
1510251267,2751,2751
1510252141,2760,2760
1510253276,2738,2738
1510254681,2740,2740
1510255837,2728,2728
1510257393,2729,2729
1510258242,2721,2721
1510259986,2722,2722
1510260933,2732,2732
1510261839,2717,2717
1510262911,2725,2725
1510263920,2725,2725
1510265443,2713,2713
1510266331,2721,2721
1510268134,2707,2707
1510269041,2706,2706
1510270768,2712,2712
1510271787,2717,2717
1510272640,2718,2718
1510274752,2720,2720
1510275823,2712,2712
1510277745,2715,2715
1510278930,2718,2718
1510280082,2709,2709
1510280917,2717,2717
1510283186,2705,2705
1510284507,2705,2705
