DateTime,AddedIPs,RemovedIPs
1509804636,1,1
1509805838,1,0
1509809423,1,0
1509811640,2,1
1509813941,0,1
1509816386,1,1
1509817229,0,1
1509818187,1,0
1509819261,0,1
1509822111,1,0
1509823841,1,1
1509824734,0,1
1509828034,0,1
1509828994,1,0
1509829836,1,1
1509831754,0,1
1509833439,3,0
1509834509,1,0
1509835360,1,1
1509838110,1,0
1509838942,0,1
1509843333,4,0
1509845307,1,0
1509846320,1,4
1509847468,1,0
1509848445,1,0
1509848927,1,0
1509849938,0,2
1509851740,1,1
1509852636,2,1
1509853361,0,1
1509855037,1,2
1509857135,1,4
1509858634,1,0
1509859708,0,1
1509860552,0,2
1509862242,0,1
1509864987,0,2
1509865838,3,0
1509867755,0,2
1509869217,0,2
1509870044,1,0
1509870923,2,1
1509872751,3,1
1509873650,1,0
1509874550,1,1
1509876636,2,3
1509877718,1,0
1509879900,1,1
1509883585,2,1
1509884444,0,2
1509885748,0,3
1509887669,1,2
1509888635,0,1
1509889543,0,2
1509891268,2,5
1509894640,1,0
1509895837,1,0
1509896552,1,0
1509897684,1,0
1509898538,1,0
1509900337,1,1
1509902440,1,0
1509903754,1,0
1509907535,1,1
1509911321,1,0
1509913241,1,1
1509914127,1,0
1509914555,0,1
1509915393,1,0
1509916241,0,1
1509918154,3,0
1509919173,0,1
1509921863,1,0
1509923670,2,0
1509926519,1,6
1509927273,1,0
1509928232,1,1
1509930880,1,2
1509931841,1,2
1509933388,1,0
1509934243,1,1
1509935321,1,0
1509937290,1,0
1509938136,0,1
1509941437,0,3
1509942632,1,1
1509943353,1,0
1509946110,1,0
1509946962,1,2
1509948647,2,1
1509949844,1,1
1509950563,1,1
1509952469,1,5
1509954336,0,5
1509955839,1,2
1509956928,3,1
1509957956,6,5
1509958595,2,0
1509959437,2,2
1509959676,1,1
1509960637,1,4
1509963275,4,2
1509964257,0,1
1509965141,0,2
1509968556,1,1
1509970237,1,1
1509972338,1,4
1509972991,1,0
1509973839,1,1
1509975642,1,2
1509976465,2,0
1509978185,1,0
1509979243,1,3
1509981033,3,2
1509982107,1,3
1509982963,2,2
1509985242,0,1
1509986550,1,0
1509987660,0,3
1509988545,1,0
1509990992,0,1
1509992067,2,2
1509993032,0,1
1509999044,2,1
1510000074,2,2
1510001139,1,1
1510002645,1,4
1510005386,1,2
1510007431,0,1
1510008335,1,0
1510009272,3,0
1510012020,0,1
1510013438,1,3
1510015352,0,1
1510017037,0,2
1510018837,0,3
1510019739,1,0
1510020666,0,1
1510023445,1,0
1510024538,1,0
1510025432,1,2
1510028721,1,0
1510029761,0,1
1510031668,1,0
1510034700,0,1
1510035644,2,0
1510038644,1,0
1510040742,2,3
1510042243,4,3
1510044155,4,1
1510045509,4,0
1510046443,3,0
1510047428,16,4
1510049439,7,3
1510050266,1,0
1510051355,1,0
1510052477,2,3
1510053268,0,1
1510054971,1,1
1510057529,0,2
1510058441,0,1
1510060255,17,0
1510061194,1,4
1510062043,0,2
1510063844,1,1
1510065037,0,2
1510066081,0,1
1510067109,1,0
1510068863,1,1
1510069359,1,0
1510070802,2,1
1510071639,1,0
1510072842,1,1
1510076558,1,0
1510078474,1,0
1510080030,0,1
1510081841,2,0
1510082917,1,0
1510083937,1,1
1510084877,0,2
1510086639,0,1
1510088459,0,1
1510090955,0,1
1510092309,0,1
1510094739,0,2
1510096183,1,0
1510098335,1,2
1510101036,0,2
1510103437,3,1
1510110220,1,0
1510112549,0,3
1510114245,1,0
1510116158,1,1
1510118070,0,2
1510121441,0,1
1510123536,1,2
1510127135,1,6
1510128258,0,2
1510129719,1,0
1510130552,0,2
1510132240,12,1
1510133333,0,1
1510134146,1,1
1510135001,1,0
1510136085,1,0
1510139437,1,1
1510140509,0,1
1510141410,0,1
1510143268,0,2
1510144232,1,1
1510146054,1,1
1510147841,0,2
1510151310,1,0
1510152338,0,2
1510153780,0,1
1510154941,0,1
1510155816,0,2
1510156880,1,0
1510157741,0,2
1510159533,1,0
1510164637,0,3
1510166689,2,0
1510168239,1,0
1510170338,0,5
1510171708,1,1
1510175447,4,1
1510177539,1,0
1510178707,1,1
1510182642,0,1
1510183707,1,0
1510184734,2,2
1510185687,0,2
1510187309,1,0
1510188348,0,2
1510190078,1,0
1510193444,1,1
1510195533,4,2
1510200638,1,2
1510202735,1,0
1510203394,1,0
1510204239,1,2
1510205308,0,1
1510207594,2,0
1510209578,0,1
1510211002,0,4
1510212041,2,0
1510212939,1,4
1510214106,0,2
1510215045,0,3
1510216234,1,7
1510219710,1,8
1510220564,0,1
1510221381,10,0
1510222234,0,2
1510225839,1,1
1510227939,1,0
1510231184,0,14
1510232135,1,0
1510235137,2,0
1510236860,0,1
1510237713,1,0
1510238553,0,1
1510240240,0,1
1510241317,1,0
1510242154,0,2
1510243004,1,0
1510245638,1,2
1510247313,1,0
1510249356,0,1
1510250387,0,3
1510255838,3,2
1510259987,3,1
1510260934,1,4
1510261840,0,3
1510262913,1,2
1510265444,1,0
1510269043,1,0
1510270780,0,1
1510272642,1,2
1510274756,0,2
1510278931,1,0
1510280083,1,1
1510280919,2,0
1510283196,0,1
1510284509,1,0
1510287047,2,0
1510291533,1,0
1510292407,0,2
1510293227,0,1
1510296339,0,1
1510299757,0,1
1510300593,1,0
1510302519,1,0
1510303350,0,4
1510305047,1,1
1510307147,0,1
1510308597,0,1
1510309533,1,0
1510310395,0,1
1510314163,0,1
1510315198,0,1
1510316135,1,0
1510317750,0,1
1510318558,0,1
1510322192,2,0
1510323039,2,0
1510326868,0,1
1510328065,2,0
1510332340,1,1
1510334081,1,1
1510335638,0,2
1510336536,2,0
1510337440,0,2
1510338643,0,2
1510339354,1,0
1510341052,1,0
1510343144,1,0
1510344638,2,4
1510346744,3,2
1510347815,1,2
1510348701,1,1
1510350824,2,2
1510352726,2,0
1510355433,2,3
1510356345,0,1
1510357251,0,1
1510359044,1,0
1510360958,1,1
1510364552,1,1
1510365672,0,2
1510366538,1,0
1510367332,1,0
1510369842,2,2
1510370733,1,0
1510371755,1,4
1510372898,2,1
1510373736,1,1
1510374623,0,1
1510375554,2,0
1510377276,0,2
1510378239,1,0
1510379140,2,0
1510379793,1,0
1510380639,2,1
1510382013,3,1
1510384145,0,1
1510385206,3,0
1510386169,0,2
1510386989,1,0
1510387842,0,1
1510389642,1,0
1510391447,2,2
1510392528,1,0
1510393540,2,1
1510394459,1,1
1510396537,0,1
1510400450,0,1
1510401350,2,0
1510404141,0,2
1510405266,1,0
1510407637,10,1
1510411237,1,3
1510412188,2,0
1510413037,0,1
1510414240,1,1
1510415136,0,1
1510417861,0,1
1510423828,1,1
1510427438,0,2
1510430444,4,2
1510431316,3,1
1510433136,1,1
1510435615,2,0
1510436640,0,2
1510437649,1,3
1510438540,1,1
1510440064,2,0
1510441649,0,1
1510443336,1,0
1510443753,0,1
1510446633,2,1
1510447361,2,0
1510449271,2,3
1510450120,1,1
1510451139,0,2
1510451787,2,0
1510452643,0,2
1510455595,3,1
1510459124,0,1
1510460139,1,0
1510461040,1,1
1510461753,0,1
1510463437,0,1
1510465538,2,0
1510467042,2,0
1510468101,0,1
1510470870,1,0
1510472737,1,0
1510474239,1,0
1510475442,3,0
1510479640,0,1
1510482347,1,0
1510483354,2,0
1510484222,1,0
1510485040,0,1
1510486108,1,0
1510486961,1,0
1510489839,2,0
1510490738,0,1
1510492545,1,0
1510494993,2,2
1510495838,0,2
1510497758,0,1
