DateTime,AddedIPs,RemovedIPs
1510056634,49,90
1510057517,33,0
1510058421,44,72
1510059318,43,1
1510060235,41,98
1510061171,56,0
1510062023,41,94
1510064059,97,63
1510065017,35,62
1510066059,65,28
1510068022,96,60
1510068850,38,82
1510069348,21,25
1510070788,78,51
1510071624,26,3
1510072822,49,106
1510074074,69,52
1510074927,43,1
1510076537,73,97
1510078459,90,63
1510080918,120,104
1510081823,33,65
1510082902,56,1
1510083922,56,120
1510084856,43,56
1510086624,70,95
1510087518,44,20
1510088411,42,44
1510089317,51,0
1510090226,40,71
1510090941,34,38
1510092289,58,52
1510093217,44,0
1510093696,28,0
1510094724,52,141
1510096171,53,73
1510098318,75,146
1510098979,28,0
1510100119,35,46
1510101019,34,69
1510101774,20,32
1510103426,63,53
1510105518,90,96
1510107025,59,55
1510108210,52,91
1510109120,33,22
1510110196,40,50
1510111223,29,0
1510111697,17,1
1510112537,41,92
1510114226,73,45
1510115117,41,0
1510116137,37,99
1510116978,29,0
1510118058,32,41
1510119048,39,62
1510119738,38,26
1510121426,59,53
1510123524,91,90
1510124177,25,0
1510125027,28,46
1510126098,40,0
1510127120,31,116
1510128232,44,55
1510129157,29,1
1510130538,58,127
1510132225,67,58
1510133300,42,0
1510134139,33,83
1510134982,28,1
1510136058,52,66
1510137106,51,90
1510137743,24,27
1510138577,41,0
1510139426,27,68
1510140498,43,1
1510141399,35,85
1510143257,99,76
1510144217,41,86
1510144936,37,0
1510145947,37,96
1510146920,41,8
1510147822,40,88
1510148719,42,26
1510150223,59,62
1510151298,47,2
1510152323,46,85
1510153769,55,92
1510154930,45,0
1510155798,54,101
1510156857,50,59
1510157719,29,0
1510158619,44,69
1510159519,31,0
1510160398,28,82
1510161319,28,0
1510162220,31,67
1510162943,33,26
1510163793,30,0
1510164626,51,49
1510166679,83,74
1510168227,72,75
1510170319,72,99
1510171690,49,60
1510173004,63,67
1510173805,31,2
1510175425,80,70
1510177517,75,98
1510178696,46,49
1510179623,35,2
1510180680,43,63
1510182857,72,93
1510183696,37,1
1510184719,51,111
1510185658,36,50
1510186463,31,0
1510187298,32,0
1510188326,42,67
1510190063,76,82
1510190897,35,0
1510191743,34,165
1510192622,48,1
1510193428,44,56
1510195517,106,88
1510196384,40,39
1510197319,42,8
1510198517,43,65
1510200627,77,73
1510202718,67,95
1510203380,15,3
1510205297,88,40
1510206138,34,79
1510207563,67,71
1510208423,31,1
1510209739,67,109
1510210968,59,40
1510212023,45,1
1510212929,44,85
1510215257,122,88
1510216219,41,75
1510220546,193,194
1510221362,37,5
1510222224,39,64
1510223118,42,0
1510224138,45,117
1510224979,50,0
1510225825,36,65
1510227918,88,86
1510229356,64,87
1510230298,46,0
1510231174,55,129
1510232108,55,0
1510232942,38,59
1510235120,106,82
1510237698,128,97
1510238537,36,121
1510239378,44,0
1510240457,50,56
1510241301,32,0
1510242138,44,104
1510242999,33,1
1510243827,35,71
1510244717,39,0
1510245617,38,121
1510247658,90,56
1510248625,40,89
1510249340,30,29
1510251258,62,60
1510252131,36,1
1510253265,64,123
1510254626,61,62
1510255822,52,78
1510257379,45,36
1510258228,40,68
1510259976,80,113
1510260920,132,0
1510262057,117,56
1510262897,58,0
1510265423,124,161
1510266319,39,2
1510268120,85,83
1510269024,53,62
1510270755,115,86
1510271777,122,0
1510272630,91,62
1510274728,351,101
1510275798,273,54
1510276813,202,0
1510277729,141,75
1510278920,148,22
1510280066,109,53
1510280902,55,1
1510283172,193,146
1510284497,80,0
1510287028,144,134
1510288225,65,63
1510289536,73,31
1510291519,114,30
1510292378,33,82
1510293214,44,0
1510293665,18,39
1510294524,46,1
1510295299,28,0
1510296326,51,72
1510297826,94,61
1510298898,62,2
1510299741,37,85
1510300579,34,1
1510302499,86,49
1510303338,40,88
1510304177,29,1
1510305030,53,52
1510306098,47,1
1510307125,48,107
1510307779,30,2
1510308583,34,60
1510309520,38,2
1510310384,53,89
1510311401,46,2
1510312458,39,70
1510313429,44,81
