DateTime,Entries,UniqueIPs
1510056634,10718,10718
1510057517,10751,10751
1510058421,10723,10723
1510059318,10765,10765
1510060235,10708,10708
1510061171,10764,10764
1510062023,10711,10711
1510064059,10745,10745
1510065017,10718,10718
1510066059,10755,10755
1510068022,10791,10791
1510068850,10747,10747
1510069348,10743,10743
1510070788,10770,10770
1510071624,10793,10793
1510072822,10736,10736
1510074074,10753,10753
1510074927,10795,10795
1510076537,10771,10771
1510078459,10798,10798
1510080918,10814,10814
1510081823,10782,10782
1510082902,10837,10837
1510083922,10773,10773
1510084856,10760,10760
1510086624,10735,10735
1510087518,10759,10759
1510088411,10757,10757
1510089317,10808,10808
1510090226,10777,10777
1510090941,10773,10773
1510092289,10779,10779
1510093217,10823,10823
1510093696,10851,10851
1510094724,10762,10762
1510096171,10742,10742
1510098318,10671,10671
1510098979,10699,10699
1510100119,10688,10688
1510101019,10653,10653
1510101774,10641,10641
1510103426,10651,10651
1510105518,10645,10645
1510107025,10649,10649
1510108210,10610,10610
1510109120,10621,10621
1510110196,10611,10611
1510111223,10640,10640
1510111697,10656,10656
1510112537,10605,10605
1510114226,10633,10633
1510115117,10674,10674
1510116137,10612,10612
1510116978,10641,10641
1510118058,10632,10632
1510119048,10609,10609
1510119738,10621,10621
1510121426,10627,10627
1510123524,10628,10628
1510124177,10653,10653
1510125027,10635,10635
1510126098,10675,10675
1510127120,10590,10590
1510128232,10579,10579
1510129157,10607,10607
1510130538,10538,10538
1510132225,10547,10547
1510133300,10589,10589
1510134139,10539,10539
1510134982,10566,10566
1510136058,10552,10552
1510137106,10513,10513
1510137743,10510,10510
1510138577,10551,10551
1510139426,10510,10510
1510140498,10552,10552
1510141399,10502,10502
1510143257,10525,10525
1510144217,10480,10480
1510144936,10517,10517
1510145947,10458,10458
1510146920,10491,10491
1510147822,10443,10443
1510148719,10459,10459
1510150223,10456,10456
1510151298,10501,10501
1510152323,10462,10462
1510153769,10425,10425
1510154930,10470,10470
1510155798,10423,10423
1510156857,10414,10414
1510157719,10443,10443
1510158619,10418,10418
1510159519,10449,10449
1510160398,10395,10395
1510161319,10423,10423
1510162220,10387,10387
1510162943,10394,10394
1510163793,10424,10424
1510164626,10426,10426
1510166679,10435,10435
1510168227,10432,10432
1510170319,10405,10405
1510171690,10394,10394
1510173004,10390,10390
1510173805,10419,10419
1510175425,10429,10429
1510177517,10406,10406
1510178696,10403,10403
1510179623,10436,10436
1510180680,10416,10416
1510182857,10395,10395
1510183696,10431,10431
1510184719,10371,10371
1510185658,10357,10357
1510186463,10388,10388
1510187298,10420,10420
1510188326,10395,10395
1510190063,10389,10389
1510190897,10424,10424
1510191743,10293,10293
1510192622,10340,10340
1510193428,10328,10328
1510195517,10346,10346
1510196384,10347,10347
1510197319,10381,10381
1510198517,10359,10359
1510200627,10363,10363
1510202718,10335,10335
1510203380,10347,10347
1510205297,10395,10395
1510206138,10350,10350
1510207563,10346,10346
1510208423,10376,10376
1510209739,10334,10334
1510210968,10353,10353
1510212023,10397,10397
1510212929,10356,10356
1510215257,10390,10390
1510216219,10356,10356
1510220546,10355,10355
1510221362,10387,10387
1510222224,10362,10362
1510223118,10404,10404
1510224138,10332,10332
1510224979,10382,10382
1510225825,10353,10353
1510227918,10355,10355
1510229356,10332,10332
1510230298,10378,10378
1510231174,10304,10304
1510232108,10359,10359
1510232942,10338,10338
1510235120,10362,10362
1510237698,10393,10393
1510238537,10308,10308
1510239378,10352,10352
1510240457,10346,10346
1510241301,10378,10378
1510242138,10318,10318
1510242999,10350,10350
1510243827,10314,10314
1510244717,10353,10353
1510245617,10270,10270
1510247658,10304,10304
1510248625,10255,10255
1510249340,10256,10256
1510251258,10258,10258
1510252131,10293,10293
1510253265,10234,10234
1510254626,10233,10233
1510255822,10207,10207
1510257379,10216,10216
1510258228,10188,10188
1510259976,10155,10155
1510260920,10287,10287
1510262057,10348,10348
1510262897,10406,10406
1510265423,10369,10369
1510266319,10406,10406
1510268120,10408,10408
1510269024,10399,10399
1510270755,10428,10428
1510271777,10550,10550
1510272630,10579,10579
1510274728,10829,10829
1510275798,11048,11048
1510276813,11250,11250
1510277729,11316,11316
1510278920,11442,11442
1510280066,11498,11498
1510280902,11552,11552
1510283172,11599,11599
1510284497,11679,11679
