DateTime,AddedIPs,RemovedIPs
1479896673,3380,25
1479918541,3013,48
1479940596,64,27
1479962666,61,12
1479984519,2607,1798
1480006371,2616,2701
1480028496,58,2995
1480050522,55,25
1480072373,3241,2672
1480094462,77,1854
1480116510,103,17
1480138354,64,23
1480160433,497,4199
1480182496,763,2933
1480204371,2100,90
1480226489,112,97
1480248527,2211,3680
1480270583,80,97
1480292653,115,158
1480314529,159,70
1480336589,1240,1095
1480358659,183,791
1480380552,106,2644
1480402589,18,121
1480424490,1873,98
1480446515,90,93
1480468604,84,119
1480490666,152,170
1480512535,1999,2385
1480534598,85,155
1480556443,64,110
1480578522,84,17
1480600607,145,775
1480622499,74,98
1480644533,126,83
1480666588,130,168
1480688692,3009,790
1480710744,66,82
1480732588,97,68
1480754433,114,83
1480776528,788,3171
1480798373,271,71
1480820246,111,137
1480842170,578,122
1480864127,2906,2649
1480885972,284,58
1480908031,145,105
1480929877,678,107
1480951818,363,888
1480974065,85,54
1480996568,53,96
1481018880,4427,305
1481040894,510,767
1481062856,42,128
1481085179,50,95
1481108542,2628,723
1481130908,50,2259
1481153509,137,51
1481175386,72,29
1481197250,144,2529
1481219099,79,1592
1481241177,34,238
1481263295,135,59
1481285350,3091,2179
1481307415,77,67
1481329465,105,160
1481351320,70,90
1481373405,452,3041
1481395457,5,85
1481417302,76,31
1481439167,73,135
1481461301,2632,347
1481483346,56,75
1481505386,57,107
1481527240,45,72
1481549094,438,2281
1481570992,76,5
1481592993,27,79
1481615060,97,87
1481636920,792,85
1481658766,106,60
1481680889,141,59
1481702910,44,43
1481724773,89,1361
1481746857,73,72
1481768904,52,31
1481790758,73,102
1481812620,2488,1074
1481834665,74,109
1481856759,41,94
1481878901,1440,37
1481900924,2693,2407
1481922768,62,63
1481944612,36,40
1481966665,728,60
1481988511,64,2825
1482010370,34,19
1482032439,26,10
1482054519,618,720
1482076366,561,42
1482098219,49,10
1482120085,34,7
1482142138,3926,784
1482164220,1539,256
1482186293,47,15
1482208153,23,11
1482230236,2000,1112
1482252592,1782,1613
1482274608,55,80
1482296485,61,51
1482318781,1746,1980
1482340624,72,1973
1482362974,38,28
1482384861,109,23
1482406851,1198,2141
1482428730,1203,1696
1482450742,36,168
1482472584,11,61
1482494530,1446,1180
1482516541,33,73
1482538615,66,36
1482560726,47,111
1482582765,1548,1339
1482604616,30,3278
1482626677,26,42
1482648769,26,14
1482670908,2439,1694
1482692950,28,39
1482715002,46,65
1482736858,47,51
1482758925,1403,2998
1482780803,115,32
1482802824,52,28
1482824704,82,24
1482846776,603,980
1482868896,64,30
1482890941,77,41
1482913260,58,50
1482935322,3455,588
1482957412,10,108
1482979472,47,52
1483001322,28,81
1483023169,104,347
1483045285,133,71
1483067310,43,82
1483089175,1235,49
1483111228,27,3938
1483133095,12,10
1483155155,37,43
1483177005,415,24
1483199076,2815,2847
1483221172,35,15
1483243300,19,13
1483265335,3312,667
1483287396,1999,12
1483309237,25,6
1483331318,27,9
1483353167,855,849
1483375232,183,2249
1483397081,53,62
1483418924,30,20
1483441000,357,309
1483462900,45,72
1483484933,47,29
1483507013,41,31
1483529060,2306,378
1483550915,93,1689
1483572758,46,57
1483594828,52,29
1483616675,445,3515
1483638517,55,49
1483660372,57,44
1483682498,60,42
1483704514,2168,505
1483726611,55,495
1483748686,62,45
1483770740,51,54
1483792841,1519,2201
1483814830,63,53
1483836724,55,53
1483858583,40,57
1483880516,2374,1262
1483902550,46,53
1483924610,23,67
1483946685,43,52
1483968927,673,2565
1483990825,30,62
1484012926,57,55
1484034883,43,43
1484057066,58,68
1484078913,24,50
1484100803,6,26
1484122858,20,43
1484144922,95,6227
1484166773,116,39
1484188816,127,64
1484210927,248,40
1484233023,51,49
1484254889,66,26
1484276944,48,8
1484299247,69,22
1484321329,38,93
1484343169,88,105
1484365229,108,108
1484387334,82,244
1484409427,80,52
1484431295,67,68
1484453332,88,45
1484475398,52,64
1484497475,4,43
1484519572,0,95
1484541627,1,104
1484563498,44,101
1484585686,32,80
1484607702,67,74
1484629731,115,103
1484651586,67,57
1484673671,57,4
1484695737,76,0
1484717619,61,1
1484739640,62,58
1484761698,162,31
1484783579,247,64
1484805694,51,109
1484827755,5752,56
1484849810,92,49
1484871901,90,66
1484893952,179,58
1484915807,1017,50
1484937872,88,72
1484959720,86,231
1484981570,105,42
1485003730,64,1158
1485025717,82,89
1485047569,67,90
1485069652,44,182
1485091754,3061,2971
1485113800,12,104
1485135873,103,88
1485157967,81,119
1485180156,2849,59
1485202101,85,77
1485223949,122,66
1485246028,84,44
1485268099,832,1307
1485289957,1409,10
1485312070,64,98
1485334139,57,82
1485356198,4247,2202
1485378287,42,56
1485400357,94,93
1485422479,166,63
1485796624,32,12116
1485818668,222,0
1485840517,58,0
1485862625,2099,0
1485884679,5027,0
1485906542,2610,0
1485928606,17,0
1485950737,1285,0
1485973031,1682,13
1485995098,1010,48
1486017166,22,26
1486039253,502,1436
1486061358,2665,1606
1486083391,1176,1291
1486105308,30,18
1486127349,1228,913
1486149669,1773,1126
1486171975,76,793
1486194037,61,25
1486215909,1845,679
1486237974,384,2458
1486260116,99,1340
