DateTime,AddedIPs,RemovedIPs
1507890965,57,44
1507896723,60,74
1507898645,120,93
1507908484,124,95
1507914485,129,109
1507922404,115,128
1507928164,53,64
1507930085,65,81
1507935844,103,124
1507941605,81,82
1507945444,63,75
1507947603,80,76
1507951925,78,83
1507957925,150,189
1507963923,86,69
1507967764,50,48
1507971611,122,88
1507979764,117,108
1507987444,102,105
1507995126,141,102
1508002805,76,69
1508004724,129,140
1508012643,126,103
1508018412,85,117
1508024164,50,85
1508029924,135,135
1508037603,150,161
1508045284,153,186
1508051044,132,97
1508056805,60,42
1508060643,120,114
1508068329,74,60
1508070253,70,65
1508074324,74,63
1508078163,74,65
1508084165,106,112
1508091844,152,125
1508097612,67,78
1508101443,129,126
1508107203,59,95
1508112964,123,149
1508116803,52,81
1508122564,72,72
1508126413,73,96
1508130244,163,167
1508136003,139,106
1508145603,110,100
1508151364,67,69
1508155212,125,115
1508162883,117,117
1508168645,65,57
1508172483,91,71
1508178245,139,113
1508185924,144,128
1508189763,110,135
1508199604,119,158
1508205618,131,155
1508209445,90,93
1508213286,85,117
1508220965,173,139
1508226723,66,54
1508231523,109,99
1508239203,98,96
1508244965,78,63
1508246884,72,57
1508252645,129,118
1508260324,140,130
1508266083,103,88
1508271845,147,122
1508275684,61,74
1508279524,59,106
1508283364,162,201
1508292964,122,139
1508300643,152,189
1508306417,106,90
1508310965,130,100
1508316723,83,56
1508320564,91,92
1508328244,109,110
1508336164,121,98
1508341923,80,65
1508345764,145,107
1508353443,130,146
1508361124,126,150
1508369043,105,181
1508374814,144,138
1508380805,87,74
1508384643,72,98
1508388483,170,200
1508396164,140,115
1508403844,72,66
1508407684,144,86
1508415363,98,110
1508419203,75,76
1508426884,129,108
1508430724,66,67
1508436484,142,125
1508442244,155,140
1508448004,70,107
1508454244,140,190
1508458085,119,98
1508465769,125,179
1508473445,178,182
1508479444,193,168
1508485205,66,77
1508489045,124,112
1508498644,115,103
1508504413,136,122
1508510165,79,68
1508514003,140,120
1508523605,146,139
1508529616,131,137
1508537284,117,139
1508541125,65,99
1508544963,104,89
1508550725,125,164
1508558644,167,206
1508564404,97,90
1508568485,87,80
1508574485,129,90
1508580244,133,114
1508587924,116,113
1508591763,66,86
1508595844,87,62
1508601616,129,115
1508609285,161,133
1508615043,77,93
1508616966,79,68
1508622723,124,143
1508628723,62,88
1508634484,137,163
1508640485,98,87
1508644325,88,109
1508646243,76,115
1508650086,108,102
1508653924,90,77
1508659685,133,94
1508667364,144,121
1508675046,144,122
1508680815,143,126
1508686564,79,64
1508690405,93,99
1508694245,84,75
1508698090,91,95
1508701924,77,70
1508706027,120,143
1508712005,55,106
1508715843,71,128
1508719923,140,97
1508725686,133,148
1508729526,88,98
1508733605,82,119
1508735523,104,104
1508741285,119,77
1508747044,119,122
1508752823,128,113
1508761446,135,118
1508767211,130,131
1508776805,117,124
1508780645,66,68
1508786403,152,127
1508790485,84,80
1508794326,123,155
1508802005,70,92
1508806085,106,113
1508808243,58,82
1508814014,149,180
1508820004,102,182
1508823843,210,144
1508830084,66,68
1508833924,72,66
1508839684,122,101
1508845444,130,104
1508853123,132,112
1508859123,99,65
1508867284,156,149
1508872564,137,146
1508880247,130,139
1508886024,134,192
1508889847,92,97
1508897526,153,178
1508901364,87,92
1508905445,157,210
1508913126,94,64
1508918883,63,64
1508920805,68,61
1508924644,122,93
1508932325,126,122
1508940014,155,102
1508947926,86,54
1508951764,141,136
1508957524,80,91
1508959445,88,84
1508963287,91,77
1508969043,110,149
1508974804,63,99
1508978645,154,149
1508986565,154,182
1508994486,153,212
1509002164,105,68
1509004083,112,98
1509011764,124,110
1509017525,66,79
1509021365,87,62
1509025205,60,60
1509029046,140,110
1509038886,142,129
1509044646,160,131
1509050404,73,83
1509056647,116,145
1509061206,62,77
1509065525,145,161
1509073923,152,164
1509081604,143,190
1509087364,149,101
1509093123,79,58
1509098884,94,105
1509106564,155,89
1509110644,82,70
1509116419,130,132
1509122165,70,93
1509126005,96,86
1509131765,154,125
1509139683,121,139
1509145923,116,161
1509150244,111,102
1509156013,156,189
1509161763,97,86
1509165603,84,148
1509169444,105,128
1509175203,166,121
1509180964,80,63
1509182883,68,59
1509187682,71,63
1509191523,127,111
1509201122,148,94
1509206882,148,117
1509214802,144,160
1509222483,113,123
1509228963,110,135
1509234484,63,101
1509239044,103,63
1509240964,57,86
1509245045,120,153
1509252726,75,98
1509254644,102,108
1509260415,156,127
1509266883,70,61
1509268803,79,50
1509276483,118,105
1509284164,140,95
1509288004,88,70
1509293763,123,131
1509301923,128,123
1509307684,120,117
1509313923,110,149
1509321617,106,156
1509329286,86,82
1509333123,131,153
1509340803,147,211
1509344643,111,101
1509350426,134,105
1509358086,118,95
1509365767,121,117
1509369605,71,59
1509375364,87,67
1509377286,140,123
1509384965,75,72
1509388807,85,80
1509392646,144,139
1509400324,84,100
1509402244,63,103
1509408022,129,170
1509415925,165,145
1509419765,70,141
1509427444,186,207
1509433212,150,143
1509440884,130,108
1509444724,60,60
1509452403,117,102
1509456244,79,65
1509460085,99,59
1509465846,132,149
1509473525,146,153
1509479283,88,77
1509483619,137,129
1509489363,60,135
1509493445,126,77
1509499443,188,221
1509503286,218,146
1509512884,155,207
1509516724,132,87
1509520564,89,70
1509524404,72,74
1509528245,72,66
1509534013,130,120
1509540004,87,64
1509543846,160,117
1509554165,137,109
1509558243,163,138
1509566165,82,78
1509568084,97,82
1509573843,126,159
1509581764,95,175
1509585843,114,85
1509589685,84,91
1509595444,124,161
1509603364,166,170
1509607444,68,73
1509613221,140,106
1509618963,128,97
1509627364,125,110
1509635044,70,69
1509638883,126,113
1509644644,77,73
1509650403,148,133
1509656164,90,79
1509658084,125,152
1509666004,72,90
1509669844,62,86
1509671763,108,102
1509679445,121,144
1509685212,148,200
1509690963,121,97
1509694803,68,66
1509698644,113,102
1509706323,110,120
1509712084,62,62
1509717844,66,64
1509721687,149,99
1509729364,158,120
1509735124,82,83
1509740885,154,123
1509744964,82,82
1509751446,107,151
1509755286,73,107
1509761044,91,85
1509764885,141,132
1509770646,66,83
1509776403,174,196
1509780245,67,64
1509787925,115,99
1509793686,134,94
1509799444,66,71
1509803283,140,110
1509811217,86,57
1509815044,125,126
1509820804,85,97
1509824643,81,72
1509830403,127,138
1509834243,61,84
1509838564,50,73
1509844564,122,152
1509848403,71,75
1509854164,119,146
1509858012,84,113
1509865684,158,132
1509871444,64,54
1509875285,115,81
1509882964,126,99
1509890644,132,104
1509896643,126,125
1509904323,86,63
1509908164,144,132
1509915124,81,106
1509920885,113,136
1509926644,64,91
1509930723,141,149
1509938403,132,138
1509946084,149,209
1509949924,76,77
1509955684,97,61
1509957606,64,56
1509959524,66,79
1509965285,119,86
1509971045,61,58
1509977044,132,107
1509982810,76,70
1509988563,145,135
1509995284,128,161
1509999125,99,81
1510002965,83,64
1510011123,131,148
1510016883,134,176
1510022643,134,150
1510030323,163,193
1510036086,93,94
1510041844,134,116
1510049523,115,96
1510055285,121,122
1510062965,80,54
1510067044,144,114
1510074724,129,155
1510082404,140,122
1510089123,99,74
1510091043,125,156
1510098723,98,156
1510104723,85,79
1510110484,120,140
1510116244,89,91
1510118163,93,112
1510125843,153,150
1510131844,122,99
1510137605,74,55
1510141444,60,63
1510147203,121,98
1510152965,124,109
1510158723,59,63
1510162563,91,70
1510166885,96,74
1510170723,78,86
1510172646,88,74
1510178414,128,138
1510184164,69,91
1510188246,55,88
1510190164,88,66
1510194003,85,99
1510199766,58,85
1510203615,152,200
1510209604,162,134
1510217764,57,101
1510222564,123,302
1510228324,297,106
1510236017,114,43
1510239846,133,118
1510245604,80,74
1510249684,74,71
1510253524,93,83
1510255444,77,80
1510261256,136,114
1510268425,101,172
1510276324,142,150
1510282083,135,176
1510287845,83,87
1510291685,105,126
1510295524,74,88
1510301284,167,106
1510307046,66,52
1510310885,128,102
1510316644,72,65
1510322416,124,101
1510330086,131,114
1510335844,87,79
1510339683,93,75
1510343523,71,71
1510347364,129,149
1510353126,64,68
1510359604,85,177
1510365364,172,136
1510373044,132,162
1510380724,153,189
1510386484,142,103
1510392484,71,55
1510400163,120,88
1510404003,78,65
1510407843,58,60
1510411683,75,85
1510413603,75,54
1510417683,78,80
1510424404,91,80
1510426326,125,131
1510432084,65,60
1510437844,105,146
1510443605,65,83
1510447683,117,156
1510455364,135,160
1510463044,148,168
1510468806,142,130
1510474563,68,49
1510480324,118,95
1510488022,76,67
1510491845,77,63
1510497123,155,103
1510502884,114,128
1510508644,82,78
1510512483,135,133
1510520165,115,137
1510524020,62,73
1510529763,68,80
1510533605,129,160
1510541523,125,154
1510549215,167,193
1510556883,166,140
1510564564,125,92
1510570323,58,55
1510574163,103,109
1510581365,125,92
1510589045,82,61
1510592885,129,145
1510596726,91,64
1510604406,123,127
1510610421,74,90
1510612327,81,89
1510618084,117,180
1510625764,179,139
1510629603,125,162
1510639218,165,181
1510645208,96,80
1510650964,126,103
1510654804,121,109
