DateTime,Entries,UniqueIPs
1507890965,6408,6408
1507896723,6394,6394
1507898645,6421,6421
1507908484,6450,6450
1507914485,6470,6470
1507922404,6457,6457
1507928164,6446,6446
1507930085,6430,6430
1507935844,6409,6409
1507941605,6408,6408
1507945444,6396,6396
1507947603,6400,6400
1507951925,6395,6395
1507957925,6356,6356
1507963923,6373,6373
1507967764,6375,6375
1507971611,6409,6409
1507979764,6418,6418
1507987444,6415,6415
1507995126,6454,6454
1508002805,6461,6461
1508004724,6450,6450
1508012643,6473,6473
1508018412,6441,6441
1508024164,6406,6406
1508029924,6406,6406
1508037603,6395,6395
1508045284,6362,6362
1508051044,6397,6397
1508056805,6415,6415
1508060643,6421,6421
1508068329,6435,6435
1508070253,6440,6440
1508074324,6451,6451
1508078163,6460,6460
1508084165,6454,6454
1508091844,6481,6481
1508097612,6470,6470
1508101443,6473,6473
1508107203,6437,6437
1508112964,6411,6411
1508116803,6382,6382
1508122564,6382,6382
1508126413,6359,6359
1508130244,6355,6355
1508136003,6388,6388
1508145603,6398,6398
1508151364,6396,6396
1508155212,6406,6406
1508162883,6406,6406
1508168645,6414,6414
1508172483,6434,6434
1508178245,6460,6460
1508185924,6476,6476
1508189763,6451,6451
1508199604,6412,6412
1508205618,6388,6388
1508209445,6385,6385
1508213286,6353,6353
1508220965,6387,6387
1508226723,6399,6399
1508231523,6409,6409
1508239203,6411,6411
1508244965,6426,6426
1508246884,6441,6441
1508252645,6452,6452
1508260324,6462,6462
1508266083,6477,6477
1508271845,6502,6502
1508275684,6489,6489
1508279524,6442,6442
1508283364,6403,6403
1508292964,6386,6386
1508300643,6349,6349
1508306417,6365,6365
1508310965,6395,6395
1508316723,6422,6422
1508320564,6421,6421
1508328244,6420,6420
1508336164,6443,6443
1508341923,6458,6458
1508345764,6496,6496
1508353443,6480,6480
1508361124,6456,6456
1508369043,6380,6380
1508374814,6386,6386
1508380805,6399,6399
1508384643,6373,6373
1508388483,6343,6343
1508396164,6368,6368
1508403844,6374,6374
1508407684,6432,6432
1508415363,6420,6420
1508419203,6419,6419
1508426884,6440,6440
1508430724,6439,6439
1508436484,6456,6456
1508442244,6471,6471
1508448004,6434,6434
1508454244,6384,6384
1508458085,6405,6405
1508465769,6351,6351
1508473445,6347,6347
1508479444,6372,6372
1508485205,6361,6361
1508489045,6373,6373
1508498644,6385,6385
1508504413,6399,6399
1508510165,6410,6410
1508514003,6430,6430
1508523605,6437,6437
1508529616,6431,6431
1508537284,6409,6409
1508541125,6375,6375
1508544963,6390,6390
1508550725,6351,6351
1508558644,6312,6312
1508564404,6319,6319
1508568485,6326,6326
1508574485,6365,6365
1508580244,6384,6384
1508587924,6387,6387
1508591763,6367,6367
1508595844,6392,6392
1508601616,6406,6406
