DateTime,Entries,UniqueIPs
1509525852,3750,3833
1509527779,3747,3830
1509529693,3753,3836
1509531623,3750,3833
1509533548,3743,3826
1509535468,3728,3810
1509539291,3722,3803
1509541477,3720,3800
1509543378,3719,3799
1509545295,3705,3784
1509549152,3679,3758
1509551071,3673,3752
1509554213,3674,3753
1509556359,3649,3727
1509558264,3643,3719
1509560439,3611,3685
1509564266,3620,3694
1509566205,3602,3676
1509568138,3591,3665
1509570094,3592,3666
1509571953,3602,3676
1509573875,3593,3667
1509575809,3592,3666
1509577725,3588,3662
1509579848,3591,3665
1509583949,3574,3648
1509585870,3575,3650
1509587784,3570,3645
1509589704,3564,3639
1509591636,3547,3622
1509593533,3537,3610
1509595458,3529,3601
1509597633,3518,3589
1509599547,3515,3586
1509601461,3503,3574
1509603393,3515,3586
1509605550,3524,3595
1509607461,3541,3612
1509609389,3533,3604
1509611313,3544,3616
1509613246,3542,3614
1509615150,3553,3625
1509617078,3561,3633
1509618973,3552,3624
1509620892,3549,3621
1509623567,3549,3621
1509625481,3542,3614
1509627397,3539,3611
1509629298,3550,3623
1509633149,3545,3617
1509635075,3540,3612
1509636976,3544,3616
1509638894,3533,3604
1509640829,3513,3584
1509642749,3518,3589
1509644657,3508,3582
1509646584,3504,3578
1509650440,3501,3575
1509652347,3500,3574
1509654339,3511,3585
1509656171,3496,3570
1509658221,3503,3578
1509660043,3502,3577
1509662202,3514,3589
1509664118,3518,3594
1509666014,3529,3605
1509668159,3525,3601
1509670355,3503,3578
1509672270,3513,3589
1509674203,3519,3595
1509676096,3525,3601
1509678049,3524,3598
1509679951,3531,3605
1509683777,3517,3592
1509685716,3519,3592
1509689555,3518,3589
1509691453,3515,3586
1509693401,3514,3585
1509695313,3504,3575
1509697242,3514,3586
1509701064,3490,3562
1509702990,3500,3572
1509704920,3505,3577
1509706819,3499,3571
1509708764,3494,3566
1509710676,3502,3575
1509712596,3494,3567
1509714511,3493,3566
1509716436,3486,3559
1509718346,3505,3578
1509720269,3517,3592
1509722194,3519,3594
1509724391,3526,3601
1509726514,3536,3611
1509728415,3540,3615
1509730353,3547,3622
1509734183,3539,3614
1509739957,3523,3599
1509743784,3539,3615
1509745690,3544,3621
1509747643,3550,3627
1509749554,3555,3633
1509751732,3561,3639
1509753879,3579,3657
1509755782,3588,3666
1509759611,3593,3671
1509761539,3609,3687
1509763452,3612,3690
1509765375,3619,3697
1509767292,3619,3698
1509773048,3623,3702
1509774972,3626,3707
1509776890,3634,3715
1509778828,3644,3725
1509780746,3643,3725
1509782659,3651,3733
1509784573,3651,3734
1509786503,3656,3740
1509788420,3650,3734
1509790343,3650,3734
1509792247,3649,3733
1509796099,3647,3731
1509798023,3650,3734
1509801850,3658,3743
1509809771,3624,3707
1509811698,3633,3716
1509813631,3648,3731
1509815545,3648,3731
1509817472,3653,3736
1509819404,3653,3736
1509821307,3650,3732
1509823216,3661,3744
1509827055,3648,3733
1509828986,3652,3737
1509830902,3658,3744
1509832837,3665,3751
1509834736,3674,3760
1509836664,3681,3767
1509838714,3686,3773
1509840944,3676,3763
1509842906,3699,3786
1509844806,3706,3793
1509846736,3711,3798
1509848645,3726,3814
1509850566,3722,3811
1509852498,3725,3815
1509856334,3715,3803
1509860185,3706,3791
1509862098,3711,3795
1509864020,3706,3790
1509865947,3718,3803
1509867847,3705,3790
1509871695,3710,3795
1509873606,3702,3788
1509875537,3700,3786
1509877450,3697,3781
1509879377,3699,3783
1509881302,3702,3786
1509883208,3710,3794
1509885129,3715,3799
1509887050,3723,3806
1509888980,3735,3819
1509890888,3748,3832
1509892805,3744,3828
1509894732,3738,3821
1509896652,3729,3812
1509898597,3726,3808
1509900520,3717,3799
1509902423,3722,3805
1509904334,3719,3803
1509906267,3733,3817
1509908182,3748,3835
1509911324,3748,3836
1509915152,3733,3821
1509917072,3734,3821
1509918975,3724,3812
1509920899,3734,3822
1509922848,3730,3818
1509924993,3730,3818
1509926887,3735,3823
1509928826,3718,3804
1509930745,3716,3802
1509932670,3718,3804
1509934604,3705,3790
1509936503,3704,3789
1509938427,3694,3779
1509940355,3704,3789
1509942272,3708,3792
1509944186,3707,3791
1509948048,3697,3781
1509951866,3675,3759
1509953795,3674,3759
1509955712,3669,3753
1509957630,3676,3760
1509961455,3680,3764
1509963401,3678,3762
1509965304,3683,3768
1509967236,3676,3761
1509969152,3675,3760
1509971060,3679,3764
1509975158,3672,3756
1509977077,3684,3768
1509978979,3676,3760
1509980904,3680,3764
1509982837,3683,3767
1509988577,3663,3744
1509991556,3654,3734
1509993386,3638,3718
1509995301,3622,3702
1509997222,3631,3711
1510001055,3619,3700
1510002982,3622,3703
1510007301,3594,3672
1510011152,3588,3666
1510014973,3572,3650
1510016906,3565,3641
1510018818,3565,3640
1510022669,3545,3622
1510024598,3546,3623
1510026496,3541,3618
1510028429,3543,3620
1510030347,3536,3613
1510032260,3538,3614
1510034214,3538,3613
1510036109,3547,3624
1510038022,3557,3634
1510039960,3556,3635
1510041875,3552,3630
1510043779,3543,3620
