DateTime,AddedIPs,RemovedIPs
1509525852,44,35
1509527779,23,52
1509529693,20,25
1509531623,15,20
1509533548,25,15
1509535468,24,23
1509539291,31,25
1509541477,18,33
1509543378,43,14
1509545295,30,42
1509549152,40,34
1509551071,33,36
1509554213,20,38
1509556359,34,20
1509558264,39,32
1509560439,37,38
1509564266,45,35
1509566205,25,45
1509568138,47,27
1509570094,32,45
1509571953,22,32
1509573875,34,25
1509575809,17,33
1509577725,20,18
1509579848,33,20
1509583949,12,31
1509585870,39,11
1509587784,41,40
1509589704,32,39
1509591636,36,32
1509593533,35,41
1509595458,25,30
1509597633,12,29
1509599547,51,13
1509601461,41,46
1509603393,36,34
1509605550,32,37
1509607461,45,34
1509609389,32,50
1509611313,48,33
1509613246,36,45
1509615150,33,40
1509617078,37,33
1509618973,10,35
1509620892,16,14
1509623567,22,16
1509625481,10,24
1509627397,21,9
1509629298,21,20
1509633149,20,21
1509635075,25,17
1509636976,21,28
1509638894,26,19
1509640829,13,28
1509642749,35,12
1509644657,41,33
1509646584,19,45
1509650440,37,20
1509652347,20,33
1509654339,48,21
1509656171,34,47
1509658221,41,31
1509660043,14,47
1509662202,38,15
1509664118,25,34
1509666014,39,25
1509668159,33,41
1509670355,7,35
1509672270,34,4
1509674203,17,32
1509676096,43,22
1509678049,8,41
1509679951,14,6
1509683777,40,12
1509685716,40,38
1509689555,35,44
1509691453,30,29
1509693401,9,37
1509695313,27,9
1509697242,47,25
1509701064,21,48
1509702990,44,19
1509704920,30,46
1509706819,19,30
1509708764,20,22
1509710676,21,20
1509712596,15,21
1509714511,43,14
1509716436,21,44
1509718346,48,18
1509720269,47,49
1509722194,37,47
1509724391,32,36
1509726514,42,32
1509728415,38,43
1509730353,43,36
1509734183,41,44
1509739957,43,40
1509743784,44,43
1509745690,37,46
1509747643,46,39
1509749554,45,43
1509751732,39,40
1509753879,33,39
1509755782,42,34
1509759611,38,47
1509761539,53,37
1509763452,26,51
1509765375,36,27
1509767292,34,39
1509773048,43,34
1509774972,45,36
1509776890,38,43
1509778828,44,42
1509780746,47,44
1509782659,29,51
1509784573,41,27
1509786503,38,39
1509788420,31,40
1509790343,17,32
1509792247,13,21
1509796099,24,12
1509798023,20,26
1509801850,41,15
1509809771,31,39
1509811698,28,33
1509813631,58,31
1509815545,31,54
1509817472,36,33
1509819404,22,38
1509821307,41,19
1509823216,40,39
1509827055,43,45
