DateTime,AddedIPs,RemovedIPs
1510163548,43,40
1510164514,27,5
1510166951,86,97
1510167863,32,27
1510168844,36,35
1510169775,50,32
1510170765,51,72
1510171694,33,9
1510172672,16,4
1510173617,49,25
1510174601,31,33
1510175534,45,28
1510176505,29,38
1510177469,31,26
1510178441,35,25
1510179399,34,26
1510180359,32,37
1510181318,37,22
1510182279,38,30
1510183472,45,51
1510184686,36,42
1510185632,40,37
1510186837,37,27
1510187793,45,37
1510188733,31,41
1510189709,37,38
1510190655,32,57
1510191612,44,38
1510192595,57,39
1510193536,55,46
1510194508,30,45
1510195457,46,50
1510196476,48,26
1510197381,34,42
1510198350,33,37
1510199302,38,44
1510200481,46,44
1510201466,45,32
1510202791,57,56
1510203871,34,37
1510204952,44,29
1510205906,43,35
1510206862,54,38
1510207834,49,36
1510208788,31,36
1510209948,49,32
1510210968,37,52
1510211944,34,26
1510212988,36,38
1510214323,50,85
1510215387,53,46
1510216342,26,32
1510217318,29,41
1510218262,42,26
1510221144,86,119
1510222105,58,41
1510223054,35,8
1510224026,43,62
1510225009,20,35
1510225958,31,34
1510226916,29,9
1510227857,23,15
1510228837,31,3
1510229802,26,37
1510230750,41,6
1510231699,25,10
1510232681,35,31
1510233626,27,0
1510234591,31,14
1510235547,25,17
1510236497,20,5
1510237468,26,11
1510238424,23,5
1510239383,36,27
1510240356,29,12
1510241310,30,23
1510242260,26,3
1510243226,35,11
1510244199,29,16
1510245136,33,3
1510246099,19,14
1510247073,36,5
1510248031,20,4
1510249239,40,13
1510250182,32,14
1510251138,31,16
1510252115,25,5
1510253067,26,4
1510254057,29,14
1510254989,36,6
1510255953,36,5
1510256899,35,7
1510257875,33,13
1510258825,26,4
1510259775,38,10
1510260755,43,10
1510261694,20,3
1510262668,16,10
1510263633,30,14
1510264583,26,3
1510265549,32,5
1510266507,9,6
1510268507,74,20
1510269611,27,4
1510270582,27,7
1510271543,38,19
1510272496,42,3
1510273453,41,11
1510274436,34,23
1510275374,38,9
1510276363,31,10
1510277295,32,15
1510278278,51,20
1510279233,32,11
1510280208,28,13
1510281152,35,2
1510282098,32,15
1510283076,49,9
1510284035,18,12
1510284982,44,3
1510285949,54,14
1510286897,27,6
1510287888,48,10
1510288814,46,3
1510289813,46,10
1510290735,43,4
1510291725,34,12
1510292658,43,9
1510293631,39,18
1510294601,28,10
1510295550,39,10
1510296506,23,4
1510297480,27,10
1510298418,42,4
1510299403,47,13
1510300340,50,5
1510301309,38,16
1510302252,32,3
1510303244,31,10
1510304172,46,2
1510305165,30,5
1510306096,22,4
1510307073,37,7
1510308028,32,4
1510309007,26,7
1510309938,22,6
1510310914,32,3
1510311864,29,4
1510312818,27,8
1510313795,27,13
1510314755,37,4
1510315698,30,11
1510316671,26,7
1510317625,42,6
1510318591,32,8
1510319546,32,4
1510320522,14,6
1510321452,38,11
1510322449,29,31
1510323696,43,42
1510324810,47,27
1510325780,43,36
1510326744,38,22
1510327690,26,45
1510328668,44,43
1510329614,40,48
1510330592,32,39
1510331549,26,5
1510332525,30,50
1510333466,30,8
1510334433,46,66
1510335388,29,4
1510336346,41,52
1510337295,39,51
1510338267,37,80
1510339215,30,5
1510340189,25,26
1510341155,31,26
1510342105,17,24
1510343070,31,33
