DateTime,Entries,UniqueIPs
1510163548,2734,2734
1510164514,2731,2731
1510166951,2739,2739
1510167863,2745,2745
1510168844,2751,2751
1510169775,2745,2745
1510170765,2740,2740
1510171694,2740,2740
1510172672,2737,2737
1510173617,2736,2736
1510174601,2735,2735
1510175534,2731,2731
1510176505,2732,2732
1510177469,2735,2735
1510178441,2742,2742
1510179399,2737,2737
1510180359,2731,2731
1510181318,2740,2740
1510182279,2740,2740
1510183472,2737,2737
1510184686,2731,2731
1510185632,2728,2728
1510186837,2707,2707
1510187793,2704,2704
1510188733,2691,2691
1510189709,2687,2687
1510190655,2666,2666
1510191612,2670,2670
1510192595,2682,2682
1510193536,2696,2696
1510194508,2693,2693
1510195457,2703,2703
1510196476,2717,2717
1510197381,2723,2723
1510198350,2723,2723
1510199302,2742,2742
1510200481,2749,2749
1510201466,2761,2761
1510202791,2763,2763
1510203871,2756,2756
1510204952,2756,2756
1510205906,2753,2753
1510206862,2761,2761
1510207834,2771,2771
1510208788,2778,2778
1510209948,2792,2792
1510210968,2799,2799
1510211944,2803,2803
1510212988,2802,2802
1510214323,2805,2805
1510215387,2810,2810
1510216342,2797,2797
1510217318,2784,2784
1510218262,2787,2787
1510221144,2761,2761
1510222105,2786,2786
1510223054,2789,2789
1510224026,2794,2794
1510225009,2787,2787
1510225958,2780,2780
1510226916,2787,2787
1510227857,2786,2786
1510228837,2780,2780
1510229802,2785,2785
1510230750,2786,2786
1510231699,2800,2800
1510232681,2797,2797
1510233626,2813,2813
1510234591,2813,2813
1510235547,2824,2824
1510236497,2827,2827
1510237468,2824,2824
1510238424,2811,2811
1510239383,2805,2805
1510240356,2795,2795
1510241310,2795,2795
1510242260,2794,2794
1510243226,2812,2812
1510244199,2828,2828
1510245136,2831,2831
1510246099,2833,2833
1510247073,2828,2828
1510248031,2834,2834
1510249239,2829,2829
1510250182,2836,2836
1510251138,2820,2820
1510252115,2819,2819
1510253067,2824,2824
1510254057,2838,2838
1510254989,2845,2845
1510255953,2844,2844
1510256899,2855,2855
1510257875,2864,2864
1510258825,2873,2873
1510259775,2882,2882
1510260755,2886,2886
1510261694,2893,2893
1510262668,2892,2892
1510263633,2885,2885
1510264583,2878,2878
1510265549,2882,2882
1510266507,2879,2879
1510268507,2913,2913
1510269611,2919,2919
1510270582,2916,2916
1510271543,2916,2916
1510272496,2914,2914
1510273453,2904,2904
1510274436,2896,2896
1510275374,2865,2865
1510276363,2833,2833
1510277295,2814,2814
1510278278,2802,2802
1510279233,2802,2802
1510280208,2795,2795
1510281152,2791,2791
1510282098,2798,2798
1510283076,2798,2798
1510284035,2776,2776
1510284982,2782,2782
1510285949,2799,2799
1510286897,2824,2824
1510287888,2828,2828
1510288814,2852,2852
1510289813,2852,2852
1510290735,2865,2865
1510291725,2867,2867
1510292658,2869,2869
1510293631,2886,2886
1510294601,2882,2882
1510295550,2907,2907
1510296506,2913,2913
1510297480,2901,2901
1510298418,2900,2900
1510299403,2915,2915
1510300340,2923,2923
1510301309,2926,2926
1510302252,2925,2925
1510303244,2931,2931
1510304172,2936,2936
1510305165,2923,2923
1510306096,2916,2916
1510307073,2930,2930
1510308028,2922,2922
1510309007,2903,2903
1510309938,2896,2896
1510310914,2892,2892
1510311864,2893,2893
1510312818,2899,2899
1510313795,2884,2884
1510314755,2879,2879
1510315698,2883,2883
1510316671,2879,2879
1510317625,2891,2891
1510318591,2889,2889
1510319546,2906,2906
1510320522,2904,2904
1510321452,2901,2901
1510322449,2896,2896
1510323696,2895,2895
1510324810,2912,2912
1510325780,2901,2901
1510326744,2898,2898
1510327690,2868,2868
1510328668,2860,2860
