DateTime,AddedIPs,RemovedIPs
1510158765,13,10
1510159693,3,8
1510160669,11,0
1510161623,12,6
1510162589,14,21
1510163545,9,0
1510164511,9,12
1510166948,16,24
1510167861,8,5
1510168842,7,4
1510169772,6,4
1510170762,7,6
1510171691,7,14
1510172670,7,0
1510173614,4,0
1510174599,8,10
1510175532,5,0
1510176502,2,14
1510177467,7,0
1510178438,9,12
1510179397,4,3
1510180357,5,3
1510181316,9,0
1510182276,4,14
1510183469,9,2
1510184683,5,9
1510185630,11,16
1510186835,10,18
1510187790,16,24
1510188730,15,28
1510189706,15,18
1510190653,15,25
1510191610,18,19
1510192593,28,21
1510193533,37,15
1510194505,19,9
1510195454,27,7
1510196473,29,8
1510197379,11,11
1510198348,17,13
1510199299,18,14
1510200478,21,7
1510201463,24,10
1510202788,24,19
1510203868,10,6
1510204950,12,11
1510205903,9,6
1510206860,21,8
1510207831,20,12
1510208785,10,8
1510209945,26,7
1510210966,13,8
1510211926,16,10
1510212985,12,12
1510214321,20,7
1510215384,23,8
1510216339,8,14
1510217315,7,19
1510218259,16,0
1510221141,18,21
1510222103,36,17
1510223051,7,0
1510224024,17,8
1510225007,4,16
1510225956,5,0
1510226913,14,14
1510227854,7,0
1510228835,14,18
1510229800,10,9
1510230747,9,28
1510231696,11,0
1510232678,10,6
1510233624,7,0
1510234589,7,11
1510235544,9,0
1510236495,9,15
1510237465,6,0
1510238422,5,31
1510239381,4,0
1510240354,5,14
1510241308,10,0
1510242258,9,5
1510243223,12,3
1510244197,13,14
1510245133,8,0
1510246096,6,10
1510247071,8,2
1510248029,9,10
1510249236,10,2
1510250179,9,8
1510251136,5,13
1510252112,1,0
1510253064,11,0
1510254054,6,5
1510254987,12,2
1510255950,6,8
1510256895,13,11
1510257872,7,5
1510258822,14,8
1510259772,10,8
1510260752,14,11
1510261692,6,8
1510262666,4,7
1510263631,10,6
1510264581,10,5
1510265546,7,8
1510266504,3,6
1510268505,29,10
1510269609,8,8
1510270579,5,10
1510271540,16,14
1510272493,15,35
1510273451,16,19
1510274434,12,28
1510275371,11,21
1510276360,11,32
1510277292,15,17
