DateTime,AddedIPs,RemovedIPs
1510156836,52,28
1510157789,31,42
1510158767,43,72
1510159696,35,0
1510160672,38,55
1510161626,20,89
1510162592,38,42
1510163548,37,53
1510164514,34,0
1510166951,92,101
1510167863,39,25
1510168844,31,43
1510169775,58,31
1510170765,44,93
1510171694,44,0
1510172672,19,0
1510173617,48,33
1510174601,31,32
1510175534,48,34
1510176505,34,32
1510177469,28,23
1510178441,32,31
1510179399,31,35
1510180359,42,26
1510181318,34,24
1510182279,40,32
1510183472,34,58
1510184686,32,41
1510185632,29,39
1510186837,28,29
1510187793,32,29
1510188733,23,20
1510189709,33,22
1510190655,24,41
1510191612,26,29
1510192595,31,32
1510193536,31,29
1510194508,19,27
1510195457,23,40
1510196476,25,24
1510197381,29,26
1510198350,36,28
1510199302,19,44
1510200481,36,35
1510201466,29,29
1510202791,37,62
1510203871,44,28
1510204952,44,35
1510205906,45,32
1510206862,45,42
1510207834,42,33
1510208788,27,41
1510209948,31,37
1510210968,33,41
1510211944,23,28
1510212988,39,31
1510214323,41,74
1510215387,43,36
1510216342,21,38
1510217318,38,42
1510218262,38,26
1510221144,110,117
1510222105,36,38
1510223054,54,0
1510224026,41,72
1510225009,39,36
1510225958,56,28
1510226916,37,0
1510227857,42,0
1510228837,44,0
1510229802,35,27
1510230750,64,0
1510231699,32,4
1510232681,58,16
1510233626,29,0
1510234591,43,3
1510235547,31,5
1510236497,25,0
1510237468,38,0
1510238424,37,0
1510239383,51,13
1510240356,57,0
1510241310,47,3
1510242260,34,0
1510243226,43,0
1510244199,36,4
1510245136,43,0
1510246099,25,7
1510247073,50,0
1510248031,18,0
1510249239,50,1
1510250182,39,5
1510251138,60,7
1510252115,45,0
1510253067,28,0
1510254057,34,3
1510254989,40,0
1510255953,46,0
1510256899,36,0
1510257875,45,6
1510258825,23,0
1510259775,41,4
1510260755,39,0
1510261694,21,0
1510262668,21,5
1510263633,37,8
1510264583,38,0
1510265549,39,0
1510266507,19,0
1510268507,84,1
1510269611,28,2
1510270582,29,0
1510271543,40,6
1510272496,41,0
1510273453,39,0
1510274436,31,7
1510275374,52,0
1510276363,40,1
1510277295,33,2
1510278278,53,5
1510279233,31,0
1510280208,30,3
1510281152,36,0
1510282098,28,1
1510283076,47,0
1510284035,30,2
1510284982,32,0
1510285949,43,5
1510286897,31,0
1510287888,47,2
1510288814,25,0
1510289813,53,0
1510290735,38,0
1510291725,28,2
1510292658,46,0
1510293631,41,7
1510294601,24,3
1510295550,43,0
1510296506,20,1
1510297480,35,2
1510298418,39,0
1510299403,40,8
1510300340,48,0
1510301309,36,7
1510302252,37,0
1510303244,28,5
1510304172,60,0
1510305165,36,0
1510306096,31,0
1510307073,28,5
1510308028,41,0
1510309007,41,1
1510309938,34,0
1510310914,31,2
1510311864,38,0
1510312818,29,2
1510313795,41,9
1510314755,57,0
1510315698,40,5
1510316671,36,0
1510317625,52,0
1510318591,47,2
1510319546,44,0
1510320522,12,3
1510321452,62,0
1510322449,35,27
1510323696,51,47
1510324810,34,32
1510325780,60,40
1510326744,47,28
1510327690,50,42
1510328668,47,51
1510329614,44,57
1510330592,28,54
1510331549,39,0
1510332525,25,57
1510333466,43,0
1510334433,26,84
1510335388,34,0
1510336346,44,60
1510337295,45,49
1510338267,26,91
1510339215,38,0
1510340189,32,25
1510341155,34,29
1510342105,30,20
1510343070,26,44
1510344019,45,70
1510344986,26,43
1510345951,44,41
1510346916,32,47
1510347869,36,23
1510348817,50,56
1510349791,34,45
1510350749,30,75
1510351708,30,70
1510352677,31,65
1510353617,46,40
1510355595,82,100
1510356503,37,58
1510357543,44,100
1510358674,50,69
1510359639,25,99
1510360846,40,43
1510361788,27,19
1510362735,46,20
1510363725,52,24
1510364659,32,22
1510365628,41,20
1510366603,27,105
1510367542,44,80
1510368523,23,90
1510369464,33,124
1510370416,35,118
1510371396,37,140
1510372338,42,190
1510373308,32,96
1510374261,44,99
1510375212,16,46
1510376199,31,25
1510377134,38,25
1510378104,32,31
1510379069,25,20
1510380030,47,125
1510380989,39,293
1510381949,35,251
1510382905,51,159
1510383870,29,135
1510384813,25,257
1510385798,39,308
1510386732,30,216
1510387720,24,233
1510388664,41,243
1510389612,26,110
1510390592,31,162
1510391555,24,93
1510392503,27,172
1510393455,24,113
1510394460,31,186
1510395389,44,286
1510396351,19,124
1510397298,29,127
1510398278,48,89
1510399232,50,203
1510400232,42,0
1510401134,45,36
1510402123,42,25
1510403059,40,58
1510404020,34,34
1510404972,29,69
1510405963,40,39
1510406900,19,44
1510407872,33,37
1510408835,31,52
1510409799,16,37
1510410759,29,33
1510411716,37,49
1510412666,32,35
1510413619,33,35
1510414591,37,33
1510415575,33,75
1510416494,40,0
1510417700,29,32
1510418674,29,28
1510419650,51,35
1510420578,33,25
1510421541,27,34
1510422519,37,44
1510424475,78,87
1510425617,52,12
1510426581,40,15
1510427545,35,21
1510428499,25,27
1510429465,23,24
1510430426,47,27
1510431376,23,9
1510432359,37,83
1510433300,27,86
1510434262,28,90
1510435227,27,22
1510436179,31,27
1510437144,37,43
1510438107,33,49
1510439064,31,39
1510440012,31,0
1510440994,34,94
1510441945,34,0
1510442901,27,83
1510443866,34,72
1510444846,39,47
1510445802,17,0
1510446743,29,36
1510447711,25,34
1510448660,50,29
1510449633,19,46
1510450584,46,34
1510451534,32,20
1510452510,35,35
1510453464,39,29
1510454423,40,53
1510455386,27,45
1510456344,39,43
1510457300,26,48
1510458276,28,38
1510459240,32,42
1510460179,47,31
1510461169,44,52
1510462109,24,25
1510463065,52,39
1510464030,20,35
1510465002,39,48
1510465932,33,97
1510466908,30,53
1510467852,33,36
1510468834,30,44
1510469779,34,40
1510470739,27,31
1510471718,23,37
1510472661,36,27
1510473621,32,31
1510474603,24,25
1510475538,32,24
1510476527,23,32
1510477463,30,34
1510478423,26,33
1510479373,36,31
1510480366,18,33
1510481295,19,38
1510482321,45,29
1510483470,33,81
1510484668,40,29
1510485613,30,55
1510486587,26,0
1510487542,31,32
1510488530,27,39
1510489462,39,48
1510490417,23,34
1510491395,28,43
1510492361,35,41
1510493303,24,33
1510495280,64,78
1510496181,42,45
1510497155,28,22
1510498367,53,37
1510499292,27,23
1510500265,45,35
1510501213,37,90
1510502183,34,0
1510503146,20,25
1510504096,33,38
1510505070,34,31
1510506023,21,38
1510506991,37,37
1510507951,33,22
1510508908,36,37
1510509871,34,47
1510510814,41,30
1510512028,46,23
1510512983,20,31
1510513947,26,29
1510514893,25,14
1510515865,42,8
1510516818,39,22
1510517790,25,57
1510518752,39,53
1510519708,17,30
1510520662,37,31
1510521633,26,32
1510522575,23,27
1510523556,28,50
1510524494,24,26
1510525466,21,28
1510526413,40,14
1510527394,29,18
1510528336,34,13
1510529308,24,14
1510530269,39,19
1510531224,32,43
1510532191,15,41
1510533137,24,26
1510534117,25,24
1510535337,41,58
1510536257,21,42
1510537225,25,0
1510538183,32,32
1510539157,34,28
1510540092,23,10
1510541066,33,8
1510542030,36,13
1510543005,38,19
1510543952,32,7
1510544899,24,14
1510545873,36,0
1510546834,36,5
1510547784,30,5
1510548744,43,28
1510549704,35,19
1510550665,33,46
1510551636,24,49
1510552572,33,132
1510553550,30,0
1510554506,28,165
1510555457,24,0
1510556423,27,44
1510557405,29,69
1510558367,31,71
1510559308,40,22
1510560258,31,0
1510561224,30,51
1510562208,32,34
1510563131,42,0
1510564107,30,47
1510565069,38,51
1510566045,22,24
1510566983,26,0
1510567935,34,46
1510568916,42,27
1510569860,40,30
1510570839,32,39
1510571793,53,57
1510573451,76,80
1510574428,53,48
1510575401,42,44
1510576335,54,59
1510577306,62,38
1510578271,26,39
1510579227,45,42
1510581459,101,82
1510582580,35,30
1510583559,45,30
1510584495,49,20
1510585705,64,25
1510586655,27,12
1510587626,50,0
1510588590,43,135
1510589548,36,45
1510590494,30,0
1510591467,45,32
1510592441,40,0
1510593392,18,7
1510594347,42,26
1510595317,33,0
1510596258,27,7
1510597230,36,57
1510598189,19,74
1510599144,21,0
1510600107,23,18
1510601051,34,23
1510602026,32,19
1510602984,49,52
1510603939,42,65
1510604904,66,59
1510605867,37,30
1510606947,68,24
1510608025,32,29
1510608986,37,15
1510609934,44,35
1510610921,46,55
1510611858,47,0
1510612828,39,56
1510613792,38,0
1510614735,44,12
1510615703,32,16
1510616669,28,29
1510617628,33,10
1510618545,38,0
1510619550,37,20
1510620497,29,21
1510621478,42,31
1510622428,45,0
1510623375,39,20
1510624360,39,46
1510625300,27,0
1510626277,31,126
1510627223,33,0
1510628186,31,25
1510629150,33,0
1510630096,27,10
1510631068,36,10
1510632026,39,14
1510632989,36,31
1510633962,42,85
1510634894,40,0
1510635864,30,14
1510636841,31,19
1510637776,60,0
1510638756,51,10
1510639699,28,48
1510640667,35,41
1510641625,33,0
1510642846,63,15
1510643781,21,8
1510644759,26,12
1510645696,31,9
1510646673,44,11
1510647616,41,18
1510648574,42,4
1510649545,112,2
1510650521,173,3
1510651462,70,5
