DateTime,AddedIPs,RemovedIPs
1508850845,43,68
1508854451,70,94
1508858046,63,80
1508861650,63,60
1508865251,64,61
1508868847,54,67
1508872449,57,64
1508876045,60,67
1508879647,53,59
1508883242,59,74
1508886842,64,65
1508890446,57,72
1508894046,58,61
1508897641,53,66
1508901237,56,58
1508904834,72,64
1508908816,80,64
1508912035,59,55
1508915637,65,53
1508919247,58,67
1508922846,80,78
1508926441,74,79
1508930049,74,66
1508933647,67,85
1508937238,49,84
1508940844,64,63
1508944444,61,71
1508948038,59,80
1508951640,49,77
1508955237,61,55
1508958839,63,73
1508962436,51,84
1508966031,65,77
1508969633,50,62
1508973231,61,72
1508976828,49,77
1508980430,47,63
1508984029,69,55
1508987630,56,63
1508991227,51,53
1508994823,53,60
1508998423,55,58
1509002028,61,59
1509005627,67,67
1509009222,63,69
1509012824,66,70
1509016430,61,67
1509020033,59,77
1509023630,69,71
1509027228,71,59
1509030827,69,79
1509034428,75,89
1509038025,65,120
1509041620,56,96
1509045228,71,74
1509048821,51,79
1509052419,52,76
1509056015,65,81
1509059616,65,73
1509063217,61,81
1509066821,67,80
1509070413,53,73
1509074015,53,67
1509077614,159,80
1509081219,197,89
1509084824,143,78
1509088422,118,80
1509092023,108,70
1509095627,101,77
1509099226,84,98
1509102830,89,81
1509106429,77,81
1509110029,78,95
1509113629,70,92
1509117233,60,86
1509120826,63,86
1509124427,70,73
1509128032,70,69
1509131628,84,85
1509135224,67,65
1509138824,54,67
1509142426,64,72
1509146025,61,75
1509149625,52,47
1509153229,63,45
1509156821,57,63
1509160425,63,56
1509164020,58,61
1509167614,55,68
1509171222,49,55
1509174815,48,69
1509178416,59,58
1509182018,63,70
1509185619,64,64
1509189220,53,69
1509192861,61,72
1509200090,50,59
1509203726,265,157
1509207284,84,64
1509210852,95,54
1509214505,75,61
1509218117,64,70
1509221693,65,48
1509225269,71,56
1509228872,57,66
1509232510,50,66
1509236111,51,56
1509239678,59,70
1509243306,60,44
1509246937,71,54
1509250533,51,58
1509254076,48,47
1509257661,64,49
1509261299,67,59
1509264915,52,51
1509268537,50,46
1509272072,46,68
1509275698,57,56
1509279295,63,59
1509282904,70,63
1509286497,52,63
1509290073,54,61
1509293699,65,52
1509297305,45,56
1509300898,64,64
1509304484,50,57
1509308098,54,53
1509311701,59,67
1509315292,51,61
1509318897,49,59
1509322484,49,74
1509326096,41,44
1509329693,51,57
1509333290,51,67
1509336877,47,73
1509340491,55,62
1509344110,37,72
1509347695,41,59
1509351272,37,66
1509354882,51,77
1509358495,46,65
1509362092,62,71
1509365688,47,61
1509369270,60,73
1509372885,75,77
1509376497,69,69
1509380080,70,60
1509383676,68,60
1509387286,72,59
1509390889,56,56
1509394476,58,73
1509398077,85,58
1509401681,59,55
1509405283,69,73
1509408891,70,66
1509412477,59,56
1509416066,62,60
1509419689,74,64
1509423303,63,62
1509426870,50,48
1509430468,55,51
1509434094,60,62
1509437699,68,62
1509441302,66,69
1509444874,70,70
1509448490,73,69
1509452131,51,68
1509455692,65,49
1509459279,84,55
1509462884,53,63
1509466486,54,66
1509470153,58,70
1509473684,51,58
1509477285,70,60
1509480916,61,57
1509484480,60,64
1509488091,57,64
1509491679,142,66
1509495285,131,62
1509498889,111,58
1509502504,90,57
1509506106,86,60
1509509678,87,60
1509513285,76,72
1509516911,90,65
1509520500,85,74
1509524101,95,61
1509527712,127,78
1509531307,94,85
1509534914,95,64
1509538495,73,68
1509542139,78,55
1509545719,75,61
1509549317,201,66
1509556529,328,122
1509560133,126,60
1509563757,108,69
1509567341,81,53
1509570927,73,61
1509574534,83,55
1509578145,71,56
1509581754,64,56
1509585360,73,46
1509588938,58,71
1509592543,67,63
1509596144,57,56
1509599748,64,61
1509603347,67,52
1509606959,67,68
1509610553,62,72
1509614143,61,65
1509617745,81,63
1509621334,58,66
1509624959,58,63
1509628556,75,70
1509632162,74,65
1509635743,64,78
1509639347,56,79
1509642953,65,58
1509646564,66,66
1509650168,62,59
1509653745,60,56
1509657350,55,49
1509660958,48,66
1509664528,57,69
1509668155,54,64
1509671733,67,79
1509675343,64,59
1509678941,55,60
1509682542,61,64
1509686138,55,86
1509689740,70,87
1509693352,62,66
1509696945,70,66
1509700546,58,76
1509704132,60,71
1509707728,60,83
1509711340,43,69
1509714939,64,73
1509718552,81,71
1509722063,62,58
1509725665,71,62
1509729262,76,50
1509732864,69,64
1509736463,66,75
1509740064,66,77
1509743662,57,66
1509747260,58,71
1509750859,43,62
1509754460,52,63
1509758070,45,70
1509761659,55,67
1509765257,52,71
1509768857,59,53
1509772455,53,59
1509776058,57,57
1509779659,55,53
1509783255,57,62
1509786857,55,60
1509790455,53,83
1509794054,53,63
1509797680,77,77
1509801283,49,86
1509804856,59,89
1509808453,69,61
1509812058,52,53
1509815659,63,78
1509819258,52,49
1509822857,49,62
1509826455,64,51
1509830057,56,62
1509833659,77,65
1509837254,81,48
1509840864,59,49
1509844457,56,53
1509848057,61,63
1509851654,51,62
1509855256,65,67
1509858857,44,44
1509862449,48,69
1509866050,48,72
1509869652,60,47
1509873251,49,51
1509876850,57,47
1509880456,67,57
