DateTime,Entries,UniqueIPs
1508850845,14613,14613
1508854451,14589,14589
1508858046,14572,14572
1508861650,14575,14575
1508865251,14578,14578
1508868847,14565,14565
1508872449,14558,14558
1508876045,14551,14551
1508879647,14545,14545
1508883242,14530,14530
1508886842,14529,14529
1508890446,14514,14514
1508894046,14511,14511
1508897641,14498,14498
1508901237,14496,14496
1508904834,14504,14504
1508908816,14520,14520
1508912035,14524,14524
1508915637,14536,14536
1508919247,14527,14527
1508922846,14529,14529
1508926441,14524,14524
1508930049,14532,14532
1508933647,14514,14514
1508937238,14479,14479
1508940844,14480,14480
1508944444,14470,14470
1508948038,14449,14449
1508951640,14421,14421
1508955237,14427,14427
1508958839,14417,14417
1508962436,14384,14384
1508966031,14372,14372
1508969633,14360,14360
1508973231,14349,14349
1508976828,14321,14321
1508980430,14305,14305
1508984029,14319,14319
1508987630,14312,14312
1508991227,14310,14310
1508994823,14303,14303
1508998423,14300,14300
1509002028,14302,14302
1509005627,14302,14302
1509009222,14296,14296
1509012824,14292,14292
1509016430,14286,14286
1509020033,14268,14268
1509023630,14266,14266
1509027228,14278,14278
1509030827,14268,14268
1509034428,14254,14254
1509038025,14199,14199
1509041620,14159,14159
1509045228,14156,14156
1509048821,14128,14128
1509052419,14104,14104
1509056015,14088,14088
1509059616,14080,14080
1509063217,14060,14060
1509066821,14047,14047
1509070413,14027,14027
1509074015,14013,14013
1509077614,14092,14092
1509081219,14200,14200
1509084824,14265,14265
1509088422,14303,14303
1509092023,14341,14341
1509095627,14365,14365
1509099226,14351,14351
1509102830,14359,14359
1509106429,14355,14355
1509110029,14338,14338
1509113629,14316,14316
1509117233,14290,14290
1509120826,14267,14267
1509124427,14264,14264
1509128032,14265,14265
1509131628,14264,14264
1509135224,14266,14266
1509138824,14253,14253
1509142426,14245,14245
1509146025,14231,14231
1509149625,14236,14236
1509153229,14254,14254
1509156821,14248,14248
1509160425,14255,14255
1509164020,14252,14252
1509167614,14239,14239
1509171222,14233,14233
1509174815,14212,14212
1509178416,14213,14213
1509182018,14206,14206
1509185619,14206,14206
1509189220,14190,14190
1509192861,14179,14179
1509200090,14170,14170
1509203726,14278,14278
1509207284,14298,14298
1509210852,14339,14339
1509214505,14353,14353
1509218117,14347,14347
1509221693,14364,14364
1509225269,14379,14379
1509228872,14370,14370
1509232510,14354,14354
1509236111,14349,14349
1509239678,14338,14338
1509243306,14354,14354
