DateTime,AddedIPs,RemovedIPs
1508818477,45,67
1508822073,48,76
1508825671,38,65
1508829262,49,73
1508832866,46,69
1508836474,59,69
1508840075,54,66
1508843668,63,63
1508847268,61,74
1508850883,41,63
1508854489,60,91
1508858080,55,72
1508861687,51,50
1508865282,51,54
1508868891,51,60
1508872504,48,60
1508876088,54,59
1508879686,47,55
1508883280,53,58
1508886879,52,59
1508890482,54,66
1508894076,49,50
1508897673,51,58
1508901268,50,52
1508904858,62,63
1508908838,73,56
1508912065,57,51
1508915666,59,45
1508919267,46,54
1508926491,128,137
1508930073,70,64
1508933676,59,78
1508937268,44,71
1508940881,55,53
1508944498,53,60
1508948074,49,64
1508951670,45,69
1508955267,54,41
1508962468,102,142
1508966073,60,64
1508969671,41,56
1508973266,51,64
1508976869,44,67
1508980464,44,58
1508984064,63,50
1508987661,49,56
1508991252,45,45
1508994850,48,52
1508998452,49,49
1509002049,55,53
1509005653,61,60
1509009252,59,61
1509012860,54,61
1509016456,51,59
1509020071,54,69
1509023665,62,63
1509027267,66,50
1509030865,55,71
1509034471,65,79
1509038063,59,99
1509041671,46,82
1509045277,57,66
1509048868,44,69
1509052461,49,73
1509056060,57,76
1509059658,56,68
1509063261,56,74
1509066876,58,69
1509070454,46,61
1509074058,47,59
1509077640,133,77
1509081259,158,78
1509084844,128,68
1509088446,103,65
1509092049,96,58
1509095674,85,65
1509099251,72,86
1509102858,78,75
1509106461,67,69
1509110078,72,77
1509113663,60,76
1509117261,53,73
1509120876,61,65
1509124466,63,60
1509128068,61,63
1509131667,69,75
1509135268,62,62
1509138867,45,60
1509142467,55,64
1509146069,53,68
1509149669,47,43
1509153261,60,39
1509156858,47,61
1509160459,61,54
1509164047,50,52
1509167642,49,61
1509171244,44,46
1509174840,41,67
1509178459,54,50
1509182042,53,59
1509185642,56,60
1509189246,48,60
1509192847,52,64
1509199928,49,50
1509203712,194,144
1509207316,71,57
1509210878,84,43
1509214539,54,52
1509218138,51,69
1509221723,51,46
1509225289,61,49
1509228907,49,63
1509232522,44,60
1509236129,38,53
1509239695,50,57
1509244315,56,41
1509247953,65,52
1509251562,46,51
1509254119,42,44
1509257707,56,43
1509261325,60,48
1509264944,45,44
1509268659,41,45
1509272110,38,58
1509275779,56,48
1509279369,53,50
1509282944,54,58
1509286524,44,57
1509290109,44,50
1509293764,55,50
1509297341,32,55
1509300927,53,52
1509304534,43,43
1509308134,46,52
1509311746,51,67
1509315336,40,54
1509318909,41,54
1509322512,39,64
1509326134,39,38
1509329727,39,49
1509333311,45,58
1509336889,39,72
1509340506,51,61
1509347757,70,116
1509351326,32,58
1509354907,45,71
1509358516,43,56
1509362110,52,65
1509365700,39,55
1509369298,47,62
1509372919,62,71
1509376525,58,56
1509380096,54,52
1509383694,50,56
1509387309,61,52
1509390911,41,49
1509394499,49,61
1509398094,66,51
1509401706,48,48
1509405309,49,62
1509408910,48,53
1509412499,55,53
1509416088,50,50
1509419676,61,57
1509423289,56,55
1509426886,45,43
1509430486,44,44
1509434080,57,57
1509437685,61,53
1509441292,55,65
1509444886,61,62
1509448519,66,61
1509452106,40,56
1509455722,52,49
1509459306,65,47
1509462897,47,56
1509466504,43,57
1509470168,40,56
1509473701,43,47
1509477308,65,56
1509480901,59,50
1509484536,48,54
1509488161,43,51
1509491700,112,53
1509495314,111,52
1509498907,88,49
1509502517,78,54
1509506091,72,53
1509509690,75,52
1509513297,63,67
1509516910,78,59
1509520486,70,67
1509524090,74,53
1509527701,102,69
1509531293,71,73
1509534900,76,55
1509538521,59,55
1509542111,61,50
1509545712,66,55
1509549326,155,59
1509556548,255,104
1509560146,102,55
1509563746,79,60
1509567325,71,45
1509570940,73,54
1509574549,74,48
1509578131,61,53
1509581735,58,49
1509585339,65,43
1509588953,56,63
1509592526,58,51
1509596128,53,51
1509599737,63,51
1509603338,60,48
1509606943,58,58
1509610538,57,66
1509614155,57,59
1509617730,68,52
1509621352,54,57
1509624931,50,61
1509628544,65,61
1509632121,67,65
1509635751,49,64
1509639328,45,64
1509642931,60,56
1509646537,61,56
1509650129,56,49
1509653723,68,49
1509657335,43,44
1509660933,43,60
1509664540,48,63
1509668131,48,59
1509671746,59,71
1509675328,55,53
1509678924,48,55
1509682520,51,56
1509686151,50,80
1509689725,59,80
1509693328,49,62
1509696921,64,58
1509704124,101,125
1509707710,53,76
1509711325,36,60
1509714924,52,65
1509718532,64,63
1509722084,55,53
1509725678,57,56
1509729284,59,47
1509732888,59,65
1509736502,61,70
1509740097,55,72
1509743702,50,62
1509747292,48,63
1509750906,35,54
1509754492,50,55
1509758121,36,68
1509761701,48,58
1509765296,44,66
1509768897,52,45
1509772491,49,54
1509776083,51,48
1509779685,51,48
1509783282,48,53
1509786885,49,50
1509790474,41,74
1509794081,47,63
1509797729,67,68
1509801343,44,73
1509804881,54,77
1509808480,61,60
1509812090,44,48
1509815690,59,68
1509819285,47,46
1509822881,45,50
1509826487,55,39
1509830090,52,56
1509833694,61,59
1509837292,54,40
1509840888,50,43
1509844488,48,47
1509848079,53,56
1509851677,45,54
1509855283,57,57
1509858884,40,38
1509862475,47,57
1509866076,44,62
1509869673,52,40
1509873276,40,41
1509876876,51,44
1509880478,56,56
1509884079,42,45
1509887711,56,53
1509891275,59,43
1509894899,46,53
