DateTime,Entries,UniqueIPs
1508818477,12817,12817
1508822073,12789,12789
1508825671,12762,12762
1508829262,12738,12738
1508832866,12715,12715
1508836474,12705,12705
1508840075,12693,12693
1508843668,12693,12693
1508847268,12680,12680
1508850883,12658,12658
1508854489,12627,12627
1508858080,12610,12610
1508861687,12611,12611
1508865282,12608,12608
1508868891,12599,12599
1508872504,12587,12587
1508876088,12582,12582
1508879686,12574,12574
1508883280,12569,12569
1508886879,12562,12562
1508890482,12550,12550
1508894076,12549,12549
1508897673,12542,12542
1508901268,12540,12540
1508904858,12539,12539
1508908838,12556,12556
1508912065,12562,12562
1508915666,12576,12576
1508919267,12568,12568
1508926491,12559,12559
1508930073,12565,12565
1508933676,12546,12546
1508937268,12519,12519
1508940881,12521,12521
1508944498,12514,12514
1508948074,12499,12499
1508951670,12475,12475
1508955267,12488,12488
1508962468,12448,12448
1508966073,12444,12444
1508969671,12429,12429
1508973266,12416,12416
1508976869,12393,12393
1508980464,12379,12379
1508984064,12392,12392
1508987661,12385,12385
1508991252,12385,12385
1508994850,12381,12381
1508998452,12381,12381
1509002049,12383,12383
1509005653,12384,12384
1509009252,12382,12382
1509012860,12375,12375
1509016456,12367,12367
1509020071,12352,12352
1509023665,12351,12351
1509027267,12367,12367
1509030865,12351,12351
1509034471,12337,12337
1509038063,12297,12297
1509041671,12261,12261
1509045277,12252,12252
1509048868,12227,12227
1509052461,12203,12203
1509056060,12184,12184
1509059658,12172,12172
1509063261,12154,12154
1509066876,12143,12143
1509070454,12128,12128
1509074058,12116,12116
1509077640,12172,12172
1509081259,12252,12252
1509084844,12312,12312
1509088446,12350,12350
1509092049,12388,12388
1509095674,12408,12408
1509099251,12394,12394
1509102858,12397,12397
1509106461,12395,12395
1509110078,12390,12390
1509113663,12374,12374
1509117261,12354,12354
1509120876,12350,12350
1509124466,12353,12353
1509128068,12351,12351
1509131667,12345,12345
1509135268,12345,12345
1509138867,12330,12330
1509142467,12321,12321
1509146069,12306,12306
1509149669,12310,12310
1509153261,12331,12331
1509156858,12317,12317
1509160459,12324,12324
1509164047,12322,12322
1509167642,12310,12310
1509171244,12308,12308
1509174840,12282,12282
1509178459,12286,12286
1509182042,12280,12280
1509185642,12276,12276
1509189246,12264,12264
1509192847,12252,12252
1509199928,12251,12251
1509203712,12301,12301
1509207316,12315,12315
1509210878,12356,12356
1509214539,12358,12358
1509218138,12340,12340
1509221723,12345,12345
1509225289,12357,12357
1509228907,12343,12343
1509232522,12327,12327
1509236129,12312,12312
1509239695,12305,12305
1509244315,12320,12320
1509247953,12333,12333
1509251562,12328,12328
1509254119,12326,12326
1509257707,12339,12339
1509261325,12351,12351
1509264944,12352,12352
1509268659,12348,12348
1509272110,12328,12328
1509275779,12336,12336
1509279369,12339,12339
1509282944,12335,12335
1509286524,12322,12322
1509290109,12316,12316
1509293764,12321,12321
1509297341,12298,12298
1509300927,12299,12299
1509304534,12299,12299
1509308134,12293,12293
1509311746,12277,12277
1509315336,12263,12263
1509318909,12250,12250
1509322512,12225,12225
1509326134,12226,12226
1509329727,12216,12216
1509333311,12203,12203
1509336889,12170,12170
1509340506,12160,12160
1509347757,12114,12114
1509351326,12088,12088
1509354907,12062,12062
1509358516,12049,12049
1509362110,12036,12036
1509365700,12020,12020
1509369298,12005,12005
1509372919,11996,11996
1509376525,11998,11998
1509380096,12000,12000
1509383694,11994,11994
1509387309,12003,12003
1509390911,11995,11995
1509394499,11983,11983
1509398094,11998,11998
1509401706,11998,11998
1509405309,11985,11985
1509408910,11980,11980
1509412499,11982,11982
1509416088,11982,11982
1509419676,11986,11986
1509423289,11987,11987
1509426886,11989,11989
1509430486,11989,11989
1509434080,11989,11989
1509437685,11997,11997
1509441292,11987,11987
1509444886,11986,11986
1509448519,11991,11991
1509452106,11975,11975
1509455722,11978,11978
1509459306,11996,11996
1509462897,11987,11987
1509466504,11973,11973
1509470168,11957,11957
1509473701,11953,11953
1509477308,11962,11962
1509480901,11971,11971
1509484536,11965,11965
1509488161,11957,11957
1509491700,12016,12016
1509495314,12075,12075
1509498907,12114,12114
1509502517,12138,12138
1509506091,12157,12157
1509509690,12180,12180
1509513297,12176,12176
1509516910,12195,12195
1509520486,12198,12198
1509524090,12219,12219
1509527701,12252,12252
1509531293,12250,12250
1509534900,12271,12271
1509538521,12275,12275
1509542111,12286,12286
1509545712,12297,12297
1509549326,12393,12393
1509556548,12544,12544
1509560146,12591,12591
1509563746,12610,12610
1509567325,12636,12636
1509570940,12655,12655
1509574549,12681,12681
1509578131,12689,12689
1509581735,12698,12698
1509585339,12720,12720
1509588953,12713,12713
1509592526,12720,12720
1509596128,12722,12722
1509599737,12734,12734
1509603338,12746,12746
1509606943,12746,12746
1509610538,12737,12737
1509614155,12735,12735
1509617730,12751,12751
1509621352,12748,12748
1509624931,12737,12737
1509628544,12741,12741
1509632121,12743,12743
1509635751,12728,12728
1509639328,12709,12709
1509642931,12713,12713
1509646537,12718,12718
1509650129,12725,12725
1509653723,12744,12744
1509657335,12743,12743
1509660933,12726,12726
1509664540,12711,12711
1509668131,12700,12700
1509671746,12688,12688
1509675328,12690,12690
1509678924,12683,12683
1509682520,12678,12678
1509686151,12648,12648
1509689725,12627,12627
1509693328,12614,12614
1509696921,12620,12620
1509704124,12596,12596
1509707710,12573,12573
1509711325,12549,12549
1509714924,12536,12536
1509718532,12537,12537
1509722084,12539,12539
1509725678,12540,12540
1509729284,12552,12552
1509732888,12546,12546
1509736502,12537,12537
1509740097,12520,12520
1509743702,12508,12508
1509747292,12493,12493
1509750906,12474,12474
1509754492,12469,12469
1509758121,12437,12437
1509761701,12427,12427
1509765296,12405,12405
1509768897,12412,12412
1509772491,12407,12407
1509776083,12410,12410
1509779685,12413,12413
1509783282,12408,12408
1509786885,12407,12407
1509790474,12374,12374
1509794081,12358,12358
1509797729,12357,12357
1509801343,12328,12328
1509804881,12305,12305
1509808480,12306,12306
1509812090,12302,12302
1509815690,12293,12293
1509819285,12294,12294
1509822881,12289,12289
1509826487,12305,12305
1509830090,12301,12301
1509833694,12303,12303
1509837292,12317,12317
1509840888,12324,12324
1509844488,12325,12325
1509848079,12322,12322
1509851677,12313,12313
1509855283,12313,12313
1509858884,12315,12315
1509862475,12305,12305
1509866076,12287,12287
1509869673,12299,12299
1509873276,12298,12298
1509876876,12305,12305
1509880478,12305,12305
1509884079,12302,12302
1509887711,12305,12305
1509891275,12321,12321
1509894899,12314,12314
1509898475,12304,12304
1509902076,12305,12305
1509905697,12307,12307
1509909276,12297,12297
1509912894,12296,12296
1509916491,12292,12292
1509920100,12293,12293
1509923686,12288,12288
1509927279,12291,12291
1509930877,12286,12286
1509934485,12358,12358
1509938116,12412,12412
1509941728,12448,12448
1509945324,12460,12460
1509948928,12469,12469
1509952486,12476,12476
1509956082,12502,12502
1509963376,12511,12511
1509966926,12523,12523
1509970543,12530,12530
1509974132,12527,12527
1509977711,12527,12527
1509981312,12531,12531
1509984914,12517,12517
1509988510,12532,12532
1509992112,12518,12518
1509995778,12515,12515
1509999310,12519,12519
1510002910,12524,12524
1510006524,12533,12533
1510010383,12539,12539
1510013699,12538,12538
1510017305,12514,12514
1510020901,12524,12524
1510024479,12524,12524
1510028086,12523,12523
1510031699,12524,12524
1510035296,12523,12523
1510038902,12536,12536
1510042573,12542,12542
1510046087,12554,12554
1510049685,12552,12552
1510053279,12540,12540
1510056888,12551,12551
1510060500,12546,12546
1510064154,12538,12538
1510067771,12558,12558
1510071295,12572,12572
1510074971,12577,12577
1510078592,12586,12586
1510082156,12568,12568
1510085840,12561,12561
1510089363,12551,12551
1510093149,12579,12579
1510096701,12579,12579
1510100315,12571,12571
1510104001,12557,12557
1510107459,12547,12547
1510111025,12528,12528
1510114607,12508,12508
1510118156,12497,12497
1510121738,12481,12481
1510125424,12449,12449
1510128970,12427,12427
1510132715,12387,12387
1510136145,12362,12362
1510139765,12339,12339
1510143372,12327,12327
1510146918,12315,12315
1510150504,12282,12282
1510154086,12244,12244
1510157691,12208,12208
1510161291,12202,12202
1510164899,12202,12202
1510168499,12188,12188
1510172084,12180,12180
1510176301,12170,12170
1510179929,12160,12160
1510183511,12166,12166
1510187052,12156,12156
1510190727,12132,12132
1510194378,12112,12112
1510197864,12098,12098
1510201406,12100,12100
1510205133,12075,12075
1510208746,12068,12068
1510212370,12058,12058
1510216029,12054,12054
1510219755,12030,12030
1510223166,12020,12020
1510226703,12007,12007
1510229828,11988,11988
1510233410,11959,11959
1510236959,11942,11942
1510240550,11950,11950
1510244152,11938,11938
1510247827,11936,11936
1510251359,11915,11915
1510254977,11924,11924
1510258579,11924,11924
1510262178,11936,11936
1510265824,11940,11940
1510269335,11921,11921
1510273044,11987,11987
1510276561,12195,12195
1510280427,12374,12374
1510283841,12502,12502
1510287461,12564,12564
1510291043,12605,12605
1510294621,12625,12625
1510298209,12643,12643
1510301802,12620,12620
1510305409,12633,12633
1510309051,12655,12655
1510312618,12664,12664
1510316191,12676,12676
1510319797,12705,12705
1510323408,12707,12707
1510330867,12714,12714
1510334489,12708,12708
1510338036,12709,12709
1510341623,12711,12711
1510345224,12700,12700
