DateTime,Entries,UniqueIPs
1509071763,6282,6282
1509077762,6264,6264
1509079682,6235,6235
1509087363,6283,6283
1509089286,6304,6304
1509093122,6296,6296
1509098883,6293,6293
1509104643,6329,6329
1509106564,6359,6359
1509108482,6371,6371
1509114482,6338,6338
1509118323,6347,6347
1509122164,6356,6356
1509126004,6381,6381
1509127923,6356,6356
1509129844,6385,6385
1509131764,6387,6387
1509133683,6385,6385
1509135602,6387,6387
1509137764,6385,6385
1509139682,6368,6368
1509141613,6354,6354
1509145922,6323,6323
1509150243,6332,6332
1509152163,6292,6292
1509156010,6299,6299
1509157922,6310,6310
1509161762,6246,6246
1509163682,6299,6299
1509165602,6310,6310
1509167523,6223,6223
1509169443,6256,6256
1509173283,6267,6267
1509179042,6284,6284
1509180963,6293,6293
1509182882,6267,6267
1509184814,6302,6302
1509186723,6311,6311
1509190562,6319,6319
1509196323,6351,6351
1509198243,6373,6373
1509202082,6385,6385
1509206163,6373,6373
1509208082,6403,6403
1509210006,6384,6384
1509213843,6387,6387
1509215763,6395,6395
1509221763,6377,6377
1509223684,6367,6367
1509228016,6352,6352
1509230644,6314,6314
1509234483,6354,6354
1509239043,6325,6325
1509240963,6330,6330
1509243122,6325,6325
1509245044,6330,6330
1509250802,6269,6269
1509252725,6263,6263
1509254643,6282,6282
1509260412,6291,6291
1509262804,6301,6301
1509270722,6328,6328
1509272643,6301,6301
1509274563,6343,6343
1509278408,6362,6362
1509282243,6388,6388
1509284163,6406,6406
1509288003,6412,6412
1509291842,6398,6398
1509295682,6396,6396
1509301922,6402,6402
1509303843,6411,6411
1509305762,6405,6405
1509307683,6411,6411
1509309604,6405,6405
1509312005,6402,6402
1509313922,6366,6366
1509317763,6326,6326
1509321613,6316,6316
1509323525,6320,6320
1509327364,6318,6318
1509331205,6299,6299
1509333122,6273,6273
1509335044,6299,6299
1509336964,6273,6273
1509338885,6235,6235
1509344642,6244,6244
1509346565,6251,6251
1509350425,6273,6273
1509352323,6288,6288
1509356162,6296,6296
1509360004,6290,6290
1509363844,6302,6302
1509367682,6314,6314
1509369604,6302,6302
1509371523,6334,6334
1509375363,6336,6336
1509379214,6351,6351
1509381125,6353,6353
1509384964,6358,6358
1509388806,6336,6336
1509390722,6365,6365
1509392645,6363,6363
1509396484,6347,6347
1509400323,6307,6307
1509402243,6363,6363
1509404165,6323,6323
1509409922,6266,6266
1509411844,6270,6270
1509414003,6286,6286
1509415925,6266,6266
1509417843,6286,6286
1509423605,6206,6206
1509425522,6215,6215
1509427443,6194,6194
1509429363,6210,6210
1509433211,6201,6201
1509435125,6194,6194
1509437043,6211,6211
1509438964,6223,6223
1509444723,6223,6223
1509446643,6241,6241
1509450483,6238,6238
1509454327,6252,6252
1509456243,6238,6238
1509458164,6292,6292
1509462008,6238,6238
1509463923,6289,6289
1509465845,6275,6275
1509467762,6275,6275
1509471604,6267,6267
1509475442,6275,6275
1509477363,6278,6278
1509481204,6283,6283
1509483613,6286,6286
1509485524,6211,6211
1509489362,6260,6260
1509493444,6201,6201
1509497282,6227,6227
1509501363,6286,6286
1509505207,6299,6299
1509507123,6283,6283
1509509043,6299,6299
1509510962,6247,6247
1509514802,6283,6283
1509516723,6292,6292
1509518643,6311,6311
1509522482,6309,6309
1509526322,6315,6315
1509532083,6325,6325
1509534011,6326,6326
1509535924,6349,6349
1509540003,6365,6365
1509541922,6349,6349
1509543845,6325,6325
1509545763,6392,6392
1509549602,6394,6394
1509551523,6420,6420
1509554164,6403,6403
1509560403,6444,6444
1509562322,6448,6448
1509564243,6315,6315
1509566164,6463,6463
1509568083,6448,6448
1509570011,6463,6463
1509571922,6430,6430
1509577683,6385,6385
1509579604,6350,6350
1509583922,6379,6379
1509589684,6373,6373
1509591611,6355,6355
1509593522,6336,6336
1509597603,6327,6327
1509601443,6332,6332
1509605522,6327,6327
1509609364,6333,6333
1509615124,6393,6393
1509618962,6392,6392
1509620882,6393,6393
1509623523,6392,6392
1509625443,6398,6398
1509629283,6407,6407
1509631207,6408,6408
1509633122,6407,6407
1509635043,6421,6421
1509640802,6424,6424
1509644643,6426,6426
1509648483,6439,6439
1509650402,6426,6426
1509652322,6450,6450
1509656163,6439,6439
1509660009,6423,6423
1509662162,6405,6405
1509666003,6381,6381
1509669843,6387,6387
1509673684,6391,6391
1509677522,6364,6364
1509679444,6405,6405
1509681363,6364,6364
1509683293,6343,6343
1509685208,6312,6312
1509687122,6336,6336
1509690962,6338,6338
1509694802,6341,6341
1509698643,6349,6349
1509700562,6341,6341
1509702482,6351,6351
1509704402,6343,6343
1509706322,6349,6349
1509708242,6339,6339
1509710164,6341,6341
1509712083,6339,6339
1509714007,6341,6341
1509715922,6377,6377
1509719763,6392,6392
1509723604,6409,6409
1509727442,6429,6429
1509731282,6428,6428
1509733202,6392,6392
1509735123,6447,6447
1509738963,6459,6459
1509740884,6459,6459
1509746883,6440,6440
1509748803,6415,6415
1509753363,6381,6381
1509757208,6387,6387
1509761042,6398,6398
1509764883,6396,6396
1509766805,6379,6379
1509770645,6337,6337
1509774483,6357,6357
1509780243,6360,6360
1509782163,6373,6373
1509786012,6376,6376
1509789845,6394,6394
1509791762,6376,6376
1509793685,6416,6416
1509795603,6411,6411
1509799443,6427,6427
1509801363,6411,6411
1509803282,6441,6441
1509807122,6470,6470
1509813122,6469,6469
1509816962,6457,6457
1509818882,6469,6469
1509820803,6466,6466
1509826562,6460,6460
1509828482,6456,6456
1509832322,6433,6433
1509836163,6410,6410
1509838563,6375,6375
1509842402,6380,6380
1509846482,6376,6376
1509850322,6347,6347
1509854163,6349,6349
1509858010,6320,6320
1509859928,6342,6342
1509865683,6346,6346
1509869522,6356,6356
1509871443,6371,6371
1509875284,6390,6390
1509881043,6397,6397
1509882963,6417,6417
1509886810,6421,6421
1509888722,6444,6444
1509892562,6455,6455
1509896643,6445,6445
1509898563,6455,6455
1509900483,6468,6468
1509904322,6445,6445
1509906243,6471,6471
1509908163,6480,6480
1509911283,6455,6455
1509913202,6454,6454
1509915123,6455,6455
1509917044,6454,6454
1509918963,6432,6432
1509920884,6480,6480
1509922807,6405,6405
1509924723,6454,6454
1509926643,6375,6375
1509930722,6397,6397
1509932645,6407,6407
1509936484,6391,6391
1509940324,6374,6374
1509944165,6331,6331
1509948012,6330,6330
1509949923,6366,6366
1509955683,6330,6330
1509957603,6361,6361
1509961443,6373,6373
1509965284,6394,6394
1509969122,6397,6397
1509972963,6411,6411
1509975124,6422,6422
1509980882,6418,6418
1509986644,6437,6437
1509991445,6437,6437
1509993362,6405,6405
1509999124,6423,6423
1510001042,6442,6442
1510005364,6433,6433
1510009209,6411,6411
1510011122,6385,6385
1510014962,6383,6383
1510018804,6392,6392
1510022642,6367,6367
1510026482,6355,6355
1510032243,6337,6337
1510036085,6336,6336
1510038009,6343,6343
1510039923,6354,6354
1510043762,6364,6364
1510045683,6373,6373
1510051444,6353,6353
1510053363,6372,6372
1510061043,6354,6354
1510062964,6408,6408
1510065123,6427,6427
1510068962,6418,6418
1510076643,6416,6416
1510082402,6420,6420
1510084322,6445,6445
1510087203,6440,6440
1510091042,6414,6414
1510096802,6394,6394
1510098722,6356,6356
1510100642,6394,6394
1510102810,6362,6362
1510104722,6369,6369
1510112402,6340,6340
1510116243,6321,6321
1510120082,6309,6309
1510122002,6321,6321
1510125842,6324,6324
1510127763,6341,6341
1510129924,6309,6309
1510131843,6347,6347
1510133763,6366,6366
1510135682,6363,6363
1510143363,6364,6364
1510145283,6324,6324
1510147203,6386,6386
1510149122,6422,6422
1510151043,6366,6366
1510152964,6400,6400
1510156807,6396,6396
1510162562,6440,6440
1510166884,6432,6432
1510170722,6446,6446
1510174563,6452,6452
1510178406,6436,6436
1510180323,6414,6414
1510184163,6436,6436
1510186083,6403,6403
1510192083,6388,6388
1510197843,6361,6361
1510199765,6343,6343
1510203611,6313,6313
1510205763,6303,6303
1510213682,6313,6313
1510215845,6297,6297
1510217763,6117,6117
1510220405,6118,6118
1510224484,6291,6291
1510226402,6388,6388
1510228323,6291,6291
1510230243,6309,6309
1510232165,6380,6380
1510237923,6385,6385
1510239845,6394,6394
1510243684,6405,6405
1510247525,6401,6401
1510249683,6415,6415
1510253523,6412,6412
1510257363,6422,6422
1510261255,6434,6434
1510263124,6414,6414
1510268415,6363,6363
1510270322,1457,1457
1510272244,6414,6414
1510274162,6355,6355
1510278249,6355,6355
1510282082,6314,6314
1510287844,6310,6310
1510289763,6289,6289
1510295523,6313,6313
1510299363,6275,6275
1510301283,6336,6336
1510303205,6350,6350
1510307045,6336,6336
1510308962,6385,6385
1510310884,6376,6376
1510314723,6383,6383
1510316643,6376,6376
1510318564,6383,6383
1510320483,6387,6387
1510322411,6406,6406
1510326245,6406,6406
1510328162,6422,6422
1510332004,6430,6430
1510335843,6448,6448
1510339682,6448,6448
1510343522,6439,6439
1510347363,6429,6429
1510351210,6425,6425
1510353125,6380,6380
1510359603,6333,6333
1510361522,6380,6380
1510363442,6355,6355
1510365363,6369,6369
1510369208,6349,6349
1510371122,6339,6339
1510374962,6304,6304
1510378804,6303,6303
1510382642,6339,6339
1510386483,6342,6342
1510390563,6358,6358
1510392483,6380,6380
1510396322,6390,6390
1510400162,6402,6402
1510404002,6400,6400
1510407842,6390,6390
1510411682,6411,6411
1510417682,6409,6409
1510419606,6420,6420
1510421522,6433,6433
1510426324,6414,6414
1510432083,6419,6419
1510434014,6388,6388
1510435922,6378,6378
1510441684,6360,6360
1510445770,6309,6309
1510447682,6322,6322
1510451522,6318,6318
1510455363,6297,6297
1510459212,6291,6291
1510463043,6277,6277
1510464963,6265,6265
1510468805,6289,6289
1510472644,6308,6308
1510478402,6315,6315
1510480323,6331,6331
1510484165,6340,6340
1510489923,6370,6370
1510495211,6406,6406
1510497122,6384,6384
1510499042,6406,6406
1510500962,6384,6384
1510502883,6392,6392
1510504804,6396,6396
1510510562,6406,6406
1510512482,6398,6398
1510514403,6406,6406
1510516322,6392,6392
1510518242,6406,6406
1510520164,6392,6392
1510522084,6376,6376
1510524013,6365,6365
1510525923,6353,6353
1510529762,6365,6365
1510531683,6322,6322
1510535763,6323,6323
1510541522,6293,6293
1510545363,6281,6281
1510551122,6267,6267
1510553042,6260,6260
1510554963,6293,6293
1510558802,6301,6301
1510562643,6326,6326
1510564563,6330,6330
1510570322,6326,6326
1510572242,6322,6322
1510576083,6324,6324
1510578013,6342,6342
1510583283,6357,6357
1510585214,6378,6378
1510587123,6357,6357
1510590962,6362,6362
1510594803,6389,6389
1510600564,6374,6374
1510602482,6385,6385
1510606322,6369,6369
1510608484,6362,6362
1510610412,6361,6361
1510614242,6329,6329
1510616163,6298,6298
1510620005,6326,6326
1510623843,6338,6338
1510625763,6329,6329
1510627683,6292,6292
1510629602,6326,6326
1510631523,6301,6301
1510635365,6272,6272
1510639214,6285,6285
1510641123,6301,6301
1510645202,6305,6305
1510650963,6324,6324
1510652882,6305,6305
1510656722,6336,6336
