DateTime,AddedIPs,RemovedIPs
1501281913,0,1
1501288214,1,0
1501302913,1,0
1501308912,0,1
1501361412,1,0
1501361713,0,1
1501367713,0,0
1501373112,1,0
1501383913,0,1
1501497013,1,0
1501515312,1,0
1501538113,1,0
1501574413,0,1
1501614613,0,1
1501650013,0,1
1501652112,0,1
1501753212,0,1
1501858213,0,1
1501950913,0,1
1501968612,0,3
1502388616,0,1
1502486114,0,2
1502486715,0,1
1502487013,0,2
1502487314,0,1
1502523914,2,0
1502525413,1,0
1502537714,2,0
1502589915,1,0
1502631914,1,0
1502655313,2,0
1502697014,0,1
1502702414,1,0
1502704813,1,0
1502705713,1,0
1502721015,0,1
1502722213,0,1
1502748913,1,0
1502749214,0,1
1502772314,0,1
1502778614,0,1
1502800213,0,1
1502800814,1,0
1502805614,1,0
1502810714,0,1
1502813414,1,0
1502814915,1,0
1502818515,1,0
1502819714,0,1
1502826016,0,1
1502838613,0,1
1502839814,1,0
1502886015,1,0
1502901613,0,1
1502923214,1,0
1502952313,1,0
1502965213,1,0
1502992214,1,0
1503005123,0,1
1503039015,0,1
1503049214,1,0
1503060913,0,1
1503085515,1,0
1503094814,1,0
1503135014,0,1
1503139214,1,0
1503159919,1,0
1503162014,2,0
1503176114,1,0
1503195015,1,0
1503196814,1,0
1503288014,1,0
1503305713,0,1
1503307816,1,0
1503308714,1,0
1503310514,1,0
1503321614,1,0
1503326415,1,0
1503341114,1,0
1503354014,0,1
1503362114,1,0
1503364815,1,0
1503369914,0,1
1503440731,1,0
1503443714,1,0
1503468315,0,1
1503468614,1,0
1503488714,0,1
1503491116,1,0
1503518413,1,0
1503519015,0,1
1503564914,1,0
1503590714,0,1
1503594314,1,0
1503598514,1,0
1503615915,1,0
1503618016,1,0
1503618315,1,0
1503619215,0,1
1503640214,1,0
1503641414,0,1
1503642015,1,0
1503659413,1,0
1503672314,0,1
1503674114,1,0
1503677115,1,0
1503680116,1,0
1503741314,1,0
1503742815,0,1
1503769215,1,0
1503771013,1,0
1503776715,1,0
1503781815,1,0
1503812415,1,0
1503847214,1,0
1503859515,1,0
1503904215,0,1
1503910514,0,1
1503917115,0,1
1503918614,1,0
1503926719,2,0
1503937813,2,0
1503945914,0,1
1503957618,1,0
1503975314,1,0
1503993614,1,0
1504000816,0,1
1504015514,1,0
1504039815,0,1
1504056014,1,0
1504056614,1,0
1504107615,0,1
1504169713,0,1
1504176314,0,1
1504179614,0,1
1504282213,0,1
1504298416,0,1
1504606515,0,1
1504878913,0,1
1505213415,0,1
1505385013,0,1
1505429115,0,0
1505431216,0,0
1505465414,0,1
1505702715,0,1
1505800215,0,1
1505808615,0,1
1505867115,0,1
1505942414,0,1
1505996417,0,1
1506011715,0,1
1506012014,0,2
1506012613,0,1
1506012913,0,2
1506013214,0,2
1506013814,0,2
1506018914,0,2
