DateTime,AddedIPs,RemovedIPs
1509744915,2,0
1509746415,1,0
1509746715,5,0
1509747014,1,0
1509747615,2,0
1509747917,1,0
1509748515,1,0
1509750915,3,0
1509752114,6,0
1509752415,9,0
1509752714,4,0
1509753314,17,0
1509753617,4,0
1509754516,5,0
1509755116,3,0
1509755417,1,0
1509756015,2,0
1509756314,1,0
1509757516,2,0
1509758114,1,0
1509758415,1,0
1509758717,2,0
1509759315,10,0
1509775814,0,1
1509792315,1,0
1509793515,0,1
1509793814,1,0
1509794115,7,0
1509794415,3,0
1509794718,3,0
1509795017,7,0
1509795314,3,0
1509795615,5,0
1509795915,11,0
1509796215,4,0
1509796515,3,0
1509796815,7,0
1509797115,4,0
1509797414,1,0
1509798915,0,1
1509799215,1,0
1509799514,1,0
1509800114,1,0
1509801014,0,1
1509802215,1,0
1509803115,1,0
1509803415,1,0
1509804015,0,1
1509809714,2,0
1509810316,3,0
1509810915,5,0
1509811215,1,0
1509811515,2,0
1509811814,4,0
1509812415,1,0
1509812723,6,1
1509813015,1,1
1509815414,1,0
1509816315,1,0
1509816914,1,0
1509817814,1,0
1509818115,7,0
1509818415,7,0
1509818714,4,0
1509819314,5,0
1509819615,7,0
1509819922,1,0
1509820214,4,0
1509820515,3,0
1509820815,4,0
1509821114,6,0
1509821416,3,0
1509822315,1,0
1509824115,1,0
1509824415,2,0
1509825314,1,0
1509825914,2,0
1509826216,3,0
1509826514,1,0
1509826815,10,0
1509827118,2,0
1509828016,11,0
1509828314,2,0
1509828915,3,0
1509829215,2,0
1509829515,5,0
1509829815,10,0
1509830415,7,0
1509831015,6,0
1509832816,1,0
1509835215,1,0
1509838214,0,1
1509839415,1,0
1509839715,1,0
1509844815,0,1
1509846914,2,0
1509847214,1,0
1509847516,6,0
1509847815,3,0
1509848114,3,0
1509848415,1,0
1509848718,3,0
1509849315,1,0
1509849615,3,0
1509850214,2,0
1509858314,0,1
1509860415,2,0
1509871215,0,1
1509876915,6,0
1509877215,4,0
1509877515,1,0
1509882015,11,0
1509883814,1,0
1509884716,1,0
1509889215,1,0
1509900914,1,0
1509901215,1,0
1509901515,1,0
1509903615,0,1
1509904515,1,0
1509910814,1,0
1509911114,1,1
1509922817,1,0
1509925816,1,0
1509928515,1,0
1509928814,0,1
1509933315,1,0
1509941115,5,0
1509941414,3,0
1509942315,1,0
1509942614,3,0
1509943215,6,0
1509943815,1,0
1509944415,2,0
1509945314,1,0
1509945916,2,0
1509947115,3,0
1509947415,1,0
1509951615,0,1
1509952815,1,0
1509963015,0,1
1509963615,1,0
1509968115,1,0
1509969616,1,1
1509971118,1,0
1509971714,0,1
1509972014,0,1
1509977114,1,0
1509981616,1,0
1509987916,1,0
1509990915,1,0
1509993915,1,0
1509994515,1,0
1509994815,3,0
1509995114,2,0
1509996915,2,0
1509997214,3,0
1509997814,1,0
1509998115,1,0
1510000214,2,0
1510001714,1,0
1510002614,6,0
1510002914,2,0
1510004717,28,1
1510005315,1,0
1510005915,1,0
1510008315,1,0
1510008914,3,0
1510010415,1,0
1510011014,1,0
1510011615,3,0
1510012815,1,0
1510013714,2,0
1510014316,1,0
1510014616,1,0
1510015215,3,0
1510015515,3,0
1510015814,1,0
1510016416,98,0
1510016715,19,0
1510017313,9,0
1510018816,1,0
1510019116,1,0
1510019416,2,0
1510020016,1,0
1510020615,3,0
1510021215,3,0
1510021519,1,0
1510021816,3,0
1510022115,2,0
1510022416,2,1
1510023013,3,0
1510023615,2,0
1510023914,1,0
1510024515,1,0
1510024816,1,0
1510025123,2,0
1510026015,4,0
1510027515,3,0
1510031115,2,0
1510031415,13,0
1510043417,1,0
1510043714,1,0
1510047014,1,0
1510051815,1,0
1510055416,1,0
1510063814,0,1
1510065017,0,1
1510068015,1,0
1510068320,1,0
1510068915,2,0
1510069217,2,0
1510069816,1,0
1510070115,3,0
1510070414,2,0
1510070715,1,0
1510071015,1,0
1510071314,1,0
1510072215,1,0
1510074015,1,0
1510074615,3,0
1510078515,1,0
1510082415,1,0
1510086622,2,0
1510087817,1,0
1510088715,1,0
1510089916,2,0
1510092315,1,0
1510092616,1,0
1510092915,1,0
1510093215,1,0
1510093519,1,0
1510093814,1,0
1510096515,1,0
1510098016,1,0
1510100721,4,0
1510101017,15,0
1510101314,6,0
1510101914,12,0
1510102216,4,0
1510102815,23,0
1510103115,8,0
1510103415,8,0
1510103714,13,0
1510104015,1,0
1510104615,4,0
1510105215,1,0
1510105515,11,0
1510106115,11,0
1510106415,3,0
1510107014,4,0
1510107314,12,0
1510107614,2,0
1510107914,1,0
1510108216,3,0
1510108514,5,0
1510108815,1,0
1510109115,4,0
1510109414,1,0
1510110015,2,0
1510120816,2,0
1510122015,1,0
1510122328,2,0
1510128616,1,0
1510136115,0,1
1510136415,1,1
1510136716,1,0
1510138215,2,0
1510138514,0,1
1510138814,1,0
1510139415,1,0
1510142714,1,0
1510147515,1,0
1510148415,1,0
1510153814,1,0
1510155315,1,0
1510155614,1,0
1510156815,1,0
1510158615,1,0
1510161316,1,0
1510168214,1,0
1510176015,1,0
1510179315,1,0
1510182915,1,0
1510183214,1,0
1510183814,12,0
1510184116,3,0
1510184415,1,0
1510185015,5,0
1510185314,2,0
1510185614,3,0
1510186214,3,0
1510186815,3,0
1510187416,1,0
1510189815,1,0
1510196114,3,0
1510196415,6,0
1510196715,1,0
1510197015,5,0
1510201215,1,0
1510203015,1,0
1510203614,1,0
1510208114,1,0
1510211415,1,1
1510212016,1,0
1510220115,3,0
1510221916,6,0
1510236616,1,0
1510236914,2,0
1510237215,1,0
1510241715,1,0
1510242015,1,0
1510242615,0,1
1510251616,1,0
1510253714,1,1
1510254316,0,1
1510256117,1,0
1510258215,2,0
1510258515,1,0
1510258815,2,0
1510260315,1,0
1510266015,3,0
1510266318,4,0
1510268115,29,1
1510268419,4,0
1510268717,2,0
1510269315,4,0
1510277119,1,0
1510279515,5,0
1510280115,6,0
1510280415,3,0
1510285815,1,0
1510288815,0,1
1510299014,2,0
1510299615,1,0
1510301415,1,0
1510304416,1,0
1510308315,0,1
1510312214,2,0
1510312515,4,0
1510312815,8,0
1510313119,5,0
1510313416,3,0
1510313714,3,0
1510314016,7,0
1510314316,6,0
1510314616,6,0
1510315217,5,0
1510316115,1,0
1510319414,0,1
1510332016,3,0
1510332314,6,0
1510332914,22,0
1510333215,9,0
1510333814,4,0
1510334415,3,0
1510334714,3,0
1510336815,1,0
1510345815,1,0
1510347314,8,0
1510347617,5,0
1510348215,3,0
1510348515,2,0
1510348815,3,0
1510349113,2,0
1510349715,11,0
1510350315,1,0
1510350615,1,0
1510351217,2,0
1510352715,1,0
1510355118,5,0
1510356014,6,0
1510357214,1,0
1510358415,2,0
1510359315,1,0
1510359615,1,0
1510359916,1,0
1510360515,1,0
1510361715,0,1
1510362315,1,0
1510362614,1,0
1510364715,1,0
1510365015,1,0
1510367126,1,0
1510374615,1,0
1510378217,0,1
1510380315,0,1
1510386315,1,0
1510390215,0,1
1510400114,1,0
1510407016,2,0
1510407313,2,0
1510407616,1,0
1510408215,3,0
1510408515,2,0
1510408816,2,0
1510409115,1,0
1510409714,1,0
1510410015,2,0
1510410317,2,0
1510410614,1,0
1510413014,1,0
1510417215,1,0
1510418114,1,0
1510419014,1,0
1510421118,2,0
1510425914,2,0
1510426215,2,0
1510426514,5,0
1510426815,2,0
1510427115,5,0
1510427415,6,0
1510428015,9,0
1510428327,9,0
1510428616,3,0
1510428914,6,0
1510429216,4,0
1510444215,1,0
1510444815,1,0
1510445414,1,0
1510446615,1,0
1510457416,0,1
1510476914,1,0
1510478115,1,0
1510484417,1,0
1510488915,1,0
1510491015,1,0
1510491914,1,0
1510495215,17,0
1510495515,5,0
1510495815,7,0
1510496116,5,0
1510496415,5,0
1510496719,1,0
1510497014,5,0
1510497918,15,0
1510498214,1,0
1510500015,1,0
1510521014,1,0
1510527618,1,0
1510528514,1,0
1510530914,1,0
1510532116,1,0
1510532719,1,0
1510533015,1,0
1510546815,3,0
1510547116,5,0
1510547416,2,0
1510547714,8,0
1510548016,2,0
1510548315,4,0
1510548614,8,0
1510549216,12,0
1510549515,5,0
1510550115,4,0
1510562115,1,0
1510581914,1,0
1510582216,1,1
1510583121,0,1
1510584616,2,0
1510585216,3,0
1510585514,1,0
1510586114,3,1
1510586416,2,0
1510587015,4,0
1510587314,2,0
1510587915,3,0
1510588216,1,0
1510588515,2,0
1510591814,1,0
1510594214,1,0
1510595715,26,0
1510599916,1,0
1510602614,0,1
1510605016,0,1
1510617015,2,0
1510617315,1,0
1510618515,1,0
1510618814,1,0
1510619416,0,1
1510621215,1,0
1510628114,7,0
1510628417,7,0
1510628716,5,0
1510629014,3,0
1510629315,6,0
1510629615,3,0
1510629916,4,0
1510630216,5,0
1510630514,5,0
1510630815,3,0
1510631414,5,0
1510632914,1,0
1510637115,1,0
1510649415,1,0
1510650315,1,0
1510652716,1,0
1510653314,1,0
1510653615,1,0
1510657216,0,1
