DateTime,AddedIPs,RemovedIPs
1502439613,10,0
1502468413,15,0
1502470212,0,1
1502497213,14,0
1502526014,9,3
1502534115,0,1
1502554813,14,0
1502583614,17,6
1502612413,12,0
1502632813,0,1
1502641213,10,0
1502666113,0,1
1502670013,17,0
1502696413,0,1
1502698817,35,3
1502727612,25,3
1502756412,23,0
1502766613,0,1
1502775313,0,1
1502780413,0,1
1502785215,12,0
1502787013,1,0
1502814013,16,0
1502836213,1,0
1502842813,24,0
1502843119,11,0
1502871613,10,0
1502900413,18,0
1502902513,1,0
1502929215,17,3
1502929813,16,0
1502936113,0,1
1502945414,0,1
1502956213,0,1
1502958322,15,0
1502958613,25,0
1502964014,14,0
1502986813,17,0
1502987414,11,0
1502991613,0,1
1503015613,23,0
1503016213,11,0
1503029413,0,1
1503044414,7,3
1503073214,16,0
1503102013,16,0
1503130813,12,3
1503131114,0,1
1503159613,13,0
1503188414,17,0
1503217214,25,0
1503217518,2,0
1503246014,19,0
1503251713,12,0
1503274814,26,0
1503279314,0,1
1503301813,0,1
1503303914,16,0
1503327913,0,1
1503332414,23,0
1503342613,0,1
1503350415,0,1
1503361214,16,0
1503387313,0,1
1503390014,13,0
1503412813,0,1
1503418814,21,0
1503419122,7,0
1503447614,15,0
1503463213,0,1
1503476414,4,0
1503477014,12,0
1503505214,18,0
1503530414,0,1
1503534013,12,0
1503550814,0,1
1503562814,16,3
1503591614,15,0
1503620413,20,0
1503649214,13,0
1503678014,19,0
1503678314,3,0
1503706813,14,0
1503710113,0,1
1503714915,1,0
1503735614,20,3
1503764414,21,0
1503793214,22,0
1503822014,17,0
1503838814,0,1
1503850813,23,3
1503879615,13,0
1503908414,10,0
1503913514,0,1
1503930914,1,0
1503937215,24,0
1503938414,0,1
1503966014,23,0
1503970213,0,1
1503994814,13,0
1504016113,0,1
1504019415,0,1
1504023613,15,0
1504026914,0,1
1504027816,1,0
1504043714,0,1
1504052414,19,0
1504053614,0,1
1504081215,15,0
1504110014,20,0
1504138814,19,0
1504139117,15,0
1504167614,25,0
1504196414,17,3
1504206318,17,1
1504207213,0,1
1504225214,18,0
1504225516,7,0
1504254015,11,9
1504282814,16,0
1504311615,16,6
1504340415,17,0
1504344614,2,0
1504369215,19,0
1504373715,0,1
1504383314,0,1
1504398014,7,0
1504426513,1,0
1504426814,6,0
1504455616,5,0
1504483217,1,0
1504484414,15,0
1504513214,14,0
1504535414,0,1
1504542014,19,0
1504570814,13,0
1504590614,0,1
1504599615,8,0
1504607713,1,0
1504628415,12,0
1504652113,1,0
1504657214,14,0
1504659014,0,1
1504686014,12,0
1504701014,0,1
1504705215,0,1
1504715116,13,0
1504730113,3,0
1504743614,24,0
1504756215,0,1
1504760714,0,1
1504761615,0,1
1504772414,2,0
1504776614,0,1
1504785314,0,1
1504790721,0,1
1504832114,1,0
1504887313,0,1
1504961114,0,1
1505128514,0,1
1505191214,0,1
1505253014,2,0
1505269521,0,1
1505296214,0,1
1505310014,1,0
1505324414,1,0
1505331014,0,1
1505331613,1,0
1505342714,0,1
1505373314,1,0
1505429114,0,0
1505431215,0,0
