DateTime,Entries,UniqueIPs
1504882843,27,6912
1504894530,25,6400
1504899025,25,6400
1504965640,28,7168
1504969241,26,6656
1505006134,27,6912
1505045221,30,7680
1505052378,25,6400
1505063319,26,6656
1505067309,27,6912
1505079025,28,7168
1505114109,27,6912
1505131031,24,6144
1505138430,28,7168
1505143818,29,7424
1505149058,28,7168
1505152821,27,6912
1505160046,26,6656
1505165425,27,6912
1505224831,27,6912
1505232069,26,6656
1505248225,25,6400
1505309435,22,5632
1505311241,27,6912
1505325639,27,6912
1505341118,26,6656
1505397655,22,5632
1505400310,21,5376
1505401245,25,6400
1505412931,26,6656
1505424801,27,6912
1505431836,28,7168
1505433664,29,7424
1505487662,25,6400
1505491248,29,7424
1505496404,30,7680
1505498447,29,7424
1505500293,30,7680
1505503371,31,7936
1505506544,30,7680
1505510702,31,7936
1505512849,32,8192
1505523653,33,8448
1505566846,36,9216
1505577641,30,7680
1505582148,29,7424
1505583425,30,7680
1505585736,29,7424
1505589338,28,7168
1505590462,31,7936
1505597625,30,7680
1505598311,29,7424
1505611451,28,7168
1505653259,26,6656
1505654598,25,6400
1505667632,29,7680
1505668545,28,7424
1505672748,27,7168
1505676400,26,6912
1505694565,27,7168
1505695510,26,6912
1505743250,29,7680
1505746849,30,7936
1505753108,27,7168
1505770237,27,6912
1505781304,28,7168
1505829653,28,7168
1505835908,27,6912
1505853006,28,7168
1505864709,27,6912
1505883666,26,6656
1505915109,23,5888
1505917809,22,5632
1505919636,27,6912
1505938812,26,6656
1505988093,25,6400
1506005110,21,5376
1506014111,28,7168
1506018620,29,7424
1506024059,28,7168
1506035822,29,7424
1506058232,30,7680
1506088845,32,8192
1506092444,33,8448
1506097812,34,8704
1506099643,28,7168
1506100990,27,6912
1506139262,28,7168
1506176130,29,7424
1506178845,28,7168
1506184206,27,6912
1506187361,26,6656
1506193246,27,6912
1506196865,27,6912
1506198010,28,7168
1506208538,27,6912
1506260707,25,6400
1506265244,29,7424
1506275108,28,7168
1506277823,29,7424
1506280505,28,7168
1506284214,27,6912
1506326468,26,6656
1506351655,23,5888
1506362440,25,6400
1506364006,26,6656
1506366036,27,6912
1506367605,26,6656
1506369667,25,6400
1506371047,26,6656
1506373270,27,6912
1506435350,30,7936
1506436226,31,8192
1506440382,32,8448
1506447977,29,7680
1506452449,28,7424
1506457834,27,7168
1506459672,27,7168
1506520860,23,6144
1506525338,22,5888
1506528048,29,7680
1506530159,30,7936
1506537471,32,8448
1506538855,33,8704
1506548327,32,8448
1506576846,31,8192
1506613509,23,6144
1506615335,23,5888
1506618045,30,7680
1506625235,29,7424
1506629729,28,7168
1506630780,29,7424
1506645918,28,7168
1506648608,28,7424
1506687326,32,8704
1506704438,26,7168
1506708043,27,7424
1506709816,27,7424
1506720051,28,7680
1506726055,27,7424
1506773136,23,6400
1506780908,29,7936
1506794831,28,7680
1506795305,28,7424
1506798385,27,7168
1506801704,28,7424
1506810629,27,7168
1506858651,30,8192
1506866417,27,7424
1506877216,26,7168
1506927151,30,8192
1506933018,30,8192
1506934316,31,8448
1506945049,29,7680
1506951030,30,7936
1506961835,31,8192
1506969032,30,7936
1506972635,29,7680
1506976236,30,7936
1507013449,29,7424
1507019443,28,7168
1507023042,27,6912
1507032907,26,6656
1507036506,25,6400
1507048242,24,6144
1507050908,23,5888
1507053128,22,5632
1507054507,21,5376
1507060245,27,6912
1507069828,28,7168
1507078521,29,7424
1507129224,32,8192
1507131025,33,8448
1507146638,28,7168
1507155307,27,6912
1507159830,27,7168
1507214709,23,6144
1507215011,27,7168
1507217419,26,6912
1507229397,27,7168
1507301439,23,6144
1507305149,28,7424
1507306507,27,7168
1507307419,28,7424
1507308600,29,7680
1507329028,28,7424
1507384306,32,8448
1507391433,31,7936
1507392907,30,7680
1507398656,29,7424
1507408224,28,7168
1507414507,27,6912
1507415426,28,7168
1507422630,29,7424
1507441882,28,7168
1507470704,23,5888
1507474247,30,7680
1507483823,31,7936
1507486506,30,7680
1507494624,31,7936
1507501823,31,7936
1507509033,32,8192
1507560665,26,6656
1507566630,25,6400
1507568054,33,8448
1507571493,34,8704
1507573821,35,8960
1507577425,36,9216
1507580106,35,8960
1507581026,36,9216
1507588223,37,9472
1507591822,36,9216
1507595426,36,9216
1507635909,35,8960
1507639842,38,9728
1507653019,34,8704
1507657836,33,8448
1507663829,32,8192
1507667429,32,8192
1507674633,31,7936
1507677307,30,7680
1507678231,31,7936
1507681837,30,7680
1507708242,29,7424
1507726239,24,6144
1507732230,23,5888
1507740819,27,6912
1507743018,28,7168
1507780264,29,7424
1507791622,28,7168
1507811433,29,7424
1507816304,37,9728
1507818620,39,10240
1507825824,35,9216
1507835708,34,8960
1507847435,34,8960
1507866662,33,8704
1507903229,24,6400
1507904107,23,6144
1507911308,22,5888
1507913452,28,7424
1507916708,27,7168
1507919427,28,7424
1507924849,29,7680
1507929309,28,7424
1507941035,29,7680
1507992660,37,9728
1507996320,38,9984
1508000098,32,8192
1508002224,33,8448
1508003466,34,8704
1508005822,34,8704
1508013027,35,8960
1508021477,36,9216
1508046649,35,8960
1508079188,26,6656
1508084106,34,8704
1508085019,34,8960
1508087707,33,8704
1508090027,32,8448
1508098506,31,8192
1508099415,32,8448
1508106627,33,8704
1508112031,32,8448
1508113830,33,8704
1508120106,32,8448
1508158284,35,9216
1508169120,29,7680
1508170508,29,7424
1508172669,28,7168
1508184907,27,6912
1508185829,28,7168
1508193036,29,7424
1508194275,30,7680
1508208306,29,7424
1508220906,28,7168
1508244667,24,6144
1508248414,31,7936
1508265024,30,7680
1508277113,31,7936
1508279438,30,7680
1508286637,31,7936
1508319040,30,7680
1508334719,23,5888
1508338458,28,7168
1508343306,27,6912
1508347834,28,7168
1508356269,29,7424
1508372111,28,7168
1508373037,29,7424
1508424307,26,6656
1508428490,27,7936
1508431978,28,8192
1508434231,27,7936
1508435778,29,8448
1508443257,28,8192
1508450438,29,8448
1508459436,29,8448
1508482281,30,8704
1508511091,31,8960
1508513420,32,9216
1508514852,29,7936
1508516108,28,7680
1508517029,29,7936
1508522174,30,8192
1508529645,31,8448
1508530507,30,8192
1508531430,31,8448
1508542243,31,8192
1508568307,31,7936
1508596233,25,6400
1508601620,28,7168
1508603423,28,7168
1508608578,29,7424
1508610622,28,7168
1508617831,29,7424
1508628631,28,7168
1508686237,26,6656
1508687468,31,7936
1508688906,30,7680
1508695206,31,7936
1508697027,30,7680
1508705515,31,7936
1508707823,32,8192
1508711429,33,8448
1508725835,34,8704
1508759600,39,9984
1508763044,39,10240
1508766788,40,10496
1508769023,41,10752
1508774062,35,8960
1508776224,34,8704
1508781357,33,8448
1508790635,34,8704
1508791875,33,8448
1508793308,32,8192
1508797836,31,7936
1508824305,32,8192
1508844640,28,7168
1508850906,27,6912
1508853624,26,6656
1508854507,25,6400
1508860481,30,7680
1508862623,29,7424
1508863950,30,7680
1508869823,29,7424
1508875253,30,7680
1508877028,29,7424
1508922036,28,7168
1508935988,31,7936
1508938219,32,8192
1508945428,28,7168
1508949023,26,6656
1508961048,25,6400
1509022295,23,5888
1509030907,22,5632
1509036772,25,6400
1509039025,26,6656
1509042623,25,6400
1509046229,26,6656
1509057031,27,6912
1509105083,36,9216
1509108750,37,9728
1509121829,38,9984
1509123112,35,9216
1509125419,34,8960
1509132626,33,8704
1509146106,32,8448
1509150635,33,8704
1509161434,34,8960
1509190237,27,7168
1509191471,28,7424
1509193837,27,7168
1509195154,24,6400
1509202356,32,8704
1509204620,33,8960
1509216993,34,9216
1509222629,35,9472
1509229831,35,9472
1509243306,34,9216
1509288690,32,8448
1509290108,31,8192
1509298225,30,7936
1509306939,31,8192
1509308105,30,7936
1509315306,29,7680
1509316230,30,7936
1509317513,31,8192
1509323434,32,8448
1509341434,31,8192
1509375149,26,6656
1509377456,25,6400
1509391858,24,6144
1509400327,23,5888
1509402656,22,5632
1509403897,25,6400
1509406225,26,6656
1509414966,27,6912
1509440460,35,8960
1509468790,36,9216
1509473760,37,9472
1509482708,38,9728
1509489064,35,8960
1509498020,34,8704
1509526268,27,6912
1509560170,26,6656
1509565835,25,6400
1509575437,24,6144
1509576665,30,7680
1509580224,29,7424
1509582621,28,7168
1509583791,29,7424
1509586225,28,7168
1509592576,29,7424
1509613254,30,7680
1509659494,32,8192
1509661818,28,7168
1509666683,29,7424
1509669022,28,7168
1509674090,29,7424
1509691894,31,7936
1509695159,32,8192
1509699179,31,7936
1509717042,32,8192
1509735127,33,8448
1509745903,30,7680
1509759022,29,7424
1509774308,28,7168
1509777005,26,6656
1509780658,25,6400
1509803453,24,6144
1509821456,23,5888
1509832351,27,6912
1509834619,28,7168
1509835540,27,6912
1509841841,26,6656
1509879034,27,6912
1509900686,30,7680
1509911146,31,7936
1509911413,32,8192
1509918659,29,7424
1509921941,29,7424
1509967828,28,7168
1509968999,33,8448
1509987018,30,7680
1509989437,31,7936
1509994216,32,8192
1509995751,31,7936
1509996623,32,8192
1509997826,31,7936
1510012243,32,8192
1510020906,31,7936
1510044617,32,8192
1510055119,30,7680
1510056918,29,7424
1510075820,27,6912
1510079416,25,6400
1510084296,30,7680
1510094992,31,7936
1510102620,33,8448
1510121707,32,8192
1510131013,31,7936
1510170702,24,6144
1510181445,27,6912
1510187420,26,6656
1510224647,32,8192
1510249775,33,8448
1510263019,34,8704
1510263938,35,8960
1510267781,33,8448
1510273818,32,8192
1510289399,36,9216
1510296577,37,9472
1510311187,33,8448
1510336253,32,8192
1510349437,31,7936
1510360234,32,8192
1510365002,31,7936
1510375813,26,6656
1510381844,27,6912
1510396249,26,6656
1510399853,25,6400
