DateTime,AddedIPs,RemovedIPs
1510178441,37,16
1510179399,32,24
1510180359,55,48
1510181318,37,17
1510182279,34,26
1510183472,37,58
1510184686,29,46
1510185632,32,32
1510186837,35,24
1510187793,49,28
1510188733,37,34
1510189709,37,34
1510190655,26,54
1510191612,47,33
1510192595,50,35
1510193536,54,39
1510194508,30,44
1510195457,40,43
1510196476,44,25
1510197381,32,38
1510198350,36,37
1510199302,34,39
1510200481,45,40
1510201466,97,161
1510202791,48,58
1510203871,33,27
1510204952,43,26
1510205906,40,31
1510206862,46,46
1510207834,56,28
1510208788,28,26
1510209948,47,29
1510210968,44,44
1510211944,29,23
1510212988,38,31
1510214323,58,71
1510215387,52,38
1510216342,21,34
1510217318,36,29
1510218262,41,22
1510221144,85,113
1510222105,57,37
1510223054,47,0
1510224026,38,47
1510225009,22,24
1510225958,34,24
1510226916,36,5
1510227857,25,7
1510228837,31,0
1510229802,31,24
1510230750,43,2
1510231699,25,9
1510232681,35,23
1510233626,27,0
1510234591,35,8
1510235547,24,13
1510236497,24,3
1510237468,28,6
1510238424,26,0
1510239383,35,26
1510240356,38,6
1510241310,33,25
1510242260,26,1
1510243226,40,3
1510244199,34,10
1510245136,37,0
1510246099,20,8
1510247073,35,3
1510247542,871,1387
1510248031,18,3
1510249239,39,14
1510250182,40,6
1510251138,29,11
1510252115,26,1
1510253067,31,0
1510254057,34,10
1510254989,35,2
1510255953,42,3
1510256899,35,7
1510257875,38,8
1510258825,32,4
1510259775,42,8
1510260755,44,7
1510261694,22,0
1510262668,25,5
1510263140,41,34
1510263633,36,9
1510264583,28,2
1510265549,31,3
1510266507,11,6
1510268507,116,33
1510269611,26,2
1510270582,28,5
1510271543,41,11
1510272496,41,2
1510273453,46,6
1510274436,39,24
1510275374,46,3
1510276363,36,8
1510277295,37,9
1510278278,59,14
1510279233,37,6
1510280208,29,12
1510281152,33,3
1510282098,32,16
1510283076,49,6
1510284035,17,8
1510284982,41,6
1510285949,54,18
1510286897,39,3
1510287888,85,69
1510288814,51,0
1510289813,52,5
1510290735,46,0
1510291725,34,9
1510292658,51,0
1510293631,45,11
1510294601,28,6
1510295550,44,1
1510296506,21,2
1510297480,30,5
1510298418,43,6
1510299403,46,8
1510300340,52,4
1510301309,41,16
1510302252,33,1
1510303244,33,7
1510304172,42,0
1510305165,39,0
1510306096,26,0
1510307073,34,10
1510308028,34,1
1510309007,31,1
1510309938,27,5
1510310914,33,2
1510311864,39,0
1510312818,33,2
1510313795,25,12
1510314755,38,0
1510315698,35,3
1510316671,28,3
1510317625,45,3
1510318591,32,8
1510319546,33,0
1510320522,15,6
1510321452,42,3
1510322449,25,32
1510323696,44,39
1510324810,41,31
1510325780,43,36
1510326744,37,18
1510327690,32,40
1510328668,36,46
1510329614,39,46
1510330592,23,43
