DateTime,AddedIPs,RemovedIPs
1509621602,7,20
1509623530,1,1
1509624916,1,0
1509625446,13,18
1509627637,1,0
1509628597,35,11
1509632401,11,9
1509635808,10,6
1509639602,2,4
1509641702,1,1
1509642050,4352,34560
1509642724,1,0
1509642989,6,13
1509645041,1,1
1509646802,12,6
1509650409,6,20
1509654246,13,16
1509657387,9,12
1509659494,767,1024
1509660951,13,13
1509662401,768,768
1509664802,18,9
1509666005,256,256
1509666683,256,256
1509669850,24,13
1509672003,12,3
1509672903,512,511
1509674090,256,256
1509675609,7,22
1509676503,256,256
1509678943,14,21
1509682559,9,19
1509685217,1,1
1509685802,0,1
1509686103,1,0
1509686155,24,4
1509688252,256,256
1509689718,5,5
1509690663,2,0
1509691894,1024,1024
1509693342,3,16
1509695159,256,256
1509696961,5,13
1509700802,12,25
1509701411,0,2
1509704404,11,17
1509707103,4096,18427
1509707772,29,7
1509708244,1,0
1509709508,3,0
1509711336,17,6
1509712502,1,0
1509714923,19,3
1509717302,256,256
1509718550,3,5
1509722137,3,17
1509726302,13,14
1509728420,2816,24576
1509729602,2,30
1509731290,1,0
1509733204,28,5
1509735302,768,768
1509737049,22,3
1509738303,0,1
1509740402,10,13
1509743731,14,4
1509747305,10,16
1509749402,0,2
1509751460,272,263
1509754574,20,4
1509756655,256,256
1509758128,9,5
1509759959,73728,0
1509761756,4,4
1509763818,256,256
1509765355,0,32
1509768934,7,11
1509770706,0,3
1509772802,17,24
1509776409,14,10
1509780247,10,1
1509782458,0,1
1509783333,7,4
1509786921,9,29
1509790551,10,16
1509794133,10,6
1509795002,0,1
1509795906,2,0
1509797751,18,6
1509801368,1,1
1509801602,14,13
1509805209,7,5
1509807661,0,1
1509808529,9,8
1509812133,7,26
1509815047,1280,15616
1509815731,24,17
1509816647,0,4
1509816965,1,0
1509819344,18,14
1509822915,11,2
1509826802,2,9
1509827702,0,1
1509828769,1,0
1509830404,8,22
1509832502,1280,1024
1509833731,2,8
1509834902,256,256
1509835540,1,0
1509836165,256,256
1509837364,17,31
1509841015,37,8
1509845102,20,6
1509845402,0,1
1509845702,1,0
1509846602,5120,0
1509847214,0,1
1509848408,15,10
1509852245,5,17
1509852606,0,1
1509852903,1,0
1509855602,13,12
1509857402,1,1
1509858902,4096,0
1509858945,5,15
1509860707,0,1
1509861002,1,0
1509862579,38,6
1509866139,11,1
