DateTime,Entries,UniqueIPs
1509836124,37537,132137
1509841082,37539,132139
1509841977,37523,132123
1509843605,37511,132111
1509845292,37208,131933
1509847453,37216,131941
1509848274,37218,131943
1509849865,37215,131940
1509855123,37238,131963
1509855514,37242,131967
1509855901,37258,131984
1509858411,37261,131987
1509862803,37264,131991
1509866701,37402,132122
1509867029,37634,132602
1509869536,37629,132597
1509870483,37620,132588
1509873472,37622,132590
1509877501,37600,132536
1509878162,37621,132557
1509880417,37627,132563
1509880674,37629,132565
1509883254,37572,132504
1509885843,37034,131379
1509887878,37039,131384
1509888301,37095,131368
1509891294,37108,131381
1509891474,37109,131382
1509893522,37106,131379
1509895073,37110,131383
1509897031,37111,131128
1509899101,37130,131149
1509900686,37129,131404
1509901205,37136,131410
1509902406,37142,131417
1509903850,37138,131413
1509904565,37137,131157
1509905043,37140,131160
1509908448,37140,131161
1509909467,37141,131162
1509911146,37133,131151
1509911413,37128,131401
1509912963,37135,131408
1509913652,37138,131411
1509916677,37142,131415
1509919423,37143,131416
1509920883,37158,131429
1509921941,37158,131684
1509923870,37163,131689
1509924907,37165,131691
1509927483,37166,131692
1509928562,37184,131709
1509929145,37156,131677
1509931074,37160,131681
1509931501,36902,131544
1509935981,36902,131544
1509936483,36923,131567
1509937226,36924,131568
1509938274,36929,131573
1509942301,36968,131598
1509944163,36946,131576
1509945482,36950,131580
1509946978,36955,131585
1509951844,36947,131576
1509952767,37324,132283
1509953101,37334,132303
1509955682,37346,132315
1509958014,37358,132327
1509959880,37360,132329
1509961558,37361,132330
1509963363,37379,132348
1509964261,37441,132366
1509967087,37446,132371
1509969017,37448,132373
1509969719,37409,132329
1509971043,37407,132327
1509971583,37388,132307
1509975022,37427,132319
1509975054,37414,132305
1509976226,37413,132049
1509978658,37407,132043
1509978963,37409,132045
1509979589,37415,132051
1509980908,37418,132053
1509981482,37427,132062
1509985501,37442,132049
1509986643,37444,132051
1509988684,37448,132055
1509991444,37465,132072
1509992190,37466,132076
1509995882,37468,132078
1509996301,37484,132088
1509997826,37483,132342
1509999123,37487,132346
1510002698,37494,132352
1510003075,37499,132357
1510006832,37495,132353
1510007291,37492,132365
1510010289,37498,132371
1510013976,37511,132384
1510014484,37542,132409
1510014793,37002,131364
1510017488,37006,131368
1510017901,36812,131257
1510022163,36801,131246
1510024601,36795,131241
1510024875,36796,131241
1510028701,36828,131270
1510029844,36836,131278
1510031883,36839,131281
1510035837,36842,131284
1510037523,36831,131273
1510039852,37343,132139
1510043464,37344,132140
1510045209,37366,132162
1510045287,37367,132163
1510046287,37370,132166
1510046774,37372,132168
1510049043,37385,132181
1510050301,37445,132196
1510050743,37444,132195
1510053483,37448,132199
1510056722,37459,132212
1510057703,37462,132215
1510057993,37431,132184
1510058879,37432,132185
1510060685,37433,132186
1510061101,37451,132193
1510063426,37452,132194
1510064643,37461,132204
1510065027,37459,132202
1510065372,37450,132189
1510066223,37449,131933
1510066813,37450,131934
1510067887,37454,131938
1510068254,37464,131948
