DateTime,AddedIPs,RemovedIPs
1510266122,0,9
1510266722,15,0
1510268521,12,12
1510269121,2,7
1510269721,1,0
1510270322,0,1
1510271521,2,0
1510272721,30,32
1510273321,1,0
1510273921,0,4
1510273981,52,1
1510275121,7,3
1510275721,7,9
1510276321,3,3
1510276921,8,9
1510277521,3,0
1510278722,1,4
1510279921,4,5
1510281121,3,2
1510281721,1,4
1510282322,8,0
1510282921,5,3
1510283521,2,8
1510284721,4,10
1510284782,2,0
1510285931,2,6
1510286521,1,20
1510288321,1,11
1510288921,10,3
1510289521,2,7
1510290722,2,1
1510291921,7,4
1510292521,1,0
1510293121,3,6
1510293722,0,1
1510294321,0,3
1510295521,0,4
1510296121,32,6
1510296722,1,2
1510297922,1,5
1510298521,5,16
1510299722,0,7
1510300321,1,3
1510301521,0,5
1510302722,1,3
1510302782,3,7
1510303922,1,1
1510305122,18,0
1510305721,22,6
1510306321,13,2
1510307521,18,6
1510308121,4,3
1510308721,5,4
1510309321,1,6
1510309921,3,1
1510309981,0,9
1510311121,0,2
1510311722,19,3
1510312321,1,4
1510312921,4,0
1510313521,6,2
1510313581,0,1
1510314121,1,0
1510314721,1,3
1510315921,157,211
1510317121,9,5
1510317315,17,2
1510317721,0,1
1510318321,12,8
1510319521,3,15
1510320121,15,24
1510321321,5,3
1510321921,3,3
1510323122,9,0
1510324321,1,18
1510324921,2,0
1510325521,2,0
1510326721,1,0
1510327322,3,5
1510327921,2,8
1510328522,1,0
1510329121,4,1
1510330321,1,14
1510331521,3,0
1510332721,16,3
1510333921,2,0
1510335121,1,6
1510335181,2,0
1510335721,1,12
1510336321,1,1
1510336921,25,31
1510338121,2,6
1510339921,0,1
1510340521,4,2
1510341121,0,1
1510341721,6,6
1510342321,0,2
1510343521,2,3
1510344121,1,6
1510344727,0,9
1510345921,4,11
1510345982,9,0
1510347121,4,0
1510347721,4,15
1510349521,0,3
1510350121,1,2
1510350721,0,3
1510351321,0,4
1510352521,2,1
1510353121,3,2
1510355522,1,5
1510356121,9,9
1510357321,48,39
1510358521,0,6
1510359121,2,6
1510360321,15,1
1510361521,13,2
1510362721,12,0
1510363321,6,0
1510364521,23,10
1510365121,9,3
1510365721,1,0
1510366321,2,3
1510366921,4,0
1510367521,2,1
1510367581,6,1
1510368721,3,32
1510369321,0,8
1510369921,0,2
1510370521,4,0
1510371121,6,11
1510372321,2,5
1510373521,1,3
1510374121,1,4
1510374722,2,11
1510374781,1,2
1510375321,0,10
1510375922,1,2
1510377121,1,9
1510378322,10,0
1510378381,23,6
1510379522,1,5
1510380121,2,9
1510380722,0,6
1510381921,22,20
1510381981,1,0
1510382521,1,2
1510383122,3,6
1510383721,2,0
1510384321,106,5
1510385522,0,3
1510386721,0,6
1510387921,52,9
1510388521,12,5
1510389133,5,0
1510389181,2,3
1510389721,6,0
1510390321,7,1
1510390921,9,25
1510391521,7,0
1510392121,2,0
1510393321,2,4
1510393921,1,12
1510395121,6,4
1510396321,2,5
1510396921,3,1
1510397521,1,3
1510398121,4,1
1510398722,7,8
1510399921,18,6
1510399981,2,0
1510400521,5,20
1510401121,5,0
1510402321,1,8
1510402922,2,4
1510403521,0,1
1510404721,10,14
1510405321,0,4
1510405922,12,5
1510406521,2,0
1510407121,13,21
1510407721,0,7
1510408322,2,10
1510408921,5,0
1510409521,4,1
1510410121,4,6
1510410721,10,3
1510411321,12,0
1510412521,11,5
1510413121,6,9
