DateTime,Entries,UniqueIPs
1509681885,2698,2698
1509683778,2661,2661
1509685717,3441,3441
1509687627,3438,3438
1509689556,3443,3443
1509691454,3452,3452
1509693402,3452,3452
1509695315,3448,3448
1509697243,3458,3458
1509699145,3447,3447
1509701066,3448,3448
1509702991,3446,3446
1509704921,3454,3454
1509706820,3444,3444
1509708765,3445,3445
1509710677,3449,3449
1509712598,3437,3437
1509714512,3426,3426
1509716437,3392,3392
1509718347,3357,3357
1509720270,3338,3338
1509722195,3309,3309
1509724392,3298,3298
1509726516,1463,1463
1509728416,2221,2221
1509730354,2219,2219
1509732293,2221,2221
1509734184,2224,2224
1509736123,2213,2213
1509738022,2211,2211
1509739958,2197,2197
1509741870,2187,2187
1509743785,2168,2168
1509745691,2155,2155
1509747644,2145,2145
1509749555,2141,2141
1509751733,2134,2134
1509753880,2116,2116
1509755783,2100,2100
1509757703,2084,2084
1509759612,2073,2073
1509761540,2081,2081
1509763453,2081,2081
1509765376,2082,2082
1509767293,2080,2080
1509769221,2101,2101
1509771139,2100,2100
1509773050,2781,2781
1509774973,2781,2781
1509776892,2782,2782
1509778830,2784,2784
1509780747,2774,2774
1509782660,2762,2762
1509784574,2749,2749
1509786503,2731,2731
1509788421,2722,2722
1509790344,2705,2705
1509792248,2692,2692
1509794173,2688,2688
1509796100,2671,2671
1509798024,2653,2653
1509799941,2632,2632
1509801851,2609,2609
1509804034,2588,2588
1509805950,2573,2573
1509807870,2560,2560
1509809772,2547,2547
1509811699,1307,1307
1509813632,1301,1301
1509815546,1892,1892
1509817473,1900,1900
1509819405,1891,1891
1509821308,1897,1897
1509823217,1900,1900
1509825150,1898,1898
1509827056,1893,1893
1509828987,1926,1926
1509830903,1942,1942
1509832838,2026,2026
1509834737,2053,2053
1509836665,2070,2070
1509838715,2063,2063
1509840945,2067,2067
1509842907,2060,2060
1509844807,2042,2042
1509846737,2039,2039
1509848646,2036,2036
1509850567,2035,2035
1509852500,2049,2049
1509854425,2077,2077
1509856335,2090,2090
1509858252,2648,2648
1509860186,2681,2681
1509862099,2744,2744
1509864021,2783,2783
1509865948,2793,2793
1509867848,2811,2811
1509869776,2809,2809
1509871696,2803,2803
1509873607,2794,2794
1509875538,2788,2788
1509877451,2781,2781
1509879378,2769,2769
1509881303,2760,2760
1509883210,2768,2768
1509885130,2764,2764
1509887051,2770,2770
1509888981,2771,2771
1509890889,2759,2759
1509892806,2764,2764
1509894732,2780,2780
1509896653,2778,2778
1509898598,2778,2778
