DateTime,Entries,UniqueIPs
1503299784,22653,22653
1503314447,22655,22655
1503329055,22660,22660
1503343710,22667,22667
1503358346,22676,22676
1503372972,22685,22685
1503387607,22695,22695
1503402256,22701,22701
1503417152,22705,22705
1503431769,22713,22713
1503446446,22718,22718
1503461050,22722,22722
1503475706,22728,22728
1503490354,22732,22732
1503504995,22741,22741
1503519605,22747,22747
1503534497,22759,22759
1503549149,22762,22762
1503564028,22766,22766
1503578649,22774,22774
1503593315,22778,22778
1503607944,22783,22783
1503622590,22788,22788
1503637462,22795,22795
1503652101,22797,22797
1503666730,22804,22804
1503681386,22809,22809
1503696006,22822,22822
1503710658,22828,22828
1503725556,22835,22835
1503740185,22839,22839
1503754816,22847,22847
1503769454,22850,22850
1503784093,22856,22856
1503798746,22860,22860
1503813385,22862,22862
1503828022,22865,22865
1503842900,22869,22869
1503857788,22875,22875
1503872355,22883,22883
1503887119,22889,22889
1503901698,22895,22895
1503916344,22902,22902
1503930966,22910,22910
1503945626,22919,22919
1503960248,22924,22924
1503974891,22927,22927
1503989539,22931,22931
1504004185,22934,22934
1504018838,22940,22940
1504033467,22946,22946
1504048085,22952,22952
1504062749,22962,22962
1504077626,22969,22969
1504092248,22975,22975
1504106900,22985,22985
1504121543,22998,22998
1504136183,23015,23015
1504150823,23025,23025
1504165693,23040,23040
1504180339,23048,23048
1504194971,23054,23054
1504209631,23060,23060
1504224253,23069,23069
1504238899,23077,23077
1504253552,23082,23082
1504268195,23091,23091
1504282825,23099,23099
1504297453,23110,23110
1504312105,23115,23115
1504326732,23122,23122
1504341627,23128,23128
1504356248,23138,23138
1504370884,23145,23145
1504385525,23151,23151
1504400142,23153,23153
1504414825,23157,23157
1504429452,23169,23169
1504444084,23180,23180
1504458757,23185,23185
1504473619,23376,23376
1504488251,23383,23383
1504503149,23389,23389
1504517776,23398,23398
1504532412,23405,23405
1504547299,23410,23410
1504562671,23415,23415
1504577284,23421,23421
1504591945,23424,23424
1504606592,23435,23435
1504621237,23442,23442
1504635851,23450,23450
1504650633,23465,23465
1504665377,23474,23474
1504680028,23480,23480
1504694652,23487,23487
1504709665,23495,23495
