DateTime,Entries,UniqueIPs
1503465010,2907,2907
1503479410,2921,2921
1503493809,2945,2945
1503508210,2958,2958
1503522610,2945,2945
1503537010,2925,2925
1503551410,2928,2928
1503565810,2915,2915
1503580210,2919,2919
1503601809,2858,2858
1503616211,2843,2843
1503630610,2791,2791
1503645009,2741,2741
1503659410,2781,2781
1503673809,2781,2781
1503688209,2742,2742
1503702610,2775,2775
1503717009,2753,2753
1503731410,2788,2788
1503745886,2791,2791
1503760211,2766,2766
1503774625,2770,2770
1503789033,2777,2777
1503803425,2743,2743
1503817833,2749,2749
1503832233,2748,2748
1503846633,2759,2759
1503861013,2720,2720
1503875472,2747,2747
1503886273,2757,2757
1503900606,1172,1172
1503915009,2847,2847
1503929434,2894,2894
1503943809,2903,2903
1503958222,2969,2969
1503972611,2134,2134
1503983434,2996,2996
1503994234,3028,3028
1504019443,3102,3102
1504033843,3093,3093
1504048220,3096,3096
1504059058,3094,3094
1504073458,3127,3127
1504087810,3076,3076
1504109414,3179,3179
1504120214,3258,3258
1504134617,3339,3339
1504145424,3382,3382
1504159819,3433,3433
1504174269,3481,3481
1504188635,3509,3509
1504199441,3524,3524
1504213812,3569,3569
1504228217,3522,3522
1504242615,3536,3536
1504257015,3542,3542
1504271474,3518,3518
1504285805,1172,1172
1504300212,3496,3496
1504314674,3438,3438
1504329011,3417,3417
1504343411,3363,3363
1504357811,3329,3329
1504372212,3274,3274
1504386611,3252,3252
1504401011,3204,3204
1504415411,3195,3195
1504429811,3207,3207
1504444210,3197,3197
1504458611,3203,3203
1504473010,3242,3242
1504487411,3297,3297
1504501810,3373,3373
1504516211,3476,3476
1504530612,3532,3532
1504545011,3570,3570
1504559411,3583,3583
1504573811,3553,3553
1504588212,3548,3548
1504602611,3548,3548
1504617011,3513,3513
1504631421,3585,3585
1504645815,3614,3614
1504660215,3639,3639
1504674612,3673,3673
1504689012,3752,3752
1504703411,3787,3787
1504717812,3796,3796
1504732215,3781,3781
1504746612,3741,3741
1504761011,3719,3719
1504775411,3696,3696
1504789810,3654,3654
1504804212,3580,3580
1504818611,3521,3521
1504833011,3425,3425
1504847411,3347,3347
1504861810,3326,3326
1504876211,3342,3342
1504890611,3374,3374
1504905011,3383,3383
1504919412,3338,3338
1504933811,3282,3282
1504948211,3236,3236
1504962612,3229,3229
1504977012,3197,3197
1504991410,3171,3171
1505005812,3181,3181
1505020211,3174,3174
1505034611,3203,3203
1505049013,3213,3213
1505063413,3253,3253
1505077815,3272,3272
1505092215,3288,3288
1505106612,3321,3321
1505121014,3330,3330
1505135411,3357,3357
1505149811,3345,3345
1505164211,3348,3348
1505178611,3309,3309
1505193011,3258,3258
1505207410,3253,3253
1505221812,3250,3250
1505236214,3264,3264
1505250611,3270,3270
1505265011,3249,3249
1505279412,3278,3278
1505293811,3307,3307
1505308210,3338,3338
1505322610,3321,3321
1505337012,3307,3307
1505351412,3294,3294
1505365811,3286,3286
1505380210,3279,3279
1505394611,3256,3256
1505409019,3210,3210
1505423412,3226,3226
1505437811,3152,3152
1505452210,3094,3094
1505466610,3026,3026
1505481011,3008,3008
1505495426,2968,2968
1505509810,2954,2954
1505524211,2918,2918
1505538610,2877,2877
1505553011,2863,2863
1505567410,2837,2837
1505581811,2777,2777
1505596210,2779,2779
1505610614,2754,2754
1505625011,2732,2732
1505639410,2710,2710
1505653810,2718,2718
1505668209,2713,2713
1505682610,2690,2690
1505697010,2681,2681
1505711409,2732,2732
1505725810,2774,2774
1505740214,2790,2790
1505754609,2791,2791
1505769009,2819,2819
1505783410,2790,2790
1505797809,2774,2774
1505812209,2743,2743
1505826609,2733,2733
1505841009,2744,2744
1505855409,2702,2702
1505869809,2610,2610
1505884209,2608,2608
1505898609,2593,2593
1505913009,2593,2593
1505927409,2584,2584
1505941809,2582,2582
1505956209,2551,2551
1505970609,2556,2556
1505985009,2576,2576
1505999409,2561,2561
1506013808,2572,2572
1506028210,2550,2550
1506042608,2538,2538
1506057010,2529,2529
1506071469,2529,2529
1506085810,2570,2570
1506100208,2604,2604
1506114610,2826,2826
1506129011,3051,3051
1506143411,3234,3234
1506157811,3346,3346
1506172211,3407,3407
1506186612,3461,3461
1506201013,3478,3478
1506215412,3495,3495
1506229812,3500,3500
1506244212,3505,3505
1506258612,3520,3520
1506273011,3399,3399
1506287410,3336,3336
1506301811,3204,3204
1506316211,3174,3174
1506330610,3158,3158
1506345010,3139,3139
1506359411,3119,3119
1506373810,3120,3120
1506388211,3065,3065
1506402610,3075,3075
1506417010,3091,3091
1506431415,3053,3053
1506445811,3305,3305
1506460213,3531,3531
1506474615,3722,3722
1506489013,3954,3954
1506503413,4158,4158
1506517813,4261,4261
1506532214,4380,4380
1506546614,4496,4496
1506561014,4473,4473
1506575413,4557,4557
1506589815,4612,4612
1506604213,4629,4629
1506618615,4541,4541
1506633014,4439,4439
1506647414,4345,4345
1506661814,4265,4265
1506676214,4268,4268
1506690615,4185,4185
1506705017,4103,4103
1506719413,4072,4072
1506733814,3994,3994
1506748214,3898,3898
1506762614,3812,3812
1506777013,3758,3758
1506791414,3869,3869
1506805815,3977,3977
1506820214,3997,3997
1506834614,3967,3967
1506849014,4051,4051
1506863413,4050,4050
1506877813,3998,3998
1506892215,3985,3985
1506906612,3922,3922
1506921013,3917,3917
1506935413,3934,3934
1506949813,3837,3837
1506964211,3762,3762
1506978712,3734,3734
1506993012,3661,3661
1507007412,3569,3569
