DateTime,AddedIPs,RemovedIPs
1503490214,39,40
1503504614,31,19
1503519014,27,15
1503533415,26,19
1503547814,36,3
1503562214,23,34
1503576614,26,17
1503605414,85,24
1503619814,17,21
1503634214,27,14
1503648614,5,43
1503663013,9,23
1503677414,38,26
1503691814,24,23
1503706214,17,45
1503720614,28,15
1503735017,4,43
1503745892,10,39
1503760215,24,27
1503774629,8,17
1503789038,18,28
1503803429,29,5
1503817838,4,10
1503832238,3,36
1503846637,20,24
1503861017,15,17
1503875476,15,28
1503886277,21,3
1503897125,5,12
1503907829,6,18
1503922237,21,11
1503936646,13,20
1503951018,24,12
1503961821,9,24
1503969061,20,0
1503983437,27,1
1503994237,6,16
1504019446,53,25
1504033846,6,16
1504048223,9,19
1504059062,20,3
1504073461,18,17
1504087813,11,19
1504095071,22,7
1504109417,46,27
1504120218,21,11
1504134621,17,38
1504145427,19,7
1504159823,22,13
1504167030,4,22
1504181454,28,20
1504188639,17,4
1504199479,23,7
1504213860,37,24
1504228278,25,17
1504242619,39,11
1504257019,25,39
1504271478,36,42
1504300218,62,43
1504314678,8,23
1504329014,17,17
1504343416,1,32
1504357815,11,29
1504372215,16,37
1504386615,18,29
1504401015,24,36
1504415414,20,29
1504429814,14,28
1504444213,19,48
1504458614,27,9
1504473013,23,19
1504487413,6,8
1504501813,6,9
1504516213,8,7
1504530614,26,13
1504545013,19,19
1504559414,16,31
1504573813,21,14
1504588215,18,11
1504602614,2,26
1504617014,20,19
1504631426,10,27
1504645819,11,2
1504660219,32,11
1504674614,24,5
1504689014,2,26
1504703414,22,19
1504717815,26,16
1504732217,31,27
1504746615,29,8
1504761014,37,4
1504775414,8,20
1504789813,51,9
1504804215,27,17
1504818614,12,35
1504833014,38,15
1504847413,25,0
1504861813,4,35
1504876214,41,16
1504890614,20,32
1504905014,29,39
1504919414,23,27
1504933814,7,9
1504948214,4,58
1504962615,17,18
1504977015,16,21
1504991414,31,35
1505005815,6,18
1505020214,7,9
1505034614,3,44
1505049019,17,15
