DateTime,AddedIPs,RemovedIPs
1503490219,216,174
1503504619,204,175
1503519019,194,170
1503533421,163,148
1503547820,173,199
1503562219,171,202
1503576619,183,221
1503605419,342,361
1503619819,216,192
1503634219,152,194
1503648620,181,208
1503663019,195,202
1503677420,182,187
1503691819,187,159
1503706219,181,169
1503720619,167,180
1503735022,177,187
1503745898,153,147
1503760220,199,160
1503774634,164,185
1503789077,186,162
1503803435,137,186
1503817843,139,211
1503832243,158,175
1503846643,198,188
1503861022,162,181
1503875481,171,180
1503886283,130,118
1503890350,39,54
1503904255,181,201
1503918690,208,206
1503929443,173,118
1503943818,196,180
1503958231,194,134
1503969066,127,103
1503983695,183,147
1503994243,149,138
1504019452,361,304
1504033852,215,166
1504048229,186,173
1504059063,0,1922
1504073467,2073,185
1504087869,176,236
1504095075,0,863
1504109466,1067,188
1504120394,162,139
1504134626,191,190
1504145488,122,135
1504159828,204,206
1504167035,75,95
1504181460,208,212
1504188642,0,1105
1504199488,1269,163
1504213866,169,157
1504228278,0,2083
1504242662,2227,193
1504257025,213,203
1504271484,168,210
1504300226,386,376
1504314684,184,192
1504329058,139,189
1504343421,158,206
1504357820,171,211
1504372221,185,166
1504386620,203,147
1504401020,171,148
1504415420,196,218
1504429819,193,174
1504444218,222,190
1504458620,220,202
1504473019,207,191
1504487419,183,143
1504501819,222,156
1504516219,229,181
1504530620,225,182
1504545020,231,201
1504559420,228,164
1504573820,203,192
1504588221,202,197
1504602620,242,202
1504617020,226,220
1504631434,256,208
1504645827,215,182
1504660226,209,212
1504674621,255,226
1504689021,242,228
1504703421,256,229
1504717821,228,225
1504732224,212,205
1504746621,191,194
1504761021,184,241
1504775420,208,230
1504789820,249,262
1504804221,219,218
1504818620,194,200
1504833020,169,256
1504847419,211,244
1504861819,211,256
1504876220,218,227
1504890620,206,202
1504905020,184,180
1504919420,185,191
1504933820,199,215
1504948220,211,259
1504962621,197,212
1504977021,191,200
1504991420,206,169
1505005822,172,213
1505020220,184,205
1505034619,172,234
1505049025,178,200
1505063424,217,187
1505077826,186,205
1505092226,176,192
1505106622,194,207
1505121023,212,189
1505135419,214,196
1505149819,217,200
1505164220,216,173
1505178619,180,179
1505193019,204,177
1505207419,213,187
1505221821,218,204
1505236226,214,186
1505250619,210,188
1505265019,175,194
1505279420,177,207
1505293819,209,221
1505308219,220,211
1505322619,205,215
1505337022,206,185
1505351420,192,198
1505365819,182,211
1505380219,226,214
1505394620,210,205
1505409031,200,211
