DateTime,AddedIPs,RemovedIPs
1507953635,39,37
1507959035,36,32
1507964442,19,34
1507969834,51,32
1507975235,28,39
1507980035,13,45
1507985434,23,51
1507990835,28,35
1507996834,37,18
1508000433,30,24
1508004635,56,35
1508011235,57,28
1508015435,21,25
1508021435,34,91
1508026235,25,65
1508032835,65,0
1508038835,34,63
1508043034,42,64
1508048435,34,38
1508053835,28,70
1508059235,29,35
1508064635,37,22
1508070635,47,26
1508076035,36,30
1508080834,40,46
1508085636,33,80
1508089232,18,0
1508094634,40,36
1508100036,41,28
1508105434,32,37
1508109032,29,0
1508112635,77,36
1508119835,68,59
1508125236,26,119
1508130635,22,0
1508136635,46,58
1508142035,32,41
1508148035,51,54
1508152835,53,40
1508158834,28,47
1508164834,27,31
1508170835,44,29
1508176235,30,45
1508181036,41,32
1508186435,82,26
1508190032,39,0
1508195434,24,72
1508201435,36,49
1508206838,31,45
1508212834,52,51
1508218234,27,67
1508223034,56,45
1508228435,29,0
1508233834,30,85
1508239235,30,56
1508245236,26,32
1508250035,34,105
1508255435,43,0
1508260235,61,43
1508266236,37,32
1508271635,42,43
1508276435,21,65
1508282437,49,0
1508287235,40,66
1508293835,55,0
1508299835,54,112
1508304036,15,73
1508309434,20,0
1508314834,30,80
1508320234,27,37
1508325634,35,0
1508330436,24,85
1508337034,48,36
1508341834,31,92
1508346635,40,35
1508350231,31,0
1508353834,25,0
1508359234,51,66
1508362232,37,0
1508366435,25,42
1508370031,38,0
1508376034,75,106
1508382035,44,76
1508386834,22,23
1508392234,33,34
1508397635,22,39
1508403034,34,43
1508409038,29,50
1508413834,60,39
1508419235,35,43
1508424634,22,25
1508430036,39,14
1508434834,39,38
1508440235,56,43
1508445636,40,22
1508448633,37,32
1508452835,66,0
1508458234,40,79
1508464235,24,42
1508469635,39,41
1508475035,26,40
1508480435,32,29
1508485234,27,47
1508490634,45,48
1508494232,49,0
1508497835,32,39
1508501432,10,0
1508507435,34,64
1508512234,13,41
1508517634,37,15
1508523037,19,26
1508526632,32,0
1508532035,48,38
1508536835,46,59
1508540432,55,0
1508544635,45,59
1508548232,34,0
1508554236,47,47
1508560235,29,22
1508565034,28,55
1508571037,47,29
1508575835,25,36
1508580638,22,30
1508586035,34,68
1508592035,26,0
1508597435,19,30
1508602835,31,25
1508607635,40,27
1508613035,58,67
1508616632,23,0
1508622035,27,21
1508627435,34,33
1508631032,22,0
1508637035,42,72
1508643037,34,50
1508648434,22,35
1508653834,31,32
1508658634,24,29
1508663434,31,23
1508668835,33,34
1508674835,34,24
1508680234,15,47
1508685634,42,28
1508690435,61,31
1508695234,54,35
1508699436,32,16
1508704234,46,23
1508708434,12,23
1508713834,33,0
1508719235,20,70
1508723434,41,57
1508728835,49,51
1508734834,23,0
1508739635,22,47
1508745635,20,19
1508750434,32,49
1508755235,44,56
1508761835,37,0
1508766634,27,84
1508771434,20,26
1508776834,22,0
1508781634,37,17
1508788832,51,50
1508792435,19,0
1508796033,31,15
1508803832,57,65
1508807434,35,0
1508814035,30,80
1508819435,37,36
1508824235,27,29
1508829635,37,32
1508835035,41,40
1508840434,44,40
1508845834,52,57
1508851235,29,41
1508856634,23,33
1508862035,43,22
1508866835,30,28
1508872236,45,45
1508875832,28,0
1508881235,51,67
1508886635,40,0
1508890232,19,0
1508895635,41,74
1508901034,32,42
1508907636,37,23
1508913035,26,39
1508918501,26,38
1508923836,25,67
1508928635,26,30
1508934035,18,32
1508939434,29,42
1508944235,33,36
1508949035,20,26
1508952632,26,0
1508956835,37,25
1508960432,29,0
1508965234,33,65
1508968832,23,0
1508972434,22,31
1508976635,36,49
1508982634,36,42
1508988034,27,69
1508993435,19,47
1508998834,33,0
1509003634,28,71
1509009035,19,37
1509012631,24,34
1509017434,31,36
1509021634,40,49
1509027035,29,47
1509032436,44,33
1509037235,48,41
1509040832,23,0
1509045035,22,62
1509050434,47,0
1509055835,50,31
1509061234,303,32
1509067235,155,39
1509073235,72,42
1509079234,53,52
1509083434,33,48
1509089436,50,41
1509094836,36,21
1509099635,80,46
1509105035,67,22
1509110435,51,41
1509115835,44,36
1509121835,82,23
1509127836,92,35
1509134441,67,18
1509139835,60,39
1509145236,78,20
1509150635,40,40
1509156637,35,47
1509163836,32,44
1509170435,25,21
1509176435,22,99
1509181235,37,40
1509186638,32,0
1509192035,19,45
1509197435,34,67
1509202835,38,39
1509207635,39,59
1509213037,34,73
1509219035,49,0
1509223835,33,59
1509229836,114,48
1509235236,63,132
1509240636,77,0
1509246636,198,73
1509254436,84,126
1509261036,40,0
1509267036,20,61
1509273038,35,31
1509278435,28,101
1509284436,30,78
1509291035,61,31
1509295836,31,63
1509301235,37,58
1509306635,58,37
1509311435,31,44
1509315635,35,43
1509321035,51,50
1509327035,58,0
1509333635,62,65
1509340235,51,66
1509345035,41,81
1509350435,65,47
1509355836,38,252
1509361836,33,175
1509366635,61,55
1509370835,61,62
1509378035,69,0
1509384035,53,77
1509389435,49,36
1509394237,46,20
1509399635,40,24
1509405035,53,23
1509411636,41,67
1509417636,52,62
1509425435,69,61
1509431435,47,23
1509436835,30,59
1509442235,19,53
1509447635,35,51
1509453035,33,0
1509458435,28,63
1509462635,19,128
1509468035,64,0
1509474034,48,30
1509478835,30,23
1509483635,35,0
1509487233,11,23
1509491435,31,109
1509497435,58,85
1509503435,78,0
1509508835,39,85
1509514237,64,57
1509520236,41,43
1509525035,34,43
1509530435,29,44
1509535834,35,39
1509541235,45,65
1509546635,37,24
1509552036,56,53
1509556235,44,43
1509562234,64,20
1509567034,32,24
1509573036,37,38
1509577835,42,0
1509584437,47,49
1509589835,32,88
1509595235,51,44
1509600635,37,0
1509606035,39,76
1509610835,28,0
1509616835,20,34
1509621035,32,50
1509627035,53,71
1509633035,41,21
1509638435,27,52
1509642635,34,74
1509649235,49,0
1509654035,34,63
1509658835,23,35
1509664234,39,0
1509670236,58,73
1509676234,58,32
1509681635,27,52
1509686434,40,99
1509691835,48,0
1509697235,19,37
1509702634,16,84
1509708634,33,0
1509713435,48,93
1509718835,46,70
1509723635,67,0
1509729035,40,24
1509734435,29,45
1509740435,48,33
1509745835,20,27
1509751235,24,95
1509756635,76,48
1509762034,46,0
1509767434,37,45
1509772835,42,27
1509778235,33,37
1509783635,33,40
1509789655,23,30
1509794435,20,117
1509799834,55,0
1509804634,26,33
1509810034,37,51
1509815434,58,30
1509819032,49,42
1509825036,49,39
1509830435,36,37
1509835234,34,38
1509841234,45,74
1509846634,63,36
1509852634,36,55
1509858035,42,49
1509862834,37,48
1509868234,43,43
1509873634,28,42
1509879035,28,36
1509885035,30,55
1509889838,45,21
1509895234,31,32
1509900035,38,27
1509906037,49,56
1509911435,23,40
1509916235,36,19
1509922236,29,0
1509927634,34,94
1509933035,45,58
1509938435,40,0
1509944434,36,43
1509949235,41,83
1509955235,44,0
1509960034,19,77
1509964836,29,50
1509970235,45,0
1509976840,58,63
1509981634,32,84
1509986434,38,42
1509992438,53,28
1509997235,51,0
1510003235,35,28
1510008035,18,90
1510013434,33,0
1510019434,54,51
1510024834,39,100
1510030234,70,60
1510035638,54,0
1510041634,43,68
1510046435,35,41
1510051836,74,53
1510057835,327,70
1510063836,99,29
1510070435,139,37
1510075835,64,50
1510081835,65,51
1510087836,57,32
1510093836,47,21
1510099235,61,37
1510104635,111,65
1510110035,82,36
1510116036,60,43
1510123235,57,41
1510130435,49,82
1510135835,34,44
1510140638,59,38
1510146636,132,66
1510152636,75,76
1510159236,70,38
1510165835,57,53
1510171236,71,49
1510176036,41,36
1510181436,47,75
1510187435,90,34
1510192836,38,66
1510198835,52,61
1510206035,66,57
1510211437,44,54
1510218035,58,42
1510224035,34,60
1510231236,72,52
1510238435,47,67
1510244435,48,66
1510250436,61,36
1510255836,50,53
1510261236,41,26
1510266636,37,26
1510272036,96,69
1510277435,54,35
1510283436,33,46
1510290036,49,53
1510295436,47,44
1510302037,40,65
1510308635,38,33
1510315243,39,94
1510321235,33,75
1510327836,59,41
1510332635,43,57
1510338635,46,28
1510344036,40,36
1510348836,24,38
1510354236,22,66
1510360235,62,54
1510365635,57,57
1510371036,49,72
1510376441,57,53
1510381836,178,68
1510387236,34,0
1510392636,44,50
1510398056,39,65
1510404036,43,48
1510410636,67,68
1510416637,66,43
1510423255,47,48
1510428636,63,54
1510434053,55,32
1510438836,32,49
1510444837,70,49
1510450236,143,43
1510455635,71,32
1510461636,38,44
1510468837,204,42
1510474235,37,96
1510481436,62,25
1510488637,54,54
1510495836,59,65
1510502436,51,58
1510507836,39,83
1510513841,77,44
1510518636,55,47
1510524037,52,32
1510530036,32,54
1510535436,27,54
1510542636,66,40
1510548036,60,123
1510553436,166,43
1510558837,139,0
1510566637,60,132
1510573836,45,0
1510581036,39,95
1510588236,61,46
1510594836,42,84
1510602037,66,88
1510606235,41,42
1510611636,71,52
1510617643,52,53
1510623636,49,85
1510629037,43,59
1510636235,94,0
1510641635,38,133
1510648836,63,82
1510654224,52,0
