DateTime,Entries,UniqueIPs
1507953635,1555,1555
1507959035,1512,1512
1507964442,1451,1451
1507969834,1345,1345
1507975235,1246,1246
1507980035,1223,1223
1507985434,1259,1259
1507990835,1243,1243
1507996834,1216,1216
1508000433,1257,1257
1508004635,1342,1342
1508011235,1429,1429
1508015435,1446,1446
1508021435,1493,1493
1508026235,1525,1525
1508032835,1572,1572
1508038835,1467,1467
1508043034,1398,1398
1508048435,1422,1422
1508053835,1386,1386
1508059235,1349,1349
1508064635,1315,1315
1508070635,1253,1253
1508076035,1214,1214
1508080834,1166,1166
1508085636,1189,1189
1508089232,1244,1244
1508094634,1317,1317
1508100036,1347,1347
1508105434,1407,1407
1508109032,1471,1471
1508112635,1611,1611
1508119835,1641,1641
1508125236,1567,1567
1508130635,1482,1482
1508136635,1508,1508
1508142035,1458,1458
1508148035,1329,1329
1508152835,1309,1309
1508158834,1289,1289
1508164834,1274,1274
1508170835,1213,1213
1508176235,1221,1221
1508181036,1278,1278
1508186435,1347,1347
1508190032,1398,1398
1508195434,1438,1438
1508201435,1468,1468
1508206838,1474,1474
1508212834,1439,1439
1508218234,1375,1375
1508223034,1333,1333
1508228435,1327,1327
1508233834,1294,1294
1508239235,1262,1262
1508245236,1165,1165
1508250035,1151,1151
1508255435,1139,1139
1508260235,1210,1210
1508266236,1254,1254
1508271635,1271,1271
1508276435,1289,1289
1508282437,1359,1359
1508287235,1408,1408
1508293835,1354,1354
1508299835,1293,1293
1508304036,1255,1255
1508309434,1191,1191
1508314834,1183,1183
1508320234,1156,1156
1508325634,1115,1115
1508330436,1122,1122
1508337034,1074,1074
1508341834,1068,1068
1508346635,1112,1112
1508350231,1145,1145
1508353834,1188,1188
1508359234,1218,1218
1508362232,1263,1263
1508366435,1292,1292
1508370031,1334,1334
1508376034,1385,1385
1508382035,1379,1379
1508386834,1315,1315
1508392234,1283,1283
1508397635,1243,1243
1508403034,1243,1243
1508409038,1220,1220
1508413834,1190,1190
1508419235,1157,1157
1508424634,1125,1125
1508430036,1111,1111
1508434834,1171,1171
1508440235,1254,1254
1508445636,1253,1253
1508448633,1290,1290
1508452835,1399,1399
1508458234,1420,1420
1508464235,1393,1393
1508469635,1344,1344
1508475035,1320,1320
1508480435,1267,1267
1508485234,1265,1265
1508490634,1235,1235
1508494232,1270,1270
1508497835,1319,1319
1508501432,1335,1335
1508507435,1259,1259
1508512234,1186,1186
1508517634,1236,1236
1508523037,1247,1247
1508526632,1296,1296
1508532035,1342,1342
1508536835,1414,1414
1508540432,1464,1464
1508544635,1510,1510
1508548232,1531,1531
1508554236,1470,1470
1508560235,1425,1425
1508565034,1397,1397
1508571037,1384,1384
1508575835,1355,1355
1508580638,1356,1356
1508586035,1343,1343
1508592035,1309,1309
1508597435,1265,1265
1508602835,1279,1279
1508607635,1328,1328
1508613035,1444,1444
1508616632,1459,1459
1508622035,1474,1474
1508627435,1539,1539
1508631032,1561,1561
1508637035,1610,1610
1508643037,1513,1513
1508648434,1418,1418
1508653834,1337,1337
1508658634,1344,1344
1508663434,1361,1361
1508668835,1407,1407
1508674835,1303,1303
1508680234,1235,1235
1508685634,1185,1185
1508690435,1258,1258
1508695234,1339,1339
1508699436,1364,1364
1508704234,1412,1412
1508708434,1423,1423
1508713834,1452,1452
1508719235,1499,1499
1508723434,1558,1558
1508728835,1511,1511
1508734834,1475,1475
1508739635,1415,1415
1508745635,1352,1352
1508750434,1308,1308
1508755235,1295,1295
1508761835,1232,1232
1508766634,1145,1145
1508771434,1104,1104
1508776834,1108,1108
1508781634,1199,1199
1508788832,1280,1280
1508792435,1325,1325
1508796033,1379,1379
1508803832,1478,1478
1508807434,1510,1510
1508814035,1511,1511
1508819435,1460,1460
1508824235,1448,1448
1508829635,1439,1439
1508835035,1417,1417
1508840434,1350,1350
1508845834,1336,1336
1508851235,1297,1297
1508856634,1239,1239
1508862035,1246,1246
1508866835,1285,1285
1508872236,1372,1372
1508875832,1413,1413
1508881235,1455,1455
1508886635,1492,1492
1508890232,1512,1512
1508895635,1520,1520
1508901034,1523,1523
1508907636,1487,1487
1508913035,1425,1425
1508918501,1291,1291
1508923836,1240,1240
1508928635,1200,1200
1508934035,1170,1170
1508939434,1111,1111
1508944235,1067,1067
1508949035,1076,1076
1508952632,1122,1122
1508956835,1187,1187
1508960432,1200,1200
1508965234,1221,1221
1508968832,1243,1243
1508972434,1289,1289
1508976635,1343,1343
1508982634,1343,1343
1508988034,1306,1306
1508993435,1236,1236
1508998834,1196,1196
1509003634,1143,1143
1509009035,1129,1129
1509012631,1126,1126
1509017434,1176,1176
1509021634,1195,1195
1509027035,1172,1172
1509032436,1180,1180
1509037235,1205,1205
1509040832,1251,1251
1509045035,1280,1280
1509050434,1326,1326
1509055835,1346,1346
1509061234,1633,1633
1509067235,1758,1758
1509073235,1753,1753
1509079234,1665,1665
1509083434,1662,1662
1509089436,1664,1664
1509094836,1629,1629
1509099635,1656,1656
1509105035,1703,1703
1509110435,1738,1738
1509115835,1767,1767
1509121835,1815,1815
1509127836,1832,1832
1509134441,1836,1836
1509139835,1852,1852
1509145236,1900,1900
1509150635,1902,1902
1509156637,1836,1836
1509163836,1713,1713
1509170435,1670,1670
1509176435,1601,1601
1509181235,1558,1558
1509186638,1571,1571
1509192035,1500,1500
1509197435,1483,1483
1509202835,1451,1451
1509207635,1479,1479
1509213037,1539,1539
1509219035,1637,1637
1509223835,1674,1674
1509229836,1773,1773
1509235236,1762,1762
1509240636,1791,1791
1509246636,1956,1956
1509254436,1960,1960
1509261036,1835,1835
1509267036,1806,1806
1509273038,1595,1595
1509278435,1435,1435
1509284436,1344,1344
1509291035,1275,1275
1509295836,1299,1299
1509301235,1330,1330
1509306635,1400,1400
1509311435,1437,1437
1509315635,1493,1493
1509321035,1574,1574
1509327035,1610,1610
1509333635,1541,1541
1509340235,1459,1459
1509345035,1472,1472
1509350435,1495,1495
1509355836,1510,1510
1509361836,1460,1460
1509366635,1452,1452
1509370835,1452,1452
1509378035,1442,1442
1509384035,1454,1454
1509389435,1448,1448
1509394237,1501,1501
1509399635,1588,1588
1509405035,1644,1644
1509411636,1693,1693
1509417636,1646,1646
1509425435,1536,1536
1509431435,1475,1475
1509436835,1462,1462
1509442235,1421,1421
1509447635,1399,1399
1509453035,1372,1372
1509458435,1258,1258
1509462635,1269,1269
1509468035,1304,1304
1509474034,1310,1310
1509478835,1313,1313
1509483635,1323,1323
1509487233,1356,1356
1509491435,1425,1425
1509497435,1513,1513
1509503435,1574,1574
1509508835,1561,1561
1509514237,1538,1538
1509520236,1527,1527
1509525035,1531,1531
1509530435,1491,1491
1509535834,1433,1433
1509541235,1361,1361
1509546635,1402,1402
1509552036,1338,1338
1509556235,1362,1362
1509562234,1379,1379
1509567034,1426,1426
1509573036,1482,1482
1509577835,1515,1515
1509584437,1523,1523
1509589835,1518,1518
1509595235,1524,1524
1509600635,1510,1510
1509606035,1447,1447
1509610835,1409,1409
1509616835,1359,1359
1509621035,1381,1381
1509627035,1380,1380
1509633035,1388,1388
1509638435,1329,1329
1509642635,1340,1340
1509649235,1274,1274
1509654035,1267,1267
1509658835,1293,1293
1509664234,1387,1387
1509670236,1441,1441
1509676234,1396,1396
1509681635,1373,1373
1509686434,1398,1398
1509691835,1420,1420
1509697235,1364,1364
1509702634,1343,1343
1509708634,1310,1310
1509713435,1279,1279
1509718835,1310,1310
1509723635,1282,1282
1509729035,1318,1318
1509734435,1351,1351
1509740435,1349,1349
1509745835,1344,1344
1509751235,1370,1370
1509756635,1414,1414
1509762034,1409,1409
1509767434,1378,1378
1509772835,1347,1347
1509778235,1334,1334
1509783635,1339,1339
1509789655,1266,1266
1509794435,1241,1241
1509799834,1200,1200
1509804634,1231,1231
1509810034,1221,1221
1509815434,1309,1309
1509819032,1357,1357
1509825036,1409,1409
1509830435,1401,1401
1509835234,1418,1418
1509841234,1422,1422
1509846634,1442,1442
1509852634,1451,1451
1509858035,1435,1435
1509862834,1415,1415
1509868234,1397,1397
1509873634,1388,1388
1509879035,1371,1371
1509885035,1358,1358
1509889838,1295,1295
1509895234,1262,1262
1509900035,1278,1278
1509906037,1318,1318
1509911435,1334,1334
1509916235,1347,1347
1509922236,1352,1352
1509927634,1327,1327
1509933035,1332,1332
1509938435,1340,1340
1509944434,1305,1305
1509949235,1283,1283
1509955235,1227,1227
1509960034,1221,1221
1509964836,1216,1216
1509970235,1264,1264
1509976840,1236,1236
1509981634,1203,1203
1509986434,1234,1234
1509992438,1257,1257
1509997235,1277,1277
1510003235,1284,1284
1510008035,1285,1285
1510013434,1266,1266
1510019434,1279,1279
1510024834,1297,1297
1510030234,1326,1326
1510035638,1309,1309
1510041634,1295,1295
1510046435,1245,1245
1510051836,1270,1270
1510057835,1574,1574
1510063836,1579,1579
1510070435,1590,1590
1510075835,1616,1616
1510081835,1621,1621
1510087836,1635,1635
1510093836,1646,1646
1510099235,1606,1606
1510104635,1704,1704
1510110035,1765,1765
1510116036,1759,1759
1510123235,1727,1727
1510130435,1708,1708
1510135835,1706,1706
1510140638,1695,1695
1510146636,1767,1767
1510152636,1677,1677
1510159236,1684,1684
1510165835,1726,1726
1510171236,1788,1788
1510176036,1803,1803
1510181436,1833,1833
1510187435,1891,1891
1510192836,1908,1908
1510198835,1840,1840
1510206035,1847,1847
1510211437,1824,1824
1510218035,1804,1804
1510224035,1810,1810
1510231236,1752,1752
1510238435,1682,1682
1510244435,1683,1683
1510250436,1769,1769
1510255836,1847,1847
1510261236,1851,1851
1510266636,1877,1877
1510272036,1938,1938
1510277435,1960,1960
1510283436,1933,1933
1510290036,1890,1890
1510295436,1890,1890
1510302037,1824,1824
1510308635,1811,1811
1510315243,1785,1785
1510321235,1733,1733
1510327836,1679,1679
1510332635,1707,1707
1510338635,1755,1755
1510344036,1768,1768
1510348836,1788,1788
1510354236,1790,1790
1510360235,1802,1802
1510365635,1846,1846
1510371036,1858,1858
1510376441,1837,1837
1510381836,1956,1956
