DateTime,AddedIPs,RemovedIPs
1504984827,109,55
1504995628,90,82
1505007027,79,68
1505017827,80,59
1505028629,64,98
1505039430,52,64
1505052629,171,91
1505064028,64,99
1505077828,71,47
1505087426,126,67
1505098827,90,125
1505109627,51,87
1505120430,114,104
1505130629,110,161
1505143829,78,59
1505154028,116,80
1505164829,125,81
1505175627,91,92
1505187627,128,74
1505199630,55,89
1505209229,70,76
1505221829,78,113
1505234429,67,87
1505245829,62,91
1505256028,119,96
1505267427,81,151
1505279427,52,108
1505291430,120,63
1505302229,57,147
1505315428,72,82
1505328627,121,62
1505339428,72,114
1505353827,168,61
1505366427,63,241
1505377829,65,109
1505388029,120,0
1505399429,50,205
1505409028,42,0
1505420428,176,59
1505430627,91,121
1505442626,57,86
1505453426,164,101
1505463629,73,116
1505476229,122,0
1505487629,85,118
1505497829,65,117
1505508628,116,64
1505520027,152,99
1505531427,68,112
1505542827,88,73
1505553629,59,107
1505564429,52,67
1505575228,86,59
1505586028,68,102
1505596228,89,84
1505607026,164,99
1505618427,93,109
1505629826,55,63
1505640629,99,62
1505651429,35,119
1505661628,51,55
1505672428,105,0
1505683228,79,49
1505694027,49,155
1505704826,91,86
1505716226,64,111
1505726429,47,0
1505737229,107,70
1505749229,60,70
1505760628,49,165
1505771428,161,72
1505782228,90,129
1505793628,57,78
1505804429,80,79
1505815229,60,114
1505826628,64,78
1505841028,72,69
1505851827,51,97
1505862627,123,91
1505874627,63,155
1505884227,37,127
1505895030,109,117
1505907031,90,137
1505917830,49,91
1505927429,120,63
1505938228,110,0
1505949027,50,86
1505960427,117,68
1505971227,57,59
1505982029,46,155
1505996429,112,89
1506007228,60,94
1506019228,153,74
1506030028,83,55
1506040827,54,108
1506052226,94,93
1506063026,50,84
1506073228,51,108
1506084628,108,77
1506094828,58,88
1506109228,106,60
1506120028,179,68
1506131428,111,133
1506144627,72,54
1506154829,50,57
1506165629,54,86
1506176429,75,42
1506187828,82,83
1506199228,57,76
1506211227,116,105
1506222027,51,226
1506231626,50,78
1506242429,97,99
1506253829,174,115
1506264629,63,52
1506280228,129,48
1506289228,116,101
1506300028,69,91
1506311427,115,50
1506322227,82,105
1506333030,84,80
1506343829,85,85
1506354030,56,128
1506366628,133,59
1506378028,145,97
