DateTime,Entries,UniqueIPs
1504984827,2560,2599
1504995628,2569,2607
1505007027,2581,2618
1505017827,2602,2639
1505028629,2568,2605
1505039430,2559,2593
1505052629,2638,2673
1505064028,2605,2638
1505077828,2627,2662
1505087426,2687,2721
1505098827,2653,2686
1505109627,2618,2650
1505120430,2629,2660
1505130629,2578,2609
1505143829,2595,2628
1505154028,2631,2664
1505164829,2674,2708
1505175627,2674,2707
1505187627,2726,2761
1505199630,2694,2727
1505209229,2689,2721
1505221829,2653,2686
1505234429,2633,2666
1505245829,2604,2637
1505256028,2625,2660
1505267427,2555,2590
1505279427,2498,2534
1505291430,2556,2591
1505302229,2464,2501
1505315428,2454,2491
1505328627,2512,2550
1505339428,2474,2508
1505353827,2580,2615
1505366427,2405,2437
1505377829,2361,2393
1505388029,2481,2513
1505399429,2330,2358
1505409028,2371,2400
1505420428,2488,2517
1505430627,2455,2487
1505442626,2426,2458
1505453426,2487,2521
1505463629,2445,2478
1505476229,2564,2600
1505487629,2535,2567
1505497829,2483,2515
1505508628,2535,2567
1505520027,2589,2620
1505531427,2543,2576
1505542827,2558,2591
1505553629,2511,2543
1505564429,2497,2528
1505575228,2523,2555
1505586028,2485,2521
1505596228,2491,2526
1505607026,2553,2591
1505618427,2540,2575
1505629826,2533,2567
1505640629,2569,2604
1505651429,2486,2520
1505661628,2483,2516
1505672428,2584,2621
1505683228,2614,2651
1505694027,2508,2545
1505704826,2515,2550
1505716226,2469,2503
1505726429,2514,2550
1505737229,2546,2587
1505749229,2537,2577
1505760628,2424,2461
1505771428,2513,2550
1505782228,2479,2511
1505793628,2456,2490
1505804429,2460,2491
1505815229,2407,2437
1505826628,2395,2423
1505841028,2398,2426
1505851827,2353,2380
1505862627,2379,2412
1505874627,2287,2320
1505884227,2198,2230
1505895030,2190,2222
1505907031,2143,2175
1505917830,2103,2133
1505927429,2157,2190
1505938228,2267,2300
1505949027,2230,2264
1505960427,2278,2313
1505971227,2275,2311
1505982029,2168,2202
1505996429,2189,2225
1506007228,2158,2191
1506019228,2236,2270
1506030028,2265,2298
1506040827,2212,2244
1506052226,2213,2245
1506063026,2177,2211
1506073228,2123,2154
1506084628,2153,2185
1506094828,2125,2155
1506109228,2170,2201
1506120028,2280,2312
1506131428,2260,2290
1506144627,2278,2308
1506154829,2270,2301
1506165629,2237,2269
1506176429,2269,2302
1506187828,2269,2301
1506199228,2252,2282
1506211227,2261,2293
1506222027,2086,2118
1506231626,2059,2090
1506242429,2057,2088
1506253829,2117,2147
1506264629,2128,2158
1506280228,2208,2239
1506289228,2221,2254
1506300028,2198,2232
1506311427,2265,2297
1506322227,2242,2274
1506333030,2244,2278
1506343829,2244,2278
1506354030,2175,2206
1506366628,2248,2280
1506378028,2297,2328
1506388827,2287,2318
1506400227,2297,2330
1506409830,2268,2300
1506420629,2236,2269
1506431428,2253,2286
1506445827,2259,2293
1506460226,2288,2325
1506471027,2302,2338
1506482426,2235,2268
1506493226,2264,2300
1506504029,2273,2312
1506517829,2244,2284
1506528628,2266,2304
1506543029,2276,2312
1506555026,2310,2344
1506565227,2338,2375
1506576627,2312,2348
1506587429,2302,2338
1506597629,2309,2345
1506608428,2281,2316
1506620426,2358,2393
1506631228,2362,2398
1506645627,2368,2404
1506657626,2347,2382
1506667227,2248,2284
1506681028,2246,2281
1506695429,2276,2311
1506709828,2170,2205
1506723028,2227,2265
1506733827,2171,2210
1506745827,2182,2220
1506755429,2185,2221
1506766828,2149,2185
1506777629,2229,2265
1506787828,2191,2226
1506800428,2155,2191
1506811227,2223,2260
1506822626,2161,2196
1506834026,2189,2230
1506844229,2274,2314
1506849029,2203,2243
1506859829,2260,2302
1506870629,2346,2387
1506882028,2350,2392
1506894028,2341,2383
1506903026,2373,2418
1506914427,2340,2383
1506925827,2343,2385
1506936029,2418,2461
1506946829,2327,2369
1506958829,2353,2397
1506967829,2390,2433
1506982226,2461,2504
1506991827,2416,2457
1507003227,2387,2422
1507014030,2334,2366
1507024830,2322,2351
1507035629,2276,2303
1507045228,2244,2274
1507059628,2309,2346
1507074028,2310,2348
1507085427,2374,2412
1507096226,2374,2411
1507107029,2318,2352
1507117829,2374,2409
1507128628,2374,2409
1507142428,2400,2435
1507153231,2412,2450
1507164027,2390,2426
1507176026,2365,2401
1507186227,2330,2365
1507196429,2287,2321
1507206029,2284,2318
1507216828,2228,2260
1507230628,2192,2222
1507243228,2335,2370
1507255227,2404,2440
1507266027,2455,2490
1507276829,2454,2492
1507287029,2455,2490
1507299029,2467,2494
1507309828,2491,2517
1507321228,2501,2526
1507335025,2533,2556
1507347027,2548,2575
1507359629,2473,2498
1507370429,2504,2530
1507380628,2480,2506
1507392029,2445,2470
1507405226,2576,2603
1507419627,2667,2693
1507432827,2667,2696
1507446031,2678,2708
1507456229,2631,2660
1507467628,2645,2675
1507477828,2544,2572
1507488628,2654,2685
1507498828,2638,2668
1507510227,2782,2818
1507516826,2703,2739
1507525226,2780,2817
1507538428,2817,2854
1507545628,2796,2834
1507559428,2803,2839
1507569627,2825,2861
1507580427,2892,2929
1507591827,2934,2973
1507603227,2940,2979
1507617026,2933,2971
1507627829,2746,2784
1507638629,2686,2723
1507649428,2691,2727
1507659628,2741,2776
1507673425,2771,2808
1507683027,2793,2831
1507695026,2760,2790
1507708829,2769,2798
1507719028,2782,2810
1507731028,2783,2815
1507742427,2767,2801
1507752627,2749,2783
1507764027,2769,2805
1507776026,2716,2748
1507788026,2655,2686
1507798229,2625,2656
1507809028,2563,2594
1507824633,2562,2593
1507835428,2591,2620
1507846827,2554,2581
1507857626,2535,2562
1507869026,2495,2521
1507879829,2449,2475
1507889429,2451,2479
1507900829,2425,2453
1507911027,2426,2453
1507921828,2549,2577
1507934426,2644,2674
1507947027,2555,2581
1507959027,2549,2576
1507969828,2545,2573
1507980028,2506,2533
1507990828,2502,2529
1508004628,2553,2582
1508015427,2548,2576
1508026226,2486,2516
1508038826,2446,2474
1508048425,2429,2455
1508059229,2431,2456
1508070628,2441,2468
1508080827,2394,2420
1508094627,2430,2458
1508109025,2439,2466
1508119826,2454,2481
1508130626,2422,2449
1508142029,2437,2464
1508152828,2447,2474
1508164828,2429,2455
1508176228,2436,2464
1508190025,2506,2532
1508201427,2497,2523
1508212826,2477,2504
1508223025,2445,2471
1508233828,2367,2392
1508245229,2347,2371
1508255428,2306,2329
1508266228,2312,2334
1508276427,2306,2330
1508287226,2303,2327
1508299826,2406,2434
1508309425,2250,2272
1508320229,2312,2335
1508330429,2258,2282
1508341828,2258,2283
1508353827,2200,2225
1508366427,2229,2254
1508376026,2195,2219
1508386826,2197,2220
1508397629,2173,2196
1508409028,2165,2189
1508419228,2178,2201
1508430028,2195,2219
1508440228,2199,2223
1508452827,2247,2270
1508464227,2228,2251
1508475026,2226,2246
1508485228,2209,2227
1508497828,2255,2274
1508512227,2245,2263
1508526625,2279,2305
1508540425,2325,2353
1508554228,2307,2338
1508565026,2288,2316
1508575828,2297,2325
1508586028,2260,2288
1508597428,2231,2259
1508607628,2316,2346
1508622027,2336,2368
1508631024,2300,2333
1508643028,2308,2340
1508653825,2293,2326
1508663428,2295,2328
1508674829,2284,2317
1508685628,2278,2311
1508699429,2331,2364
1508713827,2358,2391
1508723426,2319,2353
1508734826,2281,2315
1508745629,2275,2309
1508755228,2281,2316
1508766628,2262,2296
1508776827,2240,2274
1508788825,2253,2287
1508800227,2269,2301
1508814026,2277,2309
1508824226,2275,2308
1508835028,2275,2307
1508845828,2280,2312
1508856628,2280,2310
1508866827,2300,2331
1508881227,2349,2382
1508895626,2350,2383
1508907626,2347,2379
1508918428,2320,2352
1508928629,2266,2298
1508939428,2238,2270
1508952626,2241,2274
1508965227,2263,2296
1508976626,2292,2326
1508988026,2249,2284
1508998825,2183,2217
1509012627,2176,2207
1509027028,2183,2214
1509040827,2108,2139
1509050427,2122,2152
1509061226,2471,2504
1509073226,2604,2637
1509083425,2598,2631
1509094830,2594,2627
1509105028,2685,2721
1509115828,2722,2760
1509127828,2838,2877
1509139827,2902,2944
1509150626,2925,2967
1509163827,2920,2963
1509176428,2877,2920
1509186628,2864,2908
1509197428,2861,2900
1509207628,2822,2862
1509219027,2766,2807
1509229827,2734,2776
1509240627,2642,2683
1509254426,2617,2654
1509267028,2590,2627
1509278428,2561,2597
1509291028,2546,2581
1509301227,2497,2530
1509315627,2522,2554
1509327026,2533,2566
1509340226,2517,2548
1509350429,2492,2526
1509361830,2475,2508
1509370829,2487,2520
1509384028,2545,2576
1509394228,2566,2599
1509405028,2570,2602
1509417627,2524,2558
1509431427,2571,2605
1509442229,2551,2585
1509453028,2494,2526
1509462628,2427,2456
1509474027,2472,2504
1509487226,2478,2509
1509497426,2431,2466
1509508826,2400,2434
1509520229,2429,2464
1509530428,2407,2444
1509541228,2407,2443
1509552028,2409,2442
1509562226,2462,2496
1509573027,2457,2491
1509584426,2547,2582
1509595226,2451,2482
1509606029,2531,2566
1509616829,2505,2539
1509627029,2395,2426
1509638428,2470,2502
1509649228,2476,2507
1509658827,2352,2384
1509670227,2461,2497
1509681627,2456,2490
1509691826,2443,2475
1509702628,2396,2427
1509713428,2390,2424
1509723627,2396,2432
1509734427,2393,2430
1509745827,2385,2422
1509756626,2293,2330
1509767426,2318,2354
1509778226,2398,2436
1509789628,2379,2418
1509799828,2262,2300
1509810027,2326,2366
1509819025,2372,2413
1509830427,2384,2423
1509841226,2354,2391
1509852626,2357,2393
1509862825,2342,2376
1509873628,2334,2368
1509885028,2304,2339
1509895227,2314,2349
1509906029,2276,2312
1509916227,2288,2324
1509927626,2355,2391
1509938426,2329,2365
