DateTime,AddedIPs,RemovedIPs
1504984827,440,388
1504995628,379,222
1505007027,303,244
1505017827,359,394
1505028629,293,350
1505039430,225,345
1505052629,421,597
1505064028,251,318
1505077828,391,258
1505087426,475,318
1505098827,371,367
1505109627,254,303
1505120430,382,421
1505130629,386,298
1505143829,289,404
1505154028,448,284
1505164829,403,300
1505175627,316,275
1505187627,358,512
1505199630,284,436
1505209229,319,214
1505221829,367,511
1505234429,289,417
1505245829,335,224
1505256028,514,352
1505267427,292,271
1505279427,229,338
1505291430,462,468
1505302229,272,351
1505315428,294,520
1505328627,408,287
1505339428,270,221
1505353827,659,371
1505366427,244,329
1505377829,219,365
1505388029,339,391
1505399429,231,357
1505409028,221,164
1505420428,551,379
1505430627,298,224
1505442626,304,296
1505453426,373,459
1505463629,255,339
1505476229,434,390
1505487629,294,338
1505497829,295,224
1505508628,466,337
1505520027,442,303
1505531427,256,328
1505542827,368,466
1505553629,235,315
1505564429,260,274
1505575228,340,439
1505586028,300,255
1505596228,342,208
1505607026,528,372
1505618427,342,281
1505629826,240,320
1505640629,358,475
1505651429,192,323
1505661628,243,307
1505672428,445,354
1505683228,370,225
1505694027,238,247
1505704826,419,431
1505716226,272,315
1505726429,188,319
1505737229,401,391
1505749229,294,333
1505760628,279,273
1505771428,497,291
1505782228,357,269
1505793628,256,425
1505804429,279,400
1505815229,259,357
1505826628,274,438
1505841028,295,345
1505851827,265,217
1505862627,463,285
1505874627,318,272
1505884227,169,246
1505895030,349,342
1505907031,290,299
1505917830,183,285
1505927429,337,354
1505938228,383,274
1505949027,210,220
1505960427,463,323
1505971227,240,318
1505982029,208,326
1505996429,366,382
1506007228,223,294
1506019228,503,312
1506030028,302,268
1506040827,306,243
1506052226,332,465
1506063026,225,301
1506073228,232,238
1506084628,352,381
1506094828,249,225
1506109228,416,292
1506120028,512,272
1506131428,344,298
1506144627,287,617
1506154829,211,273
1506165629,246,304
1506176429,293,385
1506187828,272,235
1506199228,289,228
1506211227,526,309
1506222027,231,316
1506231626,187,241
