DateTime,AddedIPs,RemovedIPs
1507900832,3,1
1507906230,2,2
1507911031,6,0
1507916432,4,6
1507921832,1,4
1507926632,4,2
1507930833,2,5
1507934430,4,0
1507940432,2,3
1507947032,5,3
1507953632,2,3
1507959032,3,4
1507964440,3,3
1507969831,3,0
1507975232,3,6
1507980032,5,2
1507985432,2,6
1507990832,3,0
1507996832,4,6
1508000430,6,1
1508004632,4,3
1508011233,4,4
1508015432,2,5
1508021432,3,6
1508026232,3,5
1508032832,3,5
1508038832,1,5
1508043031,2,6
1508048432,5,3
1508053832,4,3
1508059232,3,5
1508064632,6,2
1508070632,2,5
1508076032,3,1
1508080832,3,5
1508085633,3,4
1508089229,1,0
1508094631,3,3
1508100033,3,3
1508105432,4,2
1508112632,2,5
1508119832,3,7
1508125233,2,3
1508130632,1,4
1508136632,6,2
1508142032,3,6
1508148032,0,9
1508152832,4,3
1508158832,2,5
1508164832,5,4
1508170832,2,2
1508176232,2,2
1508181033,0,5
1508186432,2,5
1508190029,3,0
1508195431,3,10
1508201433,5,8
1508206832,0,6
1508212832,3,5
1508218232,2,7
1508223031,4,2
1508228432,3,6
1508233832,1,1
1508239232,3,4
1508245233,0,1
1508250033,2,5
1508255432,2,2
1508260232,3,0
1508266233,3,6
1508271632,2,0
1508276432,1,0
1508282432,5,0
1508293832,2,0
1508299832,4,0
1508304031,1,0
1508309431,2,0
1508314832,2,0
1508320232,1,0
1508325631,3,0
1508330433,2,0
1508337032,2,0
1508341831,4,0
1508346632,4,0
1508350229,3,0
1508353831,2,0
1508359232,2,0
1508362229,2,0
1508366432,1,0
1508370028,2,0
1508376032,2,0
1508382032,4,0
1508386832,1,0
1508392231,3,0
1508397632,3,0
1508403032,1,0
1508409032,3,0
1508413832,4,0
1508419232,4,0
1508430033,3,0
1508434831,3,0
1508440232,3,0
1508445632,1,0
1508452832,3,0
1508458231,1,0
1508464232,4,0
1508469632,3,0
1508475032,1,0
1508480432,4,0
1508485231,2,0
1508490632,3,0
1508494229,4,0
1508497832,3,0
1508501429,2,0
1508507432,2,0
1508512231,1,0
1508517632,3,0
1508523034,2,0
1508532032,7,0
1508536833,6,0
1508540429,7,0
1508544631,3,0
1508548229,1,0
1508554234,7,0
1508565032,6,0
1508571033,2,0
1508575832,3,0
1508580635,4,0
1508586032,3,0
1508592032,4,0
1508597432,5,0
1508607632,3,0
1508613033,3,0
1508616630,1,0
1508622033,3,0
1508627432,4,0
1508631029,3,0
1508637032,3,0
1508643034,3,0
1508648432,3,0
1508653831,1,0
1508658632,2,0
1508668832,3,0
1508674832,2,0
1508680231,1,4
1508685632,3,6
1508690433,4,2
1508695231,6,2
1508699433,3,3
1508704232,5,3
1508708432,5,3
1508713832,4,6
1508719232,2,5
1508723431,5,2
1508728832,5,1
1508734832,5,0
1508739632,2,1
1508745632,3,6
1508750431,6,3
1508755232,6,0
1508761832,3,3
1508766631,3,1
1508771432,0,1
1508776831,4,1
1508781632,1,5
1508788829,5,0
1508792432,2,0
1508796030,4,4
1508803829,0,12
1508807432,3,0
1508814032,3,7
1508819432,2,3
1508824232,3,3
1508829632,1,1
1508835032,1,1
1508840432,3,7
1508845832,8,4
1508851232,2,2
1508856632,3,0
1508862032,3,3
1508866832,4,11
1508872233,2,3
1508875830,2,1
1508881232,1,0
1508886632,3,7
1508890229,1,0
1508895632,3,5
1508901031,3,3
1508907632,6,5
1508913032,1,2
1508918499,2,0
1508923832,2,0
1508928633,5,1
1508934032,1,4
1508939432,1,2
1508944233,2,1
1508949032,2,2
1508952629,2,0
1508956832,2,5
1508960430,2,0
1508965232,3,1
1508968829,1,0
1508972432,5,3
1508976632,5,3
1508982632,1,4
1508988032,2,2
1508993432,5,3
1508998831,2,1
1509003632,1,0
1509009032,3,3
1509012629,5,0
1509017431,3,2
1509021632,3,0
1509027032,3,1
1509032433,4,2
1509037233,4,3
1509040830,2,0
1509045032,4,6
1509050432,1,2
1509055832,1,0
1509061232,12,5
1509067232,1,0
1509073232,8,3
1509079232,3,4
1509083431,7,7
1509089433,10,3
1509094833,4,1
1509099632,3,3
1509105032,1,3
1509110432,7,0
1509115832,6,5
1509121832,8,0
1509127833,6,6
1509134438,2,6
1509139832,5,1
1509145233,4,8
1509150632,3,0
1509156634,4,3
1509163833,4,4
1509170432,2,8
1509176432,4,4
1509181232,4,3
1509186632,5,4
1509192033,3,2
1509197432,2,3
1509202832,6,3
1509207632,2,5
1509213035,3,5
1509219032,4,3
1509223832,3,6
1509229833,3,4
1509235233,7,0
1509240632,2,2
1509246632,4,4
1509254433,6,2
1509261032,5,5
1509267033,2,2
1509273033,4,5
1509278432,7,4
1509284433,2,4
1509291033,3,3
1509295833,5,2
1509301232,2,1
1509306633,1,1
1509311432,3,3
1509315632,4,6
1509321032,4,6
1509327032,1,1
1509333632,1,5
1509340232,1,5
1509345032,7,2
1509350432,3,1
1509355833,1,3
1509361833,3,6
1509366632,3,0
1509370832,0,4
1509378032,2,3
1509384032,2,2
1509389432,0,5
1509394234,1,4
