DateTime,Entries,UniqueIPs
1507953632,955,962
1507959032,958,965
1507964440,955,962
1507969831,961,968
1507975232,960,967
1507980032,962,969
1507985432,958,966
1507990832,959,967
1507996832,958,966
1508000430,957,965
1508004632,956,964
1508011233,954,962
1508015432,956,964
1508021432,956,964
1508026232,955,963
1508032832,956,964
1508038832,956,964
1508043031,955,963
1508048432,962,970
1508053832,962,970
1508059232,964,972
1508064632,965,973
1508070632,964,972
1508076032,959,967
1508080832,959,967
1508085633,960,968
1508089229,964,972
1508094631,954,961
1508100033,955,962
1508105432,952,959
1508109029,955,962
1508112632,951,958
1508119832,957,964
1508125233,956,963
1508130632,959,966
1508136632,955,962
1508142032,956,963
1508148032,960,967
1508152832,962,969
1508158832,961,968
1508164832,958,965
1508170832,956,963
1508176232,955,962
1508181033,953,960
1508186432,951,958
1508190029,954,961
1508195431,953,960
1508201433,955,962
1508206832,955,962
1508212832,955,962
1508218232,954,961
1508223031,954,961
1508228432,955,962
1508233832,950,957
1508239232,946,952
1508245233,945,951
1508250033,944,950
1508255432,943,949
1508260232,942,947
1508266233,942,947
1508271632,944,949
1508276432,938,943
1508282432,939,945
1508287232,932,938
1508293832,935,941
1508299832,927,933
1508304031,934,940
1508309431,931,937
1508314832,930,936
1508320232,928,934
1508325631,930,936
1508330433,927,933
1508337032,925,931
1508341831,926,932
1508346632,931,937
1508350229,935,940
1508353831,933,938
1508359232,932,937
1508362229,937,942
1508366432,935,940
1508370028,937,942
1508376032,925,931
1508382032,928,934
1508386832,925,931
1508392231,926,932
1508397632,930,936
1508403032,924,930
1508409032,923,929
1508413832,919,925
1508419232,927,933
1508424632,926,932
1508430033,924,930
1508434831,921,927
1508440232,926,932
1508445632,921,926
1508448630,924,929
1508452832,921,926
1508458231,916,921
1508464232,915,920
1508469632,915,920
1508475032,912,917
1508480432,911,916
1508485231,908,913
1508490632,910,915
1508494229,915,920
1508497832,911,917
1508501429,916,922
1508507432,909,915
1508512231,910,916
1508517632,909,915
1508523034,907,913
1508526629,910,916
1508532032,910,916
1508536833,904,910
1508540429,915,921
1508544631,913,919
1508548229,914,920
1508554234,922,928
1508560232,922,928
1508565032,923,929
1508571033,920,926
1508575832,918,924
1508580635,918,924
1508586032,917,923
1508592032,919,925
1508597432,925,931
1508602832,919,925
1508607632,919,925
1508613033,919,925
1508616630,924,930
1508622033,917,923
1508627432,921,927
1508631029,925,931
1508637032,924,931
1508643034,925,932
1508648432,924,932
1508653831,920,928
1508658632,918,926
1508663431,920,928
1508668832,918,926
1508674832,918,926
1508680231,913,921
1508685632,917,925
1508690433,917,927
1508695231,916,925
1508699433,918,927
1508704232,920,930
1508708432,926,936
1508713832,924,934
1508719232,918,929
1508723431,921,931
1508728832,927,937
1508734832,934,944
1508739632,935,945
1508745632,935,945
1508750431,935,945
1508755232,938,948
1508761832,938,948
1508766631,936,946
1508771432,929,939
1508776831,932,942
1508781632,934,944
1508788829,938,948
1508792432,942,952
1508796030,937,947
1508803829,937,947
1508807432,942,952
1508814032,935,945
1508819432,938,948
1508824232,938,948
1508829632,935,945
1508835032,934,944
1508840432,934,944
1508845832,937,948
1508851232,937,948
1508856632,936,948
1508862032,938,949
1508866832,939,950
1508872233,940,951
1508875830,944,955
1508881232,942,953
1508886632,941,951
1508890229,940,949
1508895632,946,955
1508901031,944,953
1508907632,943,952
1508913032,942,951
1508918499,943,952
1508923832,944,953
1508928633,946,955
1508934032,945,954
1508939432,945,954
1508944233,941,950
1508949032,941,950
1508952629,944,953
1508956832,929,938
1508960430,934,943
1508965232,927,936
1508968829,931,940
1508972432,936,945
1508976632,934,943
1508982632,931,939
1508988032,934,940
1508993432,934,941
1508998831,934,941
1509003632,932,939
1509009032,928,935
1509012629,933,940
1509017431,934,941
1509021632,932,939
1509027032,930,937
1509032433,938,945
1509037233,937,943
1509040830,941,947
1509045032,935,941
1509050432,936,942
1509055832,928,934
1509061232,937,943
1509067232,943,949
1509073232,944,950
1509079232,946,952
1509083431,954,960
1509089433,960,966
1509094833,963,969
1509099632,957,963
1509105032,953,959
1509110432,962,969
1509115832,967,974
1509121832,972,979
1509127833,976,983
1509134438,970,977
1509139832,967,974
1509145233,961,968
1509150632,958,965
1509156634,966,974
1509163833,966,974
1509170432,970,978
1509176432,970,978
1509181232,966,975
1509186632,967,976
1509192033,969,978
1509197432,969,978
