DateTime,AddedIPs,RemovedIPs
1507953632,23,24
1507959032,26,23
1507964440,22,24
1507969831,23,23
1507975232,23,23
1507980032,26,24
1507985432,22,26
1507990832,23,22
1507996832,24,21
1508000430,22,24
1508004632,24,22
1508011233,23,25
1508015432,24,24
1508021432,24,24
1508026232,25,24
1508032832,25,25
1508038832,24,23
1508043031,24,25
1508048432,24,25
1508053832,25,24
1508059232,24,25
1508064632,26,24
1508070632,22,24
1508076032,22,22
1508080832,23,22
1508085633,25,25
1508089229,24,25
1508094631,24,24
1508100033,24,23
1508105432,23,25
1508109029,26,23
1508112632,25,26
1508119832,27,25
1508125233,22,26
1508130632,23,23
1508136632,24,21
1508142032,21,23
1508148032,21,23
1508152832,23,21
1508158832,25,23
1508164832,25,26
1508170832,22,24
1508176232,21,22
1508181033,21,22
1508186432,22,20
1508190029,25,23
1508195431,24,25
1508201433,24,24
1508206832,22,23
1508212832,21,22
1508218232,22,20
1508223031,25,22
1508228432,24,26
1508233832,20,22
1508239232,21,20
1508245233,20,21
1508250033,21,21
1508255432,20,20
1508260232,20,19
1508266233,24,23
1508271632,25,25
1508276432,23,24
1508282432,23,22
1508287232,19,23
1508293832,24,20
1508299832,26,25
1508304031,21,25
1508309431,22,22
1508314832,22,22
1508320232,23,22
1508325631,26,22
1508330433,24,26
1508337032,24,23
1508341831,19,22
1508346632,22,21
1508350229,22,20
1508353831,22,23
1508359232,23,24
1508362229,24,22
1508366432,23,24
1508370028,23,24
1508376032,26,23
1508382032,23,26
1508386832,23,23
1508392231,23,22
1508397632,22,23
1508403032,24,22
1508409032,22,24
1508413832,22,22
1508419232,24,22
1508424632,21,24
1508430033,24,21
1508434831,22,25
1508440232,22,23
1508445632,21,20
1508448630,21,21
1508452832,21,20
1508458231,20,22
1508464232,25,22
1508469632,26,25
1508475032,23,25
1508480432,22,23
1508485231,23,22
1508490632,24,23
1508494229,24,24
1508497832,22,23
1508501429,22,21
1508507432,24,23
1508512231,23,24
1508517632,22,24
1508523034,22,22
1508526629,23,21
1508532032,26,24
1508536833,22,27
1508540429,27,22
1508544631,24,25
1508548229,19,25
1508554234,24,19
