DateTime,AddedIPs,RemovedIPs
1510068121,3,2
1510068721,2,6
1510069321,1,7
1510071121,0,2
1510072321,2,10
1510073522,11,2
1510074722,2,1
1510075921,2,2
1510076521,1,10
1510077121,1,0
1510078321,0,6
1510080121,1,0
1510080721,3,3
1510082521,1,0
1510083121,0,1
1510084321,6,1
1510085521,0,3
1510087321,2,0
1510088521,2,13
1510089121,1,5
1510089721,1,1
1510090322,3,0
1510090921,1,0
1510091521,1,0
1510092721,1,4
1510093921,0,14
1510094521,1,0
1510096321,1,1
1510097521,2,11
1510098721,1,2
1510100521,0,1
1510101121,0,2
1510101721,0,1
1510102321,1,0
1510103521,4,0
1510104121,2,1
1510104721,0,2
1510105321,1,0
1510106521,1,0
1510108921,1,0
1510109521,0,2
1510110721,0,2
1510111921,1,0
1510113121,1,7
1510114322,1,0
1510116121,3,1
1510116721,0,8
1510118521,7,4
1510119121,1,0
1510120921,0,8
1510121522,1,0
1510122721,1,0
1510123921,0,5
1510125721,0,1
1510126321,2,1
1510127521,0,4
1510128122,1,0
1510128721,1,0
1510129321,1,3
1510130521,2,0
1510131121,0,4
1510133521,1,2
1510134121,1,2
1510134721,4,0
1510135321,1,0
1510137121,1,2
1510138322,0,1
1510139521,1,1
1510140121,4,0
1510141321,1,1
1510141921,0,1
1510143721,2,5
1510144321,0,3
1510145521,1,1
1510146721,2,1
1510147921,3,4
1510148521,0,2
1510149121,1,1
1510149722,1,0
1510150321,0,3
1510151521,1,0
1510152721,1,0
1510153322,1,2
1510155121,0,2
1510156321,2,0
1510157521,1,4
1510158721,3,0
1510159321,2,0
1510159921,0,2
1510160521,0,6
1510161121,1,0
1510162322,1,1
1510163522,1,1
1510164721,0,2
1510167121,2,0
1510168321,2,1
1510169521,2,9
1510170121,0,3
1510170721,1,0
1510171321,2,5
1510171921,0,1
1510173121,4,0
1510174321,0,1
1510174921,1,0
1510175521,0,1
1510177921,1,2
1510179121,1,11
1510180921,1,1
1510181521,0,1
1510182722,5,1
1510184521,2,0
1510185121,0,3
1510186321,0,4
1510188121,0,7
1510189921,0,2
1510190521,1,0
1510191121,0,5
1510192321,0,1
1510192921,1,8
1510193521,2,0
1510195321,0,2
1510195921,0,10
1510197121,1,2
1510198322,2,2
1510198921,1,0
1510199521,0,3
1510200721,0,3
1510201322,0,1
1510201921,1,3
1510204321,1,12
1510205521,1,4
1510207921,0,10
1510209121,1,11
1510210321,0,3
1510211521,2,0
1510212721,1,11
1510216321,0,1
1510218121,0,13
1510218721,0,2
1510221122,0,3
1510222921,1,2
1510223521,0,1
1510224721,2,2
1510225921,18,0
