DateTime,AddedIPs,RemovedIPs
1510259521,79,79
1510260721,72,72
1510261321,72,72
1510261921,71,71
1510263121,68,68
1510264321,33,33
1510265521,67,67
1510266122,15,15
1510266722,53,53
1510268521,74,74
1510269121,80,80
1510269721,74,74
1510270322,72,72
1510270922,79,79
1510271521,6,6
1510272121,77,77
1510272721,77,77
1510273321,76,76
1510273921,72,72
1510275121,76,76
1510275721,80,80
1510276321,80,80
1510276921,80,80
1510277521,80,80
1510278722,78,78
1510279921,63,63
1510280521,80,80
1510281121,80,80
1510281721,80,80
1510282322,80,80
1510282921,80,80
1510283521,77,77
1510284721,68,68
1510285321,32,32
1510285921,79,79
1510286521,76,76
1510287121,80,80
1510287721,75,75
1510288321,69,69
1510288921,80,80
1510289521,77,77
1510290722,76,76
1510291921,72,72
1510292521,80,80
1510293121,79,79
1510293722,55,55
1510294321,76,76
1510295521,57,57
1510296121,77,77
1510296722,70,70
1510297922,49,49
1510298521,54,54
1510299722,79,79
1510300321,80,80
1510301521,35,35
1510302121,78,78
1510302722,75,75
1510303922,74,74
1510304521,77,77
1510305122,34,34
1510305721,61,61
1510306321,13,13
1510306921,3,3
1510307521,72,72
1510308121,80,80
1510308721,80,80
1510309321,76,76
1510309921,8,8
1510311121,70,70
1510311722,62,62
1510312321,79,79
1510312921,70,70
1510313521,75,75
1510314121,79,79
1510314721,42,42
1510315921,44,44
1510317121,77,77
1510317721,77,77
1510318321,80,80
1510319521,71,71
1510320121,77,77
1510321321,77,77
1510321921,25,25
1510323122,80,80
1510324321,78,78
1510324921,78,78
1510325521,80,80
1510326721,80,80
1510327322,79,79
1510327921,15,15
1510328522,79,79
1510329121,80,80
1510330321,65,65
1510331521,49,49
1510332721,77,77
1510333322,72,72
1510333921,80,80
1510335121,64,64
1510335721,72,72
1510336321,76,76
1510336921,80,80
1510338121,76,76
1510338721,80,80
1510339321,80,80
1510339921,80,80
1510340521,78,78
1510341121,65,65
1510341721,80,80
1510342321,80,80
1510342921,74,74
1510343521,72,72
1510344121,80,80
1510344721,77,77
1510345921,75,75
1510347121,80,80
1510347721,80,80
1510348321,80,80
1510349521,80,80
1510350121,80,80
1510350721,80,80
1510351321,67,67
1510352521,56,56
1510353121,77,77
1510355522,61,61
1510356121,76,76
1510357321,21,21
1510357921,17,17
1510358521,78,78
1510359121,79,79
1510360321,77,77
1510361521,80,80
1510362721,77,77
1510363321,80,80
1510364521,80,80
1510365121,77,77
1510365721,76,76
1510366321,36,36
1510366921,34,34
1510367521,80,80
1510368721,79,79
1510369321,80,80
1510369921,80,80
1510370521,51,51
1510371121,77,77
1510371721,80,80
1510372321,77,77
1510372921,76,76
1510374121,74,74
1510374722,77,77
1510375321,80,80
1510375922,76,76
1510377121,80,80
1510378322,78,78
1510379522,76,76
1510380121,38,38
1510380722,77,77
1510381921,68,68
1510382521,78,78
1510383122,80,80
1510383721,75,75
1510384321,73,73
1510384922,69,69
1510385522,80,80
1510386721,80,80
1510387921,72,72
1510388521,78,78
1510389121,32,32
1510389721,76,76
1510390321,76,76
1510390921,71,71
1510391521,52,52
1510392121,68,68
1510393321,77,77
1510393921,80,80
1510395121,77,77
1510396321,80,80
1510396921,75,75
1510397521,75,75
1510398121,76,76
1510398722,80,80
1510399921,68,68
1510400521,80,80
1510401121,76,76
1510402321,80,80
1510403521,73,73
1510404721,71,71
1510405321,66,66
1510405922,38,38
1510406521,69,69
1510407121,78,78
1510407721,76,76
1510408322,80,80
1510408921,80,80
1510409521,66,66
1510410121,80,80
1510410721,80,80
1510411321,80,80
1510412521,80,80
1510413121,74,74
1510414321,77,77
1510414921,80,80
1510415521,80,80
1510416121,37,37
1510417321,60,60
1510418521,78,78
1510419121,80,80
1510420321,76,76
1510421521,75,75
1510422721,66,66
1510424522,70,70
1510425121,77,77
1510425721,59,59
1510426321,80,80
1510426921,52,52
1510427521,75,75
1510428721,75,75
1510429321,76,76
1510429921,60,60
1510431121,28,28
1510431722,80,80
1510432321,77,77
1510432921,80,80
1510433521,78,78
1510434721,73,73
1510435921,76,76
1510436521,80,80
1510437121,80,80
1510438321,38,38
1510439521,41,41
1510440121,67,67
1510440721,80,80
1510441321,80,80
1510441921,79,79
1510442521,80,80
1510443122,80,80
1510444321,78,78
1510445521,80,80
1510446721,74,74
1510447322,78,78
1510448521,72,72
1510449121,80,80
1510450321,65,65
1510451521,80,80
1510452121,77,77
1510453321,80,80
1510453921,78,78
1510454521,74,74
1510455121,80,80
1510456321,70,70
1510456921,80,80
1510457521,79,79
1510458721,67,67
1510459922,80,80
1510460521,80,80
1510461121,80,80
1510462321,80,80
1510462921,80,80
1510463521,80,80
1510464122,80,80
1510464721,80,80
1510465321,80,80
1510465921,80,80
1510466521,80,80
1510467721,80,80
1510468921,80,80
1510469522,80,80
1510470121,80,80
1510470721,80,80
1510471321,80,80
1510472521,80,80
1510473121,80,80
1510474322,5,5
1510474921,80,80
1510475521,80,80
1510476721,63,63
1510477921,80,80
1510479121,65,65
1510479721,80,80
1510480321,80,80
1510480922,80,80
1510481521,76,76
1510482721,45,45
1510483321,52,52
1510483921,80,80
1510484521,78,78
1510485121,79,79
1510485722,62,62
1510486321,77,77
1510487521,75,75
1510488721,63,63
1510489922,79,79
1510490521,76,76
1510491121,78,78
1510491721,80,80
1510492321,66,66
1510492921,80,80
1510495321,77,77
1510495921,79,79
1510496521,31,31
1510497121,80,80
1510498322,68,68
1510499521,80,80
1510500121,80,80
1510500721,76,76
1510501321,79,79
1510501921,80,80
1510503121,20,20
1510504321,74,74
1510504921,80,80
1510505521,80,80
1510506721,74,74
1510507921,69,69
1510508521,56,56
1510509122,80,80
1510510321,80,80
1510510921,80,80
1510511522,80,80
1510512121,73,73
1510512721,50,50
1510513321,80,80
1510513921,80,80
1510514521,80,80
1510515121,79,79
1510515721,66,66
1510516321,54,54
1510516921,80,80
1510517522,80,80
1510518121,78,78
1510518721,80,80
1510519321,80,80
1510519921,80,80
1510520521,80,80
1510521121,80,80
1510522322,39,39
1510522921,80,80
1510523521,45,45
1510524121,80,80
1510524722,80,80
1510525921,80,80
1510526521,79,79
1510527121,79,79
1510528322,75,75
1510528922,80,80
1510529521,80,80
1510530121,68,68
1510530722,37,37
1510531922,70,70
1510532521,80,80
1510533121,80,80
1510533721,79,79
1510534921,79,79
1510536121,65,65
1510536721,70,70
1510537321,68,68
1510537922,76,76
1510538521,80,80
1510539121,78,78
1510539721,79,79
1510540321,79,79
1510540922,80,80
1510541521,78,78
1510542721,78,78
1510543321,80,80
1510543921,79,79
1510544522,73,73
1510545121,73,73
1510546321,76,76
1510547521,80,80
1510548721,77,77
1510549322,80,80
1510550521,76,76
1510551122,80,80
1510552321,80,80
1510552921,79,79
1510553521,80,80
1510554721,77,77
1510555321,74,74
1510555921,80,80
1510556521,75,75
1510557122,80,80
1510558321,63,63
1510558921,67,67
1510560122,78,78
1510560721,61,61
1510561921,80,80
1510563121,78,78
1510564321,78,78
1510564921,80,80
1510565521,80,80
1510566721,74,74
1510567921,77,77
1510568521,73,73
1510569721,77,77
1510570321,68,68
1510571521,79,79
1510572122,80,80
1510572721,80,80
1510573321,80,80
1510573921,77,77
1510575121,77,77
1510576321,75,75
1510576922,75,75
1510577521,80,80
1510578721,79,79
1510579321,63,63
1510581721,71,71
1510582321,72,72
1510582921,75,75
1510583521,33,33
1510584121,80,80
1510584721,50,50
1510585921,76,76
1510586521,80,80
1510587121,80,80
1510587721,72,72
1510588321,80,80
1510589521,80,80
1510590721,79,79
1510591321,80,80
1510591921,80,80
1510593121,80,80
1510594321,51,51
1510594921,80,80
1510596121,75,75
1510596721,72,72
1510597921,67,67
1510598521,80,80
1510599121,13,13
1510599721,77,77
1510600921,65,65
1510601521,74,74
1510602121,80,80
1510602721,80,80
1510603321,80,80
1510603921,75,75
1510605121,70,70
1510605721,80,80
1510606321,80,80
1510606921,80,80
1510607521,80,80
1510608721,80,80
1510609321,77,77
1510609921,75,75
1510611121,72,72
1510612322,80,80
1510613521,80,80
1510614122,80,80
1510614721,80,80
1510615321,73,73
1510615921,80,80
1510616521,22,22
1510617121,79,79
1510617721,56,56
1510618321,49,49
1510618921,76,76
1510619522,11,11
1510620722,75,75
1510621921,80,80
1510623121,74,74
1510624321,66,66
1510624921,78,78
1510625521,63,63
1510626721,76,76
1510627921,78,78
1510629122,75,75
1510629722,69,69
1510633322,71,71
1510634521,19,19
1510635722,80,80
1510636322,80,80
1510636922,80,80
1510638121,71,71
1510639322,77,77
1510639922,9,9
1510640522,19,19
1510641122,24,24
1510641722,14,14
1510642321,73,73
1510642921,35,35
1510644121,80,80
1510644722,26,26
1510645321,80,80
1510646522,75,75
1510647122,16,16
1510647722,77,77
1510648921,72,72
1510650121,79,79
1510650721,4,4
1510651321,50,50
1510651922,6,6
1510652522,73,73
1510653121,25,25
1510653722,77,77
1510654322,69,69
1510654921,70,70
1510656121,77,77
1510656721,77,77
1510657322,27,27
1510657921,72,72
1510658521,69,69
