DateTime,AddedIPs,RemovedIPs
1510268521,22,10
1510269121,1,8
1510269721,1,10
1510270322,1,5
1510271521,4,0
1510272721,2,7
1510273321,3,9
1510273921,2,6
1510275121,12,6
1510275721,11,4
1510276321,4,9
1510276921,8,0
1510277521,3,1
1510278722,2,8
1510279921,2,15
1510280521,0,12
1510281121,4,0
1510281721,0,10
1510282322,10,0
1510282921,4,5
1510283521,2,2
1510284721,6,5
1510285321,0,5
1510285921,1,6
1510286521,1,0
1510287121,2,5
1510288321,3,2
1510288921,12,6
1510289521,2,7
1510290722,10,5
1510291321,1,16
1510292521,6,5
1510293121,1,5
1510293722,4,0
1510294321,3,10
1510295521,0,3
1510296121,1,0
1510296722,1,0
1510297922,3,3
1510298521,3,6
1510299722,0,1
1510300321,1,9
1510301521,3,5
1510302121,1,1
1510302722,0,2
1510303922,4,2
1510305122,23,6
1510305721,23,9
1510306321,14,0
1510307521,20,6
1510308121,3,33
1510308721,6,0
1510309321,2,5
1510309921,4,0
1510310522,1,11
1510311722,31,5
1510312321,4,4
1510312921,9,3
1510313521,2,7
1510314121,2,4
1510314721,2,0
1510315921,2,11
1510316521,2,3
1510317121,1,3
1510317721,3,0
1510318321,23,7
1510319521,8,0
1510320121,3,5
1510321321,7,1
1510321921,4,0
1510323122,12,2
1510324321,3,4
1510324921,1,7
1510325521,6,0
1510327322,4,12
1510327921,4,4
1510328522,3,0
1510329121,6,4
1510330321,2,6
1510331521,6,4
1510332721,21,3
1510333921,3,5
1510335121,5,8
1510335721,3,4
1510336321,4,8
1510336921,6,0
1510338121,4,12
1510338721,0,11
1510339921,1,0
1510340521,9,0
1510341121,4,12
1510341721,3,0
1510342321,1,2
1510343521,2,6
1510344121,1,1
1510344721,0,2
1510345321,9,7
1510345921,9,5
1510347121,6,0
1510347721,7,12
1510348321,2,0
1510349521,3,14
1510350121,5,14
1510350721,3,8
1510351321,1,0
1510352521,4,10
1510353121,7,12
1510355522,5,6
1510356121,3,0
1510357321,10,7
1510357921,0,9
1510360321,23,2
1510361521,17,7
1510362121,2,4
1510362721,6,7
1510363321,2,9
1510364521,33,11
1510365121,8,5
1510365721,2,0
1510366321,3,1
1510366921,5,3
1510367521,2,6
1510368721,6,4
1510369321,3,7
1510369921,3,0
1510370521,6,7
1510371121,9,4
1510372321,7,3
1510373521,2,7
1510374722,3,7
1510375321,1,2
1510375922,3,2
1510377121,3,11
1510377721,14,1
1510378322,18,6
1510378921,1,0
1510379522,3,6
1510380121,2,4
1510380722,0,1
1510381921,5,0
1510382521,3,4
1510383122,0,12
1510383721,1,0
1510384321,4,5
1510385521,3,7
1510386122,0,1
1510386721,47,0
1510387921,16,4
1510388521,21,3
1510389121,11,2
1510389721,10,0
1510390321,10,5
1510390921,12,0
1510391521,9,4
1510392121,3,0
1510393321,5,15
1510393921,2,9
1510395121,1,10
1510396321,2,5
1510396921,0,9
1510397521,3,10
1510398121,1,4
1510398722,13,6
1510399921,31,2
1510400521,7,8
1510401121,6,0
1510401721,5,8
1510402922,5,6
1510403521,3,3
1510404721,4,9
1510405321,1,12
1510405922,14,6
1510406521,1,0
1510407121,0,14
1510407721,0,1
1510408322,2,4
1510408921,2,0
1510409521,1,4
1510410121,4,0
1510410721,11,3
1510411321,11,0
1510412521,4,8
1510413121,8,4
1510414321,8,8
1510414921,0,6
1510415521,3,3
1510416121,0,2
1510417321,2,8
1510418521,28,5
1510419121,4,14
1510420321,8,9
1510420921,2,0
1510421521,0,2
1510422721,5,1
1510424522,2,21
1510425121,3,0
1510425721,0,3
1510426321,1,5
1510426921,7,0
1510427521,12,2
1510428122,4,3
1510428721,0,5
1510429321,7,0
1510429921,0,3
1510431121,5,2
1510431722,2,3
1510432321,3,2
1510432921,3,9
1510433521,13,3
1510434121,10,0
1510434721,33,9
1510435921,12,4
1510436521,7,4
1510437121,2,0
1510437721,2,9
1510438921,10,0
1510439521,3,1
1510440121,1,13
1510440721,1,0
1510441321,3,0
1510441921,9,0
1510442521,6,4
1510443122,5,0
1510443721,3,1
1510444321,10,1
1510445521,9,4
1510446121,0,2
1510446721,3,6
1510447322,22,0
1510448521,5,6
1510449121,3,2
1510450321,4,13
1510451521,16,9
1510452121,3,8
1510453321,7,3
1510453921,4,2
1510454521,4,10
1510455121,0,15
1510456321,4,6
1510456921,6,6
1510457521,27,15
1510458121,6,0
1510458721,10,4
1510459921,17,13
1510460521,3,0
1510461121,2,2
1510462921,14,3
1510463521,13,8
1510464122,11,0
1510464721,11,1
1510465921,6,6
1510466521,2,4
1510467721,1,12
1510468921,37,2
1510469522,21,3
1510470121,4,5
1510470721,8,0
1510471321,8,4
1510472521,9,12
1510473121,0,5
1510473721,0,18
1510474322,4,8
1510474921,0,9
1510475521,8,0
1510476721,5,10
1510477921,2,5
1510479121,52,23
1510479721,21,4
1510480321,4,15
1510480922,2,0
1510481521,13,8
1510482121,7,5
1510482721,6,0
1510483921,16,4
1510484521,3,8
1510485121,4,0
1510485722,15,18
1510486321,13,17
1510487521,3,7
1510488721,3,18
1510489321,10,4
1510489922,7,14
1510490521,9,0
1510491121,3,5
1510492321,21,3
1510492921,11,2
1510495321,8,16
1510495921,2,1
1510496521,2,6
1510497121,14,4
1510498322,10,11
1510498921,6,14
1510499521,3,0
1510500121,1,3
1510500721,2,0
1510501321,1,0
1510501921,4,10
1510502521,7,1
1510503121,20,11
1510503721,13,9
1510504321,2,0
1510504921,4,6
1510505521,1,4
1510506121,1,0
1510506721,1,6
1510507921,4,4
1510509122,26,10
1510510321,16,9
1510510921,8,3
1510511522,1,0
1510512121,4,1
1510512721,2,0
1510513921,2,7
1510514521,3,7
1510515121,1,12
1510515721,4,0
1510516321,7,11
1510516921,2,0
1510517522,3,3
1510518121,29,3
1510518721,8,2
1510519321,5,3
1510519921,4,0
1510520521,7,14
1510521121,1,13
1510522322,4,0
1510522921,1,10
1510523521,2,16
1510524121,1,0
1510524722,0,12
1510525321,4,9
1510525921,1,5
1510526521,1,0
1510527121,12,7
1510528322,8,1
1510528922,6,2
1510529521,6,8
1510530722,8,5
1510531922,2,21
1510533121,13,4
1510534321,15,23
1510535521,7,6
1510536121,2,5
1510536721,3,7
1510537321,14,0
1510537922,6,3
1510539121,2,14
1510539721,4,7
1510540321,1,0
1510541521,4,11
1510542721,2,23
1510543321,5,3
1510543921,13,4
1510544522,19,0
1510545121,5,6
1510546321,12,11
1510547521,6,6
1510548121,2,17
1510548721,5,0
1510549322,14,11
1510550521,7,11
1510551122,2,21
1510552321,7,7
1510552921,5,16
1510553521,1,0
1510554721,3,12
1510555921,5,10
1510556521,0,10
1510557122,2,13
1510558321,4,15
1510558921,7,7
1510560122,7,6
1510560721,5,9
1510561921,2,7
1510563121,40,7
1510563721,4,7
1510564321,7,5
1510564921,13,0
1510565521,7,10
1510566721,1,9
1510567321,12,11
1510567921,6,0
1510568521,2,11
1510569721,3,24
1510570321,1,11
1510570921,4,0
1510571521,3,13
1510572122,1,18
1510572721,4,8
1510573921,0,10
1510574521,1,0
1510575121,4,4
1510576321,1,4
1510576921,15,5
1510577521,13,20
1510578121,8,0
1510578721,7,10
1510579321,2,18
1510581721,7,0
1510582321,9,8
1510582921,11,17
1510583521,1,0
1510584121,1,11
1510584721,2,0
1510585921,2,2
1510586521,1,4
1510587121,3,4
1510587721,10,6
1510588321,11,10
1510588921,0,4
1510589521,7,14
1510590121,1,0
1510590721,7,13
1510591321,5,0
1510591921,4,14
1510593121,2,3
1510594321,5,9
1510594921,2,0
1510596121,5,14
1510596721,1,10
1510597921,3,6
1510599121,30,17
1510599721,19,10
1510600921,18,3
1510601521,5,5
1510602121,6,0
1510602721,2,3
1510603321,4,12
1510603921,3,4
1510604521,1,0
1510605121,3,2
1510605721,5,21
1510606321,3,12
1510606921,1,0
1510607521,25,5
1510608721,13,12
1510609321,3,4
1510609921,11,0
1510611121,7,11
1510611721,3,14
1510612322,4,2
1510613521,10,20
1510614122,5,0
1510614721,3,2
1510615321,2,10
1510615921,2,11
1510617121,3,9
1510618321,4,5
1510618921,1,7
1510619522,2,0
1510620121,2,20
1510620722,5,0
1510621321,8,0
1510621921,6,4
1510623121,7,6
1510623721,6,9
1510624321,8,4
1510624921,18,0
1510625521,11,12
1510626121,12,7
1510626721,6,8
1510627921,10,8
1510628521,13,0
1510629122,3,3
1510629721,1,0
1510630921,0,19
1510632121,0,25
1510633921,0,11
1510634521,1,0
1510635121,10,4
1510635722,5,18
1510636322,5,0
1510636922,2,1
1510638121,7,6
1510639322,15,2
1510639922,4,19
1510640522,3,0
1510641122,0,7
1510642921,3,2
1510644121,12,12
1510644722,1,0
1510645321,1,10
1510646522,3,2
1510647722,3,12
1510648322,1,5
1510648921,2,0
1510649522,4,5
1510650121,0,10
1510650721,0,5
1510651321,0,7
1510651922,0,6
1510652522,7,0
1510653722,5,4
1510654322,19,4
1510654921,14,2
1510655521,3,14
1510656121,0,9
1510657322,1,4
1510657921,2,14
1510658521,3,0
