DateTime,Entries,UniqueIPs
1508856395,8033,8033
1508859995,8175,8175
1508863595,8365,8365
1508867195,8459,8459
1508870794,8532,8532
1508874395,8607,8607
1508877994,8679,8679
1508881595,8790,8790
1508885195,8853,8853
1508888794,8919,8919
1508892395,5566,5566
1508895995,5691,5691
1508899595,5874,5874
1508903195,6008,6008
1508906795,6090,6090
1508910395,6206,6206
1508913995,6304,6304
1508917595,6443,6443
1508921195,6559,6559
1508924794,6652,6652
1508928394,6818,6818
1508931995,6934,6934
1508935595,7036,7036
1508939195,7136,7136
1508942795,7231,7231
1508947295,7351,7351
1508950895,7460,7460
1508954495,7531,7531
1508958095,7636,7636
1508961695,7765,7765
1508965295,7848,7848
1508968895,7910,7910
1508972496,7982,7982
1508976095,3817,3817
1508980595,3954,3954
1508984195,4027,4027
1508987795,4143,4143
1508991395,4232,4232
1508994995,4313,4313
1508998596,4436,4436
1509002195,4554,4554
1509005795,4685,4685
1509009396,4800,4800
1509012995,4968,4968
1509016595,5256,5256
1509020195,5455,5455
1509023795,5684,5684
1509027395,5985,5985
1509030995,6213,6213
1509034596,6477,6477
1509038195,6565,6565
1509041795,6644,6644
1509045395,6809,6809
1509048996,6953,6953
1509052595,7031,7031
1509056196,7103,7103
1509060695,7201,7201
1509064295,4828,4828
1509067896,4902,4902
1509071495,4967,4967
1509075095,5028,5028
1509078695,5124,5124
1509082295,5255,5255
1509085896,5370,5370
1509089496,5463,5463
1509093096,5561,5561
1509096695,5748,5748
1509100295,5859,5859
1509103896,5987,5987
1509107496,6145,6145
1509111096,6299,6299
1509114695,6402,6402
1509118296,6496,6496
1509121896,6583,6583
1509125496,6656,6656
1509129096,6812,6812
1509132696,6925,6925
1509136296,6996,6996
1509139896,7059,7059
1509143496,7117,7117
1509147095,7176,7176
1509150695,3773,3773
1509154296,3859,3859
1509157895,3933,3933
1509161495,4055,4055
1509165096,4133,4133
1509168695,4228,4228
1509172296,4331,4331
1509175896,4435,4435
1509179496,4541,4541
1509183096,4631,4631
1509186696,4730,4730
1509190296,4831,4831
1509193895,4927,4927
1509197496,5007,5007
1509201096,5094,5094
1509204696,5337,5337
1509208295,5397,5397
1509211896,5470,5470
1509215496,5627,5627
1509219096,5748,5748
1509222696,5832,5832
1509226296,5897,5897
1509229896,5986,5986
1509234396,6066,6066
1509237996,3662,3662
1509241596,3747,3747
1509245196,3847,3847
1509248796,3904,3904
1509252396,3969,3969
1509255996,4030,4030
1509259596,4094,4094
1509263196,4174,4174
1509266796,4250,4250
1509270396,4341,4341
1509273996,4451,4451
1509277597,4577,4577
1509281196,4657,4657
1509284796,4717,4717
1509288396,4797,4797
1509291996,4855,4855
1509295596,4912,4912
1509299196,5012,5012
1509302796,5235,5235
1509306397,5331,5331
1509309996,5414,5414
1509313596,5522,5522
1509317196,5600,5600
1509320797,5666,5666
1509324396,3386,3386
1509327997,3487,3487
1509331596,3571,3571
1509335196,3650,3650
1509338797,3761,3761
1509342396,3872,3872
1509345996,4078,4078
1509349596,4211,4211
1509353197,4333,4333
1509356796,4561,4561
1509360396,4683,4683
1509363996,4838,4838
1509367597,5132,5132
1509371197,5283,5283
1509374796,5419,5419
1509378397,5545,5545
1509381997,5653,5653
1509385596,5847,5847
1509389197,5946,5946
1509392797,6021,6021
1509396397,6125,6125
1509399997,6199,6199
1509403597,6279,6279
1509407197,6360,6360
1509410797,4316,4316
1509414396,4415,4415
1509417997,4538,4538
1509421596,4680,4680
1509425197,4801,4801
1509428796,4924,4924
1509432396,5044,5044
1509435996,5162,5162
1509439597,5247,5247
1509443196,5335,5335
1509446797,5519,5519
1509450397,5747,5747
1509453997,5891,5891
1509457597,5987,5987
1509461197,6192,6192
1509464797,6395,6395
1509468397,6779,6779
1509471996,6865,6865
1509475597,6933,6933
1509479197,7014,7014
1509482797,7100,7100
1509486397,7171,7171
1509489997,7238,7238
1509493597,7307,7307
1509497196,4539,4539
1509500796,4657,4657
1509504397,4752,4752
1509507997,4870,4870
1509511597,5115,5115
1509515197,5266,5266
1509518797,5371,5371
1509522397,5478,5478
1509525997,5614,5614
1509529597,5741,5741
1509533197,5855,5855
1509536796,5977,5977
1509540397,6076,6076
1509543997,6163,6163
1509547597,6260,6260
1509551197,6318,6318
1509554797,6394,6394
1509558397,6492,6492
1509561997,6568,6568
1509565598,6659,6659
1509569197,6797,6797
1509572797,6851,6851
1509576397,6927,6927
1509579997,6985,6985
1509583597,3830,3830
1509587197,3905,3905
1509590797,3973,3973
1509594397,4059,4059
1509597998,4136,4136
1509601597,4293,4293
1509605197,4415,4415
1509608797,4527,4527
1509612397,4627,4627
1509615997,4944,4944
1509619597,5165,5165
1509623197,5431,5431
1509626797,5812,5812
1509630397,6022,6022
1509633998,6446,6446
1509637597,6682,6682
1509641198,7193,7193
1509644797,7365,7365
1509648398,7445,7445
1509651997,7527,7527
1509655598,7604,7604
1509659197,7652,7652
1509662798,7717,7717
1509666398,7762,7762
1509669997,5272,5272
1509673598,5397,5397
1509677197,5637,5637
1509680797,5712,5712
1509684398,5853,5853
1509687998,6022,6022
1509691598,6124,6124
1509695197,6221,6221
1509698798,6317,6317
1509702397,6729,6729
