DateTime,AddedIPs,RemovedIPs
1508689054,4,5
1508696256,4,2
1508699855,1,0
1508703446,4,3
1508710653,2,2
1508713387,0,1
1508717849,5,3
1508725048,2,3
1508732280,4,3
1508739453,1,6
1508743051,0,1
1508746653,3,1
1508753853,1,5
1508761058,6,5
1508768252,3,5
1508775455,0,2
1508778206,1011,0
1508782658,2,4
1508786274,2,0
1508789861,7,2
1508797052,7,1
1508804256,6,3
1508807862,2,0
1508811454,0,3
1508818696,4,2
1508825859,3,3
1508833054,3,7
1508840258,4,3
1508847455,22,5
1508854667,4,4
1508859163,0,1
1508861858,5,5
1508870861,3,1819
1508875388,1,0
1508876255,3,2
1508883459,6,3
1508890660,2,3
1508897851,2,5
1508905085,3,1
1508912250,2,5
1508919451,4,4
1508926655,6,4
1508933855,5,4
1508941953,2,1
1508942861,1,0
1508947386,2,0
1508948258,9,10
1508955466,3,2
1508957258,1247,0
1508959058,3,0
1508962657,5,2
1508969855,2,4
1508973466,1,0
1508977056,3,0
1508984260,1,4
1508991492,6,7
1508998666,4,4
1509005862,6,10
1509013067,12,5
1509017564,0,1
1509020267,11,6
1509027455,4,4
1509028361,1,0
1509031054,0,1
1509033803,1,0
1509034663,13,9
1509036458,0,13
1509038247,3,0
1509040045,1,0
1509041852,6,8
1509043644,0,1
1509045457,0,2
1509046351,906,0
1509049051,17,5
1509052651,0,1
1509056247,0,3
1509058977,1,0
1509061649,1,0
1509063444,4,2
1509070645,2,12
1509073379,1,0
1509074249,1,0
1509077879,4,3
1509081454,0,1
1509085046,0,5
1509086846,1,0
1509092248,5,3
1509099449,4,3
1509106646,23,7
1509110245,0,1
1509113850,3,4
1509121060,4,3
1509122854,0,1
1509123783,0,1
1509124647,1,0
1509127382,0,1
1509128256,1,3
1509131848,0,2
1509133649,0,1
1509135455,8,3
1509137252,7,1
1509138189,1,0
1509142653,3,7
1509146250,0,2
1509147144,0,1
1509149849,3,1
1509150746,0,1
1509152579,1,0
1509153449,2,4
1509157054,11,2
1509161547,2,0
1509164278,0,6
1509171447,4,4
1509172359,830,0
1509175061,0,1
1509178669,6,6
1509182258,0,1
1509185860,5,4
1509193060,2,2
1509196663,0,1
1509199398,0,1
1509200257,3,9
1509203860,0,2
1509207467,15,7
1509211066,0,1
1509213798,0,1
1509214658,3,4
1509221864,5,2
1509229964,7,4
1509236266,1,1
1509243459,3,7
1509247057,0,1
1509250695,0,2
1509257858,5,4
1509265057,2,2
1509272251,4,4
1509275859,1,0
1509279462,9,1
1509280358,0,1
1509286661,16,2
1509290258,1,0
1509293861,6,3
1509297457,0,1
1509301059,2,5
1509301955,1,0
1509308257,5,4
1509311851,0,1
1509315450,5,1
1509319060,0,1
1509322663,3,5
1509329851,2,2
1509334364,1,0
1509337094,2,4
1509344257,5,7
1509351459,4,8
1509355959,1,0
1509358656,5,5
1509365866,3,7
1509366763,2,0
1509371255,3,0
1509373059,11,7
1509380261,6,3
1509384764,1,0
1509387460,4,11
1509392858,1138,0
1509394664,4,6
1509401864,4,5
1509405461,0,1
1509409066,9,1
1509413556,0,1
1509416266,3,3
1509418061,1,0
1509423497,20,4
1509427068,0,1
1509430663,8,5
1509437860,2,2
1509445069,4,6
1509452270,3,5
1509455871,0,1
1509459470,3,4
1509463073,1,0
1509466664,6,5
1509472066,0,1388
1509473866,6,3
1509475671,979,0
1509477463,1,0
1509478367,1,0
1509481072,6,10
1509482869,702,2
1509484673,0,1
1509485577,293,0
1509488271,9,1
1509495473,5,8
1509499067,1,0
1509502673,23,1
1509509909,8,7
1509513473,0,1
1509517072,5,5
1509524271,8,6
1509527870,0,1
1509531475,3,5
1509535068,1,0
1509538667,3,12
1509540468,0,1
1509544077,0,1
1509545873,6,2
1509549471,2,3
1509552213,0,1
1509560276,923,10
1509568383,186,4
1509574680,4,8
1509581882,5,2
1509585475,1,0
1509589078,2,7
1509596321,0,4
1509597173,0,1
1509603467,3,1
1509607072,0,1
1509610670,4,14
1509617873,5,10
1509625075,2,6
1509632284,1,13
1509633183,2,0
1509637678,0,1
1509639468,14,13
1509640369,1,0
1509641267,0,10
1509643073,0,1
1509643985,828,0
1509646674,5,6
1509650272,1,1
1509653875,5,15
1509657471,0,1
1509661076,4,15
1509669182,3,6
1509671874,1,1
1509673676,0,1
1509675471,2,8
1509676376,1,0
1509680875,1,0
1509682712,3,8
1509685423,1,0
1509689876,3,29
1509693473,1,1
1509697071,4,5
1509704273,2,10
1509708773,0,1
1509711474,0,8
1509718670,2,9
1509721423,6,0
1509722271,2,0
1509731303,952,12
1509733074,3,3
1509739433,0,1388
1509740279,6,6
1509741178,1,0
1509747482,6,2
1509754674,4,3
1509761870,0,3
1509769115,4,3
1509776271,2,6
1509783478,5,5
1509790678,3,4
1509797881,5,2
1509798777,0,2
1509803327,1,0
1509805170,1118,1
1509808736,1,0
1509812276,3,5
1509815879,0,1
1509819478,4,4
1509823083,2,0
1509826680,3,3
1509833880,9,4
1509841082,3,3
1509844675,0,1192
1509848274,2,4
1509855514,4,2
1509859087,0,1
1509866274,565,12
1509869877,0,6
1509873472,3,2
1509877076,0,3
1509880674,3,0
1509884277,0,3
1509887878,5,1
1509891474,1,10
1509895073,5,0
1509898673,0,4
1509902276,5,3
1509903176,0,1
1509905874,1,4
1509909467,2,0
1509913075,0,3
1509916677,4,2
1509919423,1,0
1509920277,0,5
1509923870,5,1
1509927483,0,2
1509931074,5,1
1509934675,0,4
1509938274,5,1
1509941918,0,4
1509945482,6,1
1509949079,0,6
1509952767,708,1
1509956284,0,3
1509959880,4,1
1509963490,0,1
1509967087,6,0
1509970682,0,3
1509977882,0,7
1509980634,0,1
1509981482,10,1
1509985081,0,9
1509987834,0,1009
1509988684,5,1
1509992282,0,2
1509995882,4,1
1509999476,0,8
1510003075,5,1
1510006682,0,2
1510010289,6,2
1510013889,0,4
1510016639,0,1
1510017488,4,0
1510021082,0,3
1510024684,2,1
1510028335,0,6
1510031883,5,4
1510035483,0,1
1510039174,851,5
1510046287,4,6
1510049883,0,1
1510053483,4,5
1510057081,0,1
1510058879,1,0
1510060685,1,5
1510063426,1,0
1510067887,4,5
1510068782,1,0
1510075086,7,7
1510075988,0,1
1510081441,1,0
1510082298,3,2
1510085038,0,2
1510089490,6,4
1510096686,6,1
1510098486,1,0
1510103890,0,1
1510111092,2,5
1510115583,0,1
1510118292,4,7
1510122788,1,0
1510123679,2,0
1510125489,7,4
1510126395,1,0
1510129084,0,1
1510132692,3,6
1510139888,4,2
1510143488,1,1
1510147089,4,1
1510152492,0,1
1510153380,0,1
1510154287,2,6
1510157896,0,1
1510158790,0,1
1510160585,0,1
1510161487,6,2
1510162391,1,0
1510166886,0,1241
1510168694,3,4
1510172300,3,3
1510175886,8,6
1510183083,3,3
1510186689,0,1
1510189387,0,2965
1510190289,1,1
1510197485,2,7
1510204696,1,10
1510208293,0,1
1510211891,7,5
1510219980,2,4
1510226287,6,3
1510232631,1,0
1510233489,3,9
1510237086,1,0
1510240687,5,7
1510242487,1,0
1510244283,0,1
1510247888,4,3
1510253284,0,14
1510255087,6,4
1510255985,0,903
1510258688,0,25
1510262296,8,7
1510265030,0,1
1510265891,0,1
1510269479,9,3
1510276685,9,5
1510283878,1,4
1510291087,4,8
1510298284,3,5
1510305485,4,0
1510312682,2,2
1510315431,1,0
1510316285,1,0
1510319886,7,4
1510326248,8,0
1510327086,3,6
1510329831,0,1
1510334283,5,6
1510341488,6,7
1510345996,1,0
1510346896,1,0
1510348688,9,1
1510352282,0,1
1510355044,1,0
1510355883,4,3
1510359483,0,1
1510363089,5,1
1510370282,1,2
1510377493,4,4
1510381082,0,1
1510381985,0,827
1510384685,2,3
1510386483,0,1
1510388288,2,1
1510391885,3,6
1510399085,5,2
1510405426,1,0
1510406286,5,2
1510407183,1,0
1510408088,1,0
1510410788,1,0
1510413490,6,8
1510417080,5,0
1510420685,5,3
1510427889,5,6
1510431491,0,1
1510435090,5,6
1510438688,0,1
1510440487,1,0
1510442289,4,3
1510449487,3,6
1510456688,2,4
1510463890,5,5
1510467487,2,0
1510471089,4,5
1510473825,0,1
1510478285,5,2
1510481900,0,1
1510485500,4,3
1510492683,5,1
1510499888,3,6
1510503490,3,0
1510507090,1,7
1510510687,0,2
1510511586,0,2
1510514284,7,5
1510517891,0,1
1510518791,0,1
1510521484,5,3
1510526887,0,1
1510528689,5,3
1510530488,0,1
1510533193,1,0
1510535893,3,4
1510543085,3,3
1510550292,8,4
1510555684,1,0
1510557485,2,6
1510558394,1,0
1510564689,4,4
1510565588,0,1
1510571891,2,5
1510575490,1,0
1510576391,1,0
