DateTime,Entries,UniqueIPs
1508689054,7263,7263
1508696256,7265,7265
1508699855,7266,7266
1508703446,7267,7267
1508710653,7267,7267
1508713387,7266,7266
1508717849,7268,7268
1508725048,7267,7267
1508732280,7268,7268
1508739453,7263,7263
1508743051,7262,7262
1508746653,7264,7264
1508753853,7260,7260
1508761058,7261,7261
1508768252,7259,7259
1508775455,7257,7257
1508778206,8268,8268
1508782658,8266,8266
1508786274,8268,8268
1508789861,8273,8273
1508797052,8279,8279
1508804256,8282,8282
1508807862,8284,8284
1508811454,8281,8281
1508818696,8283,8283
1508825859,8283,8283
1508833054,8279,8279
1508840258,8280,8280
1508847455,8297,8297
1508854667,8297,8297
1508859163,8296,8296
1508861858,8296,8296
1508870861,6480,6480
1508875388,6481,6481
1508876255,6482,6482
1508883459,6485,6485
1508890660,6484,6484
1508897851,6481,6481
1508905085,6483,6483
1508912250,6480,6480
1508919451,6480,6480
1508926655,6482,6482
1508933855,6483,6483
1508941953,6484,6484
1508942861,6485,6485
1508947386,6487,6487
1508948258,6486,6486
1508955466,6487,6487
1508957258,7734,7734
1508959058,7737,7737
1508962657,7740,7740
1508969855,7738,7738
1508973466,7739,7739
1508977056,7742,7742
1508984260,7739,7739
1508991492,7738,7738
1508998666,7738,7738
1509005862,7734,7734
1509013067,7741,7741
1509017564,7740,7740
1509020267,7745,7745
1509027455,7745,7745
1509028361,7746,7746
1509031054,7745,7745
1509033803,7746,7746
1509034663,7750,7750
1509036458,7737,7737
1509038247,7740,7740
1509040045,7741,7741
1509041852,7739,7739
1509043644,7738,7738
1509045457,7736,7736
1509046351,8642,8642
1509049051,8654,8654
1509052651,8653,8653
1509056247,8650,8650
1509058977,8651,8651
1509061649,8652,8652
1509063444,8654,8654
1509070645,8644,8644
1509073379,8645,8645
1509074249,8646,8646
1509077879,8647,8647
1509081454,8646,8646
1509085046,8641,8641
1509086846,8642,8642
1509092248,8644,8644
1509099449,8645,8645
1509106646,8661,8661
1509110245,8660,8660
1509113850,8659,8659
1509121060,8660,8660
1509122854,8659,8659
1509123783,8658,8658
1509124647,8659,8659
1509127382,8658,8658
1509128256,8656,8656
1509131848,8654,8654
1509133649,8653,8653
1509135455,8658,8658
1509137252,8664,8664
1509138189,8665,8665
1509142653,8661,8661
1509146250,8659,8659
1509147144,8658,8658
1509149849,8660,8660
1509150746,8659,8659
1509152579,8660,8660
1509153449,8658,8658
1509157054,8667,8667
1509161547,8669,8669
1509164278,8663,8663
1509171447,8663,8663
1509172359,9493,9493
1509175061,9492,9492
1509178669,9492,9492
1509182258,9491,9491
1509185860,9492,9492
1509193060,9492,9492
1509196663,9491,9491
1509199398,9490,9490
1509200257,9484,9484
1509203860,9482,9482
1509207467,9490,9490
1509211066,9489,9489
1509213798,9488,9488
1509214658,9487,9487
1509221864,9490,9490
1509229964,9493,9493
1509236266,9493,9493
1509243459,9489,9489
1509247057,9488,9488
1509250695,9486,9486
1509257858,9487,9487
1509265057,9487,9487
1509272251,9487,9487
1509275859,9488,9488
1509279462,9496,9496
1509280358,9495,9495
1509286661,9509,9509
1509290258,9510,9510
1509293861,9513,9513
1509297457,9512,9512
1509301059,9509,9509
1509301955,9510,9510
1509308257,9511,9511
1509311851,9510,9510
1509315450,9514,9514
1509319060,9513,9513
1509322663,9511,9511
1509329851,9511,9511
1509334364,9512,9512
1509337094,9510,9510
1509344257,9508,9508
1509351459,9504,9504
1509355959,9505,9505
1509358656,9505,9505
1509365866,9501,9501
1509366763,9503,9503
1509371255,9506,9506
1509373059,9510,9510
1509380261,9513,9513
1509384764,9514,9514
1509387460,9507,9507
1509392858,10645,10645
1509394664,10643,10643
1509401864,10642,10642
1509405461,10641,10641
1509409066,10649,10649
1509413556,10648,10648
1509416266,10648,10648
1509418061,10649,10649
1509423497,10665,10665
1509427068,10664,10664
1509430663,10667,10667
1509437860,10667,10667
1509445069,10665,10665
1509452270,10663,10663
1509455871,10662,10662
1509459470,10661,10661
1509463073,10662,10662
1509466664,10663,10663
1509472066,9275,9275
1509473866,9278,9278
1509475671,10257,10257
1509477463,10258,10258
1509478367,10259,10259
1509481072,10255,10255
1509482869,10955,10955
1509484673,10954,10954
1509485577,11247,11247
1509488271,11255,11255
1509495473,11252,11252
1509499067,11253,11253
1509502673,11275,11275
1509509909,11276,11276
1509513473,11275,11275
1509517072,11275,11275
1509524271,11277,11277
1509527870,11276,11276
1509531475,11274,11274
1509535068,11275,11275
1509538667,11266,11266
1509540468,11265,11265
1509544077,11264,11264
1509545873,11268,11268
1509549471,11267,11267
1509552213,11266,11266
1509560276,12179,12179
1509568383,12361,12361
1509574680,12357,12357
1509581882,12360,12360
1509585475,12361,12361
1509589078,12356,12356
1509596321,12352,12352
1509597173,12351,12351
1509603467,12353,12353
1509607072,12352,12352
1509610670,12342,12342
1509617873,12337,12337
1509625075,12333,12333
1509632284,12321,12321
1509633183,12323,12323
1509637678,12322,12322
1509639468,12323,12323
1509640369,12324,12324
1509641267,12314,12314
1509643073,12313,12313
1509643985,13141,13141
1509646674,13140,13140
1509650272,13140,13140
1509653875,13130,13130
1509657471,13129,13129
1509661076,13118,13118
1509669182,13115,13115
1509671874,13115,13115
1509673676,13114,13114
1509675471,13108,13108
1509676376,13109,13109
1509680875,13110,13110
1509682712,13105,13105
1509685423,13106,13106
1509689876,13080,13080
1509693473,13080,13080
1509697071,13079,13079
1509704273,13071,13071
1509708773,13070,13070
1509711474,13062,13062
1509718670,13055,13055
1509721423,13061,13061
1509722271,13063,13063
1509731303,14003,14003
1509733074,14003,14003
1509739433,12615,12615
1509740279,12615,12615
1509741178,12616,12616
1509747482,12620,12620
1509754674,12621,12621
1509761870,12618,12618
1509769115,12619,12619
1509776271,12615,12615
1509783478,12615,12615
1509790678,12614,12614
1509797881,12617,12617
1509798777,12615,12615
1509803327,12616,12616
1509805170,13733,13733
1509808736,13734,13734
1509812276,13732,13732
1509815879,13731,13731
1509819478,13731,13731
1509823083,13733,13733
1509826680,13733,13733
1509833880,13738,13738
1509841082,13738,13738
1509844675,12546,12546
1509848274,12544,12544
1509855514,12546,12546
1509859087,12545,12545
1509866274,13098,13098
1509869877,13092,13092
1509873472,13093,13093
1509877076,13090,13090
1509880674,13093,13093
1509884277,13090,13090
1509887878,13094,13094
1509891474,13085,13085
1509895073,13090,13090
1509898673,13086,13086
1509902276,13088,13088
1509903176,13087,13087
1509905874,13084,13084
1509909467,13086,13086
1509913075,13083,13083
1509916677,13085,13085
1509919423,13086,13086
1509920277,13081,13081
1509923870,13085,13085
1509927483,13083,13083
1509931074,13087,13087
1509934675,13083,13083
1509938274,13087,13087
1509941918,13083,13083
1509945482,13088,13088
1509949079,13082,13082
1509952767,13789,13789
1509956284,13786,13786
1509959880,13789,13789
1509963490,13788,13788
1509967087,13794,13794
1509970682,13791,13791
1509977882,13784,13784
1509980634,13783,13783
1509981482,13792,13792
1509985081,13783,13783
1509987834,12774,12774
1509988684,12778,12778
1509992282,12776,12776
1509995882,12779,12779
1509999476,12771,12771
1510003075,12775,12775
1510006682,12773,12773
1510010289,12777,12777
1510013889,12773,12773
1510016639,12772,12772
1510017488,12776,12776
1510021082,12773,12773
1510024684,12774,12774
1510028335,12768,12768
1510031883,12769,12769
1510035483,12768,12768
1510039174,13614,13614
1510046287,13612,13612
1510049883,13611,13611
1510053483,13610,13610
1510057081,13609,13609
1510058879,13610,13610
1510060685,13606,13606
1510063426,13607,13607
1510067887,13606,13606
1510068782,13607,13607
1510075086,13607,13607
1510075988,13606,13606
1510081441,13607,13607
1510082298,13608,13608
1510085038,13606,13606
1510089490,13608,13608
1510096686,13613,13613
1510098486,13614,13614
1510103890,13613,13613
1510111092,13610,13610
1510115583,13609,13609
1510118292,13606,13606
1510122788,13607,13607
1510123679,13609,13609
1510125489,13612,13612
1510126395,13613,13613
1510129084,13612,13612
1510132692,13609,13609
1510139888,13611,13611
1510143488,13611,13611
1510147089,13614,13614
1510152492,13613,13613
1510153380,13612,13612
1510154287,13608,13608
1510157896,13607,13607
1510158790,13606,13606
1510160585,13605,13605
1510161487,13609,13609
1510162391,13610,13610
1510166886,12369,12369
1510168694,12368,12368
1510172300,12368,12368
1510175886,12370,12370
1510183083,12370,12370
1510186689,12369,12369
1510189387,9404,9404
1510190289,9404,9404
1510197485,9399,9399
1510204696,9390,9390
1510208293,9389,9389
1510211891,9391,9391
1510219980,9389,9389
1510226287,9392,9392
1510232631,9393,9393
1510233489,9387,9387
1510237086,9388,9388
1510240687,9386,9386
1510242487,9387,9387
1510244283,9386,9386
1510247888,9387,9387
1510253284,9373,9373
1510255087,9375,9375
1510255985,8472,8472
1510258688,8447,8447
1510262296,8448,8448
1510265030,8447,8447
1510265891,8446,8446
1510269479,8452,8452
1510276685,8456,8456
1510283878,8453,8453
1510291087,8449,8449
1510298284,8447,8447
1510305485,8451,8451
1510312682,8451,8451
1510315431,8452,8452
1510316285,8453,8453
1510319886,8456,8456
1510326248,8464,8464
1510327086,8461,8461
1510329831,8460,8460
1510334283,8459,8459
1510341488,8458,8458
1510345996,8459,8459
1510346896,8460,8460
1510348688,8468,8468
1510352282,8467,8467
1510355044,8468,8468
1510355883,8469,8469
1510359483,8468,8468
1510363089,8472,8472
1510370282,8471,8471
1510377493,8471,8471
1510381082,8470,8470
1510381985,7643,7643
1510384685,7642,7642
1510386483,7641,7641
1510388288,7642,7642
1510391885,7639,7639
1510399085,7642,7642
1510405426,7643,7643
1510406286,7646,7646
1510407183,7647,7647
1510408088,7648,7648
1510410788,7649,7649
1510413490,7647,7647
1510417080,7652,7652
1510420685,7654,7654
1510427889,7653,7653
1510431491,7652,7652
1510435090,7651,7651
1510438688,7650,7650
1510440487,7651,7651
1510442289,7652,7652
1510449487,7649,7649
1510456688,7647,7647
1510463890,7647,7647
1510467487,7649,7649
1510471089,7648,7648
1510473825,7647,7647
1510478285,7650,7650
1510481900,7649,7649
1510485500,7650,7650
1510492683,7654,7654
1510499888,7651,7651
1510503490,7654,7654
1510507090,7648,7648
1510510687,7646,7646
1510511586,7644,7644
1510514284,7646,7646
1510517891,7645,7645
1510518791,7644,7644
1510521484,7646,7646
1510526887,7645,7645
1510528689,7647,7647
1510530488,7646,7646
1510533193,7647,7647
1510535893,7646,7646
1510543085,7646,7646
1510550292,7650,7650
1510555684,7651,7651
1510557485,7647,7647
1510558394,7648,7648
1510564689,7648,7648
1510565588,7647,7647
1510571891,7644,7644
1510575490,7645,7645
1510576391,7646,7646
1510579084,7645,7645
1510586283,7644,7644
1510589883,7643,7643
1510591686,7644,7644
1510593494,7642,7642
1510600692,7645,7645
1510602491,6509,6509
1510607892,6511,6511
1510608795,6510,6510
1510612398,6509,6509
1510615087,6510,6510
1510622289,6511,6511
1510624092,6512,6512
1510625887,6513,6513
1510629488,6507,6507
1510636696,6512,6512
1510643892,6510,6510
1510647496,6508,6508
1510651089,6511,6511
1510651997,6512,6512
1510655597,6513,6513
1510658287,6512,6512
