DateTime,AddedIPs,RemovedIPs
1508780907,0,9
1508781746,2,2
1508782773,4,0
1508785346,0,2
1508789007,3,1
1508792546,2,0
1508796207,6,2
1508799806,4,2
1508803406,2,0
1508806946,0,2
1508810607,0,2
1508814147,2,0
1508817747,1,2
1508821347,0,1
1508824947,3,0
1508828607,1,5
1508832208,2,0
1508835807,1,3
1508839408,2,2
1508843007,19,0
1508846607,3,4
1508850207,2,2
1508853808,2,0
1508857407,3,7
1508861007,2,0
1508864547,3,0
1508868147,1,3
1508871807,1,0
1508875407,3,1
1508878947,5,21
1508886208,19,4
1508889748,1,0
1508893408,1,1
1508900548,2,3
1508904210,1,0
1508907808,1,3
1508911408,1,7
1508914948,1,0
1508918608,3,1
1508922208,2,5
1508925748,2,5
1508929348,3,4
1508933008,1,3
1508936548,1,0
1508940208,2,6
1508943748,5,0
1508947408,4,2
1508951008,2,0
1508954548,1,9
1508958148,1,6
1508961808,4,0
1508965408,1,5
1508969008,1,0
1508972549,2,0
1508976148,1,1
1508979809,0,2
1508983409,2,3
1508987009,2,0
1508990609,1,12
1508994209,1,2
1508997809,3,0
1509001409,2,4
1509004949,2,1
1509008609,0,2
1509012209,11,0
1509015749,1,3
1509019349,10,0
1509023009,2,6
1509026549,5,0
1509030209,1,4
1509033749,12,0
1509037349,4,1
1509040949,2,0
1509044609,12,0
1509048209,5,4
1509051749,3,0
1509055349,0,2
1509058950,2,1
1509062549,3,2
1509069809,2,4
1509073350,2,0
1509077010,1,0
1509080610,0,3
1509084150,0,5
1509087810,3,0
1509091410,2,2
1509095010,2,0
1509098550,0,6
1509102210,21,0
1509105750,2,4
1509109350,3,0
1509116611,1,5
1509120210,1,2
1509123750,1,6
1509131010,3,4
1509134610,4,0
1509138210,3,1
1509141810,0,2
1509145410,0,1
1509149011,2,0
1509152611,9,0
1509156211,1,4
1509163411,0,3
1509167011,1,0
1509170551,2,1
1509174211,2,5
1509177751,3,0
1509181351,4,1
1509185011,1,0
1509188551,1,4
1509192211,0,1
1509199411,4,1
1509202951,3,0
1509206611,11,2
1509210151,1,1
1509213751,1,2
1509217411,2,2
1509221011,2,0
1509224551,4,5
1509228151,4,1
1509235411,0,1
1509238952,3,3
1509242552,1,0
1509246212,0,2
1509253352,1,5
1509257012,2,0
1509260612,0,7
1509264152,2,1
1509271352,2,6
1509274952,6,4
1509278612,4,1
1509282152,14,5
1509285752,2,4
1509293012,4,3
1509300152,1,8
1509303752,2,0
1509307412,3,5
1509310952,3,6
1509314552,1,0
1509318213,1,1
1509325413,1,0
1509328952,1,3
1509332553,1,0
1509336153,1,1
1509339813,1,0
1509343413,4,4
1509350613,3,2
1509354213,0,2
1509357753,4,3
1509361413,1,0
1509364953,1,4
1509368553,4,3
1509372153,6,1
1509375813,4,5
1509379413,1,0
1509383013,4,3
1509390153,3,0
1509393813,0,8
1509397413,1,0
1509401013,3,5
1509404613,3,0
1509408154,4,3
1509411754,0,3
1509415354,3,0
1509418954,1,1
1509419860,18,0
1509426154,4,6
1509429754,3,0
1509433354,0,8
1509436954,1,0
1509440554,2,6
1509444214,3,0
1509447814,2,4
1509451414,1,0
1509454954,0,14
1509458614,2,0
1509462214,3,1
1509465814,1,0
1509469414,4,4
1509473014,3,0
1509476614,4,4
1509480214,4,0
1509483814,0,1
1509487354,5,3
1509490954,4,7
1509494555,2,0
1509498155,5,2
1509501815,17,1
1509505415,7,0
1509508955,2,6
1509512615,2,3
1509516215,3,0
1509519755,3,1
1509523355,3,7
1509527015,1,0
1509530555,2,5
1509534155,0,7
1509537755,1,8
1509541355,5,0
1509544955,6,5
1509548555,3,0
1509552155,5,17
1509555815,1,9
1509559355,2,3
1509563015,1,0
1509566615,5,13
1509570215,3,0
1509573755,1,4
1509577356,2,14
1509580956,1,0
1509584617,2,3
1509588216,0,3
1509591816,0,13
1509595416,0,6
1509599016,1,0
1509602556,1,7
1509606156,1,24
1509609756,3,0
1509613356,2,5
1509616996,3,0
1509620593,1,9
1509624193,2,0
1509627793,0,10
1509631393,1,3
1509632843,3,0
1509634943,13,8
1509638604,4,6
1509642144,3,0
1509645744,2,3
1509649404,2,1
1509653004,2,7
1509656604,4,0
1509659424,1,3
1509660204,0,2
1509663744,2,0
1509667345,1,1
1509671019,1,3
1509674604,1,0
1509678205,0,2
1509681804,3,3
1509685344,2,3
1509689004,1,0
1509692604,1,6
1509696204,1,0
1509699804,2,0
1509700399,0,4
1509706945,1,3
1509710604,0,1
1509714145,1,3
1509717804,2,0
1509721406,1,3
1509725005,5,0
1509728605,4,5
1509732145,0,2
1509735745,4,2
1509739406,2,0
1509743009,2,1
1509746545,3,1
1509750205,1,2
1509753746,2,0
1509757405,0,2
1509760945,0,1
1509764605,2,3
1509768205,2,0
1509775406,1,2
1509778945,3,6
1509782606,2,5
1509786205,1,3
1509789746,2,2
1509793406,1,2
1509797006,2,3
1509804146,2,6
1509807807,2,0
1509811346,2,5
1509815006,2,0
1509818606,1,5
1509822146,2,0
1509825747,0,5
1509829406,6,0
1509832947,3,1
1509836606,1,0
1509840146,1,3
1509843807,1,0
1509847406,1,2
1509851007,2,3
1509854547,1,1
1509861806,3,7
1509865347,1,3
1509869007,2,0
1509872607,1,0
1509876206,0,2
1509879807,1,2
1509883408,3,0
1509887007,2,2
1509890607,3,0
1509894147,1,6
1509897749,1,0
1509898476,3,6
1509904949,2,5
1509908547,0,2
1509912207,2,0
1509915748,1,8
1509919348,3,0
1509922948,3,3
1509926547,1,0
1509930207,5,1
1509933747,0,5
1509937407,4,0
1509940947,3,2
1509944608,2,0
1509948148,5,6
1509951808,2,0
1509955348,2,5
1509958948,1,0
1509959601,2,4
1509962608,0,1
1509966208,3,0
1509969748,1,5
1509975057,5,3
1509977028,3,1
1509980568,3,0
1509984170,1,3
1509987768,3,4
1509991368,2,0
1509994970,1,5
1509998570,2,0
1510002169,3,0
1510005770,3,2
1510009370,3,2
1510012969,2,0
1510016630,1,1
1510020170,1,0
1510023409,0,2
1510023769,0,3
1510027370,2,0
1510031029,3,2
1510034569,2,0
1510038169,1,8
1510041770,2,0
1510045369,2,2
1510048970,1,0
1510052629,2,3
1510059781,1,1
1510067031,1,0
1510070571,3,4
1510074230,3,0
1510077770,2,3
1510081370,1,0
1510085030,3,0
1510088570,4,3
1510092230,3,5
1510095770,3,0
1510099370,0,3
1510106571,1,1
1510110171,1,6
1510113770,2,2
1510117370,1,7
1510120971,4,0
1510124574,4,4
1510128174,2,5
1510135374,2,6
1510138974,3,0
1510142574,3,2
1510146174,2,0
1510149775,1,8
1510153375,1,0
1510156975,2,9
1510160574,4,2
1510164174,1,0
1510167775,1,0
1510171435,4,4
1510174975,4,4
1510178574,1,0
1510182175,2,6
1510185774,1,0
1510189383,1,0
1510192975,1,4
1510196574,1,1
1510200174,0,2
1510203775,1,6
1510207374,4,2
1510210974,1,0
1510214575,1,6
1510218174,1,0
1510221835,1,0
1510225435,5,0
1510228975,2,2
1510232576,1,1
1510236175,2,4
1510239775,2,2
1510243375,2,2
1510246975,2,0
1510250575,2,4
1510254176,3,5
1510257776,1,0
1510261375,4,5
1510264975,7,0
1510268576,2,0
1510272175,13,0
1510279376,0,1
1510282976,1,0
1510286637,3,2
1510293776,3,2
1510297377,0,2
1510300977,0,5
1510304577,4,1
1510308177,2,0
1510311776,0,6
1510315376,5,1
1510318976,1,1
1510322576,2,1
1510326178,1,0
1510329776,2,8
1510333377,4,2
1510336978,6,1
1510344177,3,4
1510347777,8,0
1510351377,0,5
1510354978,5,2
1510358577,5,2
1510365777,1,1
1510369377,0,6
1510372978,2,0
1510376578,1,1
1510380177,2,5
1510387377,0,1
1510390978,3,3
1510394577,3,1
1510398177,2,1
1510401777,3,2
1510405379,1,0
1510408977,1,0
1510412577,5,1
1510416179,3,3
1510419778,1,9
1510423377,2,0
1510426978,3,0
1510430579,1,0
1510434178,1,5
1510437779,3,4
1510441378,2,0
1510444979,1,1
1510448578,2,1
1510452178,2,2
1510455778,1,0
1510459379,3,2
1510462978,2,4
1510466579,2,1
1510470179,2,8
1510473779,3,0
1510477378,1,2
1510480978,2,3
