DateTime,AddedIPs,RemovedIPs
1508803406,2,1
1508806946,0,1
1508814147,2,2
1508817747,1,1
1508821347,0,3
1508824947,3,4
1508828607,1,3
1508832208,2,1
1508835807,1,5
1508839408,2,5
1508843007,19,4
1508846607,3,2
1508850207,2,1
1508853808,3,4
1508857407,4,2
1508861007,2,1
1508864547,3,1
1508868147,1,10
1508871807,1,6
1508875407,3,1
1508878947,5,4
1508882608,0,1
1508886208,20,0
1508889748,1,1
1508893408,1,3
1508900548,2,3
1508904210,1,12
1508907808,1,1
1508911408,1,1
1508914948,2,1
1508918608,3,4
1508922208,2,1
1508925748,2,2
1508929348,6,3
1508933008,1,0
1508936548,1,1
1508940208,2,7
1508943748,5,0
1508947408,4,4
1508951008,2,2
1508954548,1,1
1508958148,2,0
1508961808,4,3
1508965408,1,2
1508969008,1,2
1508972549,2,1
1508976148,1,1
1508979809,0,1
1508983409,3,0
1508987009,2,4
1508990609,1,0
1508994209,1,3
1508997809,3,2
1509001409,2,4
1509004949,2,1
1509008609,0,1
1509012209,11,4
1509015749,2,2
1509019349,11,0
1509023009,2,5
1509026549,6,0
1509030209,1,5
1509033749,13,2
1509037349,4,0
1509040949,3,6
1509044609,12,6
1509048209,5,2
1509051749,3,0
1509055349,3,1
1509058950,2,4
1509062549,4,1
1509069809,2,2
1509073350,3,2
1509077010,1,4
1509084150,0,1
1509087810,3,3
1509091410,2,2
1509095010,2,1
1509102210,21,4
1509105750,2,1
1509109350,3,0
1509116611,1,1
1509120210,1,3
1509123750,2,1
1509131010,3,2
1509134610,4,2
1509138210,4,2
1509141810,0,3
1509145410,0,2
1509149011,3,0
1509152611,9,1
1509156211,1,3
1509163411,0,2
1509167011,1,2
1509170551,2,3
1509174211,2,6
1509177751,3,3
1509181351,4,2
1509185011,2,7
1509188551,1,4
1509192211,1,2
1509195751,0,3
1509199411,5,2
1509202951,4,4
1509206611,11,2
1509210151,2,2
1509213751,2,1
1509217411,3,8
1509221011,2,6
1509224551,4,1
1509228151,4,5
1509231751,1,1
1509238952,4,0
1509242552,1,1
1509246212,0,2
1509253352,1,1
1509257012,2,2
1509260612,0,2
1509264152,2,2
1509267812,0,1
1509271352,3,2
1509274952,6,5
1509278612,4,4
1509282152,14,3
1509285752,2,1
1509289352,0,2
1509293012,4,5
1509300152,1,4
1509303752,3,0
1509307412,5,4
1509310952,4,5
1509314552,1,4
1509318213,1,4
1509325413,4,5
1509328952,1,3
1509332553,1,0
1509336153,2,1
1509339813,1,1
1509343413,4,5
1509346953,0,1
1509350613,4,8
1509354213,0,2
1509357753,4,5
1509361413,1,2
1509364953,2,2
1509368553,5,13
1509372153,6,1
1509375813,4,0
1509379413,1,2
1509383013,4,5
1509386613,0,1
1509390153,3,2
1509393813,0,3
1509397413,1,3
1509401013,3,3
1509404613,4,3
1509408154,4,5
1509411754,1,0
1509415354,3,2
1509418954,1,1
1509419860,18,2
1509422554,0,4
1509426154,5,0
1509429754,3,3
1509433354,1,2
1509436954,3,0
1509440554,3,7
1509444214,3,5
1509447814,2,7
1509451414,1,5
1509454954,1,4
1509458614,2,3
1509462214,3,2
1509465814,1,12
1509469414,5,5
1509473014,4,9
1509476614,4,3
1509480214,4,4
1509483814,0,9
1509487354,5,4
1509490954,5,7
1509494555,3,8
1509498155,5,3
1509501815,17,3
1509505415,7,10
1509508955,2,5
1509512615,3,6
1509516215,3,1
1509519755,4,6
1509523355,3,24
1509527015,1,5
1509530555,2,0
1509537755,1,9
1509541355,5,10
1509544955,6,1
1509548555,3,2
1509552155,5,8
1509555815,1,7
1509559355,2,3
1509563015,1,1
1509566615,5,4
1509570215,3,4
1509573755,1,3
1509577356,2,2
1509580956,1,1
1509584617,3,3
1509588216,1,1
1509591816,0,2
1509595416,0,3
1509599016,1,2
1509602556,1,1
1509606156,1,4
1509609756,4,5
1509613356,3,0
1509616996,4,4
1509620593,1,3
1509624193,2,1
1509631393,1,3
1509632843,3,1
1509634943,13,0
1509638604,4,2
1509642144,3,1
1509645744,2,4
1509649404,2,3
1509653004,3,3
1509656604,4,1
1509659424,2,1
1509663744,2,1
1509667345,1,2
1509671019,1,2
1509674604,1,0
1509678205,0,1
1509681804,3,3
1509685344,2,1
1509689004,2,2
1509692604,1,7
1509696204,2,5
1509699804,2,3
1509703404,0,2
1509706945,1,2
1509710604,1,3
1509714145,2,3
1509717804,2,0
1509721406,2,8
1509725005,6,3
1509728605,5,2
1509732145,0,3
1509735745,5,2
1509739406,2,3
1509743009,2,2
1509746545,3,1
1509750205,1,0
1509753746,3,3
1509760945,0,2
1509764605,2,3
1509768205,2,1
1509771806,0,1
1509775406,1,3
1509778945,4,4
1509782606,2,3
1509786205,1,0
1509789746,2,2
1509793406,1,2
1509797006,2,1
1509800606,0,1
1509804146,3,1
1509807807,2,4
1509811346,2,2
1509815006,2,6
1509818606,1,5
1509822146,2,2
1509829406,6,6
1509832947,3,2
1509836606,1,2
1509840146,1,1
1509843807,1,1
1509847406,1,3
1509851007,2,2
1509854547,1,2
1509858207,1,1
1509861806,3,2
1509865347,1,4
1509869007,2,3
1509872607,1,3
1509876206,0,6
1509879807,1,1
1509883408,3,3
1509887007,2,2
1509890607,4,4
1509894147,1,1
1509897749,2,3
1509898476,3,2
1509901348,0,1
1509904949,2,1
1509908547,0,4
1509912207,3,1
1509915748,1,1
1509919348,4,2
1509922948,3,2
1509926547,1,0
1509930207,5,3
1509937407,5,2
1509940947,3,3
1509944608,2,1
1509948148,5,1
1509951808,2,8
1509955348,3,2
1509958948,2,1
1509959601,2,1
1509966208,3,4
1509969748,1,1
1509975057,6,3
1509977028,3,0
1509980568,4,0
1509984170,1,4
1509987768,3,2
1509991368,4,3
1509994970,2,0
1509998570,2,0
1510002169,3,3
1510005770,3,3
1510009370,3,2
1510012969,3,3
1510016630,1,0
1510020170,1,1
1510027370,3,7
1510031029,3,2
1510034569,2,7
1510038169,1,5
1510041770,2,3
1510045369,2,2
1510048970,1,2
1510052629,2,4
1510056169,0,1
1510059781,2,3
1510063371,1,6
1510067031,1,2
1510070571,3,6
1510074230,4,4
1510077770,2,2
1510081370,1,0
1510085030,4,4
1510088570,4,2
1510092230,4,2
1510095770,3,4
1510099370,0,3
1510102970,1,0
1510106571,1,4
1510110171,1,2
1510113770,2,4
1510117370,1,1
1510120971,5,7
1510124574,4,2
1510128174,3,3
1510131774,1,4
1510135374,2,1
1510138974,4,0
1510142574,3,3
1510146174,2,1
1510149775,1,5
1510153375,1,0
1510156975,3,3
1510160574,5,2
1510164174,2,6
1510167775,2,2
1510171435,6,4
1510174975,4,4
1510178574,2,1
1510182175,2,0
1510185774,1,0
1510189383,1,0
1510192975,1,0
1510196574,1,1
1510200174,1,0
1510203775,1,2
1510207374,5,2
1510210974,1,2
1510214575,2,2
1510218174,1,3
1510221835,1,1
1510225435,5,7
1510228975,2,1
1510232576,1,1
1510236175,2,1
1510239775,2,1
1510243375,2,8
1510246975,2,1
1510250575,2,4
1510254176,3,1
1510257776,2,1
1510261375,4,4
1510264975,8,5
1510268576,2,1
1510272175,13,2
1510275837,0,2
1510279376,1,1
1510282976,1,3
1510286637,3,4
1510290177,0,1
1510293776,4,4
1510297377,0,1
1510300977,0,1
1510304577,5,3
1510308177,2,1
1510311776,2,1
1510315376,5,2
1510318976,1,1
1510322576,2,0
1510326178,2,2
1510329776,2,3
1510333377,5,3
1510336978,7,6
1510344177,3,0
1510347777,8,5
1510351377,0,1
1510354978,5,3
1510358577,5,1
1510362178,0,1
1510365777,1,2
1510372978,2,2
1510376578,1,3
1510380177,2,3
1510383777,0,1
1510387377,0,8
1510390978,3,3
1510394577,3,1
1510398177,2,2
1510401777,3,2
1510405379,1,4
1510408977,1,2
1510412577,5,5
1510416179,3,2
1510419778,1,2
1510423377,2,0
1510426978,4,3
1510430579,1,3
1510434178,2,6
1510437779,4,4
1510441378,3,0
1510444979,1,2
1510448578,3,2
1510452178,2,3
1510455778,1,0
1510459379,3,5
1510462978,2,2
1510466579,2,3
1510470179,2,5
1510473779,3,4
1510477378,1,0
1510480978,2,4
1510484578,1,2
1510488178,2,6
1510491779,2,1
1510495378,4,2
1510498978,1,1
1510502579,1,2
1510506179,1,0
1510509780,6,3
1510513380,7,3
1510516982,4,3
1510520579,2,4
1510524179,3,2
1510527779,3,3
1510531379,3,1
1510534979,3,0
1510538579,2,2
1510542179,1,1
1510545781,1,3
1510549380,7,5
1510552980,1,2
1510556580,1,1
1510560180,3,2
1510563780,1,2
1510567380,1,2
1510570981,2,2
1510574581,2,5
1510578180,3,8
1510578663,1,1
1510581780,0,2
1510585381,3,4
1510588980,0,4
1510592580,2,6
1510596182,2,0
1510599780,4,1
1510603380,3,3
1510606981,3,2
1510610580,4,7
1510614180,1,3
1510617782,1,3
1510621382,1,3
1510624981,1,1
1510628581,0,1
1510632181,4,5
1510635781,2,2
1510639381,2,3
1510642981,1,6
1510646581,4,4
1510650181,3,2
1510653784,5,2
1510657388,3,2
