DateTime,AddedIPs,RemovedIPs
1508361886,18,7
1508365732,22,16
1508369553,21,12
1508373449,19,17
1508377242,16,14
1508381067,22,19
1508384917,18,11
1508388756,24,7
1508392590,11,5
1508396419,2,1
1508400281,1,0
1508404116,5,4
1508407946,3,4
1508415633,2,3
1508419480,8,4
1508423322,9,8
1508427181,12,15
1508431020,9,10
1508434832,9,9
1508438673,22,21
1508442515,6,6
1508446357,1,1
1508450264,2,2
1508457925,0,1
1508465837,2,4
1508469674,8,11
1508473471,9,11
1508477595,4,8
1508481653,7,6
1508485496,4,8
1508489573,5,8
1508493439,4,4
1508497309,2,6
1508501112,2,3
1508504932,0,4
1508508757,5,5
1508512613,1,0
1508516464,7,9
1508520298,8,13
1508524901,12,14
1508528680,5,7
1508532509,5,4
1508536377,6,6
1508540193,3,4
1508544079,6,7
1508547875,2,6
1508551720,0,2
1508555566,1,2
1508559385,5,12
1508563247,2,4
1508567086,9,10
1508570794,9,10
1508574643,15,15
1508578383,15,25
1508582211,12,11
1508605476,0,1
1508609316,1,7
1508613323,5,7
1508617012,1,2
1508620846,9,8
1508624940,4,8
1508628759,6,8
1508636431,16,20
1508640554,7,11
1508644390,5,2
1508648199,0,1
1508652065,2,0
1508655879,3,8
1508659734,5,7
1508667400,8,26
1508671231,4,11
1508678918,2,8
1508682791,1,13
1508686630,1,6
1508690449,3,4
1508698138,2,1
1508701984,1,2
1508710096,4,3
1508714003,2,1
1508718052,0,1
1508721890,1,1
1508725723,1,0
1508729561,3,5
1508733405,2,3
1508737469,11,8
1508741342,33,20
1508745191,32,30
1508748988,27,21
1508752848,8,6
1508756717,7,2
1508760513,4,4
1508764379,8,5
1508768196,1,3
1508772051,17,13
1508775889,12,8
1508779726,13,14
1508787424,28,20
1508791257,2,0
1508798935,3,5
1508802764,6,3
1508806629,9,11
1508810474,18,9
1508814275,22,7
1508818123,11,4
1508821992,16,5
1508826060,31,23
1508830152,28,16
1508833974,20,17
1508837833,19,23
1508841654,4,13
1508845489,18,19
1508849332,24,25
1508853178,39,32
1508857348,15,13
1508861693,7,2
1508865425,13,14
1508870161,39,41
1508874056,6,6
1508877891,23,18
1508881763,27,21
1508885579,22,18
1508889438,12,9
1508893252,23,24
1508897106,22,21
1508900807,16,15
1508904540,6,10
1508912217,6,6
1508916036,5,3
1508919874,4,5
1508923750,27,28
1508927602,27,17
1508931424,28,31
1508935241,32,33
1508939076,25,23
1508942927,2,7
1508947595,3,5
1508951310,3,3
1508955177,1,7
1508958999,4,4
1508962851,5,5
1508966681,3,5
1508970522,5,6
1508974374,3,5
1508978444,2,3
1508982273,1,4
1508986356,6,6
1508990204,5,9
1508994042,2,4
1508997903,2,5
1509001710,3,7
1509005563,7,9
1509009417,11,16
1509013245,1,0
1509020903,6,12
1509024756,3,6
1509028619,7,9
1509032372,3,3
1509036068,5,10
1509039884,5,12
1509043732,3,3
1509047564,4,5
1509051411,0,1
1509055079,2,1
1509060604,5,4
1509064402,3,4
1509068454,5,5
1509072191,3,5
1509075990,8,10
1509079805,1,3
1509087414,8,16
1509091263,1,6
1509095128,1,3
1509098926,4,2
1509102772,27,18
1509106667,33,31
1509110707,34,33
1509114789,10,12
1509126270,55,56
1509130111,6,5
1509133981,1,2
1509137826,12,10
1509141676,3,1
1509145488,3,2
1509149829,5,3
1509153647,6,4
1509161309,30,20
1509165189,19,15
1509169034,3,4
1509172857,9,8
1509176673,1,1
1509180518,6,1
1509188184,23,17
1509195883,20,20
1509199728,23,17
1509203568,20,12
1509207399,21,15
1509211270,30,33
1509215324,17,20
1509223027,16,21
1509227540,25,26
1509231755,37,33
1509236606,9,381
1509244121,32,0
1509247975,33,0
1509251814,14,0
1509255647,30,0
1509259490,35,0
1509263273,19,0
1509267171,22,0
1509271000,28,0
1509274838,13,0
1509278674,12,0
1509282514,8,0
1509286351,4,0
1509290180,2,0
1509294018,17,0
1509297862,30,0
1509301707,35,0
1509305561,42,0
1509309390,21,0
1509313256,1,0
1509317071,3,0
1509320924,4,2
1509325016,5,7
1509328855,8,10
1509332682,3,5
1509336506,7,9
1509340370,3,11
1509344211,4,5
1509348051,4,8
1509351871,2,5
1509355706,5,5
1509359566,5,12
1509363400,4,3
1509367227,3,6
1509371085,12,18
1509374909,5,5
1509378766,3,7
1509382604,8,16
1509386446,8,9
1509390281,4,5
1509394119,2,3
1509398100,1,1
1509401790,1,4
1509405618,0,1
1509409467,1,2
1509417156,4,7
1509420975,6,7
1509424826,3,5
1509428556,3,5
1509432261,9,12
1509436126,5,5
1509440062,5,10
1509443801,7,8
1509447645,2,1
1509451480,2,2
1509455324,3,3
1509459163,3,7
1509463014,3,3
1509466834,1,1
1509470698,0,3
1509474515,0,2
1509478371,2,3
1509482560,3,5
1509486267,5,6
1509490381,18,19
1509494481,21,24
1509498539,22,25
1509502373,24,27
1509506213,22,23
1509510048,15,10
1509513860,7,5
1509517705,14,11
1509521571,4,1
1509525376,12,7
1509529246,1,3
1509533090,3,2
1509536912,4,3
1509541012,20,11
1509544854,16,10
1509772607,52,42
1509776459,10,4
1509780260,14,9
1509784105,13,8
1509787960,16,14
1509791814,24,17
1509795633,17,5
1509799464,4,5
1509803316,19,14
1509807152,20,19
1509810942,16,15
1509814816,12,11
1509818664,3,8
1509822518,15,14
1509826347,18,18
1509830194,23,21
1509834020,15,15
1509838261,23,16
1509841949,18,15
1509845782,30,31
1509849615,15,16
1509853467,25,23
1509857299,11,7
1509861160,2,3
1509864854,4,6
1509872451,4,5
1509876292,11,9
1509880117,24,23
1509883978,22,20
1509887812,19,22
1509891655,29,24
1509895898,19,22
1509899787,10,10
1509903625,6,5
1509907453,3,2
1509911351,2,3
1509915173,0,1
1509922882,4,4
1509930755,5,6
1509934621,2,6
1509938453,10,11
1509942282,8,10
1509946133,3,4
1509949964,17,17
1509953816,4,4
1509957651,3,6
1509961463,0,1
1509965323,2,2
1509969160,2,6
1509973003,6,5
1509977104,3,4
1509980919,4,8
1509984775,10,14
1509988600,11,9
1509992675,3,3
1509996513,7,15
1510000361,5,7
1510004880,7,8
1510008747,1,3
1510012579,0,1
1510016459,1,1
1510020278,1,2
1510024120,3,8
1510027956,4,5
1510031784,5,8
1510035655,2,2
1510039361,6,13
1510043070,7,7
1510046899,4,4
1510050752,6,8
1510054841,0,1
1510058666,3,5
1510062519,1,6
1510066345,24,20
1510070174,29,20
1510074043,29,36
1510077821,19,17
1510081712,8,8
1510086651,9,14
1510090354,2,2
1510094222,14,14
1510098047,7,7
1510101893,1,4
1510105720,5,5
1510109565,10,14
1510113384,23,18
1510117255,16,11
1510121077,5,6
1510124921,6,5
1510128743,6,6
1510132585,5,4
1510136417,4,3
1510140258,18,18
1510144106,14,8
1510147953,26,15
1510151793,15,16
1510155615,25,17
1510159468,25,11
1510163313,5,13
1510167392,18,7
1510175082,61,58
1510178944,17,22
1510182763,6,10
1510186858,24,26
1510190679,31,26
1510194531,11,16
1510198368,12,11
1510202245,40,42
1510205923,28,19
1510209967,21,18
1510213816,15,15
1510217795,20,25
1510221651,12,17
1510225486,1,1
1510229338,4,17
1510233155,3,5
1510236984,1,2
1510240853,37,55
1510244665,18,15
1510248516,21,18
1510252617,24,24
1510256459,22,16
1510260264,5,3
1510264138,1,1
1510268158,2,2
1510272077,1,3
1510275901,2,2
1510279730,2,6
1510283556,2,4
1510287386,2,3
1510291239,4,4
1510295067,4,5
1510298931,1,3
1510302770,3,12
1510306590,5,5
1510310433,3,7
1510314265,5,8
1510318126,3,0
1510321973,3,6
1510325790,6,8
1510329628,1,2
1510333479,2,5
1510337306,1,2
1510341166,2,2
1510345002,1,0
1510348827,2,2
1510356514,1,1
1510360372,2,4
1510364207,4,4
1510368061,2,1
1510371880,11,16
1510375713,6,3
1510379558,4,8
1510383399,2,2
1510387268,4,11
1510391082,0,3
1510394914,2,10
1510402602,0,6
1510406435,3,4
1510414127,2,12
1510418224,4,4
1510422045,3,7
1510425870,3,6
1510429956,9,4
1510433787,3,2
1510441477,2,0
1510445525,0,1
1510449394,1,0
1510453246,3,3
1510457060,9,3
1510460900,19,20
1510464748,17,22
1510468604,17,21
1510472429,8,9
1510476539,14,21
1510480377,1,2
1510484232,5,12
1510488099,17,15
1510491887,19,20
1510495721,19,13
1510499562,21,8
1510503390,20,8
1510507494,18,8
1510511303,17,16
1510515201,9,6
1510519235,16,9
1510523064,6,5
1510526909,7,4
1510530752,9,7
1510534804,3,2
1510538690,8,4
1510542545,6,1
1510546382,20,5
1510550228,12,5
1510554053,10,13
1510557880,29,16
1510561722,6,5
1510565582,7,6
1510569410,8,11
1510577058,4,14
1510580950,18,17
1510584756,12,20
1510588603,7,7
1510592475,12,4
1510596283,14,27
1510600125,10,8
1510603955,5,4
1510607796,14,12
1510611615,31,30
1510615475,11,9
1510619317,13,14
1510623157,17,17
1510630835,38,36
1510634677,14,18
1510638520,10,11
1510642376,13,10
1510646184,1,6
1510650177,11,14
1510653873,14,13
1510657736,17,18
