DateTime,AddedIPs,RemovedIPs
1508404121,75,80
1508407950,48,48
1508411792,6,8
1508415638,56,113
1508419491,71,71
1508423335,113,119
1508427196,72,66
1508431030,103,40
1508434841,91,92
1508438679,101,101
1508442526,89,95
1508446363,21,26
1508450268,23,36
1508454080,17,24
1508457948,33,47
1508461702,16,20
1508465842,32,49
1508469693,44,72
1508473476,74,46
1508477603,72,80
1508481658,66,51
1508485502,60,44
1508489581,50,55
1508493448,52,49
1508497336,30,70
1508501127,21,12
1508504936,30,31
1508508763,21,38
1508512617,13,14
1508516485,28,55
1508520317,58,76
1508524907,116,41
1508528687,50,21
1508532515,73,47
1508536384,81,78
1508540203,50,55
1508544119,45,44
1508547879,27,37
1508551726,14,36
1508555572,9,9
1508559389,32,43
1508563252,30,29
1508567094,63,97
1508570805,108,93
1508574659,137,89
1508578391,98,84
1508582231,249,234
1508591808,19,23
1508605480,7,7
1508609326,27,34
1508613328,92,91
1508617016,17,19
1508620851,81,87
1508624955,63,71
1508628768,57,61
1508636436,120,130
1508640574,28,46
1508644396,40,28
1508648206,19,36
1508652074,17,16
1508655889,33,60
1508659738,59,48
1508667406,110,128
1508671237,58,45
1508678932,58,45
1508682806,21,36
1508686639,26,55
1508690453,12,7
1508694275,25,7
1508698146,29,14
1508701992,35,21
1508710100,49,56
1508714013,36,24
1508718059,16,15
1508721900,19,27
1508725746,18,24
1508729565,47,64
1508733410,26,31
1508737475,65,82
1508741356,92,61
1508745199,115,78
1508748996,100,87
1508752859,349,322
1508756743,329,327
1508760525,449,449
1508764385,316,316
1508768202,450,450
1508772059,407,407
1508775898,449,450
1508779737,296,296
1508787500,417,419
1508791272,414,412
1508795098,419,418
1508798954,432,433
1508802773,394,395
1508806648,382,383
1508810508,168,172
1508814290,128,128
1508818131,57,56
1508822006,92,92
1508826075,120,122
1508830164,136,141
1508833981,104,102
1508837867,94,103
1508841661,348,330
1508845499,274,274
1508849347,136,137
1508853193,229,233
1508861704,446,441
1508865433,274,274
1508870167,152,155
1508874062,331,337
1508877899,101,101
1508881783,95,100
1508885591,104,102
1508889451,282,274
1508893260,85,83
1508897122,108,109
1508900819,263,267
1508904549,345,337
1508912224,431,433
1508916045,437,434
1508919883,430,430
1508923766,101,103
1508927625,133,139
1508931449,101,107
1508935256,111,114
1508939081,69,69
1508942936,45,83
1508947606,30,35
1508951316,28,15
1508955191,32,57
1508959005,81,82
1508962857,99,97
1508966691,87,35
1508970533,57,53
1508974379,64,73
1508978449,58,51
1508982280,26,33
1508986364,21,22
1508990209,14,38
1508994053,26,40
1508997915,36,38
1509001716,38,62
1509005569,51,50
1509009430,60,85
1509013253,25,20
1509020941,56,47
1509024762,27,14
1509028637,50,55
1509032378,49,48
1509036075,43,57
1509039889,53,51
1509043745,51,19
1509047569,65,34
1509051426,17,8
1509055488,33,32
1509060620,16,37
1509064428,5,7
1509068462,52,51
1509072212,26,24
