DateTime,AddedIPs,RemovedIPs
1508296849,305,304
1508300696,450,450
1508304542,451,451
1508308382,447,447
1508312456,451,451
1508316267,450,450
1508320124,451,451
1508327793,448,451
1508331644,450,447
1508335733,451,451
1508339571,451,451
1508343417,451,451
1508347252,451,451
1508351079,451,451
1508354912,397,397
1508358755,451,451
1508362618,451,451
1508366450,451,451
1508370268,451,451
1508374114,430,430
1508377988,451,451
1508381778,450,450
1508385667,449,449
1508389490,450,450
1508393308,451,451
1508397139,29,29
1508401007,10,10
1508404848,5,5
1508408670,7,7
1508412509,4,4
1508416367,15,15
1508420207,176,177
1508424047,214,215
1508427862,224,223
1508431725,221,220
1508435558,208,210
1508439389,197,195
1508443245,135,135
1508447080,4,4
1508450908,1,1
1508454762,1,2
1508458841,4,4
1508462679,1,2
1508466760,36,37
1508470844,154,155
1508474663,138,137
1508478519,130,127
1508482398,191,191
1508486188,114,114
1508490042,159,159
1508493888,83,83
1508497726,2,2
1508501552,1,1
1508505393,5,8
1508509235,1,2
1508513070,3,4
1508516909,42,44
1508520765,183,183
1508524915,209,208
1508528692,201,197
1508532521,199,197
1508536391,182,182
1508540216,202,202
1508544162,194,194
1508547884,2,2
1508555577,2,2
1508559394,2,2
1508563262,50,50
1508567105,107,107
1508570813,222,222
1508574674,449,449
1508578402,451,451
1508582262,451,451
1508591820,11,11
1508605485,2,2
1508609334,7,7
1508613337,2,3
1508617021,3,3
1508620858,82,83
1508624962,123,124
1508628781,122,122
1508636443,289,288
1508640592,70,68
1508644401,3,4
1508655898,5,5
1508659746,90,89
1508667412,228,229
1508671245,103,103
1508678947,49,49
1508686649,0,2
1508694280,0,1
1508702004,2,2
1508710107,1,2
1508718067,6,8
1508725770,0,1
1508733416,1,1
1508737481,213,210
1508741380,277,272
1508745214,345,345
1508749007,206,206
1508752873,409,409
1508756767,344,344
1508760536,380,380
1508764393,361,361
1508768210,392,392
1508772072,412,414
1508775908,450,449
1508779753,387,386
1508791327,451,451
1508795120,387,387
1508798976,402,402
1508802781,451,451
1508806668,413,413
1508810544,419,422
1508814299,253,250
1508818139,200,200
1508822020,338,338
1508826086,375,375
1508830220,229,229
1508833988,236,236
1508837888,190,190
1508841678,298,298
1508845508,310,310
1508849359,251,251
1508853206,327,327
1508861721,450,451
1508865446,307,306
1508870182,300,300
1508874075,346,346
1508877908,217,218
1508881804,373,372
1508885601,386,386
1508889460,451,451
1508893273,380,380
1508897145,403,403
1508900830,411,411
1508904561,419,419
1508912232,451,451
1508916056,418,418
1508919897,377,379
1508923784,271,269
1508927657,417,418
1508931464,345,346
1508935271,365,363
1508939087,424,429
1508942942,7,7
1508947616,2,3
1508951325,3,4
1508955209,5,5
1508959011,88,90
1508962869,128,125
1508966701,138,135
1508970550,160,157
1508974386,152,153
1508978460,118,117
1508982287,5,5
1508986374,2,2
1508990217,3,3
1508994066,21,24
1508997928,133,135
1509001723,95,96
1509005576,115,116
1509009443,99,96
1509013260,32,33
1509024769,8,11
1509028651,50,52
1509032386,167,168
1509036083,135,137
1509039903,162,152
1509043758,137,136
1509047576,125,124
1509051451,3,4
1509055502,0,1
1509064449,2,2
1509068473,107,108
1509072225,84,88
1509076009,94,94
1509079825,122,119
1509087431,126,126
1509091288,2,8
1509095166,2,4
1509098949,3,3
1509102796,402,405
1509106718,377,365
1509110726,449,446
1509126288,450,450
1509130127,324,324
1509134013,351,350
1509137846,354,354
1509141754,367,367
1509145511,340,340
1509149874,378,378
1509153676,405,405
1509161328,449,449
1509165231,451,451
1509169096,445,446
1509172903,372,371
1509176703,372,372
1509180541,346,347
1509188215,451,450
1509195908,451,451
1509199778,451,451
1509203596,449,451
1509207429,402,404
1509211309,450,446
1509215349,380,381
1509223098,451,450
1509227588,297,297
1509236615,451,451
1509240285,449,449
1509244129,419,419
1509247986,358,358
1509251826,385,388
1509255659,319,319
1509259496,403,400
1509263278,440,440
1509267181,319,319
1509271013,451,451
1509274870,445,445
1509278687,413,413
1509282528,447,451
1509286358,431,427
1509290190,398,398
1509294028,451,451
