DateTime,AddedIPs,RemovedIPs
1507855727,3,3
1507859560,4,1
1507863389,3,0
1507867254,6,1
1507871094,8,1
1507874964,4,0
1507878792,3,6
1507882617,6,4
1507886447,5,0
1507890293,2,0
1507894137,6,0
1507898044,5,3
1507910192,1,0
1507914155,2,0
1507917915,1,1
1507922002,0,1
1507933505,2,0
1507937335,1,2
1507945059,0,3
1507953351,1,1
1507957097,0,1
1507960769,1,2
1507964490,1,0
1507972186,7,2
1507976234,9,1
1507980288,4,2
1507991820,15,8
1507995672,0,1
1507999505,2,3
1508003349,6,1
1508007364,3,1
1508011271,6,1
1508015116,11,11
1508018964,2,3
1508022801,3,0
1508026621,8,5
1508030472,3,2
1508034309,11,8
1508038131,7,1
1508042007,7,7
1508045871,6,5
1508049655,1,1
1508053502,1,0
1508057361,6,6
1508061186,4,1
1508064998,4,4
1508068859,10,6
1508072900,5,5
1508076756,10,5
1508080599,8,9
1508084677,5,2
1508088544,3,4
1508092374,2,3
1508096202,15,9
1508100047,0,4
1508103888,6,5
1508107741,1,1
1508111575,16,8
1508115402,10,6
1508119269,6,1
1508123077,4,0
1508126940,1,2
1508130760,5,7
1508134616,8,8
1508138465,7,4
1508142298,7,6
1508146156,2,1
1508149979,1,0
1508153829,4,4
1508157648,2,3
1508161482,1,2
1508165562,3,2
1508169397,5,5
1508173252,3,5
1508177104,4,3
1508180919,4,6
1508184778,3,6
1508188631,4,7
1508193109,13,11
1508196778,5,6
1508200609,2,8
1508204439,7,8
1508208544,2,3
1508212402,4,9
1508216232,0,1
1508223939,7,8
1508227727,0,5
1508239263,3,12
1508246952,3,11
1508250794,0,4
1508254655,1,3
1508258480,1,1
1508262291,1,7
1508269999,12,14
1508273812,1,0
1508277688,2,1
1508281492,3,4
1508285328,0,2
1508289191,6,14
1508293019,1,3
1508296879,4,8
1508300712,7,5
1508308406,6,3
1508312486,7,6
1508316281,4,4
1508320147,2,3
1508327814,6,5
1508331658,0,1
1508335764,1,6
1508339590,0,7
1508354928,1,3
1508362655,1,0
1508370279,1,4
1508374129,0,1
1508378002,0,1
1508381796,6,4
1508385677,1,5
1508389503,2,5
1508393335,2,2
1508397145,0,2
1508401015,0,1
1508404855,6,6
1508408677,1,1
1508412516,1,3
1508416377,1,10
1508420216,0,1
1508424060,0,3
1508427869,0,3
1508431733,2,2
1508435565,4,2
1508439400,2,0
1508447086,0,1
1508462697,0,2
1508466768,1,0
1508470852,1,2
1508478528,0,2
1508482416,3,3
1508486213,0,2
1508490050,4,1
1508497732,3,3
1508501559,5,0
1508505404,4,4
1508509241,6,1
1508513081,2,1
1508516926,2,5
1508520773,1,4
1508524922,3,3
1508528700,3,1
1508532528,3,1
1508536398,1,1
1508540232,5,4
1508547890,5,2
1508551741,4,3
1508555583,5,1
1508559402,5,2
1508563280,9,3
1508567121,13,9
1508570826,6,6
1508574693,6,3
1508578427,6,6
1508582305,3,0
1508589917,2,2
1508605491,0,1
1508609342,7,6
1508613348,10,9
1508617027,1,3
1508620866,6,1
1508624971,5,1
1508628797,0,2
1508636452,5,5
1508640616,8,2
1508644407,9,6
1508648221,10,6
1508652086,11,3
1508655907,8,5
1508659764,11,2
1508667420,8,4
1508671263,5,0
1508675070,5,4
1508678987,4,2
1508694288,5,1
1508698158,8,1
1508702019,1,0
1508710113,8,1
1508714043,4,2
1508718076,5,2
1508721929,3,0
1508725795,1,2
1508729579,5,6
1508733424,8,2
1508737490,7,6
1508745234,3,6
1508749017,1,3
1508752893,6,10
1508756782,7,3
1508760547,2,8
1508764453,10,9
1508768221,6,3
1508772084,1,5
1508775922,2,4
1508779768,3,6
1508795143,14,20
1508799017,2,3
1508802803,1,4
1508806707,0,3
1508814313,7,8
1508818152,7,8
1508822054,7,6
1508826101,3,7
1508833996,3,14
1508837915,2,2
1508841713,5,8
1508845519,2,2
1508849375,8,4
1508853225,1,9
1508861743,4,7
1508865457,2,6
1508870208,8,8
1508874095,6,8
1508877932,6,8
1508885616,6,2
1508889474,4,3
1508893304,1,1
1508897177,0,3
1508900856,1,5
1508904576,1,2
1508912242,3,1
1508916069,2,3
1508919915,2,8
1508923795,6,7
1508927700,5,1
1508931492,2,4
1508939100,2,5
1508942949,2,5
1508947629,3,4
1508951335,5,3
1508955241,3,5
1508959022,1,0
1508962879,3,3
1508966713,0,1
1508970581,2,3
1508978467,0,1
1508982298,0,1
1508986392,2,2
1508990226,2,0
1508994086,1,0
1508997939,4,2
1509001732,4,3
1509005597,2,2
1509009463,6,7
1509013271,5,2
1509024777,1,3
1509028668,3,3
1509036096,6,2
1509039912,1,1
1509043771,7,4
1509047588,6,4
1509051482,0,1
1509055514,4,2
1509060661,4,1
1509064480,2,1
1509068488,2,1
1509072247,6,0
1509076030,5,2
1509079842,4,0
1509087445,11,12
1509091321,1,1
1509095231,2,2
1509098966,1,6
1509102812,1,0
1509106744,4,1
1509110736,2,1
1509126302,10,6
1509130140,1,1
1509134024,2,4
1509137879,6,5
1509145532,6,2
1509149920,7,3
1509153711,3,2
1509161342,9,12
1509165263,3,4
1509169144,1,0
1509172942,5,7
1509176736,1,1
1509188238,4,7
1509195920,4,1
1509199840,5,1
1509203622,5,2
1509207446,4,3
1509211342,6,3
1509215368,7,3
1509227645,9,6
1509236620,7,249
1509240291,4,0
1509244133,10,0
1509247989,10,0
1509251830,5,0
1509255662,2,0
1509259499,6,0
1509263282,2,0
1509267186,7,0
1509271023,4,0
1509278693,11,0
1509282532,2,0
1509286362,5,0
1509290197,3,0
1509294032,4,0
1509297875,5,0
1509301719,7,0
1509305577,2,0
1509313268,5,0
1509317080,6,0
1509320933,6,0
1509325030,5,0
1509332695,2,0
1509336517,2,0
1509344223,1,0
1509351884,1,0
1509355718,1,0
1509359575,3,0
1509363408,2,0
1509371095,2,0
1509374920,2,0
1509378781,1,0
1509394128,1,0
1509401797,3,0
1509409487,1,0
1509413315,1,0
1509417167,1,0
1509420988,2,0
1509424840,1,0
1509432274,5,0
1509436135,1,0
1509443815,2,0
1509455332,1,0
1509463024,1,0
1509466842,1,0
1509474538,1,0
1509498586,1,9
1509502402,2,4
1509506250,1,3
1509510070,0,2
1509513876,1,5
1509517719,0,1
1509521588,1,4
1509525394,1,1
1509529263,0,1
1509533105,0,3
1509536929,2,1
1509544893,0,1
1509772624,7,8
1509776487,2,2
1509780280,3,3
1509784126,0,2
1509787980,0,1
1509791825,0,5
1509795645,0,3
1509803330,1,3
1509807174,0,1
1509814841,0,2
1509818683,0,7
1509822538,2,4
1509826371,0,4
1509834040,0,4
1509838276,1,5
1509841967,0,2
1509845799,1,1
1509849627,1,1
1509853482,1,1
1509857311,0,1
1509864893,2,1
1509868602,1,1
1509872493,2,0
1509884012,1,0
1509887836,0,1
1509899817,0,1
1509903638,0,1
1509907466,1,0
1509911363,0,3
1509915184,2,1
1509918999,0,2
1509930766,1,0
1509934633,1,0
1509938482,2,0
1509942296,0,2
1509946161,2,0
1509949975,1,1
1509953832,2,0
1509957661,1,0
1509973014,0,1
1509980934,1,1
1509984788,0,2
1510000372,1,0
1510012589,1,0
1510016488,2,3
1510024129,0,1
1510027972,1,0
1510039401,0,2
1510043085,1,2
1510046918,0,2
1510050764,1,1
1510054852,0,2
1510062529,0,3
1510074072,0,2
1510077835,0,1
1510081741,1,1
1510086694,2,2
1510090372,0,1
1510101919,1,0
1510109591,2,0
1510113405,1,0
1510117312,1,2
1510124953,1,0
1510128765,2,1
1510140273,2,1
1510144121,2,1
1510147975,1,1
1510151821,0,2
1510155630,1,0
1510163339,1,0
1510167419,2,0
1510175108,1,2
1510178980,1,3
1510182782,0,1
1510186892,1,1
1510190708,1,1
1510202267,0,1
1510209988,1,1
1510213849,2,0
1510221668,2,1
1510233174,0,4
1510237003,1,2
1510248537,3,0
1510256479,2,0
1510264151,0,1
1510275912,1,3
1510279741,3,1
1510283571,1,0
1510287401,0,1
1510295082,1,0
1510298964,1,1
1510306606,1,0
1510310452,1,1
