DateTime,AddedIPs,RemovedIPs
1508285386,5,2
1508289231,8,9
1508293050,7,4
1508296954,3,1
1508300757,5,2
1508308462,5,8
1508312539,5,6
1508316336,4,3
1508320212,4,7
1508327850,8,7
1508331722,3,4
1508335855,3,3
1508339638,6,8
1508343471,8,3
1508347300,7,1
1508351155,3,1
1508354983,8,2
1508358802,2,3
1508366520,3,0
1508370306,2,3
1508374165,9,6
1508378027,1,3
1508381828,2,6
1508385713,7,5
1508389534,1,6
1508393394,1,8
1508397163,2,3
1508401031,3,3
1508404888,9,13
1508408690,4,1
1508412537,4,1
1508416393,2,8
1508420233,3,3
1508424092,4,2
1508427886,5,8
1508431751,2,2
1508435588,3,5
1508439426,12,2
1508443265,2,2
1508447102,4,5
1508450931,4,1
1508454787,1,1
1508458871,0,3
1508462721,3,3
1508466786,5,0
1508470885,7,10
1508474687,3,2
1508478554,3,7
1508482456,2,1
1508486263,2,9
1508490071,2,3
1508493914,4,3
1508497752,7,4
1508501579,5,5
1508505427,3,3
1508509259,5,1
1508513096,4,3
1508516954,2,5
1508520796,3,5
1508524960,8,7
1508528732,4,3
1508532549,2,2
1508536416,4,2
1508540262,1,3
1508547908,7,5
1508551760,10,4
1508555601,2,0
1508559419,5,7
1508563320,3,0
1508567144,5,5
1508570854,6,11
1508574728,5,7
1508578467,9,10
1508582370,4,2
1508590148,5,2
1508605508,3,0
1508609364,4,5
1508613364,9,10
1508617049,1,1
1508620887,3,4
1508624993,1,1
1508628832,5,2
1508636492,3,5
1508640656,3,1
1508644422,2,2
1508648241,2,2
1508652112,3,2
1508655926,4,2
1508659822,2,0
1508667439,6,6
1508675105,9,4
1508682896,8,4
1508686698,7,5
1508690487,4,4
1508694303,0,2
1508698174,5,6
1508702048,3,4
1508706307,1,2
1508710129,6,3
1508714063,5,4
1508718092,1,0
1508721954,6,4
1508725833,0,1
1508729593,6,1
1508733440,0,1
1508737512,5,6
1508741461,5,4
1508745268,1,6
1508749050,1,0
1508752945,7,8
1508756801,2,0
1508760578,2,6
1508768261,7,6
1508772114,5,2
1508775948,3,3
1508779811,4,7
1508802835,22,38
1508806786,1,1
1508814349,5,8
1508818180,0,1
1508822111,3,3
1508826146,5,2
1508834021,17,8
1508841764,9,19
1508845555,5,7
1508849419,6,6
1508853306,5,7
1508861781,7,7
1508865486,4,8
1508870284,4,5
1508874152,8,7
1508877978,1,4
1508881924,2,2
1508885652,2,1
1508889504,2,1
1508893376,2,4
1508897250,3,2
1508901196,4,5
1508905139,3,0
1508908889,3,1
1508912694,5,5
1508916567,5,4
1508920393,3,4
1508939572,10,14
1508943418,4,4
1508947666,3,0
1508951353,4,3
1508955287,5,6
1508959071,9,7
1508962910,7,2
1508966739,5,6
1508970641,0,1
1508974414,2,2
1508978484,3,3
1508982314,1,0
1508986418,2,3
1508990247,2,2
1508994171,3,1
1508997958,3,0
1509001751,4,7
1509005623,4,2
1509009508,4,3
1509013290,2,0
1509024801,12,16
1509028728,4,11
1509032432,3,2
1509036126,7,8
1509039958,5,11
1509043834,5,4
1509047609,8,6
1509051519,2,1
1509055536,4,3
1509060703,2,2
1509064544,3,3
1509068520,5,3
1509072305,1,4
1509076054,4,5
1509079875,2,2
1509087472,3,4
1509091395,4,2
1509099004,10,10
1509102866,3,8
1509106804,2,7
1509110837,2,8
1509126327,19,15
1509130184,7,1
1509134070,7,3
1509137914,1,1
1509145580,3,3
1509149967,3,0
1509161371,9,11
1509165312,4,1
1509169234,6,0
1509173022,2,2
1509176820,6,5
1509180593,5,0
1509188282,6,8
1509195956,3,11
1509203660,9,8
1509207476,5,7
1509211404,3,2
1509215404,1,4
1509236632,11,177
1509240301,4,0
1509244143,9,0
1509248002,6,0
1509251842,7,0
1509255676,8,0
1509259508,7,0
1509263289,7,0
1509267195,5,0
1509271054,2,0
1509278702,11,0
1509282542,5,0
1509286374,5,0
1509290209,7,0
1509294041,6,0
1509297890,7,0
1509301729,2,0
1509305587,2,0
1509309404,8,0
1509317092,4,0
1509320944,1,0
1509325042,3,0
1509332704,5,0
1509336530,4,0
1509348072,1,0
1509351898,3,0
1509355726,3,0
1509359585,2,0
1509363416,6,0
1509367246,2,0
1509371105,4,0
1509374933,4,0
1509378798,3,0
1509382645,7,0
1509386532,5,0
1509390298,4,0
1509394135,9,1
1509398115,0,2
1509401806,2,2
1509405637,2,0
1509409494,2,2
1509413322,1,2
1509417176,3,1
1509424848,2,2
1509428589,1,1
1509432283,1,6
1509436149,3,1
1509440092,1,5
1509443824,2,2
1509447680,4,5
1509451498,6,4
1509455339,1,2
1509459185,4,5
1509463036,2,1
1509466851,1,0
1509474551,6,14
1509478407,6,8
1509482604,6,8
1509486299,2,1
1509490438,6,5
1509502428,5,10
1509506271,2,1
1509510102,4,3
1509513891,3,1
1509517731,0,2
1509521608,3,3
1509525405,6,4
1509529278,4,0
1509533116,6,9
1509536949,7,5
1509541035,5,1
1509544919,2,4
1509772640,28,22
1509776520,2,4
1509780295,4,2
1509784147,3,2
1509787998,4,4
1509791836,2,7
1509795660,6,2
1509799493,3,1
1509803344,5,2
1509807199,5,5
1509810979,2,1
1509814856,3,0
1509818701,3,6
1509822554,4,2
1509826394,9,5
1509830227,12,8
1509834056,8,6
1509838291,2,5
1509841981,1,2
1509845811,5,7
1509849638,1,1
1509853494,6,7
1509857322,2,1
1509861195,2,0
1509864919,5,3
1509868618,3,2
1509872535,4,6
1509876324,3,4
1509880149,2,1
1509884041,2,9
1509887857,3,7
1509891749,6,8
1509895985,3,6
1509899831,4,8
1509903650,8,9
1509907475,6,0
1509911374,3,2
1509915193,8,4
1509919007,1,0
1509926691,3,4
1509930778,3,2
1509934645,3,5
1509938497,3,2
1509942307,1,2
1509946176,5,0
1509949987,4,6
1509953849,2,0
1509957674,3,8
1509961485,3,4
1509965344,0,4
1509969186,4,7
1509973023,8,9
1509977123,2,3
1509980947,5,5
1509984799,7,5
1509988622,3,4
1509992715,2,0
1509996564,6,10
1510000386,5,3
1510004929,4,4
1510008765,1,0
1510012599,2,2
1510016514,3,6
1510020298,4,6
1510024138,3,6
1510027992,4,1
1510031811,3,4
1510035681,4,2
1510039443,5,4
1510043309,2,1
1510047167,3,2
1510050998,3,7
1510054861,6,4
1510058690,8,9
1510062541,8,9
1510066377,6,2
1510070217,3,2
1510074107,2,2
1510077847,5,5
1510081761,3,2
1510086741,8,5
1510090623,1,1
1510094665,3,1
1510098515,2,0
1510102417,2,7
1510106203,3,1
1510110069,1,1
1510113898,6,4
1510117730,4,3
1510121572,3,4
1510125422,4,4
1510129236,3,3
1510133331,4,4
1510137154,5,5
1510141014,9,8
1510144853,1,1
1510148684,1,5
1510152532,2,9
1510156366,2,1
1510160190,5,5
1510164083,4,6
1510167873,3,0
1510171703,10,8
1510175546,3,4
1510179413,1,0
1510183166,2,0
1510186912,2,7
1510190733,3,4
1510194602,1,5
1510198409,2,3
1510202287,1,4
1510205975,2,5
1510210006,2,4
1510213862,3,5
1510217832,6,7
1510221693,4,4
1510225516,2,2
1510229404,3,9
1510233190,1,4
1510237019,2,2
1510240900,3,0
1510244709,2,0
1510248556,2,1
1510252697,1,1
1510256498,9,2
1510260293,3,3
1510264164,2,2
1510268184,1,3
1510275923,4,6
1510279753,3,5
1510283586,2,4
1510287416,3,4
1510291333,2,3
1510295094,8,8
1510298992,2,3
1510302815,3,2
1510306618,0,1
1510310478,4,5
1510314293,6,1
1510318166,6,2
1510322039,4,6
1510325814,10,12
1510329653,2,2
1510333506,1,0
1510337329,1,2
1510341189,9,3
1510345034,3,1
1510348849,1,1
1510352711,1,0
1510356540,2,1
1510360473,2,0
1510364251,4,2
1510368129,3,1
1510371909,5,4
1510375741,2,0
1510379584,4,5
1510383425,1,1
1510387380,8,8
1510391103,4,2
1510394937,3,7
1510398783,5,3
1510402640,2,4
1510406458,5,4
1510410301,5,6
1510414153,5,8
1510418265,2,0
1510422081,1,1
1510425902,4,1
1510430002,8,4
1510433808,6,2
1510437661,1,2
1510441501,6,1
1510445553,5,2
1510449416,1,2
1510453272,3,3
1510457107,3,1
1510460929,2,2
1510464801,5,7
1510468643,3,5
1510472458,5,5
1510476576,31,19
1510480401,4,6
1510484282,5,9
1510488197,5,6
1510491924,1,2
1510495774,5,7
1510499600,1,0
1510503444,4,7
1510507553,5,1
1510511347,1,3
1510519274,11,7
1510523095,3,4
1510526954,5,7
1510530782,2,0
1510534918,2,4
1510538735,2,4
1510542662,2,2
1510546445,4,6
1510550313,1,2
1510554097,2,4
1510557946,3,6
1510561770,8,11
1510565652,2,1
1510569466,7,1
1510573271,2,2
1510577094,5,1
1510580995,3,1
1510584800,5,4
1510588662,2,4
1510592594,3,0
1510596334,3,4
1510600157,8,8
1510604019,3,2
1510607844,0,1
1510611649,4,6
1510615530,3,3
1510619352,2,6
1510623218,2,5
1510630881,3,10
1510634720,3,11
1510638631,2,3
1510642436,3,2
1510646243,5,3
1510650250,1,2
1510653943,3,4
1510657809,3,5
