DateTime,Entries,UniqueIPs
1508285386,174,174
1508289231,173,173
1508293050,176,176
1508296954,178,178
1508300757,181,181
1508308462,178,178
1508312539,177,177
1508316336,178,178
1508320212,175,175
1508327850,176,176
1508331722,175,175
1508335855,175,175
1508339638,173,173
1508343471,178,178
1508347300,184,184
1508351155,186,186
1508354983,192,192
1508358802,191,191
1508366520,194,194
1508370306,193,193
1508374165,196,196
1508378027,194,194
1508381828,190,190
1508385713,192,192
1508389534,187,187
1508393394,180,180
1508397163,179,179
1508401031,179,179
1508404888,175,175
1508408690,178,178
1508412537,181,181
1508416393,175,175
1508420233,175,175
1508424092,177,177
1508427886,174,174
1508431751,174,174
1508435588,172,172
1508439426,182,182
1508443265,182,182
1508447102,181,181
1508450931,184,184
1508454787,184,184
1508458871,181,181
1508462721,181,181
1508466786,186,186
1508470885,183,183
1508474687,184,184
1508478554,180,180
1508482456,181,181
1508486263,174,174
1508490071,173,173
1508493914,174,174
1508497752,177,177
1508501579,177,177
1508505427,177,177
1508509259,181,181
1508513096,182,182
1508516954,179,179
1508520796,177,177
1508524960,178,178
1508528732,179,179
1508532549,179,179
1508536416,181,181
1508540262,179,179
1508547908,181,181
1508551760,187,187
1508555601,189,189
1508559419,187,187
1508563320,190,190
1508567144,190,190
1508570854,185,185
1508574728,183,183
1508578467,182,182
1508582370,184,184
1508590148,187,187
1508605508,190,190
1508609364,189,189
1508613364,188,188
1508617049,188,188
1508620887,187,187
1508624993,187,187
1508628832,190,190
1508636492,188,188
1508640656,190,190
1508644422,190,190
1508648241,190,190
1508652112,191,191
1508655926,193,193
1508659822,195,195
1508667439,195,195
1508675105,200,200
1508682896,204,204
1508686698,206,206
1508690487,206,206
1508694303,204,204
1508698174,203,203
1508702048,202,202
1508706307,201,201
1508710129,204,204
1508714063,205,205
1508718092,206,206
1508721954,208,208
1508725833,207,207
1508729593,212,212
1508733440,211,211
1508737512,210,210
1508741461,211,211
1508745268,206,206
1508749050,207,207
1508752945,206,206
1508756801,208,208
1508760578,204,204
1508768261,205,205
1508772114,208,208
1508775948,208,208
1508779811,205,205
1508802835,189,189
1508806786,189,189
1508814349,186,186
1508818180,185,185
1508822111,185,185
1508826146,188,188
1508834021,197,197
1508841764,187,187
1508845555,185,185
1508849419,185,185
1508853306,183,183
1508861781,183,183
1508865486,179,179
1508870284,178,178
1508874152,179,179
1508877978,176,176
1508881924,176,176
1508885652,177,177
1508889504,178,178
1508893376,176,176
1508897250,177,177
1508901196,176,176
1508905139,179,179
1508908889,181,181
1508912694,181,181
1508916567,182,182
1508920393,181,181
1508939572,177,177
1508943418,177,177
1508947666,180,180
1508951353,181,181
1508955287,180,180
1508959071,182,182
1508962910,187,187
1508966739,186,186
1508970641,185,185
1508974414,185,185
1508978484,185,185
1508982314,186,186
1508986418,185,185
1508990247,185,185
1508994171,187,187
1508997958,190,190
1509001751,187,187
1509005623,189,189
1509009508,190,190
1509013290,192,192
1509024801,188,188
1509028728,181,181
1509032432,182,182
1509036126,181,181
1509039958,175,175
1509043834,176,176
1509047609,178,178
1509051519,179,179
1509055536,180,180
1509060703,180,180
1509064544,180,180
1509068520,182,182
1509072305,179,179
1509076054,178,178
1509079875,178,178
1509087472,177,177
1509091395,179,179
1509099004,179,179
1509102866,174,174
1509106804,169,169
1509110837,163,163
1509126327,167,167
1509130184,173,173
1509134070,177,177
1509137914,177,177
1509145580,177,177
1509149967,180,180
1509161371,178,178
1509165312,181,181
1509169234,187,187
1509173022,187,187
1509176820,188,188
1509180593,193,193
1509188282,191,191
1509195956,183,183
1509203660,184,184
1509207476,182,182
1509211404,183,183
1509215404,180,180
1509236632,14,14
1509240301,18,18
1509244143,27,27
1509248002,33,33
1509251842,40,40
1509255676,48,48
1509259508,55,55
1509263289,62,62
1509267195,67,67
1509271054,69,69
1509278702,80,80
1509282542,85,85
1509286374,90,90
1509290209,97,97
1509294041,103,103
1509297890,110,110
1509301729,112,112
1509305587,114,114
1509309404,122,122
1509317092,126,126
1509320944,127,127
1509325042,130,130
1509332704,135,135
1509336530,139,139
1509348072,140,140
1509351898,143,143
1509355726,146,146
1509359585,148,148
1509363416,154,154
1509367246,156,156
1509371105,160,160
1509374933,164,164
1509378798,167,167
1509382645,174,174
1509386532,179,179
1509390298,183,183
1509394135,191,191
1509398115,189,189
1509401806,189,189
1509405637,191,191
1509409494,191,191
1509413322,190,190
1509417176,192,192
1509424848,192,192
1509428589,192,192
1509432283,187,187
1509436149,189,189
1509440092,185,185
1509443824,185,185
1509447680,184,184
1509451498,186,186
1509455339,185,185
1509459185,184,184
1509463036,185,185
1509466851,186,186
1509474551,178,178
1509478407,176,176
1509482604,174,174
1509486299,175,175
1509490438,176,176
1509502428,171,171
1509506271,172,172
1509510102,173,173
1509513891,175,175
1509517731,173,173
1509521608,173,173
1509525405,175,175
1509529278,179,179
1509533116,176,176
1509536949,178,178
1509541035,182,182
1509544919,180,180
1509772640,186,186
1509776520,184,184
1509780295,186,186
1509784147,187,187
1509787998,187,187
1509791836,182,182
1509795660,186,186
1509799493,188,188
1509803344,191,191
1509807199,191,191
1509810979,192,192
1509814856,195,195
1509818701,192,192
1509822554,194,194
1509826394,198,198
1509830227,202,202
1509834056,204,204
1509838291,201,201
1509841981,200,200
1509845811,198,198
1509849638,198,198
1509853494,197,197
1509857322,198,198
1509861195,200,200
1509864919,202,202
1509868618,203,203
1509872535,201,201
1509876324,200,200
1509880149,201,201
1509884041,194,194
1509887857,190,190
1509891749,188,188
1509895985,185,185
1509899831,181,181
1509903650,180,180
1509907475,186,186
1509911374,187,187
1509915193,191,191
1509919007,192,192
1509926691,191,191
1509930778,192,192
1509934645,190,190
1509938497,191,191
1509942307,190,190
1509946176,195,195
1509949987,193,193
1509953849,195,195
1509957674,190,190
1509961485,189,189
1509965344,185,185
1509969186,182,182
1509973023,181,181
1509977123,180,180
1509980947,180,180
1509984799,182,182
1509988622,181,181
1509992715,183,183
1509996564,179,179
1510000386,181,181
1510004929,181,181
1510008765,182,182
1510012599,182,182
1510016514,179,179
1510020298,177,177
1510024138,174,174
1510027992,177,177
1510031811,176,176
1510035681,178,178
1510039443,179,179
1510043309,180,180
1510047167,181,181
1510050998,177,177
1510054861,179,179
1510058690,178,178
1510062541,177,177
1510066377,181,181
1510070217,182,182
1510074107,182,182
1510077847,182,182
1510081761,183,183
1510086741,186,186
1510090623,186,186
1510094665,188,188
1510098515,190,190
1510102417,185,185
1510106203,187,187
1510110069,187,187
1510113898,189,189
1510117730,190,190
1510121572,189,189
1510125422,189,189
1510129236,189,189
1510133331,189,189
1510137154,189,189
1510141014,190,190
1510144853,190,190
1510148684,186,186
1510152532,179,179
1510156366,180,180
1510160190,180,180
1510164083,178,178
1510167873,181,181
1510171703,183,183
1510175546,182,182
1510179413,183,183
1510183166,185,185
1510186912,180,180
1510190733,179,179
1510194602,175,175
1510198409,174,174
1510202287,171,171
1510205975,168,168
1510210006,166,166
1510213862,164,164
1510217832,163,163
1510221693,163,163
1510225516,163,163
1510229404,157,157
1510233190,154,154
1510237019,154,154
1510240900,157,157
1510244709,159,159
1510248556,160,160
1510252697,160,160
1510256498,167,167
1510260293,167,167
1510264164,167,167
1510268184,165,165
1510275923,163,163
1510279753,161,161
1510283586,159,159
1510287416,158,158
1510291333,157,157
1510295094,157,157
1510298992,156,156
1510302815,157,157
1510306618,156,156
1510310478,155,155
1510314293,160,160
1510318166,164,164
1510322039,162,162
1510325814,160,160
1510329653,160,160
1510333506,161,161
1510337329,160,160
1510341189,166,166
1510345034,168,168
1510348849,168,168
1510352711,169,169
1510356540,170,170
1510360473,172,172
1510364251,174,174
1510368129,176,176
1510371909,177,177
1510375741,179,179
1510379584,178,178
1510383425,178,178
1510387380,178,178
1510391103,180,180
1510394937,176,176
1510398783,178,178
1510402640,176,176
1510406458,177,177
1510410301,176,176
1510414153,173,173
1510418265,175,175
1510422081,175,175
1510425902,178,178
1510430002,182,182
1510433808,186,186
1510437661,185,185
1510441501,190,190
1510445553,193,193
1510449416,192,192
1510453272,192,192
1510457107,194,194
1510460929,194,194
1510464801,192,192
1510468643,190,190
1510472458,190,190
1510476576,202,202
1510480401,200,200
1510484282,196,196
1510488197,195,195
1510491924,194,194
1510495774,192,192
1510499600,193,193
1510503444,190,190
1510507553,194,194
1510511347,192,192
1510519274,196,196
1510523095,195,195
1510526954,193,193
1510530782,195,195
1510534918,193,193
1510538735,191,191
1510542662,191,191
1510546445,189,189
1510550313,188,188
1510554097,186,186
1510557946,183,183
1510561770,180,180
1510565652,181,181
1510569466,187,187
1510573271,187,187
1510577094,191,191
1510580995,193,193
1510584800,194,194
1510588662,192,192
1510592594,195,195
1510596334,194,194
1510600157,194,194
1510604019,195,195
1510607844,194,194
1510611649,192,192
1510615530,192,192
1510619352,188,188
1510623218,185,185
1510630881,178,178
1510634720,170,170
1510638631,169,169
1510642436,170,170
1510646243,172,172
1510650250,171,171
1510653943,170,170
1510657809,168,168
