DateTime,AddedIPs,RemovedIPs
1508262368,9,3
1508270078,16,4
1508273866,5,2
1508277774,3,3
1508281559,7,7
1508285409,8,14
1508289250,3,11
1508293072,5,4
1508296987,5,6
1508300774,12,15
1508308493,19,9
1508312569,4,9
1508316371,5,4
1508320245,9,8
1508327873,10,12
1508331750,7,6
1508335887,9,6
1508339662,7,5
1508343489,6,8
1508347327,4,9
1508351171,6,11
1508355013,6,5
1508358820,5,5
1508362740,17,6
1508366539,8,11
1508374185,6,4
1508378044,1,8
1508381849,2,5
1508385732,4,12
1508389550,4,3
1508393422,4,1
1508397170,2,0
1508401039,8,8
1508404914,5,7
1508408698,3,3
1508412546,3,1
1508416404,2,4
1508420246,6,3
1508424107,5,7
1508427897,3,3
1508431762,5,5
1508435598,2,1
1508439443,2,1
1508443275,7,4
1508447110,3,1
1508450939,2,5
1508454795,5,1
1508458880,6,4
1508462733,4,6
1508466798,4,0
1508470895,7,6
1508474697,3,1
1508478563,6,3
1508482478,6,7
1508486294,1,1
1508490089,8,9
1508493925,1,5
1508497762,4,10
1508501590,0,18
1508505437,10,6
1508509270,3,6
1508513104,9,5
1508516967,6,9
1508520808,4,8
1508524984,5,4
1508528764,0,3
1508532563,6,4
1508536426,4,4
1508540273,2,6
1508547916,7,10
1508551769,1,9
1508555610,3,3
1508559427,5,4
1508563345,2,2
1508567161,5,9
1508570867,5,15
1508574748,6,12
1508578499,9,4
1508582393,9,8
1508590179,4,0
1508605517,2,0
1508609376,2,3
1508613372,7,6
1508617057,5,8
1508620897,4,6
1508625002,11,7
1508628855,8,11
1508636512,8,5
1508640683,1,6
1508644431,5,3
1508648250,3,5
1508652123,3,1
1508655935,2,2
1508659841,6,7
1508667450,12,8
1508675124,8,5
1508690500,18,28
1508694311,3,5
1508698182,2,5
1508702079,7,5
1508706318,5,4
1508710137,6,4
1508714073,5,10
1508718100,6,7
1508721963,3,7
1508725863,2,5
1508729601,3,2
1508733452,1,3
1508737526,10,4
1508741497,11,4
1508745299,12,6
1508749065,7,9
1508752968,7,5
1508756815,5,9
1508760594,8,7
1508768283,10,8
1508772130,11,4
1508775963,7,5
1508779840,20,13
1508802857,36,19
1508814383,28,32
1508818197,2,7
1508822131,6,7
1508826192,13,4
1508841818,41,21
1508845585,7,12
1508849443,6,7
1508853357,4,18
1508861800,13,18
1508865518,14,10
1508870329,18,6
1508874174,4,3
1508877991,12,7
1508881965,19,19
1508885680,10,7
1508889522,9,5
1508893402,6,13
1508897288,5,11
1508901219,5,9
1508905155,10,22
1508908906,6,3
1508912721,4,3
1508916598,4,6
1508920408,4,6
1508939582,43,35
1508943431,3,10
1508947682,4,9
1508951379,4,6
1508955312,7,11
1508959091,6,7
